"rt","response","trial_type","trial_index","plugin_version","time_elapsed","stimulus","stim","noiseDots"
"39362","{}","survey-html-form","0","2.0.0","39365","","",""
"null","null","html-keyboard-response","1","2.0.0","42568","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","[""look_floor_M_A_inverted.txt"",""look_floor_M_B_inverted.txt""]","115"
"6357","0","html-button-response","2","2.0.0","48927","<p style=""text-align: center;"">Press a button!</p>","",""
"3648","1","html-button-response","3","2.0.0","52577","<p style=""text-align: center;"">Rate your confidence:</p>","",""
"null","null","html-keyboard-response","4","2.0.0","55779","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","[""look_ceiling_F_A_inverted.txt"",""look_ceiling_F_B_inverted.txt""]","70"
"7386","0","html-button-response","5","2.0.0","63167","<p style=""text-align: center;"">Press a button!</p>","",""
"null","null","html-button-response","6","2.0.0","68169","<p style=""text-align: center;"">Rate your confidence:</p>","",""
"null","null","html-keyboard-response","7","2.0.0","71371","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","[""look_ceiling_F_A.txt"",""look_ceiling_F_B.txt""]","85"
"4675","0","html-button-response","8","2.0.0","76048","<p style=""text-align: center;"">Press a button!</p>","",""
"1868","3","html-button-response","9","2.0.0","77917","<p style=""text-align: center;"">Rate your confidence:</p>","",""
"null","null","html-keyboard-response","10","2.0.0","81120","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","[""look_ceiling_M_A.txt"",""look_ceiling_M_B.txt""]","70"
"3080","1","html-button-response","11","2.0.0","84202","<p style=""text-align: center;"">Press a button!</p>","",""
"1754","1","html-button-response","12","2.0.0","85958","<p style=""text-align: center;"">Rate your confidence:</p>","",""
"null","null","html-keyboard-response","13","2.0.0","89159","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","[""look_floor_F_A.txt"",""look_floor_F_B.txt""]","130"
"1971","0","html-button-response","14","2.0.0","91131","<p style=""text-align: center;"">Press a button!</p>","",""
"1949","2","html-button-response","15","2.0.0","93082","<p style=""text-align: center;"">Rate your confidence:</p>","",""
"null","null","html-keyboard-response","16","2.0.0","96283","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","[""look_floor_M_A.txt"",""look_floor_M_B.txt""]","115"
"1090","0","html-button-response","17","2.0.0","97374","<p style=""text-align: center;"">Press a button!</p>","",""
"836","2","html-button-response","18","2.0.0","98212","<p style=""text-align: center;"">Rate your confidence:</p>","",""
"null","null","html-keyboard-response","19","2.0.0","101414","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","[""look_floor_F_A_inverted.txt"",""look_floor_F_B_inverted.txt""]","85"
"1649","0","html-button-response","20","2.0.0","103064","<p style=""text-align: center;"">Press a button!</p>","",""
"840","2","html-button-response","21","2.0.0","103905","<p style=""text-align: center;"">Rate your confidence:</p>","",""
"null","null","html-keyboard-response","22","2.0.0","107107","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","[""look_ceiling_M_A_inverted.txt"",""look_ceiling_M_B_inverted.txt""]","130"
"3067","1","html-button-response","23","2.0.0","110175","<p style=""text-align: center;"">Press a button!</p>","",""
"1422","0","html-button-response","24","2.0.0","111599","<p style=""text-align: center;"">Rate your confidence:</p>","",""
