level_0	level_1	frames = 253 markers = 13 Hz = 30
-23.853607014897996	0.73589	30.928
-22.190607014897992	7.3847	23.959
-24.480607014898	-6.3286	23.966
-21.197607014897997	10.266	10.193
-26.040607014897994	-8.6298	10.154
-20.531607014897993	12.235	0.63216
-27.095607014897993	-10.19	0.56456
-23.220607014897993	3.9075	2.762
-24.007607014897992	-3.0729	2.7666
-25.202607014897993	5.1819	-15.484
-25.463607014897995	-3.6734	-15.563
-23.096607014897998	4.7155	-31.051
-22.434607014898	-2.6148	-30.951
-23.904607014897998	0.81175	30.853
-22.265607014897995	7.4415	23.862
-24.429607014897996	-6.2904	23.896
-21.276607014897998	10.353	10.102
-25.998607014898	-8.5999	10.086
-20.611607014898	12.342	0.54496
-27.061607014897994	-10.165	0.49886
-23.455607014897993	3.827	2.6248
-24.076607014897995	-3.1692	2.7568
-25.722607014897996	5.3286	-15.571
-25.488607014897994	-3.6983	-15.578
-23.100607014897996	4.7074	-31.054
-22.436607014897994	-2.6054	-30.96
-23.963607014897995	0.88118	30.858
-22.362607014897996	7.5126	23.827
-24.379607014897992	-6.2397	23.906
-21.288607014898	10.382	10.064
-25.953607014897997	-8.5606	10.099
-20.563607014897997	12.342	0.50576
-27.020607014897998	-10.134	0.51346
-23.516607014897993	3.866	2.6249
-24.100607014897996	-3.1333	2.7566
-25.730607014898	5.3291	-15.58
-25.494607014897994	-3.6871	-15.579
-23.095607014897993	4.7026	-31.06
-22.436607014897994	-2.6037	-30.96
-24.028607014897993	0.94325	30.855
-22.465607014897998	7.5616	23.787
-24.337607014897998	-6.208	23.914
-21.276607014897998	10.29	10.005
-25.900607014897993	-8.523	10.105
-20.468607014897998	12.151	0.43366
-26.959607014897998	-10.093	0.51736
-23.580607014897993	3.8976	2.6147
-24.116607014897994	-3.1056	2.756
-25.724607014897998	5.3152	-15.603
-25.502607014897997	-3.6806	-15.58
-23.089607014897993	4.6914	-31.083
-22.449607014897992	-2.6023	-30.962
-24.203607014897997	0.82241	30.84
-22.530607014897996	7.4381	23.744
-24.327607014897993	-6.3128	23.893
-21.332607014897995	10.235	9.9767
-25.869607014897994	-8.5567	10.069
-20.518607014897995	12.142	0.41476
-26.914607014897996	-10.076	0.47256
-23.635607014897992	3.9334	2.5991
-24.127607014897997	-3.0727	2.7536
-25.692607014897995	5.3029	-15.632
-25.492607014898	-3.6719	-15.583
-23.073607014897995	4.6813	-31.115
-22.434607014898	-2.61	-30.965
-24.196607014897992	0.83197	30.925
-22.620607014898	7.4787	23.811
-24.268607014897995	-6.2948	23.998
-21.434607014898	10.231	10.034
-25.803607014898	-8.5155	10.17
-20.626607014897992	12.107	0.46506
-26.841607014897995	-10.019	0.56956
-23.576607014897995	4.1993	2.7659
-24.077607014897993	-2.8077	2.7721
-25.636607014897997	5.4252	-15.475
-25.472607014897996	-3.5322	-15.558
-23.128607014897995	4.6942	-30.972
-22.439607014897994	-2.6056	-30.954
-24.198607014897995	0.8093	30.906
-22.723607014897993	7.4883	23.796
-24.239607014898	-6.3054	24.01
-21.564607014897994	10.24	10.017
-25.757607014897992	-8.4877	10.174
-20.773607014897998	12.115	0.44616
-26.783607014897996	-9.9652	0.56816
-23.651607014897998	4.2318	2.7252
-24.082607014897995	-2.7799	2.7659
-25.623607014898	5.405	-15.529
-25.464607014897993	-3.5265	-15.564
-23.112607014897996	4.6792	-31.025
-22.440607014897992	-2.6032	-30.962
-23.967607014897993	0.88972	30.928
-22.910607014897998	7.6189	23.775
-24.111607014898	-6.2218	24.003
-21.799607014897994	10.1	9.9403
-25.662607014897993	-8.4075	10.171
-21.041607014898	11.786	0.33246
-26.710607014897995	-9.8878	0.56886
-23.707607014897995	4.257	2.7151
-24.086607014897993	-2.7576	2.7688
-25.624607014897997	5.4018	-15.547
-25.459607014897998	-3.518	-15.561
-23.109607014897996	4.6764	-31.042
-22.442607014897995	-2.6028	-30.961
-23.908607014897996	0.86815	30.932
-23.009607014897995	7.6361	23.776
-24.100607014897996	-6.2144	24.015
-21.982607014897994	10.083	9.9281
-25.616607014897994	-8.3404	10.17
-21.283607014897996	11.745	0.31166
-26.639607014897997	-9.7802	0.55876
-23.746607014897997	4.2716	2.7135
-24.087607014897998	-2.7449	2.7705
-25.630607014897997	5.4051	-15.552
-25.456607014897997	-3.5083	-15.56
-23.098607014897993	4.672	-31.045
-22.448607014897995	-2.6011	-30.962
-23.827607014897993	0.83542	30.935
-23.099607014897998	7.6456	23.778
-24.077607014897993	-6.2151	24.027
-22.177607014897994	10.053	9.9166
-25.558607014897994	-8.2689	10.168
-21.550607014898	11.687	0.29046
-26.555607014897994	-9.6579	0.54616
-23.781607014897993	4.2844	2.7138
-24.084607014897998	-2.7339	2.7774
-25.651607014897998	5.417	-15.553
-25.447607014897997	-3.5021	-15.553
-23.097607014897996	4.6773	-31.042
-22.445607014897995	-2.6037	-30.957
-23.738607014897994	0.7773	30.934
-23.175607014898	7.6177	23.785
-24.075607014897997	-6.2491	24.028
-22.388607014897993	10.017	9.9134
-25.496607014897997	-8.1891	10.146
-21.855607014898	11.646	0.28066
-26.451607014897995	-9.5018	0.50896
-23.815607014897992	4.2948	2.7105
