level_0	level_1	frames = 75 markers = 13 Hz = 30
-8.749950153846115	0.49642	29.397
-8.830950153846118	7.4878	21.512
-8.357950153846119	-6.8393	22.182
-9.01595015384612	9.9977	7.507
-9.473950153846118	-9.0378	8.1789
-9.157950153846116	11.623	-1.7407
-10.202950153846118	-10.449	-1.0656
-8.621950153846115	3.5626	0.65338
-8.441950153846115	-3.4589	0.65858
-6.870950153846117	2.9155	-17.337
-6.711950153846118	-2.0608	-17.293
-5.440950153846117	2.3835	-31.878
-5.330950153846118	-0.91021	-31.81
-8.800950153846117	0.45558	29.428
-8.852950153846116	7.464	21.512
-8.382950153846117	-6.8588	22.218
-9.09195015384612	9.9748	7.5084
-9.459950153846115	-9.0563	8.2119
-9.270950153846115	11.601	-1.7385
-10.162950153846118	-10.467	-1.0347
-8.56195015384612	3.5253	0.70578
-8.44895015384612	-3.4974	0.66238
-6.997950153846119	2.9227	-17.303
-6.854950153846119	-2.1496	-17.305
-5.4329501538461145	2.3923	-31.83
-5.328950153846115	-0.91462	-31.8
-8.80895015384612	0.33742	29.432
-8.854950153846119	7.4298	21.515
-8.420950153846121	-6.8989	22.241
-9.129950153846117	9.9345	7.5101
-9.43995015384612	-9.0897	8.2292
-9.331950153846115	11.557	-1.737
-10.102950153846116	-10.496	-1.0209
-8.575950153846115	3.4729	0.70418
-8.479950153846119	-3.55	0.66398
-6.999950153846115	2.8972	-17.305
-6.865950153846121	-2.1806	-17.3
-5.424950153846119	2.3888	-31.831
-5.32095015384612	-0.92736	-31.792
-8.860950153846119	0.25381	29.436
-8.83295015384612	7.3836	21.505
-8.477950153846116	-6.9463	22.252
-9.145950153846115	9.8928	7.5018
-9.428950153846117	-9.137	8.2353
-9.373950153846117	11.518	-1.7442
-10.046950153846119	-10.543	-1.0179
-8.58295015384612	3.3986	0.70108
-8.52495015384612	-3.6248	0.67058
-6.994950153846119	2.8728	-17.308
-6.886950153846115	-2.2016	-17.287
-5.409950153846118	2.4044	-31.835
-5.32695015384612	-0.90735	-31.774
-8.953950153846115	0.010903	29.436
-8.82695015384612	7.2345	21.511
-8.57695015384612	-7.0915	22.246
-9.14095015384612	9.7962	7.518
-9.431950153846117	-9.237	8.2159
-9.371950153846115	11.455	-1.7219
-9.985950153846119	-10.613	-1.0459
-8.464950153846118	3.3009	0.68978
-8.540950153846119	-3.7224	0.66758
-6.926950153846121	2.8416	-17.326
-6.895950153846115	-2.2451	-17.285
-5.386950153846115	2.4234	-31.859
-5.322950153846115	-0.90848	-31.766
-8.830950153846118	-0.15141	29.443
-8.793950153846119	7.0731	21.539
-8.685950153846115	-7.2626	22.263
-9.09795015384612	9.6734	7.5525
-9.443950153846117	-9.3545	8.219
-9.319950153846115	11.359	-1.6829
-9.93395015384612	-10.695	-1.0515
-8.595950153846118	3.2498	0.69838
-8.606950153846121	-3.7737	0.65698
-6.985950153846119	2.8205	-17.312
-6.920950153846121	-2.2704	-17.29
-5.382950153846117	2.4303	-31.839
-5.319950153846115	-0.91155	-31.766
-8.96695015384612	-0.23553	29.448
-8.804950153846114	6.9768	21.518
-8.795950153846121	-7.3542	22.255
-9.042950153846121	9.5907	7.5325
-9.456950153846115	-9.4639	8.2088
-9.221950153846116	11.285	-1.7021
-9.88195015384612	-10.815	-1.0633
-8.598950153846118	3.1726	0.70118
-8.653950153846118	-3.8506	0.64708
-6.9769501538461185	2.7957	-17.309
-6.937950153846117	-2.3153	-17.294
-5.365950153846121	2.4473	-31.837
-5.311950153846119	-0.93106	-31.765
-8.977950153846116	-0.31786	29.414
-8.802950153846119	6.8817	21.477
-8.871950153846115	-7.4493	22.222
-8.953950153846115	9.4912	7.49
-9.424950153846119	-9.5644	8.1722
-9.074950153846117	11.183	-1.7462
-9.77795015384612	-10.921	-1.1023
-8.697950153846115	3.0489	0.65828
-8.791950153846116	-3.9741	0.63738
-7.00995015384612	2.7484	-17.347
-7.002950153846115	-2.3738	-17.291
-5.348950153846118	2.4616	-31.87
-5.313950153846115	-0.93674	-31.749
-9.078950153846115	-0.39109	29.399
-8.858950153846116	6.7998	21.478
-8.97295015384612	-7.5382	22.225
-8.824950153846117	9.4181	7.4916
-9.456950153846115	-9.671	8.1755
-8.82395015384612	11.116	-1.7442
-9.763950153846118	-11.039	-1.0989
-8.708950153846118	2.9323	0.64878
-8.828950153846115	-4.0903	0.61978
-7.008950153846115	2.7093	-17.357
-7.014950153846115	-2.4222	-17.3
-5.33895015384612	2.484	-31.88
-5.310950153846115	-0.93484	-31.752
-9.171950153846119	-0.51575	29.41
-8.953950153846115	6.7036	21.532
-9.107950153846119	-7.6445	22.243
-8.601950153846118	9.2769	7.5417
-9.511950153846115	-9.8017	8.1948
-8.391950153846118	10.945	-1.697
-9.764950153846115	-11.186	-1.0787
-8.693950153846117	2.823	0.67998
-8.851950153846118	-4.1986	0.60868
-7.184950153846117	2.7029	-17.343
-7.016950153846118	-2.4819	-17.305
-5.327950153846118	2.5111	-31.845
-5.292950153846121	-0.9566	-31.75
-9.241950153846119	-0.63785	29.425
-9.063950153846115	6.5997	21.56
-9.273950153846116	-7.7525	22.27
-8.386950153846115	9.0761	7.5644
-9.599950153846116	-9.9428	8.2251
-7.961950153846118	10.681	-1.6782
-9.799950153846119	-11.35	-1.0464
-8.681950153846117	2.7021	0.72498
-8.862950153846121	-4.3182	0.59698
-7.572950153846115	2.7404	-17.328
-6.9869501538461165	-2.584	-17.31
-5.342950153846118	2.5637	-31.777
-5.228950153846121	-1.0462	-31.75
-9.32995015384612	-0.79831	29.442
-9.21995015384612	6.4429	21.595
-9.53395015384612	-7.9129	22.31
-8.09795015384612	8.7319	7.5962
-9.804950153846114	-10.082	8.26
-7.379950153846117	10.214	-1.6487
-9.968950153846116	-11.474	-1.0141
-8.674950153846119	2.6357	0.77218
-8.770950153846115	-4.3853	0.59258
-8.242950153846117	2.8341	-17.308
-6.927950153846119	-2.6325	-17.316
-5.452950153846118	2.6138	-31.659
-5.19595015384612	-1.079	-31.757
-9.453950153846115	-0.96059	29.446
-9.345950153846118	6.2724	21.615
-9.78395015384612	-8.0851	22.313
-7.700950153846115	8.5035	7.6584
-10.008950153846115	-10.205	8.2548
-6.6389501538461175	9.9465	-1.5597
-10.142950153846115	-11.566	-1.0246
-8.678950153846117	2.5329	0.78708
-8.75095015384612	-4.4887	0.60868
-9.112950153846121	2.9666	-17.289
-6.910950153846116	-2.701	-17.297
-5.563950153846115	2.653	-31.47
-5.177950153846119	-1.1209	-31.735
-9.636950153846115	-1.0489	29.424
-9.407950153846116	6.168	21.632
-10.103950153846121	-8.1899	22.286
-7.330950153846118	8.1549	7.6956
-10.296950153846119	-10.281	8.2229
-5.981950153846121	9.4378	-1.5087
-10.40895015384612	-11.623	-1.0594
-8.717950153846118	2.4564	0.79238
-8.608950153846116	-4.5643	0.58838
-10.165950153846119	3.2086	-17.22
-6.8519501538461185	-2.6954	-17.317
-5.680950153846119	2.8887	-31.134
-5.190950153846117	-1.0484	-31.757
-9.95495015384612	-1.1302	29.412
-9.529950153846116	6.0527	21.604
-10.342950153846118	-8.2871	22.248
-7.032950153846116	7.8591	7.7123
-10.61995015384612	-10.339	8.1806
-5.406950153846118	9.0231	-1.4632
-10.78695015384612	-11.655	-1.1046
-8.801950153846121	2.4176	0.82778
-8.62895015384612	-4.6013	0.59048
-11.221950153846116	3.4718	-17.064
-6.860950153846119	-2.7051	-17.311
-5.863950153846119	2.8796	-30.657
-5.188950153846115	-1.0366	-31.747
-10.202950153846118	-1.2022	29.398
-9.746950153846115	5.9582	21.591
-10.593950153846116	-8.382	22.239
-6.842950153846118	7.6098	7.7597
-10.986950153846117	-10.386	8.1679
-4.947950153846115	8.6715	-1.3767
-11.229950153846119	-11.671	-1.12
-8.923950153846121	2.3125	0.83748
-8.69295015384612	-4.7045	0.58308
-12.33895015384612	3.7133	-16.868
-6.8719501538461145	-2.7594	-17.308
-6.156950153846118	3.0277	-30.101
-5.156950153846118	-1.0532	-31.734
-10.438950153846115	-1.2925	29.382
-9.96995015384612	5.8551	21.575
-10.78095015384612	-8.4875	22.214
-6.738950153846119	7.4109	7.8048
-11.37295015384612	-10.446	8.143
-4.6289501538461195	8.4092	-1.2916
-11.74795015384612	-11.7	-1.1446
-9.13195015384612	2.2632	0.83668
-8.988950153846119	-4.755	0.56088
-13.34795015384612	3.6333	-16.698
-6.981950153846121	-2.8097	-17.31
-7.032950153846116	2.9223	-29.867
-5.113950153846119	-1.1102	-31.718
-10.712950153846116	-1.4251	29.39
-10.226950153846118	5.7106	21.58
-10.950950153846115	-8.6326	22.204
-6.752950153846115	7.2423	7.8666
-11.74795015384612	-10.486	8.1289
-4.480950153846116	8.2237	-1.1927
-12.258950153846115	-11.671	-1.1614
-9.605950153846116	2.2626	0.85768
-9.18695015384612	-4.744	0.55938
-14.14095015384612	3.6111	-16.598
-7.020950153846115	-2.8777	-17.302
-8.176950153846121	3.047	-29.938
-5.0309501538461205	-1.2345	-31.699
-10.955950153846118	-1.5577	29.396
-10.596950153846116	5.5774	21.584
-11.24495015384612	-8.7741	22.187
-6.89695015384612	7.1259	7.9315
-12.177950153846119	-10.531	8.1086
-4.474950153846116	8.118	-1.0878
-12.778950153846118	-11.652	-1.1843
-9.919950153846116	2.1914	0.85808
-9.483950153846116	-4.8129	0.53078
-14.565950153846117	3.4803	-16.573
-7.14095015384612	-2.9633	-17.31
-9.621950153846115	2.9118	-30.323
-5.002950153846115	-1.334	-31.687
