level_0	level_1	frames = 214 markers = 13 Hz = 30
-30.53	0.78285	29.568
-30.042	-6.7112	21.84
-31.601	7.862	21.515
-28.006	-8.2925	7.8637
-31.288	10.328	7.5327
-26.724	-9.254	-0.96219
-30.197	11.05	-1.332
-31.237	-3.897	1.5096
-31.651	4.3718	1.5148
-31.738	-4.2027	-16.332
-32.183	4.5018	-16.33
-32.193	-4.4599	-32.089
-32.635	4.5913	-32.095
-30.524	0.77467	29.557
-30.037	-6.7171	21.835
-31.561	7.8591	21.494
-28.015	-8.3365	7.861
-31.396	10.411	7.5244
-26.741	-9.3219	-0.96349
-30.224	11.047	-1.3366
-31.223	-3.9122	1.4919
-31.636	4.3568	1.5092
-31.573	-4.2637	-16.352
-32.015	4.544	-16.338
-32.194	-4.4678	-32.104
-32.628	4.5914	-32.098
-30.506	0.74667	29.548
-30.016	-6.7333	21.83
-31.497	7.8486	21.484
-28.128	-8.4595	7.8502
-31.371	10.406	7.5151
-26.936	-9.5051	-0.97869
-30.238	11.064	-1.3494
-31.214	-3.9287	1.483
-31.612	4.3409	1.5054
-31.568	-4.2727	-16.361
-32.005	4.5406	-16.342
-32.19	-4.471	-32.113
-32.632	4.5983	-32.101
-30.485	0.70014	29.542
-30.0	-6.7522	21.816
-31.416	7.8299	21.462
-28.146	-8.5353	7.8383
-31.33	10.418	7.4984
-26.966	-9.5891	-0.99109
-30.234	11.114	-1.3678
-31.22	-3.947	1.4778
-31.594	4.3237	1.507
-31.571	-4.284	-16.367
-31.995	4.5278	-16.34
-32.192	-4.4762	-32.119
-32.627	4.5903	-32.099
-30.479	0.60766	29.544
-30.007	-6.7761	21.816
-31.328	7.8196	21.476
-28.151	-8.6183	7.8468
-31.29	10.476	7.5254
-26.94	-9.6308	-0.98329
-30.205	11.209	-1.3391
-31.233	-3.9604	1.4832
-31.581	4.3114	1.5106
-31.574	-4.2894	-16.362
-31.989	4.5288	-16.336
-32.188	-4.4739	-32.114
-32.627	4.6033	-32.095
-30.448	0.48576	29.546
-29.983	-6.7798	21.767
-31.199	7.8143	21.484
-28.106	-8.7544	7.818
-31.224	10.549	7.5486
-26.809	-9.6677	-1.0107
-30.079	11.264	-1.3101
-31.256	-3.9863	1.503
-31.573	4.2866	1.5182
-31.383	-4.0186	-16.348
-31.984	4.5156	-16.328
-31.807	-3.9428	-32.104
