level_0	level_1	frames = 123 markers = 13 Hz = 30
-20.915458211382074	5.9869	30.253
-19.897458211382073	12.831	22.862
-20.320458211382068	-0.44015	22.449
-19.72145821138207	15.583	9.4469
-20.33745821138207	-3.6785	9.1444
-21.510458211382073	16.84	0.15094
-19.95345821138207	-5.8998	-0.12786
-20.21245821138207	9.5533	0.78994
-19.582458211382068	1.2074	0.79474
-19.601458211382074	9.871	-15.446
-18.96045821138207	0.40345	-15.425
-19.031458211382073	10.152	-30.172
-18.41145821138207	-0.30129	-30.144
-20.89845821138207	5.978	30.253
-19.882458211382072	12.82	22.867
-20.33745821138207	-0.45	22.456
-19.760458211382073	15.552	9.4448
-20.36845821138207	-3.6815	9.1487
-21.501458211382072	16.844	0.14474
-19.99345821138207	-5.8981	-0.12506
-20.205458211382073	9.5512	0.79184
-19.59045821138207	1.2042	0.79394
-19.751458211382072	9.8625	-15.449
-19.11145821138207	0.3629	-15.428
-19.031458211382073	10.15	-30.168
-18.412458211382074	-0.30043	-30.143
-20.879458211382072	5.9684	30.253
-19.866458211382067	12.808	22.872
-20.35645821138207	-0.46047	22.463
-19.76145821138207	15.539	9.4489
-20.40145821138207	-3.6846	9.1533
-21.497458211382067	16.843	0.14934
-20.03645821138207	-5.8961	-0.12206
-20.198458211382068	9.5489	0.79374
-19.598458211382074	1.2008	0.79294
-19.748458211382072	9.8605	-15.447
-19.114458211382072	0.36233	-15.429
-19.031458211382073	10.148	-30.167
-18.41145821138207	-0.29936	-30.144
-20.857458211382074	5.9571	30.253
-19.848458211382074	12.794	22.878
-20.378458211382068	-0.47251	22.471
-19.766458211382073	15.523	9.453
-20.439458211382068	-3.6884	9.1589
-21.492458211382072	16.842	0.15374
-20.08745821138207	-5.8935	-0.11846
-20.189458211382068	9.5463	0.79594
-19.60845821138207	1.1969	0.79184
-19.74345821138207	9.8582	-15.445
-19.11845821138207	0.36116	-15.43
-19.031458211382073	10.145	-30.165
-18.41145821138207	-0.29814	-30.145
-20.83745821138207	5.9466	30.252
-19.83145821138207	12.782	22.883
-20.39845821138207	-0.4835	22.479
-19.77745821138207	15.505	9.456
-20.47545821138207	-3.6916	9.1641
-21.48645821138207	16.841	0.15634
-20.134458211382068	-5.8913	-0.11506
-20.181458211382072	9.5438	0.79804
-19.617458211382072	1.1932	0.79084
-19.74045821138207	9.856	-15.443
-19.12445821138207	0.3597	-15.432
-19.03045821138207	10.143	-30.163
-18.41145821138207	-0.29704	-30.146
-20.81645821138207	5.9358	30.252
-19.81345821138207	12.768	22.888
-20.41945821138207	-0.4946	22.487
-19.78945821138207	15.487	9.459
-20.513458211382073	-3.6945	9.1694
-21.48045821138207	16.841	0.15874
-20.18245821138207	-5.8889	-0.11136
-20.17345821138207	9.5412	0.80014
-19.626458211382072	1.1895	0.78984
-19.73445821138207	9.8537	-15.441
-19.129458211382072	0.35836	-15.433
-19.03045821138207	10.141	-30.161
-18.41045821138207	-0.29581	-30.147
-20.799458211382067	5.9268	30.251
-19.799458211382067	12.757	22.893
-20.437458211382072	-0.50362	22.493
-19.802458211382067	15.47	9.461
-20.54445821138207	-3.6971	9.1739
-21.47545821138207	16.841	0.15974
-20.22145821138207	-5.887	-0.10826
-20.16745821138207	9.539	0.80184
