level_0	level_1	frames = 145 markers = 13 Hz = 30
-3.4396390514589115	-5.308	29.719
-2.465639051458915	1.5245	22.404
-3.6796390514589135	-11.772	22.355
-1.191639051458914	4.5348	9.3653
-2.448639051458912	-15.092	9.3938
-2.1126390514589133	6.0653	-0.33274
-2.657639051458915	-16.648	-0.33614
-2.0576390514589136	-1.2843	0.81286
-2.1866390514589114	-9.8164	0.81756
-2.1756390514589086	-0.92502	-15.711
-1.3866390514589142	-9.5987	-15.691
-2.2706390514589145	-0.59934	-31.036
-0.6666390514589082	-9.375	-31.009
-3.451639051458912	-5.3276	29.718
-2.477639051458908	1.5108	22.407
-3.694639051458914	-11.786	22.351
-1.2176390514589102	4.5138	9.3634
-2.360639051458911	-15.124	9.4154
-2.102639051458908	6.0516	-0.33694
-2.6516390514589148	-16.651	-0.31674
-2.0576390514589136	-1.286	0.81286
-2.1856390514589137	-9.8181	0.81956
-2.33663905145891	-0.93444	-15.709
-1.5306390514589125	-9.6669	-15.696
-2.271639051458912	-0.59688	-31.035
-0.667639051458913	-9.3755	-31.005
-3.4666390514589125	-5.3529	29.717
-2.4926390514589087	1.493	22.41
-3.7126390514589147	-11.803	22.346
-1.2236390514589104	4.4933	9.3679
-2.340639051458915	-15.142	9.4184
-2.093639051458915	6.0314	-0.33374
-2.6326390514589093	-16.663	-0.31454
-2.0576390514589136	-1.2881	0.81266
-2.184639051458909	-9.8203	0.82206
-2.33363905145891	-0.93362	-15.71
-1.5306390514589125	-9.6679	-15.694
-2.2706390514589145	-0.59353	-31.035
-0.6666390514589082	-9.3757	-31.003
-3.4806390514589083	-5.3752	29.717
-2.5066390514589116	1.4773	22.413
-3.728639051458913	-11.819	22.342
-1.2326390514589107	4.4744	9.3712
-2.313639051458914	-15.159	9.4237
-2.08363905145891	6.0138	-0.33194
-2.616639051458911	-16.673	-0.31014
-2.0586390514589112	-1.29	0.81256
-2.1836390514589112	-9.8222	0.82426
-2.3356390514589123	-0.93315	-15.71
-1.52863905145891	-9.6686	-15.692
-2.271639051458912	-0.59062	-31.035
-0.6666390514589082	-9.3759	-31.0
-3.4926390514589087	-5.3949	29.716
-2.5196390514589098	1.4634	22.415
-3.7426390514589087	-11.833	22.338
-1.2426390514589087	4.4572	9.3734
-2.282639051458915	-15.176	9.4303
-2.0756390514589143	5.9986	-0.33094
-2.603639051458913	-16.68	-0.30424
-2.0586390514589112	-1.2917	0.81246
-2.1826390514589136	-9.8239	0.82616
-2.33363905145891	-0.93255	-15.71
-1.5266390514589148	-9.6688	-15.69
-2.2706390514589145	-0.58799	-31.035
-0.6666390514589082	-9.3757	-30.998
-3.504639051458909	-5.4135	29.715
-2.5306390514589125	1.4502	22.418
-3.7566390514589116	-11.846	22.334
-1.2526390514589139	4.4408	9.3753
-2.251639051458909	-15.192	9.437
-2.0676390514589116	5.9841	-0.33024
-2.5916390514589125	-16.688	-0.29814
-2.0586390514589112	-1.2933	0.81236
-2.181639051458909	-9.8255	0.82796
-2.3346390514589146	-0.9321	-15.71
-1.52863905145891	-9.6707	-15.688
-2.271639051458912	-0.58553	-31.035
-0.6666390514589082	-9.376	-30.997
-3.515639051458912	-5.4323	29.714
-2.542639051458913	1.437	22.42
-3.7696390514589098	-11.859	22.33
-1.2606390514589094	4.4245	9.3776
-2.224639051458908	-15.208	9.4427
-2.059639051458909	5.9694	-0.32914
-2.579639051458912	-16.696	-0.29304
-2.0586390514589112	-1.2949	0.81226
-2.181639051458909	-9.8272	0.82986
-2.3316390514589145	-0.93146	-15.71
-1.5266390514589148	-9.6706	-15.686
-2.271639051458912	-0.58305	-31.035
-0.6666390514589082	-9.3761	-30.995
-3.5246390514589123	-5.4468	29.713
-2.5516390514589133	1.4267	22.422
-3.7806390514589125	-11.869	22.327
-1.2676390514589144	4.412	9.3794
-2.2056390514589097	-15.219	9.4467
-2.0536390514589087	5.9579	-0.32814
-2.569639051458914	-16.702	-0.28944
-2.0586390514589112	-1.2962	0.81216
-2.180639051458911	-9.8284	0.83126
-2.332639051458912	-0.93111	-15.71
-1.5266390514589148	-9.6717	-15.685
-2.271639051458912	-0.58112	-31.035
-0.6656390514589106	-9.3761	-30.993
-3.529639051458915	-5.4548	29.713
-2.556639051458909	1.4211	22.423
-3.785639051458908	-11.875	22.325
-1.2696390514589098	4.4054	9.3807
-2.1996390514589095	-15.224	9.4476
-2.0506390514589086	5.9516	-0.32724
-2.562639051458909	-16.706	-0.28884
-2.0586390514589112	-1.2969	0.81216
-2.180639051458911	-9.8291	0.83206
-2.33363905145891	-0.93095	-15.71
-1.5266390514589148	-9.672	-15.684
-2.2706390514589145	-0.58004	-31.035
-0.6656390514589106	-9.3761	-30.993
-3.53163905145891	-5.4573	29.713
-2.5586390514589112	1.4193	22.423
-3.7876390514589104	-11.877	22.325
-1.2666390514589096	4.4043	9.3821
-2.2136390514589124	-15.222	9.4433
-2.0506390514589086	5.9492	-0.32584
-2.559639051458909	-16.708	-0.29304
-2.0586390514589112	-1.2971	0.81216
-2.1796390514589135	-9.8293	0.83236
-2.3356390514589123	-0.93105	-15.71
-1.5266390514589148	-9.6722	-15.684
-2.271639051458912	-0.57975	-31.035
-0.6666390514589082	-9.3764	-30.992
-3.52863905145891	-5.4521	29.713
-2.5546390514589135	1.423	22.422
-3.7836390514589127	-11.873	22.326
-1.2566390514589116	4.411	9.3835
-2.258639051458914	-15.21	9.4312
-2.0536390514589087	5.9527	-0.32384
-2.5586390514589112	-16.709	-0.30464
-2.0586390514589112	-1.2966	0.81216
-2.180639051458911	-9.8289	0.83176
-2.3356390514589123	-0.93118	-15.71
-1.5246390514589123	-9.6711	-15.684
-2.271639051458912	-0.58045	-31.035
-0.6656390514589106	-9.3762	-30.993
-3.515639051458912	-5.431	29.714
-2.5416390514589082	1.4379	22.42
-3.768639051458912	-11.858	22.33
-1.2376390514589133	4.4321	9.3834
-2.346639051458915	-15.178	9.4085
-2.063639051458914	5.9684	-0.32244
-2.565639051458909	-16.705	-0.32524
-2.0586390514589112	-1.2948	0.81226
-2.181639051458909	-9.8271	0.82976
-2.33363905145891	-0.9316	-15.71
-1.52563905145891	-9.6701	-15.686
-2.271639051458912	-0.58323	-31.035
-0.6666390514589082	-9.3761	-30.995
-3.4906390514589134	-5.3909	29.716
-2.5166390514589096	1.4662	22.415
-3.7396390514589086	-11.83	22.338
-1.21163905145891	4.4701	9.3808
-2.4836390514589084	-15.123	9.3753
-2.0806390514589097	5.999	-0.32244
-2.58363905145891	-16.695	-0.35344
-2.0586390514589112	-1.2914	0.81246
-2.1826390514589136	-9.8236	0.82576
-2.33363905145891	-0.93275	-15.71
-1.5266390514589148	-9.6683	-15.69
-2.2706390514589145	-0.58852	-31.035
-0.6666390514589082	-9.3758	-30.999
-3.4326390514589136	-5.2964	29.72
-2.457639051458912	1.5326	22.403
-3.671639051458911	-11.764	22.357
-1.1796390514589135	4.5514	9.3667
-2.663639051458908	-15.024	9.3381
-2.1186390514589135	6.0732	-0.33114
-2.6426390514589144	-16.658	-0.38114
-2.0576390514589136	-1.2833	0.81306
-2.187639051458909	-9.8155	0.81646
-2.33363905145891	-0.9353	-15.709
-1.5296390514589149	-9.6646	-15.699
-2.271639051458912	-0.60098	-31.035
-0.6666390514589082	-9.3751	-31.008
-3.33663905145891	-5.1395	29.724
-2.360639051458911	1.6421	22.381
-3.559639051458909	-11.654	22.387
-1.143639051458912	4.6796	9.3373
-2.8616390514589085	-14.882	9.3069
-2.1796390514589135	6.1972	-0.35134
-2.751639051458909	-16.59	-0.39974
-2.055639051458911	-1.27	0.81406
-2.194639051458914	-9.802	0.80096
-2.332639051458912	-0.9394	-15.709
-1.535639051458908	-9.6585	-15.715
-2.2706390514589145	-0.62142	-31.034
-0.6686390514589107	-9.3745	-31.024
-3.215639051458915	-5.0972	29.713
-2.289639051458913	1.6705	22.361
-3.434639051458909	-11.631	22.398
-1.1526390514589124	4.7501	9.311
-3.004639051458909	-14.752	9.253
-2.2946390514589083	6.2879	-0.36234
-2.823639051458912	-16.471	-0.45184
-2.0546390514589135	-1.2363	0.79246
-2.20863905145891	-9.768	0.78476
-2.3246390514589095	-0.89281	-15.73
-1.5416390514589082	-9.6427	-15.731
-2.2576390514589093	-0.56378	-31.056
-0.6656390514589106	-9.376	-31.039
-3.1246390514589137	-5.0556	29.706
-2.2166390514589125	1.6864	22.345
-3.3116390514589114	-11.621	22.416
-1.1836390514589112	4.8004	9.2844
-3.1386390514589095	-14.75	9.2407
-2.448639051458912	6.3532	-0.37134
-2.96463905145891	-16.536	-0.45204
-2.072639051458914	-1.2472	0.77456
-2.2206390514589103	-9.779	0.76846
-2.3446390514589126	-0.92001	-15.748
