		frames = 145 markers = 13 Hz = 30
-20.139	0.41914	0.80606
-41.243	8.1272	-0.53144
-34.379	-11.508	4.6462
-44.503	-10.49	0.54466
-34.539	1.2647	28.641
12.362	21.392	-0.11804
20.292	13.839	21.359
-41.482	2.6254	-28.399
17.722	29.704	8.7615
-45.062	1.214	22.159
-43.883	-16.775	-0.46714
-44.455	-1.1459	-15.677
5.901	19.538	0.46626
21.463	24.056	-0.30094
-46.462	-9.375	-31.009
-43.131	-5.942	29.64
4.0542	15.593	-29.307
-44.853	-9.3314	-15.913
6.6157	17.725	-16.073
22.977	33.4	2.1026
-30.726	12.747	0.55216
51.119	30.076	-31.176
-10.27	-3.5483	1.4512
36.304	21.014	0.91156
-25.289	3.8864	26.345
11.854	6.9441	9.7292
-44.825	-12.216	22.507
-22.459	2.7021	-31.011
-35.261	-5.123	22.059
29.916	19.716	-15.5
14.039	13.062	0.52536
-45.204	-12.079	22.461
-44.707	4.3293	8.8721
19.707	23.554	-0.42674
-44.558	-1.7966	0.88806
-45.416	-10.069	-15.903
-44.542	-1.7833	0.88116
17.249	26.843	21.312
-46.46	-9.2974	-31.18
-29.167	3.177	27.0
-44.334	-1.7997	0.77076
-44.609	-2.0118	0.75846
-44.634	-1.6253	0.68846
-42.419	-18.084	-0.26034
-44.983	-12.138	22.469
-46.462	-9.2967	-31.18
-45.449	3.6502	9.0082
-23.978	-9.1925	1.9653
-34.041	5.2064	-1.2132
-44.488	-5.2263	29.734
-41.17	11.152	9.2643
-15.554	14.174	22.073
42.073	16.61	0.023458
-37.399	8.1212	21.637
4.2802	27.888	1.265
-44.737	-5.3296	29.701
-45.551	-9.8559	-15.897
-45.376	1.4947	22.23
44.406	24.887	21.998
-36.941	4.4702	-0.42164
-30.384	15.102	-0.076942
-40.139	8.8524	-0.11864
-45.602	-9.672	-15.684
-44.128	-12.596	22.363
-1.0811	17.149	0.072858
-44.596	-5.3644	29.696
0.9669	26.157	0.35466
-9.2605	2.4235	21.715
-45.446	1.3804	22.188
-20.145	1.7971	-15.664
-46.54	-9.4358	-31.154
-45.601	-9.8215	-15.879
-32.048	-3.0825	-0.94684
-44.768	-15.124	9.4154
-45.016	6.0653	-0.33274
-43.756	-17.5	-0.55334
-34.741	13.616	8.2048
3.5459	14.667	-30.437
-24.177	11.417	2.1093
-22.421	2.6253	-30.976
-2.6958	-0.7046	9.254
-45.029	-9.5043	-15.911
-44.282	-15.05	9.1214
-12.169	-4.1413	1.363
-44.858	-0.62142	-31.034
19.854	8.8562	-0.88744
-37.548	-15.137	1.5385
-44.851	-0.54873	-31.149
-44.577	-1.9373	0.76496
-38.308	-6.4132	22.27
-42.127	5.315	-0.61194
-44.192	-15.469	9.2825
-43.793	-12.716	22.373
-46.463	-9.3762	-30.993
-44.852	-0.6058	-31.074
7.4729	9.7897	22.142
-41.122	6.8818	21.981
35.961	13.225	0.86946
-43.47	-12.671	22.427
11.799	11.36	21.958
40.205	22.873	0.26056
-41.567	-13.923	10.454
-20.552	1.4791	-15.847
-45.1	0.69543	22.176
-44.514	-11.747	22.458
-43.343	-11.875	22.325
51.377	29.95	-31.037
42.36	19.014	9.5779
34.296	29.461	0.79116
-44.837	-0.51558	-31.038
-42.352	5.8682	22.05
3.4475	1.7334	-0.27134
29.462	27.158	1.0307
-45.018	1.0757	22.179
20.127	27.608	21.7
-46.474	-9.3239	-31.139
-34.818	-8.5078	10.222
-44.209	-12.566	22.357
40.099	30.312	-14.661
-43.99	-14.75	9.2407
-45.885	4.8161	9.2557
-4.1002	15.847	-0.26134
-11.597	13.036	-14.093
28.686	20.797	-30.388
-44.59	-1.9661	0.76506
-46.467	-9.3079	-31.188
26.697	25.9	0.84126
-43.294	0.34265	0.61936
-39.721	-2.4456	29.149
-41.239	-10.355	22.31
-42.336	5.3002	-0.68424
7.3261	29.056	2.2517
-44.451	-1.7616	0.85226
-44.901	6.5842	8.7403
-29.707	15.053	-0.44664
-45.096	-12.078	22.481
-42.399	2.0298	0.63886
-44.662	-10.664	0.59376
-43.875	-16.761	-0.44744
-46.477	-9.482	-30.98
-44.996	1.081	22.166
-44.398	-1.7571	0.83966
-44.324	6.4178	-1.2034
-44.944	-9.8203	0.82206
33.421	12.04	1.0301
-44.813	-0.54899	-30.984
-0.9957	13.063	27.191
-43.793	-14.798	9.1902
33.592	27.445	-29.441
-44.843	4.4685	8.9347
-44.947	-9.8255	0.82796
-6.6126	6.2075	-17.037
-45.07	-1.2948	0.81226
-44.569	-12.268	22.459
-45.026	6.0516	-0.33694
3.3233	15.498	27.364
-45.048	5.999	-0.32244
-44.816	-0.55999	-30.952
-44.753	3.7363	8.8426
-37.78	10.465	0.65956
-44.794	-0.9321	-15.71
-43.842	-0.54174	0.73966
-21.066	3.7114	-30.088
-43.031	5.3007	-0.83144
28.225	20.891	-30.77
-44.122	-16.83	-0.51414
21.569	30.455	-0.013542
16.569	29.623	8.5749
-43.615	-5.6928	29.662
12.863	25.884	21.632
-44.569	-16.708	-0.29304
27.448	21.047	-31.007
15.73	13.562	0.25336
-44.569	-15.214	9.2309
-46.465	-9.3005	-31.192
25.942	24.586	-27.705
50.364	30.196	-30.335
9.6088	6.0748	9.9093
-44.433	-15.461	9.3027
19.758	15.692	-14.758
-9.6465	-3.5938	10.149
8.9688	18.553	-16.235
-20.353	12.412	22.52
-43.916	-12.677	22.36
-5.1111	14.566	-15.298
-46.468	-9.291	-31.191
14.122	6.7017	0.14456
0.5353	7.7191	20.93
-44.529	-1.1244	-15.819
-44.577	-1.2772	-15.727
-45.004	-10.082	0.68036
-44.365	-11.708	22.461
-44.972	1.0986	22.159
-44.622	1.4773	22.413
-37.83	-6.1095	22.243
-42.854	-15.674	9.0859
-45.468	-9.997	-15.88
-42.446	5.6139	-0.56174
-44.567	-1.9194	0.76316
-43.185	5.2766	-0.82494
44.471	17.571	-0.12104
-13.524	6.9767	28.594
-46.462	-9.376	-30.997
-32.496	-3.9688	21.03
53.497	25.935	-16.372
-44.382	-12.409	22.369
-44.708	-0.53459	-30.919
-32.835	5.534	-1.3495
-44.135	-5.4221	29.742
34.796	12.628	1.1007
-41.17	-8.9878	-15.986
-44.617	-1.306	-15.7
4.875	9.1011	21.388
-44.201	-17.063	-0.49884
-26.963	-1.2798	-14.867
-44.506	-1.1439	-15.649
-43.4	-11.819	22.342
-46.46	-9.2978	-31.196
-42.244	-12.196	11.128
-46.475	-9.3002	-31.161
-36.229	1.9404	-17.266
-45.603	-9.6701	-15.686
-45.911	4.5138	9.3634
-45.138	0.88947	22.145
-45.071	-1.286	0.81286
6.6849	23.966	21.985
-44.793	-0.93118	-15.71
16.947	22.285	-16.673
-33.552	1.5796	28.434
-44.486	-16.658	-0.38114
-28.483	-2.0458	-14.882
7.8153	18.105	-16.122
-38.575	4.058	0.073658
-44.948	-10.291	0.62806
13.068	6.06	0.27946
-45.12	-17.434	-0.35644
-41.923	-7.5771	0.44806
-44.857	-0.58112	-31.035
-42.544	-16.096	9.4345
-44.858	-0.58852	-31.035
-43.765	-15.348	9.1896
-43.613	-15.344	9.1603
-45.602	-9.6706	-15.686
-44.724	-10.468	0.60296
-15.118	16.194	-0.56354
-45.578	-9.6343	-15.738
-45.075	5.9527	-0.32384
-44.609	1.4634	22.415
-45.556	-9.8537	-15.894
-41.909	-12.784	11.008
-44.828	-0.52852	-31.049
-29.975	12.27	9.9116
-42.961	5.2372	22.052
-44.385	-1.4967	0.80856
-44.867	-10.286	0.61426
24.073	21.494	28.05
-44.583	-15.3	9.2631
9.2554	18.339	-26.64
-44.949	-9.8293	0.83236
-4.9651	4.2148	21.396
-44.548	-1.1089	-15.826
43.188	24.047	-0.090942
-25.425	7.8578	0.28746
3.2338	14.514	-30.643
-45.602	-9.8526	-15.879
-45.379	4.9771	8.5355
32.018	20.658	-15.272
-44.594	-1.2844	-15.713
-44.929	-15.224	9.4476
-44.474	-12.371	22.452
-44.715	-0.63124	-30.945
-40.094	1.5226	-16.188
-43.404	5.2641	-0.70204
-44.858	-0.58799	-31.035
6.6174	2.9475	0.066258
-39.44	7.5242	21.925
34.909	20.031	-28.882
-43.353	-5.8811	29.66
-41.868	-11.335	22.369
8.8771	5.5609	9.9027
-37.555	13.166	8.5099
-33.952	-7.3203	-14.99
25.584	30.437	10.387
20.012	20.56	27.582
-44.566	-1.6874	0.69186
