level_0	level_1	frames = 230 markers = 13 Hz = 30
-36.61932307692301	-0.25596	31.002
-33.57932307692301	6.1845	23.825
-35.35932307692301	-6.6406	23.503
-34.035323076923014	8.6064	10.501
-34.855323076923014	-9.7084	10.433
-33.105323076923014	10.86	-2.0648
-32.98832307692301	-12.556	-1.8971
-34.40632307692301	4.0337	1.5352
-34.30432307692301	-4.5498	1.5401
-33.75832307692301	4.6138	-14.548
-33.46632307692301	-5.2239	-14.532
-33.160323076923014	5.1283	-29.052
-32.72232307692301	-5.8057	-29.033
-36.61332307692301	-0.25458	31.002
-33.58432307692301	6.1843	23.824
-35.36232307692301	-6.6411	23.502
-34.038323076923014	8.6039	10.5
-34.84732307692301	-9.7085	10.434
-33.10432307692301	10.855	-2.0655
-32.97032307692301	-12.555	-1.8951
-34.407323076923014	4.0329	1.5348
-34.30232307692301	-4.5506	1.5404
-33.910323076923014	4.6196	-14.553
-33.61632307692301	-5.2409	-14.537
-33.16132307692301	5.1296	-29.05
-32.72332307692301	-5.8054	-29.031
-36.60632307692301	-0.25291	31.003
-33.59032307692301	6.184	23.824
-35.36532307692301	-6.6417	23.502
-34.035323076923014	8.6027	10.5
-34.83832307692301	-9.7077	10.435
-33.09532307692301	10.853	-2.0652
-32.95032307692301	-12.553	-1.8929
-34.40932307692301	4.0319	1.5344
-34.29932307692301	-4.5515	1.5408
-33.91132307692301	4.6199	-14.553
-33.614323076923014	-5.2412	-14.537
-33.16132307692301	5.1313	-29.051
-32.72232307692301	-5.8051	-29.031
-36.599323076923014	-0.25108	31.004
-33.59732307692301	6.1836	23.823
-35.36932307692301	-6.6424	23.501
-34.03932307692301	8.5991	10.499
-34.82932307692301	-9.7069	10.435
-33.09432307692301	10.846	-2.0661
-32.92932307692301	-12.551	-1.8904
-34.410323076923014	4.0309	1.5338
-34.29532307692301	-4.5525	1.5411
-33.91232307692301	4.6203	-14.554
-33.61032307692301	-5.2412	-14.537
-33.16132307692301	5.1331	-29.051
-32.72232307692301	-5.8048	-29.031
-36.59032307692301	-0.24894	31.005
-33.60632307692301	6.1833	23.823
-35.373323076923015	-6.6432	23.5
-34.03632307692301	8.5973	10.499
-34.821323076923015	-9.7044	10.436
-33.08232307692301	10.843	-2.0658
