level_0	level_1	frames = 114 markers = 13 Hz = 30
-26.707940620782715	0.25318	29.456
-26.740940620782716	7.3286	22.286
-27.644940620782712	-6.1749	21.779
-26.37694062078271	9.6266	8.9456
-26.350940620782715	-8.8116	8.569
-26.125940620782714	11.394	-1.4853
-25.349940620782718	-10.834	-1.764
-25.729940620782713	4.8366	0.093589
-25.711940620782713	-3.993	0.098389
-24.863940620782714	5.0608	-15.977
-24.670940620782716	-3.4924	-15.957
-24.061940620782714	5.2571	-30.537
-23.73994062078271	-3.0138	-30.51
-26.708940620782712	0.25267	29.462
-26.73994062078271	7.3275	22.293
-27.642940620782717	-6.1761	21.785
-26.37394062078271	9.6202	8.9514
-26.349940620782718	-8.8092	8.574
-26.121940620782716	11.383	-1.4802
-25.349940620782718	-10.829	-1.7596
-25.724940620782718	4.8476	0.10429
-25.709940620782717	-3.982	0.098789
-25.011940620782717	5.0577	-15.974
-24.818940620782712	-3.5116	-15.966
-24.06294062078271	5.2581	-30.525
-23.740940620782716	-3.0143	-30.508
-26.710940620782715	0.25177	29.472
-26.737940620782716	7.3257	22.304
-27.640940620782715	-6.178	21.794
-26.368940620782716	9.61	8.9606
-26.348940620782713	-8.8057	8.582
-26.113940620782714	11.367	-1.4721
-25.348940620782713	-10.821	-1.7525
-25.715940620782717	4.8652	0.12109
-25.706940620782717	-3.9644	0.099489
-25.004940620782712	5.0672	-15.957
-24.817940620782714	-3.5034	-15.966
-24.06294062078271	5.2599	-30.509
-23.740940620782716	-3.0148	-30.508
-26.711940620782713	0.25094	29.48
-26.73694062078271	7.3241	22.312
-27.639940620782717	-6.1797	21.801
-26.363940620782714	9.6014	8.9684
-26.347940620782715	-8.8026	8.5887
-26.106940620782716	11.352	-1.4651
-25.347940620782715	-10.815	-1.7465
-25.707940620782715	4.8801	0.13539
-25.703940620782717	-3.9495	0.10009
-25.002940620782717	5.0751	-15.943
-24.815940620782712	-3.4965	-15.965
-24.063940620782716	5.2614	-30.495
-23.740940620782716	-3.0153	-30.508
-26.714940620782713	0.24973	29.49
-26.734940620782716	7.3218	22.324
-27.637940620782715	-6.1821	21.812
-26.358940620782718	9.5899	8.9787
-26.344940620782715	-8.7993	8.5978
-26.097940620782715	11.334	-1.456
-25.345940620782713	-10.806	-1.7384
-25.698940620782714	4.8998	0.15429
-25.699940620782712	-3.9296	0.10099
-24.999940620782716	5.0854	-15.925
-24.813940620782716	-3.4872	-15.965
-24.064940620782714	5.2635	-30.477
-23.740940620782716	-3.0159	-30.508
-26.715940620782717	0.24857	29.5
-26.733940620782718	7.3198	22.335
-27.635940620782712	-6.1843	21.821
-26.353940620782716	9.5798	8.9877
-26.344940620782715	-8.7953	8.6053
-26.090940620782717	11.317	-1.4479
-25.346940620782718	-10.798	-1.7318
-25.689940620782714	4.9172	0.17099
-25.696940620782712	-3.9122	0.10189
-24.994940620782714	5.0947	-15.908
-24.80994062078271	-3.4789	-15.964
-24.065940620782712	5.2653	-30.461
-23.740940620782716	-3.0163	-30.508
-26.717940620782713	0.2473	29.509
-26.731940620782716	7.3175	22.345
-27.633940620782717	-6.1867	21.83
-26.348940620782713	9.5694	8.9969
-26.342940620782713	-8.7924	8.6134
-26.082940620782715	11.3	-1.4397
-25.344940620782715	-10.79	-1.7246
-25.680940620782714	4.9348	0.18789
-25.692940620782714	-3.8943	0.10279
-24.990940620782716	5.1041	-15.892
-24.811940620782714	-3.4711	-15.964
-24.065940620782712	5.2672	-30.445
-23.740940620782716	-3.0169	-30.508
-26.719940620782715	0.24622	29.516
-26.730940620782718	7.3157	22.353
-27.632940620782712	-6.1886	21.837
-26.342940620782713	9.5617	9.0043
-26.342940620782713	-8.7891	8.6194
-26.074940620782712	11.288	-1.4331
-25.345940620782713	-10.784	-1.7193
-25.673940620782716	4.9489	0.20139
-25.689940620782714	-3.8801	0.10359
-24.98994062078271	5.1114	-15.879
-24.808940620782714	-3.4643	-15.963
-24.066940620782717	5.2687	-30.432
-23.740940620782716	-3.0173	-30.508
-26.721940620782718	0.24483	29.525
-26.728940620782716	7.3134	22.363
-27.630940620782717	-6.191	21.845
-26.337940620782717	9.5517	9.0131
-26.339940620782713	-8.7864	8.6271
-26.067940620782714	11.271	-1.4252
-25.343940620782718	-10.776	-1.7126
-25.665940620782713	4.966	0.21769
-25.686940620782714	-3.8628	0.10459
-24.985940620782713	5.1205	-15.862
-24.80694062078271	-3.4564	-15.963
-24.066940620782717	5.2705	-30.416
-23.740940620782716	-3.0178	-30.508
-26.722940620782715	0.24371	29.532
-26.727940620782718	7.3116	22.371
-27.629940620782712	-6.1929	21.852
-26.335940620782715	9.5434	9.0197
-26.340940620782717	-8.7834	8.6325
-26.06294062078271	11.259	-1.4194
-25.343940620782718	-10.77	-1.7078
-25.659940620782713	4.9789	0.23009
-25.683940620782714	-3.8497	0.10529
-24.984940620782716	5.1272	-15.85
-24.802940620782714	-3.4499	-15.962
-24.067940620782714	5.2719	-30.404
-23.740940620782716	-3.0182	-30.507
-26.724940620782718	0.24237	29.54
-26.726940620782713	7.3094	22.38
