		frames = 138 markers = 13 Hz = 30
31.902	9.061	19.589
39.705	-8.7588	20.421
41.835	-3.3068	-15.67
20.633	17.973	8.9261
37.264	-6.171	10.375
40.178	-3.9153	0.89154
42.365	-3.2503	-27.971
35.579	6.1255	-29.414
40.448	4.3561	20.975
35.692	1.0555	1.3813
34.194	5.186	27.156
20.742	18.051	8.9443
27.582	9.2333	27.078
34.695	-5.384	2.4514
39.941	-9.3987	20.887
13.373	14.623	6.2108
43.039	3.7239	-29.47
15.757	13.533	8.1425
17.891	14.301	3.7301
36.042	-5.8146	1.6244
22.35	17.108	9.676
37.539	-6.91	2.5609
39.468	-1.256	-14.714
40.316	6.9411	8.545
41.221	-3.763	-15.716
36.295	1.0384	1.3036
36.124	-3.2297	22.304
22.634	16.847	9.0429
34.947	-5.2649	2.3803
38.988	5.2434	20.609
39.531	-1.2376	-14.762
34.694	8.0614	10.157
36.535	-4.8615	10.503
27.144	9.1267	27.043
34.384	8.3001	0.85014
35.897	1.0961	1.4046
34.554	7.1322	-15.616
40.041	-9.4887	20.81
39.637	-3.5153	1.06
40.592	-3.7782	-15.951
39.506	-11.368	8.4959
42.68	2.7942	0.94354
41.571	3.5966	0.85314
32.853	8.2636	19.736
33.386	7.7965	19.875
35.036	6.9735	-15.66
40.898	-9.3573	20.876
43.218	-2.4522	-29.503
22.404	9.6472	7.8651
39.266	-1.6666	-15.156
34.664	7.2374	-15.589
36.456	-3.7615	22.151
34.147	8.4663	0.91714
42.182	-5.0186	0.60944
34.733	-5.4589	2.4488
40.963	-3.0771	27.944
36.102	-6.0381	1.4214
35.644	6.5782	-15.569
26.532	14.481	8.3931
43.026	-2.4318	-29.322
38.996	4.0365	-15.27
38.448	-4.6932	21.296
12.804	15.104	6.3004
32.366	1.0103	22.476
38.329	6.9085	8.3688
37.623	-11.406	-0.44566
27.88	9.4128	27.084
35.513	6.0654	-29.413
34.705	-3.519	10.626
36.601	-0.10443	27.768
37.144	-0.2001	0.98954
34.552	-0.89251	22.564
