level_0	level_1	frames = 130 markers = 13 Hz = 30
-33.467	10.234	-35.84307555029586
-33.714	17.833	-28.282075550295858
-33.499	2.588	-28.58007555029586
-33.101	19.413	-14.148575550295861
-32.836	0.88491	-14.474075550295861
-32.697	20.386	-5.136765550295861
-32.438	-0.16583	-5.481575550295861
-33.279	13.365	-7.33347555029586
-33.456	6.3879	-7.338475550295861
-33.324	13.417	10.848924449704139
-34.757	7.4262	10.769924449704138
-35.23	13.226	25.655924449704138
-35.806	8.2999	25.643924449704137
-33.512	10.356	-35.84007555029586
-33.651	18.041	-28.313075550295856
-33.578	2.7939	-28.560075550295856
-33.215	19.684	-14.18007555029586
-32.79	1.1074	-14.45907555029586
-32.854	20.612	-5.161975550295861
-32.31	0.068291	-5.469275550295861
-33.288	13.538	-7.318775550295861
-33.489	6.5608	-7.358875550295862
-32.843	13.557	10.85792444970414
-34.505	7.4299	10.775924449704139
-35.207	13.215	25.595924449704142
-35.735	8.3493	25.63392444970414
-33.461	10.499	-35.82107555029586
-33.524	18.244	-28.328075550295857
-33.675	2.9958	-28.505075550295857
-33.219	19.905	-14.19407555029586
-32.758	1.3355	-14.40807555029586
-32.871	20.76	-5.1683755502958615
-32.195	0.314	-5.421475550295861
-33.347	13.693	-7.299275550295861
-33.568	6.717	-7.342475550295861
-32.782	13.622	10.87392444970414
-34.356	7.4529	10.808924449704138
-35.21	13.186	25.598924449704143
-35.663	8.3813	25.659924449704143
-33.403	10.669	-35.78407555029586
-33.383	18.432	-28.297075550295858
-33.759	3.1957	-28.416075550295858
-33.3	20.311	-14.188075550295862
-32.709	1.5666	-14.32507555029586
-32.977	21.158	-5.160075550295861
-32.061	0.56463	-5.341975550295861
-33.417	13.825	-7.2544755502958616
-33.689	6.8501	-7.320775550295862
-32.699	13.687	10.912924449704139
-34.242	7.3734	10.846924449704138
-35.222	13.177	25.61892444970414
-35.731	8.2969	25.67992444970414
-33.37	10.802	-35.72907555029586
-33.261	18.552	-28.27807555029586
-33.802	3.3125	-28.36607555029586
-33.323	20.628	-14.19607555029586
-32.667	1.7321	-14.276075550295861
-32.944	21.414	-5.164775550295861
-31.963	0.7618	-5.292875550295861
-33.449	13.98	-7.203975550295861
-33.791	7.0081	-7.265375550295861
-32.601	13.755	10.95692444970414
-34.187	7.2542	10.91192444970414
-35.237	13.162	25.63992444970414
-35.92	8.1216	25.720924449704142
-33.321	10.92	-35.68607555029586
-33.193	18.622	-28.24107555029586
