		frames = 100 markers = 13 Hz = 30
-29.126	2.6253	-28.859
-26.278	-2.2898	30.211
-25.904	-2.1418	30.098
-29.137	2.6925	-28.867
-31.632	5.0016	8.9302
-42.433	4.2047	10.505
-41.579	-8.5833	11.169
-32.435	9.3928	-0.48694
-27.356	4.8393	23.97
-20.245	-13.894	-3.6958
-26.928	-8.2426	23.529
-35.737	-7.6654	11.364
-40.596	7.1685	-2.0522
-30.259	-0.20045	16.509
-24.456	4.3862	-13.616
-41.982	-0.98674	16.884
-31.984	7.7859	10.672
-31.54	7.9759	11.131
-27.513	9.0142	11.586
-28.911	2.7384	-28.299
-29.013	2.9089	-28.238
-27.112	-8.4519	23.635
-41.006	-2.1046	17.563
-40.135	-7.4821	-10.374
-28.825	0.10355	2.8083
-36.754	0.16724	-5.3944
-27.724	7.6758	11.334
-25.584	-14.018	1.0782
-40.223	-0.048192	-10.522
-29.031	2.7221	-28.198
-39.56	-13.029	-0.78254
-27.3	-14.118	2.7795
-29.158	2.6487	-28.921
-24.608	7.2084	-1.0041
-26.1	5.8041	-3.9749
-31.311	-11.12	-7.3655
-40.627	0.054408	-10.695
-29.919	-8.9335	-28.012
-27.272	2.1875	-13.24
-24.198	4.5704	-13.741
-26.626	2.1129	-13.218
-25.313	2.8227	-13.909
-41.718	-8.6234	11.129
-23.469	-11.959	-14.346
-28.06	-11.85	14.402
-19.783	7.9532	3.8355
-41.479	-2.4527	17.51
-29.005	2.8931	-28.243
-29.921	-9.0534	-28.751
-42.083	-8.6225	11.252
-25.883	-13.169	0.82086
-25.4	-14.269	1.2207
-30.658	0.29174	2.4501
-40.221	-0.045592	-10.521
-29.9	-9.0601	-28.708
-23.961	1.8781	22.039
-24.203	4.0408	-13.666
-29.919	-8.9156	-28.02
-24.186	-11.473	-13.97
-29.902	-9.0579	-28.729
-27.602	4.7739	23.86
-41.786	-1.9253	17.342
-30.54	-12.573	-5.9873
-23.266	-11.744	-14.353
-29.009	2.9108	-28.235
-26.658	-1.7642	30.184
-27.35	-11.868	11.336
-28.687	-7.7307	-13.374
-32.12	4.4524	-7.9136
-28.258	-11.819	13.663
-25.77	2.5437	-13.829
-24.18	-11.51	-13.98
-26.415	-7.496	11.269
-29.892	-9.0523	-28.658
-29.73	0.56712	3.3148
-28.989	-6.5491	3.8935
-32.723	7.748	8.6693
-23.13	-15.244	-1.2738
-27.673	-12.742	11.732
-31.16	-11.847	-6.4428
-31.349	-11.552	-6.9955
-24.541	-5.5561	23.134
-38.511	-7.3723	-7.9237
-24.5	6.8689	0.079161
-27.928	-6.6285	3.2165
-29.151	2.6597	-28.916
-40.025	-13.175	-0.51704
-40.345	-7.5963	-10.697
-25.091	8.8762	1.6103
-28.178	-14.353	4.4581
-28.887	2.5182	-28.42
-28.984	2.7264	-28.251
-40.297	-7.5675	-10.608
-23.736	-5.917	17.541
-40.535	6.7113	-2.0887
-42.093	4.317	10.618
-29.919	-8.983	-28.758
-24.257	-11.506	-13.943
-29.01	2.9094	-28.24
-25.759	-9.8889	-13.48
-29.026	2.7212	-28.215
-40.549	-0.11713	-10.95
-28.189	-14.714	4.5151
-28.551	-7.4743	3.3391
-20.454	8.0425	3.0139
-26.672	1.6696	-13.764
-27.12	-7.2184	24.794
-41.914	-0.91553	16.865
-27.224	8.6969	11.762
-26.221	-2.2749	30.131
-27.405	-7.816	24.007
-27.29	-5.8787	3.1385
-29.889	-9.0391	-28.706
-37.195	-7.2753	-6.1235
-24.304	-11.557	-13.914
-27.765	-11.455	11.385
-26.134	8.712	11.572
-29.152	-12.027	12.236
