		frames = 178 markers = 13 Hz = 30
-33.463	-11.761	-1.629
-38.28	1.0002	-31.463
-29.628	-6.0507	-17.337
-38.32	0.94749	-31.493
-34.576	1.1742	-17.4
-36.302	-5.4293	-17.364
-29.789	-0.85732	0.93372
-30.571	-10.403	23.281
-33.776	-13.699	-0.25488
-29.567	-1.2337	1.0009
-35.429	-11.438	8.6353
-35.571	1.1399	0.89712
-35.169	11.186	7.1818
-34.325	8.4213	21.162
-38.103	-4.5951	-31.567
-38.448	1.078	-32.063
-31.869	-4.4441	-32.206
-36.034	-5.7107	-17.412
-35.287	8.905	-2.3736
-30.262	-23.925	26.555
-29.587	0.90199	-17.301
-28.092	-3.948	28.929
-28.45	11.257	-1.0608
-39.125	2.0406	-31.79
-38.458	1.1129	-32.1
-32.014	13.527	-0.41438
-38.457	1.1052	-32.093
-35.567	-5.8608	0.88632
-31.834	10.83	8.1151
-34.632	8.9236	21.149
-33.855	0.10629	29.033
-31.864	-4.438	-32.203
-32.133	2.4256	-17.606
-34.431	-13.928	9.9855
-30.275	-9.4841	25.303
-36.295	-8.8939	22.393
-29.337	-0.94146	0.94362
-29.453	1.0529	-17.122
-34.579	1.1784	-17.402
-31.571	-1.059	29.204
-35.283	-11.616	8.4754
-38.661	-4.4805	-32.419
-32.835	12.301	-1.7323
-38.461	1.0782	-32.144
-38.201	1.0669	-31.287
-38.272	1.0239	-31.449
-32.198	10.311	8.0985
-33.897	-3.6252	0.77552
-23.563	-21.883	10.634
-35.031	2.3237	0.83142
-35.445	-11.513	8.636
-30.19	-23.896	26.57
-34.714	-4.0965	0.95162
-27.93	-1.8418	28.818
-30.574	0.67749	0.87552
-30.956	-23.57	27.42
-22.977	-22.596	13.003
-29.868	4.0422	21.135
-29.511	-1.2503	0.96372
-34.572	1.1807	-17.401
-33.709	3.011	0.59062
-30.767	-1.8053	29.215
-32.607	-20.999	13.979
-32.864	2.5114	-17.478
-31.799	7.1536	21.531
-22.797	-23.882	30.99
-35.524	1.082	0.88282
-34.048	-7.43	21.61
-34.998	-12.817	9.6162
-33.257	8.3601	7.8355
-34.014	8.3526	21.163
-29.183	-6.2025	-17.273
-34.711	-13.664	-0.87278
-35.633	-5.8788	0.88992
-38.476	1.1615	-32.157
-35.127	9.2155	-2.5629
-38.672	-4.487	-32.39
-28.73	11.214	-1.0622
-38.071	1.0558	-31.068
-28.062	-3.9252	28.914
-30.127	-5.1398	-17.275
-31.888	-4.4591	-32.231
-28.96	-7.8392	0.96432
-33.432	12.599	8.9208
-31.781	8.2047	-1.6855
-32.947	2.8012	0.70422
-35.25	-11.498	9.0596
-31.057	-5.4883	-17.108
-35.309	8.909	-2.3764
-33.523	1.9526	-17.42
-36.108	6.0609	21.265
-31.35	13.088	-0.40238
-34.805	-13.317	-0.68558
-28.455	4.5648	20.45
-29.667	0.84639	-17.276
-31.517	10.437	7.5983
-34.665	-13.49	-1.0391
-33.037	7.8742	21.273
-36.303	-8.8946	22.397
-34.785	-1.6188	29.162
-30.232	-24.964	24.879
-27.457	-21.067	4.598
-30.653	9.1509	-1.3975
-36.111	-7.2134	22.537
-29.144	-7.9466	0.95062
-34.676	-13.535	-0.93778
-31.852	-4.418	-32.2
-35.337	-11.658	8.4584
-35.08	-8.7648	8.5204
-31.863	-4.4474	-32.209
