level_0	level_1	frames = 139 markers = 13 Hz = 30
-49.696	1.0336	25.639
-53.052	-5.7441	18.648
-52.152	8.0086	18.064
-52.824	-7.7997	5.5655
-51.909	10.233	5.0189
-52.674	-8.9593	-2.0054
-51.769	11.489	-2.5288
-53.039	-2.286	-1.5032
-52.862	5.382	-1.4992
-52.978	-1.3262	-18.146
-54.196	4.4514	-18.092
-55.394	-0.31942	-31.857
-55.305	3.6483	-31.992
-49.566	1.0122	25.642
-52.942	-5.7545	18.629
-52.002	7.9936	18.075
-52.73	-7.8488	5.5521
-52.034	10.183	5.0222
-52.59	-9.0312	-2.0153
-52.019	11.399	-2.5331
-53.019	-2.3275	-1.5052
-52.845	5.3407	-1.4862
-53.134	-1.3435	-18.146
-54.036	4.4479	-18.092
-55.4	-0.30314	-31.88
-55.297	3.6504	-31.979
-49.677	0.8828	25.658
-52.764	-5.9171	18.682
-51.896	7.8381	18.068
-52.61	-7.9378	5.5922
-52.116	10.177	5.0425
-52.504	-9.0773	-1.9823
-52.132	11.439	-2.5056
-52.766	-2.2921	-1.4689
-52.785	5.3779	-1.4692
-52.906	-1.2314	-18.105
-54.006	4.4716	-18.072
-55.213	-0.17879	-31.831
-55.29	3.6563	-31.956
-49.591	0.80248	25.66
-52.607	-5.9847	18.689
-51.748	7.7919	18.159
-52.472	-8.0272	5.6026
-52.139	10.208	5.1518
-52.376	-9.1792	-1.97
-52.056	11.413	-2.4055
-52.763	-2.3452	-1.4724
-52.754	5.3249	-1.4516
-52.923	-1.303	-18.109
-53.984	4.4407	-18.055
-55.308	-0.25096	-31.823
-55.275	3.6448	-31.939
-49.497	0.74885	25.664
-52.456	-6.0655	18.715
-51.647	7.7272	18.208
-52.325	-8.062	5.6218
-52.218	10.257	5.2293
-52.232	-9.1873	-1.9549
-51.826	11.32	-2.3395
-52.719	-2.3759	-1.4604
-52.695	5.294	-1.4223
-52.815	-1.3054	-18.096
-53.951	4.4192	-18.024
-55.273	-0.21657	-31.794
-55.264	3.6313	-31.907
-49.318	0.77682	25.64
-52.285	-6.0705	18.711
-51.481	7.7176	18.157
-52.164	-8.0804	5.6197
-52.344	10.496	5.2452
-52.076	-9.2139	-1.9558
-51.407	11.344	-2.3035
-52.843	-2.4738	-1.4978
-52.684	5.1943	-1.4207
-52.767	-1.3794	-18.132
-53.947	4.3781	-18.025
-55.274	-0.21459	-31.814
-55.267	3.6431	-31.91
-49.249	0.691	25.634
-52.19	-6.1651	18.7
-51.324	7.6245	18.188
-52.019	-8.1478	5.6047
-52.653	10.646	5.3712
-51.902	-9.2653	-1.9728
-50.916	11.18	-2.0635
-52.785	-2.5006	-1.4989
-52.634	5.1675	-1.4029
-52.596	-1.41	-18.132
-53.925	4.3711	-18.006
-55.261	-0.24115	-31.784
-55.267	3.6513	-31.89
-49.149	0.51272	25.59
-52.075	-6.3273	18.658
-51.181	7.4586	18.136
-51.842	-8.2517	5.5556
-53.019	10.966	5.5073
-51.689	-9.3347	-2.0263
-50.309	11.368	-1.6387
-52.797	-2.5556	-1.5118
-52.664	5.113	-1.437
-52.441	-1.4485	-18.141
-53.945	4.3515	-18.043
-55.269	-0.26475	-31.759
-55.276	3.6591	-31.929
-49.074	0.32484	25.563
-51.912	-6.4959	18.642
-51.059	7.3074	18.171
-51.665	-8.3551	5.53
-53.319	11.192	5.7231
-51.504	-9.4003	-2.0571
-49.278	11.297	-0.77538
-52.869	-2.5849	-1.5128
-52.562	5.0784	-1.4115
-52.306	-1.5259	-18.14
-53.898	4.3513	-18.014
-55.294	-0.30258	-31.72
-55.281	3.6921	-31.897
-49.02	0.067597	25.483
-51.725	-6.7325	18.569
-50.992	7.0944	18.157
-51.489	-8.5291	5.4485
-53.785	11.18	5.8843
-51.334	-9.5369	-2.1437
-48.37	11.284	0.47692
-52.839	-2.6629	-1.4934
-52.647	5.0047	-1.4683
-52.071	-1.5644	-18.109
-53.831	4.3414	-18.085
-55.282	-0.36355	-31.641
-55.293	3.7054	-31.961
-49.151	-0.27162	25.372
-51.654	-7.0491	18.505
-51.044	6.7976	18.097
-51.379	-8.679	5.3631
-54.326	11.316	6.1017
-51.197	-9.5868	-2.2411
-47.527	11.504	2.5921
-52.715	-2.6791	-1.4809
-52.454	4.9861	-1.5545
-51.773	-1.6081	-18.09
-53.491	4.3719	-18.183
-55.249	-0.40881	-31.556
-55.291	3.7251	-32.017
-49.275	-0.31244	25.327
-51.497	-7.1163	18.472
-50.996	6.7329	18.101
-51.179	-8.8663	5.3464
-54.343	11.633	6.2763
-50.952	-9.8261	-2.2503
-46.769	11.838	5.1911
-52.733	-2.8969	-1.5662
-52.247	4.7575	-1.5175
-51.517	-1.7857	-18.155
-52.97	4.314	-18.167
-55.252	-0.43566	-31.537
-55.252	3.7615	-31.934
-49.494	-0.56043	25.172
-51.402	-7.3617	18.412
-50.896	6.5183	18.172
-51.123	-8.9997	5.2717
-53.847	11.894	6.4506
-50.867	-9.8491	-2.337
-46.368	12.167	8.0522
-52.603	-3.0432	-1.6711
-52.058	4.6061	-1.5304
-51.214	-1.8072	-18.237
-52.31	4.3352	-18.197
-55.123	-0.34541	-31.557
-55.216	3.8256	-31.847
-49.662	-0.80339	24.998
-51.392	-7.6301	18.214
-50.746	6.2516	18.248
-51.067	-9.2937	5.0771
-52.792	12.434	6.7341
-50.672	-10.058	-2.5347
-46.334	12.422	10.84
-52.416	-3.2178	-1.7316
-51.86	4.4305	-1.5789
-51.044	-1.8934	-18.292
-51.426	4.3709	-18.242
-55.142	-0.39715	-31.551
-55.106	3.8571	-31.704
-49.731	-1.1485	24.811
-51.351	-7.9386	18.013
-50.508	5.9241	18.21
-51.065	-9.6707	4.885
-51.309	13.589	7.4595
-50.498	-10.294	-2.7288
-46.537	12.649	13.369
-52.167	-3.3473	-1.7786
-51.696	4.3077	-1.6821
-50.88	-1.9776	-18.342
-50.601	4.5205	-18.313
-55.273	-0.54979	-31.515
-54.938	3.9358	-31.575
-49.588	-1.4408	24.652
-51.116	-8.2343	17.861
-50.279	5.6658	18.444
-51.075	-10.109	4.7486
-50.059	14.865	8.9424
-50.361	-10.56	-2.865
-46.891	12.701	15.565
-52.051	-3.5255	-1.8322
-51.554	4.1284	-1.7927
-50.716	-2.0607	-18.384
-49.051	4.6942	-18.261
-55.275	-0.58686	-31.495
-54.57	4.1284	-31.076
-49.495	-1.8647	24.532
-50.935	-8.5257	17.703
-50.028	5.3749	18.69
-51.18	-10.601	4.623
-49.975	16.016	10.834
-50.245	-10.849	-2.9766
-47.593	13.031	17.466
-51.941	-3.6886	-1.837
-51.357	3.9592	-1.7817
-50.688	-2.1387	-18.387
-47.723	4.908	-18.02
-55.272	-0.59687	-31.481
-53.894	4.0729	-30.52
-49.283	-2.3572	24.423
-50.606	-8.8145	17.594
-49.693	5.0799	18.952
-51.247	-11.057	4.5557
-49.523	16.701	12.638
-50.135	-11.094	-3.0241
