		frames = 139 markers = 13 Hz = 30
-24.834	-4.1117	-0.066776
-24.391	7.9832	20.954
-21.965	-8.3922	19.954
-14.187	-14.769	8.0466
-25.03	5.2549	-16.769
-22.942	9.3071	7.4702
-23.711	-4.459	-0.41968
-25.388	5.306	-16.122
-18.976	-11.369	10.32
-14.255	9.5769	15.186
-20.342	0.094337	28.782
-22.729	12.284	8.734
-18.507	-11.383	0.83922
-25.129	11.379	7.8182
-24.785	5.2986	-16.713
-23.203	-5.5178	20.912
-25.658	-10.468	8.8217
-22.75	9.2611	7.4291
-16.21	-8.7533	15.471
-18.501	7.2226	20.0
-22.582	-7.0416	20.871
-22.163	-8.387	7.5016
-25.786	-4.1022	-31.16
-18.944	-0.98229	28.584
-18.965	12.603	7.3947
-21.192	-7.5852	21.192
-23.92	3.6346	0.16932
-25.841	-3.9061	-30.977
-25.037	-4.0401	-16.766
-25.041	-4.0445	-16.773
-23.953	-11.785	9.0991
-19.313	-13.065	7.2155
-24.262	5.2381	-16.39
-22.645	-8.4981	20.667
-25.464	6.0257	-30.684
-24.404	5.1196	-16.667
-19.596	7.367	20.607
-22.301	-8.3922	7.4916
-25.43	5.2819	-16.079
-23.838	-5.4483	20.8
-19.34	-1.9711	27.716
-22.133	-8.4044	7.5002
-22.603	-7.7222	20.947
-23.493	7.8225	20.88
-22.733	-12.324	9.0812
-19.272	12.535	7.0555
-24.625	5.3421	-16.06
-22.257	-8.3903	7.4891
-24.727	-4.509	-0.28308
-22.613	10.546	-2.2911
-25.168	5.1406	-16.304
-24.414	4.5893	-0.51218
-18.921	6.8863	12.118
-25.201	-11.162	-1.8027
-9.8192	-8.4127	10.823
-23.194	4.2731	-0.35628
-24.987	-4.04	-16.722
-24.253	-4.0618	-0.52398
-23.314	4.2961	-0.51398
-24.962	4.0477	-0.12078
-18.162	-6.8723	19.19
-22.661	-5.6255	21.168
-20.159	-9.8246	3.1697
-25.634	-4.1213	-16.249
-22.811	10.171	-2.3143
-12.812	-9.4181	8.458
-24.94	5.2725	-16.72
-25.98	-10.428	8.9381
-24.248	5.2555	-16.356
-22.55	1.1156	28.99
-25.315	5.3224	-16.093
-23.194	4.3493	-0.23548
-13.405	0.090507	26.118
-22.752	9.5724	7.4463
-22.818	9.3532	7.463
-29.367	-11.147	10.978
-15.51	10.415	2.3562
-22.782	9.3067	7.4302
-23.52	8.0729	20.632
-25.847	-3.8888	-31.204
-19.613	-11.339	-0.18438
-14.963	-13.018	6.2387
-25.09	5.0094	-16.269
-25.785	-4.1084	-30.947
-22.893	-8.261	21.18
-23.092	4.3234	-0.13578
-17.349	-9.8952	18.577
-22.676	-5.4136	20.856
-25.85	-3.8502	-31.238
-25.209	-4.6669	-16.606
-22.24	-10.486	-2.0545
-16.32	6.7377	17.892
-25.163	-4.4653	-16.484
-16.726	8.5175	17.729
-24.637	4.8341	-16.024
-23.079	-5.4366	20.872
-20.559	6.0664	20.898
-25.667	5.9134	-31.166
-17.074	-6.7329	18.169
-16.911	8.5605	17.81
-22.876	9.2285	7.4322
-20.097	-0.671	28.476
-24.172	-4.0707	-0.49828
-23.074	10.22	7.9026
-25.089	-4.049	-16.76
-18.023	-6.1319	18.842
-25.072	5.1981	-15.979
-29.182	9.7	9.9269
-23.623	8.0493	20.58
-24.82	-5.1197	-0.41808
-25.461	6.0303	-30.522
-26.164	-4.1336	-0.041976
-26.057	-3.9823	-31.19
-24.649	4.4956	-0.57388
-25.035	-4.0323	-16.766
-25.571	5.9885	-30.718
-25.514	-5.6307	-0.31138
-24.902	-4.0183	-16.731
-19.022	12.496	6.9173
-19.892	13.572	7.8875
-25.0	-4.0473	-16.728
-22.675	-6.5869	20.952
-26.084	-4.112	-31.191
-24.431	-4.1519	-0.56948
-15.593	-14.659	9.1922
-20.615	0.72522	28.813
-22.606	10.524	-2.2799
-25.707	5.901	-31.245
-19.082	-9.7494	2.3225
-22.76	-7.9145	21.026
-28.88	10.063	9.8902
-25.667	5.9116	-31.167
-19.239	-13.25	7.2747
-21.191	10.041	1.5602
-24.365	7.9801	21.004
-25.571	5.9602	-30.927
-24.901	4.5524	-0.62728
-22.624	-6.0805	20.893
-23.187	7.4438	21.006
-23.005	4.2436	-0.12128
-25.111	4.6676	-16.238
-23.719	-5.4481	20.802
-25.684	5.9109	-31.159
-25.808	-4.0182	-31.115
-25.519	6.121	-30.583
-24.993	5.3179	-16.714
-18.347	-16.033	9.5191
-24.32	5.317	-16.206
-24.834	5.3131	-16.725
-13.198	-9.84	14.391
-19.1	15.191	8.7476
-25.787	2.8445	-0.51128
-22.182	-8.3774	7.498
-24.976	-10.29	8.5334
-21.435	-11.62	-0.96138
-25.24	-10.535	8.7461
-24.838	5.3047	-16.694
-23.811	-5.4384	20.795
-25.067	-4.0347	-16.749
-25.376	4.2905	-0.57698
-25.578	-4.3927	-16.688
-25.176	4.4183	-16.314
-24.998	5.3478	-16.047
-25.81	-3.9135	-30.988
-24.15	-4.08	-0.53018
-19.037	6.3245	20.559
-22.774	5.4041	20.605
-19.683	-0.99371	28.241
-23.963	-5.47	20.797
-16.337	0.32884	28.012
-25.674	5.9056	-31.164
-25.791	-4.0373	-30.772
-23.7	-5.438	20.813
-24.202	4.624	-0.53608
-25.45	6.0306	-30.502
-25.128	2.4515	-0.17198
-16.114	-15.943	10.107
-25.848	-3.8817	-31.212
-25.029	-4.0319	-16.756
-25.209	-4.5844	-16.62
-16.175	-9.4348	17.839
-23.844	-5.4567	20.8
-21.856	-11.036	-1.584
-24.851	3.1958	-0.18928
-19.413	-1.5014	27.904
-22.142	-8.4014	7.5002
-25.668	5.8972	-31.175
-25.544	-10.502	8.8006
-25.375	6.1142	-30.697
-25.786	-11.024	-1.6914
-24.725	4.061	0.16192
-25.124	-10.417	8.6696
-18.01	-6.7919	19.309
-23.015	10.238	-2.2718
-14.259	-13.003	6.1319
-28.829	-10.471	10.791
-15.321	5.4436	12.962
-21.317	10.212	-0.097776
-25.788	-4.103	-31.068
-25.819	-4.0205	-31.103
-23.534	-9.016	7.5581
-29.091	-10.806	10.804
-20.59	-9.9582	3.7505
-22.746	5.4366	20.668
-18.854	7.2833	20.258
-25.852	-3.8664	-31.207
-25.066	-4.6143	-16.363
-24.36	5.1564	-16.671
-16.441	-11.143	3.1345
-25.846	-3.9686	-31.491
-20.397	-0.56485	28.686
-19.386	-9.7549	2.3047
-25.7	5.9142	-31.29
-24.957	-4.0398	-16.674
-17.075	-6.8037	18.335
-29.498	-11.606	11.123
-23.53	1.4057	28.603
-21.205	0.38321	28.982
-25.676	5.9112	-31.188
-23.711	-5.433	20.942
-23.139	1.2375	28.808
-23.974	-4.3098	-0.34898
-23.133	1.7173	28.287
-25.406	-4.9561	-16.818
-24.629	4.5007	-0.57698
-7.8638	-8.001	11.231
-25.095	5.2913	-16.825
-25.844	-3.8513	-31.238
-25.031	5.2745	-16.765
-24.917	-4.0231	-16.726
-25.085	-5.9846	-0.37458
-28.125	-10.456	10.675
-25.673	5.8983	-31.174
-22.259	10.469	-2.0088
-25.858	-3.9638	-31.209
-23.013	1.3756	28.858
-22.834	10.317	-2.2762
-14.016	-0.30138	26.693
-13.151	6.6638	11.922
-25.681	5.8942	-31.17
-20.99	7.4599	21.002
-19.053	-7.3611	19.864
-25.806	-4.0722	-30.83
-25.815	-4.029	-31.086
-23.207	1.2669	28.783
-17.454	-6.3604	18.306
-25.816	-3.9436	-30.945
-22.81	1.4546	28.963
-24.693	-4.2233	-16.599
-24.891	-4.1369	-16.492
-20.03	14.471	10.363
-28.973	9.8828	9.9229
-28.527	9.7096	9.9348
-22.737	5.5237	20.691
-25.459	6.0886	-30.448
-24.915	5.1218	-16.238
-24.778	5.3086	-16.706
-22.674	1.1374	28.981
-18.538	-10.902	1.7741
-25.721	-6.159	-0.69278
-25.432	5.3071	-16.112
