level_0	level_1	frames = 100 markers = 13 Hz = 30
-30.429	5.4592	-29.153567310769233
-32.857	12.041	-20.79756731076923
-31.589	-1.5415	-20.73356731076923
-33.274	13.417	-7.914067310769231
-33.628	-5.6135	-8.76056731076923
-33.609	13.813	2.236532689230769
-32.595	-6.5811	1.298532689230769
-32.635	8.1535	-0.08696731076923148
-32.59	-0.44937	-0.09146731076923142
-33.255	8.0539	16.17943268923077
-33.392	-1.4124	16.140432689230767
-33.834	7.9556	30.97343268923077
-34.11	-2.2613	30.910432689230767
-30.48	5.1108	-29.147567310769233
-32.885	11.772	-20.810567310769233
-31.694	-1.8208	-20.699567310769233
-33.568	13.044	-7.957067310769231
-33.569	-5.5682	-8.582167310769231
-33.955	13.507	2.189232689230769
-31.801	-7.0494	1.3092326892307689
-32.614	8.0195	-0.045667310769231584
-32.504	-0.58273	-0.06246731076923151
-33.101	7.9855	16.225432689230768
-33.204	-1.4901	16.17643268923077
-33.852	7.9481	31.01243268923077
-34.116	-2.2563	30.940432689230768
-30.588	4.8378	-29.132567310769232
-32.945	11.55	-20.810567310769233
-31.801	-2.0544	-20.66956731076923
-33.801	12.9	-7.993167310769231
-33.444	-6.0996	-8.583067310769232
-34.459	13.497	2.132132689230769
-31.571	-7.8434	1.245532689230768
-32.593	7.8692	-0.010067310769231508
-32.433	-0.73235	-0.024267310769231498
-33.091	7.9455	16.26043268923077
-33.171	-1.5505	16.218432689230767
-33.851	8.007	31.04643268923077
-34.119	-2.2371	30.983432689230767
-30.638	4.6104	-29.103567310769233
-32.994	11.346	-20.782567310769235
-31.851	-2.2589	-20.630567310769234
-33.757	12.681	-7.948067310769231
-33.46	-6.2669	-8.52426731076923
-34.556	13.357	2.1619326892307686
-31.668	-8.0597	1.3106326892307683
-32.581	7.7023	0.024532689230768456
-32.39	-0.89856	0.018332689230768473
-33.084	7.8689	16.294432689230767
-33.156	-1.6224	16.26343268923077
-33.849	8.0118	31.079432689230764
-34.128	-2.225	31.03143268923077
-30.7	4.3968	-29.088567310769232
-33.024	11.146	-20.764567310769234
-31.845	-2.4529	-20.610567310769234
-33.671	12.503	-7.912867310769231
-33.347	-6.378	-8.453267310769231
-34.618	13.284	2.176632689230769
-31.784	-8.2291	1.4099326892307686
-32.57	7.5347	0.05113268923076841
-32.382	-1.0662	0.03643268923076848
-33.083	7.7924	16.319432689230766
-33.147	-1.6934	16.285432689230767
-33.856	8.0186	31.103432689230765
-34.121	-2.2082	31.057432689230765
-30.719	4.1743	-29.127567310769233
-33.068	10.906	-20.812567310769232
-31.843	-2.6976	-20.668567310769234
-33.647	12.302	-7.954767310769231
-33.161	-6.498	-8.431967310769231
-34.731	13.178	2.1127326892307687
-31.847	-8.3403	1.4691326892307683
-32.56	7.4186	0.052032689230768536
-32.385	-1.1824	-0.013667310769231555
-33.076	7.7396	16.319432689230766
-33.058	-1.6654	16.244432689230766
-33.855	8.0241	31.102432689230767
-33.948	-2.0499	31.026432689230766
-30.761	3.9782	-29.168567310769234
-33.091	10.75	-20.883567310769234
-31.802	-2.8639	-20.73056731076923
-33.536	12.26	-8.018067310769231
-32.98	-6.5632	-8.43506731076923
-34.598	13.247	2.041332689230769
-31.894	-8.3628	1.5013326892307688
-32.54	7.29	0.03193268923076853
-32.389	-1.3113	-0.05826731076923153
-33.069	7.6881	16.296432689230766
-33.056	-1.7291	16.20243268923077
-33.856	8.0436	31.07743268923077
-33.943	-2.0538	30.98543268923077
-30.752	3.9124	-29.153567310769233
-33.083	10.711	-20.892567310769234
-31.775	-2.9136	-20.735567310769234
-33.491	12.27	-8.027167310769231
-32.812	-6.5595	-8.395967310769231
-34.434	13.266	2.0430326892307686
-31.913	-8.3308	1.5642326892307687
-32.507	7.1433	0.010532689230768444
-32.387	-1.4589	-0.03076731076923145
-33.051	7.6194	16.27243268923077
-33.055	-1.8002	16.23143268923077
-33.854	8.0467	31.051432689230765
-33.944	-2.0546	31.015432689230764
-30.736	3.799	-29.155567310769232
-33.074	10.607	-20.91656731076923
-31.784	-3.023	-20.735567310769234
-33.561	12.352	-8.08606731076923
-32.978	-6.3141	-8.333267310769232
-34.258	13.401	1.9985326892307682
-32.421	-7.8158	1.6969326892307686
-32.477	7.0924	-0.0034673107692315686
-32.35	-1.5097	-0.01846731076923147
-33.033	7.5858	16.257432689230768
-33.039	-1.8187	16.24343268923077
-33.847	8.0282	31.035432689230767
-33.943	-2.0441	31.027432689230764
-30.821	3.6761	-29.129567310769232
-33.075	10.524	-20.895567310769234
-31.812	-3.1027	-20.693567310769232
-33.62	12.408	-8.091967310769231
-32.885	-6.3863	-8.264967310769231
-33.827	13.426	2.0175326892307686
-32.395	-7.8622	1.7723326892307687
-32.477	6.9741	0.05073268923076846
-32.314	-1.6272	-0.01196731076923152
-33.036	7.5306	16.310432689230765
-33.022	-1.8714	16.250432689230767
-33.849	8.029	31.085432689230764
-33.943	-2.0389	31.033432689230764
-30.779	3.643	-29.120567310769232
-33.066	10.453	-20.888567310769233
-31.824	-3.1632	-20.66356731076923
-33.564	12.675	-8.129367310769231
-32.635	-6.5645	-8.21636731076923
-32.997	13.779	1.9587326892307686
-32.039	-8.1354	1.8009326892307687
-32.437	6.8943	0.06033268923076851
-32.272	-1.707	-0.005367310769231581
-33.014	7.4942	16.317432689230767
-33.002	-1.9141	16.256432689230767
-33.846	8.0318	31.090432689230767
-33.943	-2.0476	31.038432689230767
-30.868	3.574	-29.117567310769232
-33.099	10.417	-20.874567310769233
-31.908	-3.192	-20.64356731076923
-33.728	12.802	-8.163467310769231
-32.623	-6.5949	-8.17976731076923
-32.4	13.852	1.858732689230768
-31.998	-8.2034	1.8298326892307688
-32.336	6.8151	0.05963268923076859
-32.218	-1.787	-0.0015673107692315558
-32.967	7.4551	16.313432689230766
-32.848	-1.9953	16.264432689230766
-33.847	8.0304	31.082432689230764
-33.698	-2.1272	31.051432689230765
-30.864	3.4957	-29.133567310769234
-33.096	10.332	-20.899567310769232
-31.952	-3.2809	-20.662567310769234
-33.878	12.851	-8.239167310769231
