		frames = 83 markers = 13 Hz = 30
34.422	-3.7717	-29.366
37.508	-3.1509	3.9349
33.651	7.0727	24.136
19.405	6.9819	14.59
35.412	-4.4572	-29.52
34.328	3.9288	-29.989
30.066	3.4337	3.7138
34.016	-4.1189	-13.818
32.298	-10.417	11.092
36.417	-10.436	2.0302
32.438	3.6856	3.8775
35.504	-6.5145	24.415
36.053	-3.9493	-13.525
30.32	-4.2886	20.787
34.277	3.9773	-29.879
28.286	-3.8632	17.912
12.353	12.474	22.967
27.806	-3.8998	17.513
38.38	-0.30729	2.4691
33.378	3.5435	-13.82
5.2977	6.4115	8.1906
28.668	-3.7357	18.143
32.156	-0.16859	32.267
29.255	9.0489	1.5945
34.148	-11.144	11.128
26.103	3.9965	25.253
34.464	3.521	-29.464
29.75	-5.7021	21.36
33.453	-4.7192	3.8391
33.977	8.3663	-0.34592
36.064	-3.9624	-13.6
36.622	-10.067	1.7341
34.717	-4.6847	-29.579
6.2265	7.6061	15.663
34.212	-4.1026	-13.785
24.47	5.9868	2.1476
34.689	-3.7857	-29.484
34.424	3.9382	-29.635
25.855	0.95591	24.485
41.77	-9.1233	10.718
41.572	-7.5325	10.436
34.717	-3.7075	-14.229
30.75	3.8854	3.8343
37.366	-3.0814	4.1826
32.204	-0.29189	32.268
26.087	0.88241	24.401
35.722	-7.7967	23.703
34.977	-7.96	-1.1607
21.411	6.8885	12.403
19.319	6.4486	16.715
33.662	-3.701	-14.33
22.811	1.0814	25.137
36.496	-1.4267	3.5483
34.423	3.2621	-29.46
34.766	-4.575	-29.854
40.395	-8.928	1.7279
34.422	-3.6496	-29.417
22.904	5.6959	20.906
31.664	7.7048	24.109
34.431	-3.8523	-29.425
25.723	1.3895	24.372
29.214	-3.6156	18.561
33.048	-10.711	11.107
25.746	3.2883	24.236
23.722	4.9549	2.2289
13.247	3.4225	21.583
16.609	2.072	9.8544
34.105	-8.0718	23.682
13.168	12.058	25.152
32.225	3.3681	-13.951
6.3233	6.601	5.3019
21.035	1.4114	22.167
26.471	7.1102	-16.51
36.668	-2.5345	3.8923
38.923	-9.5563	11.301
19.946	16.273	3.2744
38.482	-1.2268	2.9667
30.058	-4.845	20.997
25.76	8.5134	10.849
25.613	1.6632	24.249
39.106	-9.9444	11.724
42.617	-4.9711	9.5872
34.279	7.5322	0.28898
31.739	9.4264	1.5225
34.454	3.8088	-29.307
26.123	8.1184	1.9713
23.58	5.2575	22.673
34.629	-4.5955	-29.76
33.299	3.4981	-13.903
26.525	6.8569	-16.402
27.88	-2.5734	30.328
22.46	13.012	-5.3244
39.216	-7.4956	9.8955
38.323	-0.12639	2.3923
38.081	-10.207	10.943
32.359	3.6103	3.8499
29.182	4.8941	-15.189
26.41	4.5579	24.207
30.984	-5.1785	-14.43
35.73	-4.7835	-29.588
35.056	-3.6073	-13.867
21.114	1.33	22.316
41.628	-9.6907	11.057
27.361	-3.9132	17.204
23.641	6.1266	11.048
21.301	7.0825	18.203
38.391	-1.8153	2.9658
39.613	-6.5541	9.452
34.278	3.1318	-29.397
34.412	3.2386	-29.394
30.655	-3.1981	31.379
33.446	-1.801	31.667
34.236	4.0265	-29.841
36.145	-10.919	2.951
15.139	11.501	21.91
41.255	-10.183	11.355
34.392	3.925	-30.107
38.009	0.52071	0.73298
34.145	4.0353	-29.671
22.615	16.572	3.0493
36.396	-1.8661	3.535
29.787	-3.5131	19.231
34.098	8.2732	-0.43402
31.943	-1.3678	31.763
30.771	-9.696	10.669
23.499	3.8889	2.4299
20.535	6.8149	17.719
35.928	-3.8575	-13.728
35.001	5.9743	1.4225
34.409	3.2272	-29.378
32.747	10.214	10.302
38.668	-6.1514	23.57
34.239	4.6061	3.9028
30.349	-3.9163	20.415
34.135	7.6928	0.12528
41.299	-8.3362	1.5004
23.099	13.17	-5.667
32.898	-3.772	-14.356
26.508	7.214	-16.416
21.735	1.0404	23.346
43.502	-6.7954	1.0483
34.26	3.9766	-29.9
31.062	-4.9891	-14.411
31.963	-7.8623	24.584
33.565	7.1181	24.132
23.529	4.531	2.2613
31.172	0.70651	32.144
35.046	5.1187	2.3358
40.16	-4.4461	23.477
31.221	3.8233	3.8306
23.511	16.681	2.7059
22.65	6.1064	20.172
25.578	4.5916	25.112
32.02	-7.3867	24.65
35.841	-3.7759	-13.919
31.926	-3.9896	-14.403
22.311	0.89581	24.517
42.734	-5.5843	9.8459
26.914	6.4749	-16.234
34.145	4.0353	-29.671
36.208	-3.7746	-14.282
11.692	5.2026	29.877
30.806	-9.7541	10.687
30.788	-9.7313	10.682
29.06	-3.6862	18.431
24.465	7.3141	10.98
35.335	-4.6529	-29.186
35.502	-4.8081	-29.473
23.877	5.1437	23.525
8.5297	7.8475	13.552
30.889	-5.3285	-14.469
34.304	3.3169	-29.39
34.843	-4.6023	-29.79
38.273	1.05	1.739
32.087	3.422	-13.902
37.439	-10.443	2.4684
32.933	3.9436	-13.743
35.985	-3.414	-14.029
27.93	-3.9908	17.697
19.667	7.663	14.636
33.176	-3.6781	-14.37
34.075	9.54	10.285
42.332	-5.7766	9.6233
13.622	12.006	25.224
19.856	6.8518	17.411
34.888	-4.1685	-29.453
33.659	7.0596	24.177
35.936	-3.3323	-14.133
33.626	-1.7822	31.627
26.34	3.7816	25.496
31.719	-4.3074	-14.335
26.452	-2.3237	29.091
34.153	4.0103	-29.698
38.009	0.52071	0.73298
32.683	3.8706	3.8426
35.762	-4.8011	-29.686
30.927	-5.274	-14.451
34.123	8.269	-0.48052
23.505	4.0548	2.3493
32.116	-2.8568	31.707
34.048	7.8644	-0.015519
19.243	6.3879	16.294
20.819	1.5553	21.912
31.93	-7.8507	24.598
26.033	-2.1162	28.654
21.613	0.89601	22.977
39.69	-11.041	2.631
33.991	-4.2432	-13.919
34.88	-7.9792	23.72
32.093	-0.10039	32.251
23.327	5.0407	11.138
38.784	-8.7348	10.444
