		frames = 83 markers = 13 Hz = 30
-33.012	-13.554	1.4546
-35.329	-6.7814	-29.579
-33.453	-11.947	10.268
-25.459	0.84561	-28.803
-33.126	-13.567	1.4045
-35.406	-6.2025	-30.049
-34.709	0.65961	-29.931
-35.577	-6.497	-30.178
-34.221	-9.3256	24.398
-33.605	-2.9749	-3.9771
-34.669	0.44341	-29.95
-34.349	-6.3325	-15.153
-33.153	-11.917	10.143
-34.213	-9.3431	24.419
-33.304	-6.2913	3.0782
-17.719	28.233	-17.472
-32.356	0.84281	-15.187
-34.33	-6.3341	-15.153
-31.217	-9.6111	24.013
-33.213	5.6198	24.014
-33.027	0.61851	3.0961
-33.225	8.7556	0.85208
-33.093	5.6441	23.955
-35.462	-6.2353	-30.047
-33.352	-6.3182	3.0783
-34.155	-9.3724	24.397
-34.805	9.0443	0.89178
-16.227	10.818	3.3529
-33.794	7.7869	9.7117
-34.28	8.3335	9.8963
-32.974	9.0348	0.95378
-33.178	5.5961	24.023
-34.662	0.43441	-29.953
-34.345	-6.3316	-15.142
-33.005	0.60731	3.0714
-32.667	0.81211	3.0745
-31.872	-1.7464	31.476
-34.191	-6.1926	-15.187
-32.818	-3.5555	1.4047
-32.903	9.0489	0.99838
-32.899	0.70601	3.0708
-32.552	-9.4191	24.389
-34.666	0.42451	-29.942
-34.662	0.41911	-29.952
-33.024	0.62011	3.0707
-34.328	-6.3339	-15.146
-32.734	-13.517	1.4296
-33.96	9.3899	10.306
-32.427	0.99171	-15.17
-32.565	-1.9541	31.468
-34.649	0.41871	-29.943
-34.656	0.41981	-29.956
-34.403	8.2036	9.8628
-32.962	0.66141	3.0725
-32.62	-1.9578	31.453
-33.315	-6.3271	3.078
-30.821	8.4515	-26.902
-17.381	-10.162	-15.932
-33.744	-9.3291	24.433
-33.361	-6.3194	3.0854
-33.351	5.5882	24.058
-34.899	8.9961	0.89138
-27.852	5.0297	-14.702
-32.525	-5.0625	2.8164
-35.457	-6.2321	-30.047
-34.599	4.0309	-14.18
-31.502	5.4178	24.074
-26.38	0.63081	30.109
-35.573	-6.5618	-30.138
-34.318	-6.3102	-15.149
-34.333	-6.3349	-15.155
-35.458	-6.2352	-30.053
-18.437	17.245	-7.534
-33.594	8.5659	10.09
-33.29	-6.2768	3.08
-33.768	7.6627	9.6967
-35.41	-6.1958	-30.054
-32.961	-13.534	1.4419
-33.017	0.62461	3.0725
-34.137	-9.3325	24.427
-32.762	-13.55	1.4683
-16.108	29.076	-16.108
-33.328	5.56	24.017
-19.099	15.453	-12.473
-32.913	0.69541	3.0726
-25.569	-6.7425	-15.534
-34.302	-6.2811	-15.144
-30.373	-12.408	9.9057
-28.481	14.356	1.3796
-33.027	-13.551	1.445
-29.723	-13.562	1.21
-25.579	-10.799	-5.0626
-32.778	0.68081	3.0614
-33.009	0.60841	3.0713
-34.672	0.53001	-29.798
-33.316	-6.3288	3.0781
-35.321	3.39	-0.42622
-19.41	26.599	-17.266
-32.862	0.73881	3.0797
-32.557	0.79461	-15.162
-32.603	-13.554	1.4528
-21.492	-10.651	-11.028
-34.316	4.187	-15.379
-34.379	7.6452	9.7712
-34.102	8.4909	9.9455
-32.974	4.6204	-28.628
-15.901	-9.7782	-16.892
-34.198	-6.3407	-15.169
-23.844	17.322	-18.19
-33.861	8.3786	9.8465
-31.75	-9.6036	24.162
-34.024	8.7631	0.89968
-32.935	-6.2632	3.0478
-30.547	7.1004	-28.026
-32.992	0.60681	3.0674
-19.485	1.2576	5.0402
-26.328	10.853	19.543
-32.583	0.77571	-15.158
-33.347	-6.3187	3.0863
-32.444	-3.8595	2.005
-32.475	-1.8549	31.469
-33.995	9.0687	0.92498
-25.609	-11.504	-0.040819
-34.661	0.44081	-29.944
-34.657	0.41541	-29.952
-33.177	5.6429	23.951
-30.24	-13.61	1.4017
-28.691	7.2174	-14.832
-29.174	-13.43	1.0617
-29.821	-12.477	9.6538
-30.615	5.9868	23.738
-34.352	-6.3297	-15.149
-32.564	-1.8938	31.481
-33.195	5.6096	24.013
-34.972	3.9523	-12.615
-34.489	8.6418	0.90528
-35.42	-6.2006	-30.051
-20.059	25.776	-16.43
-16.536	10.632	5.4824
-35.412	-6.2077	-30.059
-35.415	-6.2043	-30.055
-34.192	8.4548	9.9265
-26.695	15.132	0.61128
-17.5	1.9008	-5.2053
-26.104	0.43001	-29.356
-20.539	0.43841	9.6686
-32.891	-9.3836	24.407
-34.664	0.43931	-29.943
-35.407	-6.2032	-30.053
-33.322	-6.3306	3.0864
-34.156	7.4942	9.8138
-33.558	8.9856	0.81768
-32.549	5.6655	24.034
-33.023	0.61511	3.0931
-19.8	-8.2981	-17.366
-33.831	-3.2281	-0.65172
-33.782	-11.995	10.244
-32.337	-1.8284	31.483
-33.614	2.2622	2.2749
-31.8	5.4215	24.117
-17.887	1.9252	-2.426
-34.25	-9.3832	24.319
-31.042	1.7636	-15.108
-34.05	8.4248	9.9055
-32.572	0.78121	-15.166
-32.773	-6.0427	3.0397
-32.73	-13.51	1.4359
-23.009	16.232	-1.9339
-25.28	0.57291	-28.896
-33.229	5.6209	24.007
-33.697	4.2429	-18.02
-33.328	-9.3563	24.404
-34.349	-6.3294	-15.142
-34.671	0.44281	-29.941
-32.108	-1.798	31.482
-24.078	18.832	-19.18
-32.991	0.64051	3.0722
-13.986	20.431	-20.931
-33.933	-9.3417	24.433
-21.413	5.9693	23.282
-33.728	8.7217	10.215
-34.039	8.3608	9.8836
-32.579	0.78781	-15.165
-33.236	8.9889	0.86638
-33.499	-11.996	10.155
-35.992	3.5039	-4.7787
-32.947	0.67261	3.0742
-12.462	21.896	-21.092
-34.509	9.1069	0.90148
-32.582	0.78901	-15.155
-32.459	0.80401	-15.182
-32.551	-1.9213	31.486
-32.476	0.81431	-15.174
-34.153	-9.3266	24.422
-33.255	-6.1969	3.0879
-34.338	-6.3444	-15.146
-32.534	-1.8406	31.47
-32.519	0.78911	-15.175
-35.409	-6.192	-30.06
-32.848	0.66721	3.0618
-34.342	-6.3311	-15.141
-32.248	0.87481	-15.189
-35.415	-6.1966	-30.059
-30.953	-2.0345	-16.239
-32.833	-13.517	1.4208
-19.971	16.074	-7.4342
-35.426	-6.479	-30.101
-35.454	-6.2328	-30.044
-28.963	-8.0066	23.314
-32.305	0.85661	-15.188
-32.453	-13.45	1.3199
-32.422	0.85291	-15.179
-34.332	-6.3379	-15.145
-23.871	18.138	-18.606
-33.04	10.603	1.4224
-34.242	8.4083	9.9224
-27.701	-6.1426	23.041
-33.094	-6.2878	3.0746
-33.896	8.3557	9.8156
-32.54	0.78521	-15.159
-17.673	-0.06939	-17.048
-25.463	0.95781	-28.859
-32.985	-13.554	1.4588
-33.402	9.1938	0.99798
-32.464	0.79491	-15.18
-33.648	-9.3243	24.419
-35.513	-6.329	-30.107
-35.412	-6.1955	-30.053
-27.399	-12.765	0.89888
-33.32	-6.3281	3.0814
-22.53	-10.604	-9.1234
-33.672	-12.012	10.242
-34.661	0.43251	-29.952
-34.68	0.59921	-29.703
-26.825	9.9472	-15.776
-33.354	5.5837	24.09
-32.158	5.6281	24.132
-18.411	1.8011	-0.95182
-34.334	-6.3283	-15.156
-35.414	-6.1949	-30.061
-33.76	7.6443	9.687
-34.046	8.8307	0.77418
-34.328	-6.2795	-15.153
-15.812	29.108	-16.098
-35.561	3.732	-9.536
-34.66	0.41981	-29.942
-26.42	10.657	-16.038
-32.462	0.79541	-15.18
-32.991	0.61041	3.0675
-34.283	-9.3516	24.393
-34.302	-6.2801	-15.142
-33.742	2.5759	2.086
-24.295	19.445	-19.482
-34.304	-6.3423	-15.146
-33.324	8.9229	0.82508
-34.117	8.8614	0.78728
-33.77	7.6486	9.692
-31.586	12.527	1.7995
-34.328	-6.3293	-15.149
-23.089	13.559	10.493
-23.904	-2.4185	18.509
-11.668	22.578	-20.792
-31.063	-1.7285	31.481
-34.025	8.4673	9.9338
-33.342	-6.3137	3.0801
-27.156	-0.34009	30.435
-33.13	5.6554	23.956
-34.326	-6.3245	-15.152
-29.589	2.5855	-15.082
-34.782	1.2345	-29.565
-34.288	-9.3533	24.389
-33.025	-13.56	1.45
-21.698	-0.96939	14.746
-12.083	0.79521	-21.79
-33.759	7.6844	9.7004
-32.379	-4.7555	2.775
-34.657	0.43231	-29.955
-23.983	16.509	-18.008
-33.228	5.6195	23.993
-29.562	-2.0116	31.186
