level_0	level_1	frames = 210 markers = 13 Hz = 30
-26.51627326007325	5.2388	30.882
-25.271273260073244	12.086	23.185
-25.297273260073247	-2.3809	24.016
-25.840273260073246	13.823	8.9532
-26.807273260073245	-4.5761	9.9277
-26.228273260073244	14.933	-0.42901
-27.777273260073244	-5.9876	0.63979
-26.199273260073248	7.3125	2.4406
-25.92127326007325	0.31244	2.4453
-26.463273260073244	7.1259	-15.671
-24.847273260073244	1.1381	-15.621
-24.49127326007325	6.6255	-30.55
-23.978273260073244	1.8417	-30.603
-26.539273260073244	5.249	30.878
-25.27227326007325	12.095	23.186
-25.30227326007325	-2.3731	24.019
-25.835273260073244	13.831	8.9535
-26.812273260073248	-4.564	9.93
-26.218273260073246	14.94	-0.42891
-27.782273260073246	-5.9725	0.64159
-26.201273260073243	7.3203	2.4405
-25.928273260073247	0.32	2.4437
-26.47627326007325	7.1304	-15.671
-24.987273260073245	1.055	-15.633
-24.492273260073247	6.6257	-30.548
-23.977273260073247	1.8408	-30.603
-26.56427326007325	5.2608	30.874
-25.267273260073246	12.097	23.175
-25.30527326007325	-2.3677	24.013
-25.829273260073244	13.835	8.9432
-26.821273260073248	-4.5524	9.9243
-26.21127326007325	14.946	-0.43911
-27.79627326007325	-5.9569	0.63579
-26.20527326007325	7.3248	2.4405
-25.934273260073248	0.32446	2.4437
-26.481273260073245	7.1333	-15.671
-24.990273260073245	1.0575	-15.633
-24.493273260073245	6.627	-30.547
-23.978273260073244	1.8415	-30.603
-26.578273260073246	5.2589	30.871
-25.271273260073244	12.098	23.173
-25.306273260073247	-2.367	24.012
-25.823273260073243	13.79	8.9356
-26.828273260073246	-4.5458	9.9225
-26.199273260073248	14.869	-0.45061
-27.807273260073245	-5.9463	0.63379
-26.20527326007325	7.3265	2.4406
-25.948273260073243	0.3256	2.4453
-26.484273260073245	7.137	-15.671
-24.99727326007325	1.0583	-15.631
-24.493273260073245	6.6281	-30.547
-23.978273260073244	1.8418	-30.601
-26.600273260073244	5.2664	30.868
-25.270273260073246	12.101	23.17
-25.313273260073245	-2.3634	24.011
-25.824273260073248	13.79	8.932
-26.843273260073246	-4.5331	9.921
-26.202273260073248	14.868	-0.45421
-27.826273260073243	-5.9277	0.63189
-26.210273260073244	7.3292	2.4422
-25.953273260073246	0.32832	2.4438
-26.493273260073245	7.1388	-15.669
-24.995273260073247	1.0598	-15.633
-24.49427326007325	6.6291	-30.544
-23.97627326007325	1.8387	-30.602
-26.614273260073247	5.2622	30.863
-25.27827326007325	12.105	23.167
-25.323273260073243	-2.3607	24.007
-25.829273260073244	13.824	8.9329
-26.853273260073244	-4.5283	9.9167
-26.20527326007325	14.923	-0.45111
-27.838273260073244	-5.9206	0.62729
-26.212273260073246	7.3222	2.4404
-25.963273260073244	0.321	2.442
-26.502273260073245	7.1378	-15.671
-25.001273260073248	1.0527	-15.634
-24.493273260073245	6.6302	-30.545
-23.97327326007325	1.8349	-30.603
-26.630273260073245	5.2625	30.859
-25.28427326007325	12.105	23.162
-25.335273260073244	-2.36	24.007
-25.841273260073244	13.838	8.9296
-26.868273260073245	-4.518	9.916
-26.22027326007325	14.945	-0.45321
-27.85427326007325	-5.9049	0.62599
-26.215273260073246	7.3223	2.4386
-25.971273260073247	0.3209	2.4402
-26.514273260073246	7.1393	-15.672
-25.005273260073245	1.0553	-15.636
-24.495273260073247	6.6303	-30.545
-23.97627326007325	1.838	-30.604
-26.642273260073246	5.27	30.853
-25.288273260073247	12.107	23.155
-25.35127326007325	-2.3575	24.0
-25.841273260073244	13.809	8.9188
-26.88127326007325	-4.5144	9.9079
-26.218273260073246	14.896	-0.46651
-27.86327326007325	-5.9006	0.61749
-26.219273260073244	7.3151	2.4352
-25.984273260073245	0.31349	2.4399
-26.526273260073246	7.1377	-15.676
-25.010273260073248	1.0485	-15.635
-24.493273260073245	6.6298	-30.546
-23.97327326007325	1.8338	-30.603
-26.65627326007325	5.2693	30.849
-25.29327326007325	12.107	23.155
-25.371273260073245	-2.36	24.001
-25.856273260073245	13.82	8.9199
-26.89427326007325	-4.5186	9.9084
-26.240273260073245	14.914	-0.46431
-27.873273260073248	-5.9059	0.61769
-26.221273260073247	7.3121	2.4333
-25.99427326007325	0.31019	2.4364
-26.536273260073244	7.1424	-15.677
-25.01627326007325	1.0505	-15.638
-24.49127326007325	6.6374	-30.547
-23.978273260073244	1.8379	-30.606
-26.65927326007325	5.2694	30.846
-25.295273260073245	12.104	23.149
-25.384273260073243	-2.3626	24.001
-25.864273260073247	13.816	8.9138
-26.907273260073246	-4.5207	9.9089
-26.251273260073248	14.909	-0.47031
-27.885273260073248	-5.9077	0.61819
-26.22627326007325	7.3117	2.4332
-26.001273260073248	0.30974	2.4347
-26.547273260073247	7.1415	-15.677
-25.008273260073246	1.014	-15.641
-24.492273260073247	6.636	-30.545
-23.951273260073243	1.7751	-30.609
-26.65327326007325	5.2715	30.85
-25.29927326007325	12.098	23.145
-25.407273260073246	-2.3686	24.013
-25.865273260073245	13.79	8.9077
-26.92127326007325	-4.5301	9.9201
-26.251273260073248	14.87	-0.47801
-27.89427326007325	-5.9193	0.62909
-26.227273260073247	7.3078	2.4351
-26.010273260073248	0.30554	2.4382
-26.551273260073245	7.1411	-15.676
-25.024273260073244	1.0449	-15.636
-24.492273260073247	6.637	-30.543
-23.98227326007325	1.8293	-30.604
-26.65027326007325	5.2681	30.847
-25.29327326007325	12.083	23.129
-25.416273260073247	-2.3765	23.994
-25.86927326007325	13.779	8.8923
-26.928273260073247	-4.5444	9.9018
-26.261273260073246	14.861	-0.49281
-27.899273260073244	-5.9379	0.61129
-26.233273260073247	7.3052	2.4333
-26.024273260073244	0.30271	2.4364
-26.55227326007325	7.1448	-15.677
-25.017273260073246	1.0118	-15.638
-24.486273260073247	6.6449	-30.544
-23.95527326007325	1.7731	-30.605
-26.624273260073245	5.2952	30.849
-25.30527326007325	12.089	23.143
-25.443273260073248	-2.3784	24.008
-25.876273260073248	13.771	8.905
-26.946273260073248	-4.5526	9.9155
-26.26627326007325	14.844	-0.48131
-27.911273260073244	-5.9503	0.62499
-26.236273260073247	7.2967	2.435
-26.033273260073244	0.2941	2.4366
-26.556273260073247	7.1393	-15.676
-25.036273260073244	1.0371	-15.637
-24.492273260073247	6.642	-30.543
-23.977273260073247	1.8285	-30.603
-26.609273260073245	5.2821	30.85
-25.30827326007325	12.067	23.146
-25.452273260073248	-2.4003	24.007
-25.877273260073245	13.76	8.9087
-26.959273260073246	-4.5649	9.9139
-26.26627326007325	14.841	-0.47681
-27.928273260073247	-5.9563	0.62269
-26.24427326007325	7.2963	2.4349
-26.035273260073247	0.29382	2.4349
-26.557273260073245	7.1391	-15.676
-25.036273260073244	1.0399	-15.639
-24.493273260073245	6.6467	-30.543
-23.97927326007325	1.8318	-30.605
-26.596273260073247	5.2912	30.85
-25.318273260073248	12.059	23.144
-25.465273260073246	-2.4085	24.007
-25.887273260073243	13.759	8.9081
-26.97327326007325	-4.5769	9.9141
-26.27527326007325	14.844	-0.47681
-27.94227326007325	-5.9707	0.62339
-26.24727326007325	7.2879	2.4363
-26.04927326007325	0.28513	2.4317
-26.554273260073245	7.1336	-15.675
-25.021273260073244	0.99694	-15.642
-24.492273260073247	6.6426	-30.542
-23.941273260073245	1.7598	-30.608
-26.590273260073246	5.2976	30.851
-25.328273260073246	12.054	23.141
-25.475273260073244	-2.4132	24.01
-25.89127326007325	13.753	8.905
-26.983273260073247	-4.5913	9.9186
-26.27527326007325	14.839	-0.48021
-27.952273260073248	-5.9916	0.62889
-26.251273260073248	7.2798	2.4396
-26.056273260073247	0.27699	2.4319
-26.553273260073247	7.1306	-15.672
-25.02827326007325	0.9971	-15.641
-24.493273260073245	6.6453	-30.539
-23.947273260073246	1.7672	-30.607
-26.579273260073244	5.2883	30.849
-25.33927326007325	12.041	23.144
-25.481273260073245	-2.4282	24.008
-25.89727326007325	13.742	8.9076
-26.995273260073247	-4.5974	9.9165
-26.27827326007325	14.828	-0.47761
-27.969273260073244	-5.9919	0.62639
-26.258273260073246	7.2709	2.4378
-26.065273260073248	0.26797	2.4301
-26.551273260073245	7.1264	-15.674
-25.033273260073244	0.99178	-15.642
-24.49127326007325	6.6469	-30.541
-23.946273260073248	1.7669	-30.607
-26.52827326007325	5.2265	30.857
-25.344273260073244	12.022	23.144
-25.483273260073247	-2.4459	24.012
-25.90027326007325	13.729	8.9076
-27.005273260073245	-4.6088	9.92
-26.280273260073244	14.819	-0.47721
-27.983273260073247	-5.9991	0.62969
-26.262273260073243	7.2663	2.4396
-26.073273260073243	0.26338	2.4319
-26.551273260073245	7.1238	-15.672
-25.054273260073245	1.0267	-15.64
-24.493273260073245	6.647	-30.54
-23.983273260073247	1.8307	-30.604
-26.577273260073248	5.2723	30.851
-25.352273260073247	12.016	23.134
-25.481273260073245	-2.4505	24.003
-25.907273260073246	13.719	8.8974
-27.013273260073248	-4.6179	9.9133
-26.286273260073244	14.807	-0.48771
-27.998273260073248	-6.0112	0.62409
-26.270273260073246	7.2537	2.4393
