level_0	level_1	frames = 180 markers = 13 Hz = 30
-33.65	-1.0984	-31.457427748239315
-35.812	5.5546	-23.973427748239313
-34.467	-7.4462	-23.525427748239313
-35.154	7.9393	-10.577427748239314
-33.686	-10.577	-10.280927748239314
-35.666	9.7816	-0.14572774823931578
-34.132	-12.964	0.03517225176068428
-35.264	2.4975	-1.942527748239316
-35.323	-6.063	-1.9477277482393158
-36.31	3.441	14.152572251760686
-36.339	-6.8715	14.157572251760685
-37.271	4.2851	28.744572251760687
-37.248	-7.5782	28.765572251760688
-33.63	-1.0693	-31.471427748239314
-35.806	5.588	-23.985427748239314
-34.436	-7.4099	-23.543427748239314
-35.152	7.952	-10.585427748239315
-33.672	-10.584	-10.310327748239315
-35.666	9.7784	-0.15152774823931575
-34.13	-13.005	-0.0026277482393157747
-35.326	2.5055	-1.9858277482393158
-35.332	-6.055	-1.948027748239316
-36.19	3.4676	14.118572251760686
-36.192	-6.8821	14.165572251760686
-37.27	4.2738	28.704572251760684
-37.247	-7.5677	28.764572251760686
-33.519	-1.2201	-31.475427748239316
-35.898	5.4255	-23.977427748239315
-34.293	-7.5321	-23.464427748239313
-35.191	7.8866	-10.592427748239315
-33.587	-10.649	-10.220727748239314
-35.662	9.7878	-0.1698277482393158
-34.091	-13.025	0.09527225176068421
-35.377	2.5201	-2.001627748239316
-35.335	-6.0403	-1.956027748239316
-36.214	3.4762	14.104572251760686
-36.196	-6.8726	14.157572251760685
-37.266	4.2775	28.693572251760685
-37.25	-7.5634	28.756572251760687
-33.44	-1.099	-31.521427748239315
-35.892	5.5058	-24.014427748239314
-34.221	-7.4438	-23.524427748239315
-35.193	7.9167	-10.620427748239313
-33.52	-10.607	-10.291827748239314
-35.66	9.7769	-0.19062774823931578
-34.027	-13.018	0.01587225176068424
-35.569	2.5437	-2.101427748239316
-35.357	-6.0133	-1.9828277482393157
-36.308	3.4841	14.010572251760685
-36.207	-6.87	14.129572251760687
-37.271	4.2681	28.606572251760685
-37.253	-7.5866	28.727572251760687
-33.381	-1.0022	-31.524427748239315
-35.936	5.5445	-24.013427748239316
-34.168	-7.395	-23.541427748239315
-35.229	7.9372	-10.616427748239314
-33.343	-10.623	-10.318827748239315
-35.657	9.775	-0.18032774823931574
-33.741	-13.08	-0.017127748239315788
-35.625	2.5559	-2.118727748239316
-35.334	-5.9986	-1.989027748239316
-36.332	3.4903	13.995572251760686
-36.128	-6.7632	14.130572251760686
-37.27	4.2685	28.592572251760686
-37.123	-7.3967	28.737572251760685
-33.256	-0.86102	-31.482427748239314
-35.968	5.6404	-23.965427748239314
-34.06	-7.2792	-23.516427748239312
-35.291	7.9917	-10.562427748239314
-33.301	-10.561	-10.309927748239314
-35.655	9.7745	-0.11442774823931579
-33.712	-13.04	-0.013927748239315751
-35.685	2.5335	-2.127327748239316
-35.334	-6.0179	-1.957227748239316
-36.331	3.3379	13.996572251760686
-36.133	-6.7787	14.162572251760686
-37.211	4.0017	28.601572251760686
-37.13	-7.4073	28.769572251760685
-33.136	-0.75368	-31.493427748239313
-36.077	5.6805	-23.972427748239316
-33.99	-7.2105	-23.543427748239314
-35.44	8.0263	-10.570427748239315
-33.208	-10.58	-10.357027748239314
-35.634	9.7606	-0.11022774823931575
-33.491	-13.07	-0.05932774823931575
-35.758	2.5614	-2.146427748239316
-35.233	-5.981	-1.972427748239316
-36.398	3.4866	13.970572251760686
-36.084	-6.763	14.143572251760686
-37.271	4.2577	28.572572251760686
-37.132	-7.412	28.745572251760684
-33.051	-0.60412	-31.535427748239314
-36.348	5.7089	-24.116427748239314
-33.972	-7.1756	-23.647427748239313
-35.712	8.0846	-10.720427748239315
-33.145	-10.621	-10.479427748239313
-35.536	9.7694	-0.2514277482393158
-33.139	-13.033	-0.15902774823931576
-35.861	2.5717	-2.200027748239316
-35.167	-5.9579	-1.9984277482393158
-36.447	3.4867	13.919572251760686
-36.052	-6.7492	14.115572251760685
-37.273	4.2472	28.524572251760684
-37.125	-7.4079	28.715572251760687
-32.722	-0.36163	-31.478427748239316
-36.394	5.7781	-24.086427748239313
-33.759	-7.0615	-23.660427748239314
-36.035	8.1916	-10.714427748239315
-33.044	-10.713	-10.553427748239315
-35.503	9.798	-0.24552774823931578
-32.656	-13.019	-0.21512774823931574
-35.994	2.6775	-2.252227748239316
-35.222	-5.8421	-1.9452277482393159
-36.512	3.537	13.873572251760686
-36.081	-6.6965	14.166572251760686
-37.278	4.2495	28.483572251760688
-37.13	-7.4098	28.765572251760688
-32.543	-0.15548	-31.472427748239316
-36.486	5.9122	-24.065427748239316
-33.564	-6.8612	-23.676427748239313
-36.524	8.3285	-10.729427748239313
-32.939	-10.809	-10.659427748239315
-35.522	9.8458	-0.28122774823931573
-31.885	-12.862	-0.31432774823931575
-36.15	2.7552	-2.312427748239316
-35.163	-5.7398	-1.948827748239316
-36.584	3.5672	13.817572251760685
-36.056	-6.656	14.158572251760686
-37.272	4.2352	28.434572251760684
-37.135	-7.427	28.751572251760685
-32.392	0.18359	-31.450427748239314
-36.542	6.1153	-24.015427748239315
-33.306	-6.5745	-23.686427748239314
-37.086	8.4697	-10.731427748239314
-32.806	-10.95	-10.814427748239314
-35.561	9.9044	-0.33492774823931576
-30.941	-12.618	-0.5154297482393158
-36.345	2.8047	-2.409827748239316
-35.097	-5.6496	-1.925127748239316
-36.672	3.5825	13.724572251760685
-36.021	-6.6071	14.177572251760687
-37.267	4.2157	28.346572251760687
-37.132	-7.4174	28.766572251760685
-32.068	0.36078	-31.347427748239316
-36.631	6.2296	-23.929427748239313
-32.996	-6.3691	-23.678427748239315
-37.761	8.5991	-10.745427748239313
-32.735	-11.145	-10.968427748239314
-35.661	9.9977	-0.44472974823931577
-29.896	-12.188	-0.8100277482393158
-36.336	2.8624	-2.333527748239316
-35.03	-5.5867	-1.916427748239316
-36.665	3.603	13.802572251760687
-35.988	-6.5834	14.181572251760686
-37.258	4.2077	28.426572251760685
-37.133	-7.4239	28.766572251760685
-31.759	0.79138	-31.252427748239313
-36.658	6.4966	-23.794427748239315
-32.599	-5.9737	-23.652427748239315
-38.391	8.6907	-10.707427748239315
-32.282	-11.138	-11.089427748239315
-35.854	10.083	-0.5041297482393158
-28.7	-11.55	-1.1226277482393159
-36.598	2.9033	-2.398727748239316
-35.029	-5.4958	-1.8871277482393158
-36.791	3.654	13.739572251760686
-35.989	-6.5435	14.207572251760686
-37.262	4.2653	28.366572251760687
-37.135	-7.4322	28.789572251760685
-31.443	1.1929	-31.166427748239315
-36.668	6.7616	-23.683427748239314
-32.13	-5.5431	-23.623427748239315
-38.939	8.7317	-10.699427748239314
-31.503	-11.009	-11.166427748239315
-36.187	10.116	-0.5510297482393158
-27.355	-10.946	-1.413727748239316
-36.785	2.9141	-2.4464277482393157
-35.051	-5.4504	-1.907227748239316
-36.878	3.6588	13.692572251760685
-36.002	-6.5217	14.186572251760685
-37.259	4.2662	28.323572251760687
-37.136	-7.4307	28.768572251760684
-31.143	1.6736	-31.069427748239313
-36.7	7.0435	-23.579427748239315
-31.652	-5.0632	-23.586427748239313
-39.349	8.7622	-10.671427748239314
-30.805	-10.697	-11.194427748239315
-36.573	10.191	-0.5350297482393158
-26.088	-9.7426	-1.7511277482393157
-36.97	3.0126	-2.507327748239316
-35.017	-5.2995	-1.909327748239316
-36.963	3.6986	13.634572251760686
-35.984	-6.451	14.178572251760686
-37.254	4.2524	28.269572251760685
-37.135	-7.4318	28.753572251760687
-30.855	2.1539	-30.932427748239313
-36.725	7.3429	-23.317427748239314
-31.155	-4.4764	-23.460427748239315
-39.928	8.7364	-10.554427748239315
-29.736	-10.161	-11.080427748239314
-37.01	10.252	-0.47152994823931577
-24.756	-8.5025	-1.8725277482393157
-37.229	3.0763	-2.5268277482393158
-34.963	-5.1503	-1.8580277482393157
-37.091	3.726	13.615572251760685
-35.963	-6.385	14.221572251760685
-37.262	4.2435	28.253572251760687
-37.141	-7.445	28.788572251760687
-30.545	2.7016	-30.788427748239314
-36.756	7.6673	-23.147427748239313
-30.649	-3.8546	-23.331427748239314
-40.354	8.7584	-10.502427748239315
-28.747	-9.7122	-11.044427748239315
-37.535	10.289	-0.39302974823931575
-23.439	-7.3479	-2.181727748239316
-37.431	3.1112	-2.551227748239316
-34.993	-5.0645	-1.864227748239316
-37.178	3.7383	13.591572251760686
-35.976	-6.343	14.212572251760685
-37.24	4.2376	28.230572251760687
-37.14	-7.441	28.778572251760686
-30.194	3.3245	-30.621427748239313
-36.756	8.0627	-23.014427748239314
-30.141	-3.1784	-23.178427748239315
-40.669	8.7187	-10.466827748239314
-27.727	-9.057	-10.934427748239314
-38.126	10.325	-0.29622774823931575
-22.417	-5.9048	-2.321927748239316
-37.721	3.1216	-2.578627748239316
-34.901	-4.9311	-1.9052277482393158
-37.313	3.7569	13.560572251760686
-35.927	-6.2553	14.165572251760686
-37.241	4.2553	28.199572251760685
-37.132	-7.4008	28.724572251760687
-29.879	3.8823	-30.456427748239314
-36.764	8.4045	-22.837427748239314
-29.655	-2.4822	-22.926427748239313
-41.032	8.7546	-10.432927748239313
-26.799	-8.2146	-10.660427748239314
-38.746	10.273	-0.18822774823931576
-21.433	-4.4638	-2.3260277482393157
-37.817	3.256	-2.598627748239316
-34.948	-4.7768	-1.892627748239316
-37.355	3.8113	13.541572251760686
-35.955	-6.2144	14.169572251760686
-37.235	4.2417	28.182572251760686
-37.138	-7.4578	28.721572251760687
-29.52	4.5003	-30.180427748239314
-36.727	8.8359	-22.592427748239313
-29.154	-1.7298	-22.678427748239315
-41.287	8.7031	-10.319227748239314
-25.796	-7.3348	-10.424527748239313
-39.421	10.119	0.02487225176068425
-20.548	-2.9202	-2.3443277482393157
-38.035	3.2569	-2.549927748239316
-34.931	-4.6913	-1.8808277482393159
-37.454	3.8091	13.586572251760686
-35.947	-6.1821	14.175572251760686
-37.224	4.2346	28.226572251760686
-37.143	-7.4753	28.722572251760685
-29.114	5.1854	-29.939427748239314
-36.687	9.2372	-22.370427748239315
-28.671	-0.97921	-22.438427748239313
-41.609	8.7259	-10.288727748239314
-24.886	-6.2943	-10.132627748239313
-40.107	10.011	0.13147225176068422
-19.768	-1.3952	-2.250527748239316
-38.12	3.4176	-2.576727748239316
-34.938	-4.4978	-1.890527748239316
-37.491	3.8812	13.560572251760686
-35.952	-6.0909	14.156572251760686
-37.216	4.229	28.202572251760685
-37.145	-7.4737	28.695572251760687
-28.727	5.8804	-29.614427748239315
-36.771	9.7086	-22.331427748239314
-28.189	-0.1486	-22.094427748239315
-41.686	8.8029	-10.268427748239315
-23.973	-5.2374	-9.786227748239314
-40.62	9.9373	0.22267225176068428
-19.138	0.15459	-2.048827748239316
-38.33	3.4122	-2.535927748239316
-34.935	-4.4193	-1.906527748239316
-37.589	3.8779	13.596572251760685
-35.945	-6.0533	14.136572251760686
-37.211	4.2253	28.235572251760686
-37.137	-7.4753	28.671572251760686
-28.342	6.6498	-29.267427748239314
-36.672	10.202	-21.942427748239314
-27.732	0.76216	-21.689427748239314
-42.167	8.8115	-10.246127748239314
-23.197	-4.1264	-9.378327748239315
-41.175	9.9185	0.25517225176068425
-18.651	1.6502	-1.744527748239316
-38.491	3.464	-2.532627748239316
-34.958	-4.3086	-1.9382277482393158
-37.66	3.8912	13.596572251760685
-35.957	-5.9987	14.099572251760685
-37.199	4.2031	28.234572251760685
