level_0	level_1	frames = 132 markers = 13 Hz = 30
33.092	-0.91849	-27.162038320349648
34.02	-7.4898	-19.82603832034965
34.961	5.9734	-19.647038320349647
32.303	-8.5264	-6.974238320349652
33.359	7.8201	-6.881638320349653
31.129	-9.1936	1.7442416796503484
32.28	9.0376	1.7788416796503483
34.9	-3.4134	0.4717616796503483
35.389	4.1672	0.4667616796503484
35.593	-3.5841	17.06896167965035
36.0	3.7104	17.06296167965035
36.175	-3.7152	30.640961679650353
36.489	3.3139	30.64196167965035
33.114	-0.86671	-27.17703832034965
34.019	-7.4737	-19.83203832034965
34.989	5.9876	-19.66603832034965
32.835	-9.3296	-7.0122383203496526
33.369	7.8226	-6.901238320349652
30.806	-9.1157	1.5714426796503482
32.278	9.0323	1.7587416796503483
34.882	-3.4158	0.47476167965034843
35.39	4.1637	0.4547616796503484
35.438	-3.6036	17.07696167965035
35.854	3.7178	17.055961679650352
36.174	-3.7198	30.64196167965035
36.483	3.2905	30.62796167965035
33.131	-0.86752	-27.18303832034965
34.022	-7.4659	-19.842038320349648
35.001	5.9962	-19.67803832034965
32.869	-9.5709	-7.057938320349653
33.374	7.8242	-6.913238320349652
30.481	-9.0989	1.4227416796503483
32.277	9.0284	1.7468416796503483
34.883	-3.4137	0.4711616796503484
35.396	4.1654	0.4510616796503484
35.442	-3.6025	17.07296167965035
35.856	3.7205	17.052961679650352
36.177	-3.7201	30.637961679650353
36.484	3.294	30.62396167965035
33.171	-0.92814	-27.18603832034965
34.078	-7.4712	-19.845038320349648
35.01	5.9925	-19.67703832034965
32.812	-9.8547	-7.121338320349652
33.376	7.8177	-6.911938320349652
29.825	-8.9714	1.1339416796503483
32.276	9.0207	1.7478416796503482
34.862	-3.4165	0.4813616796503484
35.401	4.1607	0.4516616796503483
35.432	-3.5964	17.08296167965035
35.833	3.5959	17.04996167965035
36.175	-3.7077	30.64796167965035
36.438	3.0713	30.619961679650352
33.213	-0.91361	-27.19803832034965
34.136	-7.4558	-19.897038320349647
35.043	6.017	-19.694038320349648
32.679	-10.123	-7.2497383203496515
33.391	7.8282	-6.929638320349651
28.946	-8.7094	0.6193416796503484
32.278	9.021	1.7298416796503484
34.853	-3.4243	0.4670616796503484
35.401	4.1523	0.4479616796503483
35.426	-3.5943	17.06896167965035
35.858	3.7129	17.04996167965035
36.172	-3.6979	30.63396167965035
36.485	3.2887	30.62096167965035
33.233	-0.92754	-27.176038320349647
34.107	-7.4264	-19.73903832034965
35.05	6.0116	-19.659038320349648
32.693	-10.705	-7.231938320349652
33.397	7.8146	-6.8933383203496525
27.892	-8.3389	-0.21673832034965157
32.284	9.0026	1.7668416796503483
34.903	-3.4184	0.5103616796503483
35.414	4.1606	0.45146167965034834
35.449	-3.5965	17.11296167965035
35.842	3.6035	17.04996167965035
36.177	-3.7053	30.67896167965035
36.443	3.0855	30.62096167965035
