level_0	level_1	frames = 139 markers = 13 Hz = 30
-22.961791256225883	0.95894	28.997
-21.083791256225883	7.963	21.037
-21.67779125622588	-5.47	20.797
-22.69879125622588	9.3071	7.4702
-23.310791256225883	-8.3934	7.4909
-22.62579125622588	10.238	-2.2718
-23.23379125622588	-10.459	-2.0692
-21.39279125622588	4.6368	-0.53088
-21.38079125622588	-4.0577	-0.52588
-20.647791256225883	5.3179	-16.714
-20.423791256225883	-4.0289	-16.713
-19.96579125622588	5.9191	-31.185
-19.58279125622588	-3.9792	-31.194
-22.97779125622588	0.9696	28.996
-21.11679125622588	7.9649	21.028
-21.699791256225883	-5.468	20.798
-22.742791256225882	9.3112	7.4608
-23.339791256225883	-8.3922	7.4916
-22.67879125622588	10.243	-2.2811
-23.266791256225883	-10.459	-2.0683
-21.39879125622588	4.6327	-0.53268
-21.38779125622588	-4.0618	-0.52398
-20.80079125622588	5.3123	-16.722
-20.57379125622588	-4.0666	-16.719
-19.96279125622588	5.915	-31.184
-19.583791256225883	-3.9823	-31.19
-23.001791256225882	1.0071	28.997
-21.12879125622588	7.9645	21.026
-21.70979125622588	-5.47	20.8
-22.82279125622588	9.3532	7.463
-23.356791256225883	-8.3923	7.493
-22.806791256225882	10.317	-2.2762
-23.28879125622588	-10.457	-2.0672
-21.41379125622588	4.6386	-0.53608
-21.39879125622588	-4.056	-0.52418
-20.806791256225882	5.3131	-16.725
-20.56979125622588	-4.1281	-16.718
-19.964791256225883	5.9112	-31.188
-19.560791256225883	-4.1033	-31.188
-23.004791256225882	1.0039	29.0
-21.150791256225883	7.9501	21.024
-21.73879125622588	-5.4811	20.799
-22.850791256225882	9.3255	7.4598
-23.38379125622588	-8.3903	7.4891
-22.839791256225883	10.279	-2.2803
-23.31379125622588	-10.446	-2.0732
-21.41979125622588	4.6385	-0.53608
-21.39879125622588	-4.056	-0.51698
-20.80879125622588	5.3163	-16.724
-20.57879125622588	-4.035	-16.712
-19.96279125622588	5.9177	-31.187
-19.58479125622588	-3.9284	-31.182
-23.010791256225883	1.0183	28.991
-21.179791256225883	7.9564	21.011
-21.763791256225883	-5.473	20.793
-22.87879125622588	9.3086	7.4445
-23.41279125622588	-8.3913	7.4857
-22.86679125622588	10.246	-2.2973
-23.34679125622588	-10.453	-2.0752
-21.429791256225883	4.631	-0.53598
-21.41679125622588	-4.0636	-0.52788
-20.815791256225882	5.3129	-16.724
-20.57579125622588	-4.1359	-16.721
-19.96579125622588	5.9178	-31.186
-19.556791256225882	-4.112	-31.191
-23.00379125622588	1.0543	28.988
-21.19579125622588	7.9723	21.006
-21.775791256225883	-5.4567	20.795
-22.873791256225882	9.2918	7.4359
-23.42279125622588	-8.3735	7.4871
-22.84679125622588	10.204	-2.3082
-23.35579125622588	-10.435	-2.0741
-21.43879125622588	4.624	-0.53608
-21.426791256225883	-4.0705	-0.52958
-20.81779125622588	5.3054	-16.724
-20.70779125622588	-3.97	-16.729
-19.96579125622588	5.9097	-31.186
-19.80279125622588	-3.7942	-31.205
-23.02079125622588	1.0565	28.987
-21.21879125622588	7.9763	21.007
-21.79679125622588	-5.4567	20.8
-22.76479125622588	9.2285	7.4322
-23.440791256225882	-8.3749	7.4924
-22.64079125622588	10.094	-2.3151
-23.371791256225883	-10.437	-2.0686
-21.446791256225882	4.6202	-0.53598
-21.43379125622588	-4.0744	-0.52788
-20.82579125622588	5.3005	-16.724
-20.699791256225883	-4.0612	-16.727
-19.967791256225883	5.904	-31.185
-19.77979125622588	-3.9629	-31.203
-23.02679125622588	1.0696	28.992
-21.22779125622588	7.9794	21.005
-21.80279125622588	-5.4483	20.8
-22.777791256225882	9.2241	7.4294
-23.45179125622588	-8.3738	7.4944
-22.65679125622588	10.084	-2.3184
-23.38479125622588	-10.441	-2.0655
-21.461791256225883	4.6216	-0.52518
-21.446791256225882	-4.0729	-0.52788
-20.83179125622588	5.2981	-16.713
-20.710791256225882	-4.0173	-16.726
-19.967791256225883	5.8983	-31.174
-19.789791256225882	-3.8818	-31.202
-23.03879125622588	1.0656	28.994
-21.240791256225883	7.9765	21.006
-21.809791256225882	-5.453	20.804
-22.79679125622588	9.2284	7.4308
-23.458791256225883	-8.3774	7.498
-22.67879125622588	10.093	-2.3166
-23.391791256225883	-10.444	-2.0621
-21.472791256225882	4.6206	-0.52478
-21.45779125622588	-4.0739	-0.52648
-20.838791256225882	5.3033	-16.712
-20.72479125622588	-3.9705	-16.725
