level_0	level_1	frames = 214 markers = 13 Hz = 30
-20.676418590941722	-0.29219	29.141
-19.874418590941723	7.0986	21.448
-20.062418590941725	-7.3312	21.91
-20.57641859094172	9.1319	7.2988
-21.845418590941726	-9.0313	7.8232
-21.050418590941725	10.435	-2.0072
-22.996418590941722	-10.113	-1.4408
-20.575418590941723	2.8426	0.57111
-20.633418590941723	-4.1506	0.57601
-20.679418590941722	3.0049	-17.583
-19.397418590941726	-3.726	-17.535
-18.931418590941725	2.8831	-32.3
-18.403418590941726	-3.3566	-32.323
-20.671418590941727	-0.28955	29.137
-19.877418590941723	7.0949	21.433
-20.059418590941725	-7.3323	21.903
-20.586418590941726	9.1867	7.2923
-21.830418590941726	-9.0435	7.816
-21.066418590941723	10.528	-2.0079
-22.97541859094172	-10.132	-1.448
-20.587418590941724	2.8339	0.57031
-20.642418590941723	-4.1593	0.56601
-20.653418590941726	2.9977	-17.584
-19.554418590941722	-3.7782	-17.555
-18.927418590941727	2.8854	-32.303
-18.40841859094172	-3.3467	-32.331
-20.676418590941722	-0.29703	29.138
-19.88441859094172	7.0846	21.435
-20.061418590941727	-7.3424	21.906
-20.568418590941725	9.1509	7.2896
-21.816418590941723	-9.0615	7.8178
-21.032418590941724	10.475	-2.0138
-22.949418590941725	-10.156	-1.447
-20.581418590941723	2.8254	0.57011
-20.639418590941723	-4.1678	0.56431
-20.644418590941726	2.993	-17.584
-19.544418590941724	-3.8052	-17.557
-18.928418590941725	2.8846	-32.304
-18.391418590941726	-3.3882	-32.332
-20.673418590941722	-0.30003	29.139
-19.89341859094172	7.0753	21.43
-20.055418590941727	-7.3516	21.912
-20.556418590941725	9.1188	7.2807
-21.800418590941725	-9.0788	7.8238
-21.005418590941723	10.428	-2.0256
-22.927418590941727	-10.179	-1.4411
-20.578418590941723	2.8145	0.57191
-20.64041859094172	-4.1786	0.56621
-20.635418590941725	2.9858	-17.583
-19.542418590941722	-3.8107	-17.554
-18.930418590941727	2.8816	-32.304
-18.388418590941725	-3.3906	-32.33
-20.676418590941722	-0.3006	29.137
-19.907418590941724	7.0749	21.426
-20.060418590941723	-7.3523	21.914
-20.544418590941724	9.0947	7.2716
-21.793418590941727	-9.0938	7.8253
-20.976418590941726	10.389	-2.0377
-22.912418590941726	-10.203	-1.4395
-20.572418590941723	2.8093	0.57321
-20.63441859094172	-4.1839	0.56121
-20.618418590941722	2.9827	-17.581
-19.538418590941724	-3.8179	-17.559
-18.927418590941727	2.8828	-32.304
-18.383418590941723	-3.3989	-32.335
-20.548418590941722	-0.53975	29.162
-19.922418590941724	6.8843	21.483
-20.141418590941726	-7.5554	21.932
-20.574418590941725	8.957	7.3376
-21.817418590941728	-9.1968	7.8245
-21.016418590941726	10.285	-1.9664
-22.898418590941723	-10.24	-1.4525
-20.568418590941725	2.8007	0.57691
-20.623418590941725	-4.1925	0.56651
-20.603418590941722	2.977	-17.578
-19.528418590941726	-3.8134	-17.554
-18.928418590941725	2.884	-32.302
-18.378418590941727	-3.3849	-32.329
-20.554418590941722	-0.54446	29.164
-19.921418590941727	6.8801	21.488
-20.141418590941726	-7.5603	21.942
-20.556418590941725	8.9334	7.3382
-21.811418590941727	-9.2114	7.8347
-20.987418590941722	10.249	-1.9681
-22.88741859094172	-10.261	-1.442
-20.568418590941725	2.7971	0.57871
-20.615418590941722	-4.1962	0.56831
-20.59141859094172	2.972	-17.576
-19.51841859094172	-3.8281	-17.552
-18.932418590941722	2.8823	-32.302
-18.366418590941727	-3.4083	-32.328
-20.558418590941727	-0.53979	29.169
-19.923418590941722	6.8824	21.487
-20.148418590941723	-7.5573	21.949
-20.538418590941724	8.9273	7.336
-21.801418590941722	-9.2284	7.8423
