level_0	level_1	frames = 83 markers = 13 Hz = 30
-29.516175162187118	-1.9578	31.49
-28.821175162187117	5.5853	24.084
-27.888175162187117	-9.3938	24.284
-28.395175162187115	7.561	9.8092
-29.096175162187116	-11.903	10.149
-28.147175162187118	8.7631	0.89968
-29.84417516218712	-13.43	1.3283
-29.29017516218712	0.73911	3.083
-28.916175162187116	-6.1969	3.0879
-29.73817516218712	0.99621	-15.166
-27.72217516218712	-6.2113	-15.132
-27.45717516218712	0.66441	-29.928
-26.76217516218712	-6.2006	-30.048
-29.514175162187122	-1.9627	31.49
-28.818175162187117	5.5839	24.087
-27.88717516218712	-9.3951	24.284
-28.29317516218712	7.5258	9.8104
-29.102175162187116	-11.902	10.149
-27.98217516218712	8.7047	0.89978
-29.855175162187116	-13.427	1.3284
-29.29617516218712	0.74131	3.083
-28.91717516218712	-6.1945	3.0884
-29.739175162187117	0.99451	-15.167
-27.867175162187117	-6.2759	-15.14
-27.458175162187118	0.66051	-29.928
-26.76217516218712	-6.2007	-30.046
-29.510175162187117	-1.9671	31.49
-28.81717516218712	5.5837	24.09
-27.886175162187122	-9.3956	24.284
-28.202175162187118	7.5	9.8132
-29.087175162187116	-11.904	10.148
-27.83217516218712	8.6642	0.90288
-29.830175162187118	-13.431	1.3271
-29.29817516218712	0.74181	3.083
-28.91817516218712	-6.1939	3.0888
-29.74117516218712	0.99471	-15.167
-27.870175162187117	-6.277	-15.14
-27.461175162187118	0.66061	-29.928
-26.763175162187117	-6.2007	-30.045
-29.504175162187117	-1.9711	31.487
-28.816175162187122	5.5837	24.088
-27.88717516218712	-9.3961	24.283
-28.108175162187116	7.4873	9.8143
-29.01817516218712	-11.917	10.143
-27.68217516218712	8.6418	0.90528
-29.718175162187116	-13.45	1.3199
-29.309175162187117	0.73881	3.0797
-28.919175162187116	-6.1964	3.0885
-29.74717516218712	0.99071	-15.17
-27.870175162187117	-6.2783	-15.14
-27.462175162187116	0.65961	-29.931
-26.763175162187117	-6.2008	-30.045
-29.49617516218712	-1.9834	31.485
-28.81717516218712	5.5844	24.082
-27.892175162187115	-9.3947	24.288
-28.01517516218712	7.4942	9.8138
-28.897175162187118	-11.944	10.144
-27.535175162187116	8.6466	0.90708
-29.517175162187115	-13.496	1.3178
-29.30717516218712	0.73801	3.0796
-28.91717516218712	-6.1972	3.0873
-29.74417516218712	0.99171	-15.17
-27.86917516218712	-6.2801	-15.142
-27.46017516218712	0.66331	-29.931
-26.76217516218712	-6.2032	-30.047
-29.486175162187116	-1.9797	31.479
-28.82017516218712	5.5882	24.058
-27.903175162187118	-9.3894	24.303
-27.901175162187116	7.5355	9.8019
-28.791175162187116	-11.976	10.158
-27.358175162187116	8.699	0.90008
-29.339175162187118	-13.551	1.3312
-29.300175162187116	0.73491	3.0763
-28.91217516218712	-6.2003	3.0853
-29.769175162187118	0.86701	-15.174
-27.86917516218712	-6.2811	-15.144
-27.511175162187122	0.44151	-29.935
-26.76517516218712	-6.2025	-30.049
-29.514175162187122	-2.0505	31.468
-28.843175162187116	5.56	24.017
-27.898175162187115	-9.3997	24.304
-27.833175162187118	7.5788	9.7777
-28.672175162187116	-11.996	10.155
-27.257175162187117	8.7621	0.88058
-29.150175162187118	-13.575	1.3248
-29.285175162187116	0.73861	3.0757
-28.86917516218712	-6.1949	3.0769
-29.763175162187117	0.85081	-15.174
-27.843175162187116	-6.2795	-15.153
-27.513175162187117	0.42301	-29.937
-26.758175162187122	-6.2043	-30.06
-29.50017516218712	-1.9952	31.465
-28.842175162187118	5.5794	24.001
-27.92117516218712	-9.3832	24.319
-27.79217516218712	7.6452	9.7712
-28.589175162187118	-12.012	10.17
-27.22917516218712	8.8193	0.87198
-28.99917516218712	-13.613	1.3406
-29.281175162187118	0.71711	3.0743
-28.91417516218712	-6.2192	3.0818
-29.754175162187117	0.85781	-15.176
-27.86517516218712	-6.2903	-15.147
-27.50917516218712	0.43881	-29.939
-26.760175162187117	-6.2057	-30.052
-29.443175162187117	-1.9696	31.462
-28.830175162187118	5.6093	24.016
-27.959175162187115	-9.3706	24.362
-27.76217516218712	7.7238	9.7942
-28.523175162187115	-12.018	10.212
-27.242175162187117	8.8749	0.88938
-28.867175162187117	-13.631	1.3822
-29.272175162187118	0.70601	3.0708
-28.913175162187116	-6.2307	3.0799
-29.74917516218712	0.85291	-15.179
-27.86817516218712	-6.2945	-15.149
-27.510175162187117	0.44081	-29.944
-26.76517516218712	-6.204	-30.055
-29.459175162187115	-1.9495	31.458
-28.831175162187115	5.6308	24.004
-27.99417516218712	-9.3491	24.382
-27.73517516218712	7.8492	9.7999
-28.431175162187117	-11.991	10.226
-27.272175162187118	8.9961	0.89138
-28.69817516218712	-13.599	1.3923
-29.258175162187122	0.69541	3.0726
-28.907175162187116	-6.2417	3.0817
-29.74317516218712	0.83461	-15.177
-27.86317516218712	-6.2983	-15.147
-27.51517516218712	0.41791	-29.943
-26.764175162187122	-6.2032	-30.053
-29.480175162187116	-1.9529	31.459
-28.84117516218712	5.6285	23.998
-28.01517516218712	-9.3517	24.39
-27.73417516218712	7.9328	9.8091
-28.394175162187118	-11.997	10.233
-27.36617516218712	9.0443	0.89178
-28.623175162187117	-13.608	1.3994
-29.239175162187117	0.68181	3.0743
-28.898175162187115	-6.2558	3.0818
-29.72817516218712	0.84011	-15.175
-27.85617516218712	-6.3068	-15.147
-27.507175162187117	0.43931	-29.943
-26.75617516218712	-6.2055	-30.053
-29.49717516218712	-1.9539	31.459
-28.858175162187116	5.6222	23.996
-28.023175162187115	-9.3589	24.399
-27.73717516218712	8.0236	9.8237
-28.36817516218712	-12.004	10.242
-27.501175162187117	9.0817	0.89558
-28.575175162187122	-13.616	1.4071
-29.224175162187116	0.67261	3.0742
-28.891175162187118	-6.2654	3.0801
-29.721175162187116	0.83691	-15.175
-27.85317516218712	-6.3102	-15.149
-27.510175162187117	0.44131	-29.944
-26.75617516218712	-6.2043	-30.055
-29.51817516218712	-1.949	31.458
-28.880175162187122	5.6178	23.993
-28.03017516218712	-9.363	24.401
-27.73717516218712	8.1203	9.8407
-28.36617516218712	-12.007	10.243
-27.66217516218712	9.1069	0.90148
-28.57017516218712	-13.617	1.4078
-29.209175162187115	0.66141	3.0725
-28.88117516218712	-6.2768	3.08
-29.715175162187116	0.81931	-15.177
-27.84817516218712	-6.3166	-15.15
-27.51217516218712	0.41911	-29.947
-26.754175162187117	-6.2061	-30.056
-29.51817516218712	-1.9515	31.455
-28.910175162187116	5.6234	24.002
-28.03617516218712	-9.3598	24.403
-27.76817516218712	8.2036	9.8628
-28.389175162187122	-11.995	10.244
-27.889175162187122	9.0989	0.91448
-28.602175162187116	-13.599	1.4081
-29.19217516218712	0.64711	3.0707
-28.867175162187117	-6.2913	3.0782
-29.702175162187118	0.82531	-15.178
-27.845175162187118	-6.3245	-15.152
-27.504175162187117	0.44211	-29.95
-26.75917516218712	-6.2077	-30.059
-29.532175162187116	-1.9498	31.454
-28.94217516218712	5.6209	24.007
-28.026175162187116	-9.3623	24.4
-27.840175162187116	8.2608	9.8762
-28.41517516218712	-11.997	10.241
-28.17617516218712	9.0687	0.92498
-28.651175162187116	-13.602	1.4063
-29.18017516218712	0.64051	3.0722
-28.85617516218712	-6.2979	3.075
-29.69817516218712	0.81981	-15.176
-27.837175162187116	-6.3283	-15.156
-27.510175162187117	0.43821	-29.949
-26.75317516218712	-6.2092	-30.062
-29.55117516218712	-1.9578	31.453
-28.97617516218712	5.6096	24.013
-28.016175162187118	-9.3724	24.397
-27.891175162187118	8.3335	9.8963
-28.49917516218712	-12.012	10.242
-28.401175162187116	9.0992	0.94968
-28.794175162187116	-13.621	1.4099
-29.169175162187116	0.63231	3.0688
-28.845175162187118	-6.3061	3.0748
-29.690175162187117	0.80461	-15.18
-27.837175162187116	-6.324	-15.156
-27.511175162187122	0.41981	-29.954
-26.763175162187117	-6.1946	-30.064
-29.562175162187117	-1.9583	31.464
-28.99317516218712	5.5961	24.023
-28.00017516218712	-9.3851	24.408
-27.92917516218712	8.4083	9.9224
-28.54217516218712	-11.996	10.25
-28.584175162187115	9.1648	0.98448
-28.876175162187117	-13.586	1.4152
-29.154175162187116	0.62461	3.0725
-28.82917516218712	-6.3137	3.0801
-29.67417516218712	0.80821	-15.176
-27.825175162187122	-6.328	-15.151
-27.510175162187117	0.43571	-29.953
-26.75617516218712	-6.1966	-30.059
-29.584175162187115	-1.9401	31.464
-29.00217516218712	5.5967	24.021
-27.97917516218712	-9.3815	24.394
-27.97917516218712	8.4548	9.9265
-28.57917516218712	-11.99	10.238
-28.769175162187118	9.1938	0.99798
-28.949175162187117	-13.578	1.4046
-29.147175162187118	0.62011	3.0707
-28.819175162187122	-6.3182	3.0783
-29.656175162187118	0.80031	-15.178
-27.822175162187122	-6.3325	-15.153
-27.508175162187122	0.43081	-29.957
-26.75617516218712	-6.1999	-30.061
-29.60617516218712	-1.9541	31.468
-29.00317516218712	5.5807	24.027
