level_0	level_1	frames = 150 markers = 13 Hz = 30
-21.50369405333339	-1.3405	29.775
-21.615694053333392	5.9897	22.153
-20.763694053333396	-8.7867	22.473
-21.664694053333392	8.4327	7.9521
-21.664694053333392	-10.847	8.2511
-21.711694053333396	9.987	-1.276
-22.22669405333339	-12.151	-0.9869
-21.929694053333392	1.9136	1.1793
-21.50369405333339	-5.0264	1.1846
-21.33569405333339	2.1546	-16.979
-20.428694053333395	-4.2484	-16.938
-19.14669405333339	2.2852	-31.705
-19.562694053333395	-3.5878	-31.794
-21.505694053333393	-1.2312	29.749
-21.569694053333393	6.0898	22.098
-20.758694053333393	-8.6824	22.446
-21.813694053333393	8.54	7.9001
-21.78069405333339	-10.752	8.2334
-21.98869405333339	10.1	-1.3254
-22.42469405333339	-12.059	-0.9988
-22.008694053333393	1.9659	1.1742
-21.617694053333395	-4.9761	1.1536
-21.431694053333395	2.1877	-16.984
-20.630694053333393	-4.2772	-16.977
-19.150694053333396	2.2999	-31.697
-19.559694053333395	-3.5905	-31.818
-21.522694053333396	-1.2158	29.751
-21.57369405333339	6.0933	22.103
-20.757694053333395	-8.6801	22.445
-22.042694053333392	8.6081	7.9225
-21.949694053333396	-10.705	8.2389
-22.365694053333392	10.208	-1.2921
-22.70469405333339	-11.983	-0.989
-22.089694053333396	2.1146	1.1657
-21.62269405333339	-4.8227	1.1621
-21.444694053333393	2.2364	-16.992
-20.638694053333396	-4.204	-16.972
-19.14069405333339	2.2869	-31.701
-19.569694053333393	-3.5787	-31.816
-21.514694053333393	-1.1564	29.755
-21.580694053333396	6.1372	22.102
-20.731694053333392	-8.6311	22.442
-22.233694053333394	8.6748	7.9326
-22.10169405333339	-10.618	8.2471
-22.673694053333392	10.291	-1.2743
-22.97269405333339	-11.872	-0.974
-22.14669405333339	2.1809	1.1717
-21.669694053333394	-4.7556	1.176
-21.440694053333395	2.2654	-16.983
-20.66269405333339	-4.1675	-16.958
-19.14369405333339	2.289	-31.694
-19.581694053333393	-3.5685	-31.802
-21.51269405333339	-1.0766	29.75
-21.47569405333339	6.2088	22.13
-20.72669405333339	-8.5611	22.439
-22.340694053333394	8.7376	7.9705
-22.252694053333393	-10.535	8.2577
-22.920694053333392	10.348	-1.2296
-23.22669405333339	-11.779	-0.9545
-22.188694053333393	2.2453	1.175
-21.72069405333339	-4.6919	1.1747
-21.419694053333394	2.3058	-16.978
-20.69269405333339	-4.1346	-16.959
-19.142694053333393	2.3098	-31.692
-19.593694053333394	-3.5607	-31.803
-21.49769405333339	-1.0078	29.74
-21.608694053333394	6.2648	22.076
-20.706694053333393	-8.4956	22.423
-22.54669405333339	8.8208	7.9253
-22.40269405333339	-10.451	8.2586
-23.173694053333392	10.449	-1.2685
-23.48869405333339	-11.683	-0.9428
-22.231694053333392	2.3006	1.1747
-21.770694053333393	-4.6369	1.1698
-21.41869405333339	2.1489	-16.976
-20.72669405333339	-4.1061	-16.964
-19.176694053333392	1.9809	-31.692
