level_0	level_1	frames = 220 markers = 13 Hz = 30
-28.56217790209788	1.4875	31.51
-27.335177902097882	7.9276	24.09
-27.930177902097878	-4.9631	24.028
-26.87617790209788	10.48	11.021
-27.808177902097878	-8.01	11.023
-26.45817790209788	11.412	0.63867
-26.36017790209788	-10.328	0.96067
-28.218177902097878	5.0686	2.3112
-27.61117790209788	-3.4956	2.3159
-27.268177902097882	4.8031	-14.096
-26.52217790209788	-3.5445	-14.087
-26.398177902097878	4.5541	-28.867
-25.557177902097877	-3.5637	-28.86
-28.48517790209788	1.4876	31.512
-27.31117790209788	7.9032	24.104
-27.80217790209788	-4.9846	24.009
-26.731177902097876	10.668	11.1
-27.89417790209788	-8.1042	10.992
-26.55017790209788	11.568	0.70797
-26.61417790209788	-10.479	0.91997
-28.18517790209788	5.0462	2.3132
-27.60217790209788	-3.5198	2.3171
-27.405177902097883	4.8148	-14.104
-26.66617790209788	-3.5893	-14.095
-26.402177902097883	4.5503	-28.866
-25.554177902097877	-3.5705	-28.858
-28.378177902097878	1.4309	31.52
-27.28417790209788	7.8831	24.123
-27.655177902097883	-5.0129	24.008
-26.660177902097878	10.762	11.151
-27.98917790209788	-8.2531	10.991
-26.493177902097877	11.743	0.76607
-26.898177902097878	-10.721	0.91937
-28.15817790209788	5.0107	2.3073
-27.575177902097877	-3.5552	2.3321
-27.39117790209788	4.8022	-14.111
-26.654177902097878	-3.6062	-14.08
-26.396177902097882	4.5571	-28.874
-25.554177902097877	-3.5718	-28.845
-28.38217790209788	1.2693	31.521
-27.310177902097877	7.7887	24.126
-27.54617790209788	-5.1145	24.005
-26.50317790209788	10.92	11.248
-28.02717790209788	-8.4019	10.985
-26.25017790209788	12.059	0.88127
-27.04917790209788	-10.907	0.91077
-28.14917790209788	5.0284	2.2853
-27.40317790209788	-3.5247	2.3505
-27.381177902097882	4.811	-14.133
-26.569177902097877	-3.5899	-14.067
-26.392177902097878	4.5631	-28.896
-25.55217790209788	-3.5651	-28.837
-28.34917790209788	1.243	31.512
-27.28117790209788	7.7584	24.102
-27.41517790209788	-5.136	23.964
-26.337177902097878	10.97	11.271
-28.09217790209788	-8.5618	10.963
-26.07417790209788	12.161	0.91117
-27.26917790209788	-11.175	0.90147
-28.16517790209788	5.0081	2.2673
-27.37017790209788	-3.5405	2.3451
-27.392177902097878	4.7932	-14.15
-26.55517790209788	-3.598	-14.073
-26.393177902097882	4.5467	-28.913
-25.554177902097877	-3.5668	-28.844
-28.314177902097878	1.2183	31.516
-27.258177902097877	7.7436	24.084
-27.319177902097877	-5.1474	23.953
-26.22317790209788	11.09	11.308
-28.12717790209788	-8.6308	10.956
-25.975177902097876	12.393	0.95997
-27.414177902097876	-11.286	0.89777
-28.17517790209788	4.9764	2.2638
-27.32117790209788	-3.5663	2.354
-27.410177902097878	4.7042	-14.153
-26.65617790209788	-3.5228	-14.071
-26.420177902097876	4.4075	-28.915
-25.789177902097876	-3.4008	-28.851
-28.25517790209788	1.1864	31.525
-27.22717790209788	7.7171	24.072
-27.255177902097877	-5.1692	23.947
-26.11417790209788	11.188	11.346
-28.16917790209788	-8.6987	10.956
-25.86017790209788	12.622	1.0159
-27.563177902097877	-11.382	0.89787
-28.19817790209788	4.964	2.28
-27.282177902097878	-3.5724	2.3542
-27.420177902097876	4.7031	-14.137
-26.637177902097882	-3.5264	-14.072
-26.41617790209788	4.4172	-28.898
-25.78417790209788	-3.4012	-28.852
-28.215177902097878	1.1763	31.522
-27.18717790209788	7.7104	24.053
-27.212177902097878	-5.1748	23.944
-26.05217790209788	11.266	11.355
-28.19117790209788	-8.7429	10.959
-25.80517790209788	12.811	1.0413
-27.70117790209788	-11.439	0.89857
-28.18117790209788	4.9474	2.2786
-27.23517790209788	-3.5858	2.3484
-27.411177902097883	4.6863	-14.138
-26.615177902097876	-3.5294	-14.078
-26.41617790209788	4.401	-28.9
-25.786177902097883	-3.3946	-28.86
-28.154177902097878	1.136	31.522
-27.15017790209788	7.6923	24.039
-27.18117790209788	-5.1908	23.935
-25.984177902097876	11.335	11.374
-28.18217790209788	-8.7912	10.958
-25.73017790209788	12.978	1.0745
-27.84417790209788	-11.478	0.88847
-28.17017790209788	4.9395	2.2757
-27.20217790209788	-3.5913	2.3459
-27.405177902097883	4.6858	-14.142
-26.597177902097883	-3.5332	-14.081
-26.41517790209788	4.4082	-28.904
