		frames = 220 markers = 13 Hz = 30
-31.182	5.9866	-26.707
-32.968	-5.2208	23.9
-32.477	10.846	11.103
-32.373	4.5875	2.2477
-7.3464	-7.8605	10.624
-30.141	12.874	1.4999
-31.338	-11.179	0.86177
-31.65	-11.94	1.2141
-32.714	4.5217	-14.143
-31.421	-5.592	24.351
-31.655	1.1141	31.451
-32.82	-5.3992	23.855
-13.307	14.39	-5.924
-31.732	-11.461	0.87817
-32.264	4.4097	2.2145
-31.898	1.0745	31.495
-20.748	-11.216	-20.174
-33.343	-3.6896	-14.121
-33.153	-3.6333	-14.087
-32.727	4.3692	-14.211
-24.98	-0.63487	17.565
-30.912	7.3032	24.17
-31.864	1.1163	31.476
-23.864	6.6755	-16.83
-15.928	15.37	9.4851
-33.365	-3.7539	-14.162
-32.221	-3.8271	2.5377
-33.779	-4.1517	-28.22
-32.47	-9.1375	10.985
-31.214	-11.283	0.86267
-32.045	4.6453	2.2211
-28.883	13.389	12.5
-34.496	4.3927	-12.314
-27.747	-0.28774	31.524
-30.304	12.367	1.2377
-32.13	11.906	11.506
-32.689	7.441	23.999
-32.624	-3.7098	2.3456
-35.518	-4.1062	-13.062
-19.768	6.2731	-18.438
-32.783	-5.0693	23.82
-32.582	11.1	11.119
-33.274	11.535	1.2054
-33.296	-3.6475	-14.153
-31.795	1.2472	31.486
-33.518	11.7	11.34
-15.077	11.057	14.152
-27.708	-6.7617	21.752
-32.999	-8.6926	10.935
-30.147	12.048	1.014
-31.587	1.2354	31.578
-33.884	-3.2594	-28.918
-32.713	7.6567	24.275
-34.271	4.46	-14.644
-31.224	6.2229	-26.7
-33.172	-3.6159	-14.174
-32.519	-3.989	2.2873
-32.984	-5.5996	23.971
-33.113	-3.5306	-14.083
-18.043	8.6594	-20.136
-25.285	-7.0216	10.521
-24.662	5.8255	6.7111
-31.495	4.964	2.28
-7.698	-7.8953	11.24
-32.642	4.5476	2.7525
-32.765	-5.6703	24.066
-33.924	4.8122	-18.959
-32.947	5.387	-28.211
-33.937	-3.576	-28.657
-32.851	-5.4017	23.863
-32.009	4.5782	2.3124
-32.689	4.4319	-14.211
-31.984	4.5789	2.2437
-24.609	14.587	13.72
-32.955	11.396	11.412
-32.859	7.3546	24.059
-31.233	4.5218	2.4609
-32.875	7.6162	23.946
-33.037	-9.3856	11.34
-21.123	-11.254	-19.931
-33.708	11.447	11.371
-32.741	4.3716	-14.21
-33.756	-3.6886	-28.71
-32.279	7.5121	23.971
-13.032	-15.214	0.71147
-33.338	-4.2232	-27.81
-33.477	4.249	-28.99
-31.77	11.934	11.298
-33.668	11.477	11.327
-30.7	7.1434	24.118
-27.759	-11.627	1.4547
-33.007	-5.519	23.988
-33.914	-3.3962	-28.871
-32.887	7.365	24.047
-13.45	14.403	-5.7627
-29.947	6.5836	24.267
-31.315	1.4309	31.52
-33.026	-4.0815	2.2956
-32.6	-5.6348	24.028
-30.271	-13.017	13.328
-22.04	-14.093	13.505
-24.487	5.9468	8.447
-32.372	-3.5663	2.354
-16.016	15.391	12.434
-34.323	4.778	-15.643
-22.911	12.954	6.3284
-32.982	-3.7362	-13.883
-5.6706	-8.942	-0.65563
-32.737	4.3708	-14.18
-32.681	-5.3067	23.831
-34.848	-4.7163	-5.1926
-32.798	-3.9154	2.3493
-32.741	4.3219	-14.216
-32.598	4.4762	-14.196
-31.68	-8.8656	10.94
-30.141	12.056	1.0217
-32.938	-9.7073	11.357
-31.532	-11.984	1.2272
-33.011	-5.5893	23.964
-30.872	7.2232	24.2
-8.4256	-7.8876	12.099
-32.934	11.49	11.491
-32.453	4.6199	2.3337
-31.873	-4.0675	2.6138
-32.12	7.6343	23.957
-33.894	-3.3193	-28.925
-24.528	-0.92006	5.9279
-24.527	-8.7249	-17.38
-33.893	-3.3169	-28.928
-24.985	5.8727	8.7015
-33.3	4.5467	-28.913
-32.667	10.869	11.097
-33.305	-5.3295	23.79
-32.578	-5.5741	23.95
-31.733	1.2163	31.465
-32.918	-8.6753	10.829
-33.481	4.2622	-28.989
-32.638	-5.5005	-26.47
-32.692	-3.9758	2.259
-31.695	-11.736	1.3608
-31.867	1.1396	31.434
-5.7626	-8.415	1.4157
-30.697	-5.7139	24.092
-31.603	4.6013	-13.809
-32.37	7.5124	23.996
-5.6878	-8.9008	0.11747
-33.468	4.2398	-28.883
-13.473	-15.319	-5.0935
-31.502	-8.7429	10.959
-32.0	12.13	11.256
-31.799	-8.1042	10.992
-32.86	-3.8903	2.2955
-32.528	-11.131	0.70497
-31.669	-11.844	1.188
-19.466	-14.383	12.721
-30.699	-9.7672	11.391
-13.194	-15.2	1.5717
-31.211	5.9005	-26.744
-33.158	-5.3644	23.935
-24.307	5.7481	1.0353
-15.95	-14.807	10.072
-29.617	13.047	1.61
-20.844	-11.854	-20.282
-33.936	-3.6248	-28.63
-23.982	-0.97763	10.942
-31.57	1.0938	31.48
-31.413	1.0846	31.362
-33.017	-5.3443	24.232
-33.011	-5.3069	24.273
-29.591	-11.492	1.5249
-33.473	4.2356	-28.884
-32.762	4.3852	-14.175
-31.869	4.6733	2.1523
-24.81	-0.95991	9.6461
-33.94	4.8147	-18.585
-31.873	1.1402	31.43
-33.026	4.636	-28.586
-32.929	-5.1448	23.885
-31.158	6.2293	-26.675
-33.294	4.4023	-28.934
-31.237	-11.169	1.037
-31.545	1.1738	31.491
-33.885	-3.3309	-28.938
-32.211	7.527	23.956
-24.923	-7.1719	1.9356
-23.448	5.9054	-16.458
-33.277	4.4172	-28.898
-31.441	-11.262	0.84407
-33.098	11.089	11.214
-31.232	-11.892	1.3058
-29.424	12.873	1.5036
-32.458	10.855	11.107
-32.409	7.8831	24.123
-32.718	7.5954	24.184
-32.81	-5.681	24.062
-30.476	12.238	1.1744
-33.892	-3.2745	-28.93
-31.431	13.221	1.1698
-32.928	-5.6068	24.056
-26.354	5.8705	-15.515
-31.459	-11.431	0.90927
-31.935	4.6853	2.2014
-33.193	-3.9677	2.3645
-32.893	-5.6158	23.977
-33.277	4.401	-28.9
-29.359	13.342	1.6897
-13.424	14.455	-5.3404
-33.028	-5.3807	24.134
-28.177	-0.24052	31.799
-31.204	-11.738	1.4031
-32.948	-3.7489	-13.885
-33.511	4.2783	-28.985
-33.512	-4.0643	-28.054
-32.597	11.219	11.094
-27.247	6.5347	16.143
-13.072	14.562	1.3281
-32.871	11.521	11.526
-5.31	7.9093	-4.6034
-33.241	-3.6489	-14.152
-32.906	7.5482	23.974
-31.975	4.6655	2.2072
-31.297	-8.9707	11.172
-25.277	-7.0567	7.1845
-33.012	-5.5214	24.001
-31.221	7.48	24.244
-33.877	-3.271	-28.949
-32.798	-5.6198	23.985
-32.618	4.4724	-14.187
-32.287	12.957	11.875
-33.142	-9.009	10.892
-34.647	-4.8209	-2.968
-32.875	7.3307	24.061
-35.089	-3.7378	-19.21
-25.48	-7.4057	-1.3553
-33.155	-8.9537	10.847
-31.871	1.305	31.418
-13.978	14.767	8.8468
-31.985	4.7534	2.267
-32.596	-3.9789	2.2588
-33.133	-9.1662	11.053
-31.753	1.2213	31.41
-32.576	11.953	11.538
-35.786	-4.2577	-8.7945
-32.651	4.3969	-14.242
-33.872	-3.268	-28.916
-28.445	12.47	1.7611
-30.375	12.282	1.2068
-33.868	-3.1995	-28.952
-32.512	-5.1908	23.935
-13.186	-15.292	-2.3003
-13.367	14.494	-4.7707
-27.364	-6.8053	19.717
-31.8	1.3603	31.358
-33.478	4.2398	-29.004
-32.912	-3.8206	2.3301
-33.917	-3.3759	-28.926
-25.308	-9.0841	-16.836
-32.57	4.571	-14.167
-33.475	4.2355	-28.996
-32.504	-9.1663	11.032
-30.468	6.8758	24.085
-32.58	-3.964	2.2925
-23.778	-13.689	13.46
-31.131	1.4875	31.51
-32.939	-9.4936	11.282
-21.645	-10.891	3.9989
-22.562	12.04	4.2324
-33.762	-3.8819	-28.6
-31.287	-11.311	0.85677
-34.128	3.8982	-6.1175
-21.68	12.935	7.7174
-32.768	7.5415	24.056
-33.157	-3.6023	-14.17
-32.946	-9.4113	11.46
-20.797	-11.431	-20.296
-31.787	-4.2223	-14.067
-31.912	4.6735	2.2045
-33.884	-3.2638	-28.938
-31.363	1.0719	31.361
-35.667	-4.3149	-6.1274
-26.326	-7.1958	-16.084
-33.045	-9.5625	11.214
-35.441	-3.8752	-13.884
-26.428	-6.7665	12.543
-33.327	-5.2645	24.047
-33.873	-3.2565	-28.901
-32.974	-9.4173	11.309
-5.7729	-8.3148	2.3863
-32.18	-4.2938	2.5566
-30.877	-5.5966	23.958
-33.883	-3.3241	-28.944
-5.9974	-7.9624	5.6083
-27.688	-11.805	2.7975
-32.417	10.981	11.134
-35.076	-3.7236	-19.138
-29.294	0.12601	31.468
-32.081	-3.9015	2.5214
-30.182	-6.1387	24.058
-31.879	1.1229	31.436
-31.366	-11.978	1.3032
-33.038	-4.0777	-13.764
-31.576	-11.756	1.4049
-30.136	12.88	1.5497
-16.276	11.018	8.5518
-34.025	3.8328	-5.0809
-33.901	-3.3435	-28.858
-33.91	-3.3967	-28.864
-33.101	-4.8195	3.0393
-33.892	-3.3102	-28.918
-33.885	-3.3054	-28.907
-27.499	-0.29974	31.119
-30.527	12.238	1.1812
-33.882	-3.2628	-28.906
-33.489	4.2223	-28.985
-32.436	10.939	11.126
-33.301	4.5631	-28.896
-13.016	14.593	-1.1712
-30.156	12.821	1.4623
-32.358	7.6484	23.956
-32.564	-5.2788	23.841
-33.881	-3.3269	-28.894
-32.763	7.4622	24.001
-32.273	4.405	2.2215
-33.487	4.2331	-29.015
-33.158	-3.5883	-14.084
-31.219	-11.837	1.2671
-33.502	4.2589	-29.044
-25.002	-7.1564	3.5168
-31.81	1.2027	31.475
-31.897	5.2943	-27.244
-32.302	4.8022	-14.111
-30.017	-6.1701	24.092
-32.16	11.925	11.66
-32.212	4.2258	-13.986
-33.34	-3.7243	-14.134
-32.61	11.202	11.102
-27.231	-6.8292	18.551
-13.124	14.562	3.2001
-32.002	-11.586	1.1197
-33.346	4.1422	-28.692
-20.082	6.824	-18.77
-31.998	4.589	2.3131
-28.256	6.1361	23.001
-33.601	11.576	11.343
-31.95	4.6739	2.2142
-24.336	5.8302	3.3108
-28.51	-0.32819	31.688
-14.348	-15.081	7.8981
-32.671	4.4912	-14.164
-33.806	-3.5277	-28.645
-31.812	1.2314	31.465
-33.345	4.1317	-28.712
-25.454	-7.4151	-2.0114
-33.302	-3.7055	-14.144
-19.502	6.54	-18.606
-7.971	-8.2644	13.588
-33.871	-3.1998	-28.945
-33.491	4.2492	-28.978
-32.358	-11.317	0.92757
-33.051	-9.4134	11.332
-31.856	4.6701	2.1439
-30.31	6.7035	24.13
-33.443	12.059	0.88127
-33.871	-3.2	-28.942
-11.159	-8.1066	12.262
-32.928	-9.0371	11.09
-5.3305	7.5736	2.249
-33.055	-9.594	11.261
-5.7927	7.563	5.72
-33.056	-9.5848	11.229
-5.1749	7.9297	-3.0684
-32.13	-11.382	0.89787
-32.207	-8.8588	10.99
-31.586	-11.325	1.027
-33.921	-3.5922	-28.558
-32.417	7.3902	23.98
-32.976	4.6558	-28.492
-32.638	-5.2697	23.817
-33.111	11.112	11.22
-32.627	4.3881	-14.106
-22.931	-13.863	13.561
-33.878	-3.2514	-28.941
-32.411	-4.0112	2.3557
-31.137	1.0052	31.438
-31.767	11.952	11.301
-32.691	-4.5931	2.8443
-5.9497	-8.7267	-2.6629
-34.617	4.3618	-11.481
-33.277	-3.6913	-14.156
-33.919	-3.778	-28.173
-32.49	-9.1142	11.018
-31.518	4.9764	2.2638
-6.6714	-7.8151	8.8869
-27.337	12.079	1.8814
-32.095	-5.3226	24.106
-31.071	-10.96	0.94027
-33.069	-4.1387	2.2688
-31.346	1.0521	31.379
-32.711	4.463	-13.806
-32.615	7.6868	24.367
-31.195	1.02	31.417
-32.85	7.4502	24.097
-24.405	5.9308	-0.76203
-24.889	5.984	10.47
-33.496	4.2743	-28.952
-8.8847	-7.871	12.402
-32.479	4.5657	2.7852
-33.09	-3.6221	-14.042
-35.255	-3.8825	-18.139
-32.441	-5.2781	23.872
-13.241	-15.34	-0.30183
-35.542	-4.3147	-5.1947
-32.593	-9.2238	11.44
-32.729	4.372	-14.213
-32.785	4.4176	-14.202
-33.896	-3.2703	-28.902
-11.693	9.8033	15.474
-32.657	4.8911	-27.996
-32.968	-8.6821	10.824
-32.527	-9.1642	10.985
-33.473	4.2357	-28.886
-33.384	-3.5811	-14.106
-33.04	-5.2854	23.942
-28.8	-0.21918	31.654
-13.283	14.536	4.39
-32.301	4.7932	-14.15
-31.414	-11.37	0.88267
-13.713	14.643	7.7323
-35.182	-4.4789	-8.0513
-32.564	4.474	-14.278
-32.744	4.3308	-14.218
-32.073	4.5509	2.1827
-15.258	-11.626	15.217
-31.725	1.2824	31.441
-35.314	-4.1499	-11.331
-32.733	-8.8939	10.998
-33.073	-4.1424	2.2689
-31.458	-11.456	0.92127
-26.623	-7.8077	-15.963
-31.314	5.6164	-26.752
-33.171	-3.6105	-14.168
-30.106	0.68078	29.871
-31.481	1.1345	31.388
-32.665	-5.2493	-26.523
-32.963	-3.9819	-13.86
-33.279	4.4045	-28.868
-20.773	-11.502	-20.152
-30.122	12.856	1.5486
-32.695	-4.0003	2.2323
-32.29	-11.393	0.91387
-31.895	1.1194	31.54
-5.3681	7.944	-4.0669
-33.305	-3.6083	-14.127
-22.518	-9.037	-18.259
-32.003	4.6653	2.2203
-32.735	4.528	-14.111
-33.47	4.2325	-28.879
-32.188	3.734	3.2956
-34.185	4.5013	-15.974
-33.943	-3.625	-28.711
-16.857	15.531	13.073
-32.736	11.707	11.284
-31.344	1.243	31.512
-31.277	1.0307	31.425
-32.288	4.6858	-14.142
-33.157	12.052	11.338
-28.964	13.11	1.486
-33.326	4.4136	-28.928
-33.119	-3.8329	2.3283
-33.524	4.301	-28.989
-33.275	4.6789	-28.741
-29.686	12.975	1.5792
-32.08	-8.801	11.011
-32.085	-11.364	0.76037
-13.257	-15.366	-1.1853
-31.764	1.103	31.447
-32.477	-9.142	11.026
-29.066	-0.18436	31.536
-32.29	-3.5247	2.3505
-33.076	4.5824	-28.687
-26.442	-12.228	3.8715
-31.478	1.1763	31.522
-33.359	3.6117	1.3196
-28.153	12.562	1.9771
-31.446	-11.413	0.90297
-32.017	4.5606	2.3146
-31.508	5.0462	2.3132
-21.577	-9.1796	-18.841
-32.834	5.2433	-28.078
-26.869	-0.072314	21.491
-24.709	-7.2056	5.0799
-35.409	-3.8087	-14.823
-31.376	-11.775	1.1642
-32.987	-5.5063	23.982
-20.776	-10.855	-19.726
-33.323	-3.6879	-14.132
-33.355	-3.7384	-14.158
-32.772	-4.9964	-26.68
-33.385	-3.6972	-14.075
-32.871	-8.9676	11.06
-32.354	4.5864	2.2664
-33.408	-3.5943	-14.095
-32.99	-4.0741	2.3028
-32.806	11.507	11.533
-32.512	7.4035	23.997
-24.477	6.6868	-16.5
-31.313	6.1236	-26.84
-32.77	4.4124	-14.203
-31.681	3.9956	2.7947
-31.765	1.0941	31.438
-32.599	4.4591	-14.209
-25.094	-0.51738	18.766
-31.274	-11.937	1.312
-32.896	7.3807	24.048
-27.405	-6.981	-15.506
-32.019	5.1052	-27.344
-17.534	-15.054	12.575
-33.419	-3.5968	-14.097
-20.805	-11.833	-20.28
-32.511	-11.172	0.74007
-30.138	12.909	1.5418
-18.249	7.3907	-20.035
-13.082	-15.133	1.8455
-30.351	11.978	0.95117
-32.975	-4.0731	2.2955
-32.802	-3.9534	2.2743
-20.841	-10.473	-19.567
-23.695	-14.81	14.233
-22.164	-9.1149	-18.455
-28.642	-6.5491	24.174
-33.408	-3.6723	-14.053
-32.114	4.5892	2.1953
-32.44	11.931	11.557
-33.29	-4.3313	-27.613
-32.16	11.957	11.596
-32.974	-3.9943	2.3035
-20.821	-15.096	14.041
-22.187	-15.001	14.157
-13.386	14.358	-6.0573
-33.936	-3.6527	-28.536
-33.878	-3.3319	-28.868
-22.221	6.7871	-17.881
-35.816	-4.2878	-7.9212
-33.126	-9.6767	11.315
-35.256	-3.7206	-16.56
-5.2656	7.8068	-1.0481
-32.948	-4.0727	2.2867
-28.899	-11.543	1.8424
-32.651	-3.9834	2.2458
-33.022	-4.0788	2.3042
-32.284	4.6328	2.3874
-31.212	0.9302	31.419
-33.564	-5.2925	23.89
-35.103	-3.7012	-18.035
-24.441	-0.79589	14.209
-33.879	-3.2634	-28.998
-29.367	-11.53	1.2452
-33.937	-3.6723	-28.447
-5.8344	-8.728	2.8629
-32.475	-9.0971	10.981
-33.356	10.97	11.271
-32.529	5.0003	-27.833
-33.161	-3.6523	-14.083
-29.698	-4.7538	-14.613
-32.536	7.4073	23.989
-32.962	4.6793	-28.327
-33.295	-3.6708	-14.117
-26.006	12.715	3.6194
-32.629	11.186	11.103
-32.193	4.4801	2.2145
-32.674	7.4517	24.24
-33.458	-4.8711	2.7305
-32.752	7.54	24.051
-31.95	5.6654	-27.281
-33.311	4.159	-28.24
-31.209	4.4909	2.4865
-25.792	-0.26314	22.704
-33.864	-3.184	-28.948
-32.884	11.498	11.508
-33.286	-3.6531	-14.134
-32.461	-8.8618	11.013
-30.778	-11.194	0.95727
-33.52	-10.862	1.0914
-32.856	11.592	11.494
-31.375	1.1289	31.558
-31.857	4.6833	2.1463
-32.867	7.437	24.093
-32.672	4.5423	-14.16
-33.377	-4.1982	-27.782
-32.651	7.4077	24.009
-33.909	-3.3887	-28.865
-32.592	-3.8738	2.2916
-32.667	10.856	11.098
-32.852	7.342	24.066
-29.401	13.291	1.69
-35.099	-4.5931	-7.1248
-32.526	11.05	11.13
-32.747	4.3385	-14.216
-31.836	1.2288	31.447
-32.08	-8.9534	11.208
-30.35	12.314	1.2173
-12.995	14.567	-0.097128
-32.817	11.814	11.463
-28.738	0.46446	26.52
-32.615	4.5425	-14.17
-32.146	4.5948	2.5747
-31.443	5.9867	-26.912
-33.105	11.1	11.214
