level_0	level_1	frames = 120 markers = 13 Hz = 30
-24.92313846153845	4.508	29.51
-24.38013846153845	11.489	21.915
-25.220138461538454	-2.9944	22.335
-24.495138461538453	14.285	7.5968
-26.45013846153845	-4.8765	7.9307
-24.59013846153845	16.04	-1.5341
-27.214138461538454	-6.0404	-1.252
-24.980138461538452	7.5966	0.8664
-25.239138461538452	0.68967	0.8713
-24.84613846153845	7.4101	-17.154
-24.464138461538454	1.2932	-17.126
-24.720138461538454	7.2473	-31.897
-23.84613846153845	1.8095	-31.855
-24.986138461538452	4.6039	29.514
-24.44413846153845	11.577	21.939
-25.27613846153845	-2.9136	22.352
-24.558138461538448	14.427	7.6311
-26.50913846153845	-4.7478	7.9423
-24.653138461538454	16.217	-1.493
-27.27413846153845	-5.8808	-1.2441
-25.031138461538454	7.6805	0.8701
-25.288138461538452	0.77351	0.8748
-25.02113846153845	7.481	-17.151
-24.63613846153845	1.2731	-17.13
-24.714138461538454	7.2529	-31.89
-23.85013846153845	1.8136	-31.85
-25.061138461538448	4.6811	29.51
-24.49313846153845	11.65	21.941
-25.32313846153845	-2.8381	22.332
-24.602138461538452	14.529	7.6392
-26.561138461538448	-4.6522	7.9196
-24.696138461538453	16.335	-1.4816
-27.330138461538453	-5.7724	-1.2681
-25.07913846153845	7.7489	0.8653
-25.327138461538453	0.84157	0.876
-25.040138461538454	7.4992	-17.155
-24.65113846153845	1.3039	-17.129
-24.70713846153845	7.2295	-31.892
-23.848138461538454	1.8128	-31.849
-25.10313846153845	4.7333	29.512
-24.53913846153845	11.697	21.93
-25.360138461538455	-2.7873	22.322
-24.641138461538453	14.611	7.6351
-26.61213846153845	-4.5875	7.9096
-24.729138461538454	16.441	-1.4811
-27.38913846153845	-5.6987	-1.2785
-25.13113846153845	7.8088	0.8625
-25.352138461538452	0.90061	0.8843
-25.06713846153845	7.5251	-17.157
-24.663138461538452	1.3327	-17.121
-24.71313846153845	7.2282	-31.894
-23.845138461538454	1.8195	-31.841
-25.160138461538452	4.783	29.512
-24.59113846153845	11.744	21.918
-25.394138461538454	-2.7362	22.308
-24.67013846153845	14.671	7.6256
-26.66113846153845	-4.5314	7.8957
-24.745138461538453	16.509	-1.4892
-27.44813846153845	-5.6393	-1.292
-25.17613846153845	7.8505	0.8628
-25.372138461538448	0.94155	0.8877
-25.092138461538454	7.5379	-17.156
-24.674138461538455	1.3479	-17.118
-24.72113846153845	7.2175	-31.892
-23.848138461538454	1.8136	-31.838
-25.177138461538448	4.8199	29.507
-24.65513846153845	11.797	21.922
-25.431138461538453	-2.6872	22.298
-24.699138461538453	14.709	7.6262
-26.730138461538452	-4.6131	7.9056
-24.750138461538448	16.538	-1.4904
-27.53913846153845	-5.8048	-1.2697
-25.22513846153845	7.8729	0.8543
-25.39813846153845	0.96328	0.8836
-25.11213846153845	7.5503	-17.165
-24.68213846153845	1.3598	-17.122
-24.72213846153845	7.2223	-31.899
-23.848138461538454	1.8156	-31.841
-25.202138461538453	4.8374	29.498
-24.71513846153845	11.824	21.914
-25.452138461538453	-2.6623	22.294
-24.681138461538453	14.84	7.6398
-26.75913846153845	-4.6066	7.9046
-24.68213846153845	16.736	-1.4637
-27.57313846153845	-5.8098	-1.2688
-25.27913846153845	7.8881	0.8474
-25.41413846153845	0.97766	0.8814
-25.14213846153845	7.5531	-17.171
-24.693138461538453	1.3682	-17.124
-24.727138461538452	7.2152	-31.905
-23.85313846153845	1.8196	-31.843
-25.238138461538448	4.8233	29.493
-24.77313846153845	11.842	21.91
-25.46213846153845	-2.6474	22.29
-24.69813846153845	14.847	7.633
-26.77913846153845	-4.6216	7.9055
-24.67313846153845	16.735	-1.4718
-27.60013846153845	-5.8436	-1.2649
-25.33213846153845	7.8961	0.8419
-25.439138461538448	0.98518	0.8743
-25.168138461538454	7.5586	-17.176
-24.70313846153845	1.3654	-17.13
-24.729138461538454	7.2184	-31.909
-23.849138461538452	1.8095	-31.849
-25.263138461538453	4.799	29.493
-24.827138461538453	11.833	21.902
-25.46213846153845	-2.6576	22.293
-24.71313846153845	14.826	7.6229
-26.784138461538454	-4.6493	7.9119
-24.662138461538454	16.706	-1.4835
-27.608138461538452	-5.8824	-1.2567
-25.38113846153845	7.8966	0.8372
-25.461138461538454	0.98525	0.8774
-25.187138461538453	7.5578	-17.181
-24.71313846153845	1.3658	-17.127
-24.730138461538452	7.2177	-31.913
-23.85013846153845	1.8101	-31.845
-25.28013846153845	4.8016	29.487
-24.882138461538453	11.834	21.881
-25.45113846153845	-2.6564	22.292
-24.723138461538454	14.814	7.5999
-26.778138461538454	-4.6769	7.9155
-24.644138461538454	16.686	-1.5082
-27.604138461538454	-5.9283	-1.2503
-25.424138461538455	7.9	0.8332
-25.482138461538455	0.98846	0.8688
-25.211138461538454	7.5556	-17.184
-24.723138461538454	1.367	-17.135
-24.735138461538455	7.2106	-31.916
-23.851138461538454	1.8097	-31.853
-25.294138461538452	4.814	29.491
-24.92313846153845	11.848	21.901
-25.458138461538454	-2.6495	22.325
-24.730138461538452	14.786	7.6114
-26.769138461538454	-4.7136	7.9533
-24.63013846153845	16.632	-1.5019
-27.586138461538454	-5.9928	-1.2095
-25.46213846153845	7.9024	0.8366
-25.49913846153845	0.99071	0.8707
-25.22813846153845	7.5578	-17.181
-24.73113846153845	1.3703	-17.133
-24.738138461538448	7.2134	-31.912
-23.851138461538454	1.8139	-31.85
-25.288138461538452	4.7899	29.489
-24.95613846153845	11.829	21.913
-25.467138461538454	-2.6745	22.34
-24.742138461538453	14.729	7.6168
-26.75613846153845	-4.7551	7.9683
-24.628138461538448	16.551	-1.5011
-27.559138461538453	-6.0447	-1.1943
-25.491138461538448	7.8999	0.8376
-25.531138461538454	0.98822	0.8625
-25.244138461538448	7.5588	-17.179
-24.744138461538448	1.3583	-17.14
-24.74013846153845	7.2162	-31.91
-23.84713846153845	1.7937	-31.857
-25.28013846153845	4.8018	29.482
-24.991138461538448	11.838	21.908
-25.46513846153845	-2.6661	22.333
-24.75913846153845	14.683	7.6
-26.738138461538448	-4.7893	7.9657
-24.635138461538453	16.468	-1.525
-27.531138461538454	-6.1062	-1.1939
-25.51113846153845	7.8918	0.8374
-25.558138461538448	0.98012	0.8593
-25.253138461538448	7.556	-17.18
-24.753138461538448	1.3582	-17.142
-24.742138461538453	7.2178	-31.911
-23.84613846153845	1.7979	-31.858
-25.26813846153845	4.7947	29.476
-25.025138461538454	11.831	21.902
-25.480138461538452	-2.6757	22.338
-24.784138461538454	14.617	7.5833
-26.72213846153845	-4.8252	7.9726
-24.65413846153845	16.366	-1.5487
-27.495138461538453	-6.1571	-1.1865
-25.53213846153845	7.8824	0.8336
-25.571138461538453	0.97064	0.8541
-25.26513846153845	7.5538	-17.183
-24.757138461538453	1.3487	-17.147
-24.74613846153845	7.2211	-31.914
-23.83513846153845	1.7911	-31.862
-25.244138461538448	4.7966	29.472
-25.06713846153845	11.838	21.904
-25.504138461538453	-2.6696	22.342
-24.81913846153845	14.573	7.5747
-26.714138461538454	-4.8426	7.9772
-24.68513846153845	16.289	-1.5635
-27.46613846153845	-6.1912	-1.1812
-25.546138461538455	7.878	0.8367
-25.583138461538454	0.96626	0.8511
-25.272138461538454	7.5524	-17.18
-24.757138461538453	1.3439	-17.15
-24.74613846153845	7.2222	-31.911
-23.83213846153845	1.7836	-31.864
-25.189138461538448	4.8404	29.46
-25.108138461538452	11.836	21.896
-25.52913846153845	-2.6723	22.343
-24.860138461538455	14.523	7.5583
-26.70413846153845	-4.87	7.979
-24.726138461538454	16.209	-1.5855
-27.434138461538453	-6.2345	-1.1789
-25.558138461538448	7.875	0.8329
-25.58413846153845	0.96312	0.8459
-25.275138461538454	7.5524	-17.184
-24.70713846153845	1.2997	-17.153
-24.745138461538453	7.2254	-31.914
-23.742138461538453	1.7055	-31.866
-25.18813846153845	4.8316	29.456
-25.15213846153845	11.844	21.893
-25.55713846153845	-2.666	22.356
-24.90413846153845	14.49	7.5475
-26.69513846153845	-4.8771	7.9906
-24.769138461538454	16.15	-1.601
-27.40113846153845	-6.25	-1.1679
-25.565138461538453	7.8717	0.8377
-25.58813846153845	0.95976	0.8413
-25.278138461538454	7.5511	-17.179
-24.70313846153845	1.2802	-17.158
-24.745138461538453	7.2256	-31.91
-23.726138461538454	1.675	-31.87
-25.169138461538452	4.8385	29.451
-25.19513846153845	11.846	21.886
-25.58813846153845	-2.6635	22.365
-24.94713846153845	14.466	7.5357
-26.69213846153845	-4.8908	7.9999
-24.81313846153845	16.109	-1.6158
-27.37713846153845	-6.2723	-1.1588
-25.56613846153845	7.8677	0.8376
-25.57613846153845	0.9558	0.8397
-25.27913846153845	7.5535	-17.179
-24.70013846153845	1.2829	-17.16
-24.745138461538453	7.2333	-31.91
-23.729138461538454	1.6835	-31.872
-25.19413846153845	4.8805	29.453
-25.251138461538453	11.855	21.889
-25.626138461538453	-2.6561	22.384
-25.003138461538448	14.45	7.5339
-26.699138461538453	-4.8854	8.0168
-24.869138461538448	16.078	-1.6205
-27.363138461538448	-6.27	-1.143
-25.56913846153845	7.8566	0.8411
-25.57213846153845	0.94464	0.8416
