		frames = 134 markers = 13 Hz = 30
-38.994	7.0662	-12.196
-29.915	-11.508	25.352
-39.809	-0.54916	6.2625
-22.276	-16.643	-17.124
-40.101	13.38	12.568
-42.717	-0.56013	-27.055
-9.4622	-22.783	-11.129
-1.8077	-11.632	0.21503
-39.269	-0.45277	6.136
-40.36	-3.5756	27.584
-39.848	13.383	12.415
-39.011	-7.8596	4.9193
-39.842	-0.57816	6.2731
-25.337	-12.078	24.375
-22.087	-9.646	-17.395
-40.135	14.805	3.7606
-41.352	-0.79298	-11.912
-38.765	7.093	-12.251
-38.36	-9.8294	13.155
-39.575	6.3883	6.0495
-40.097	11.558	26.834
-40.66	-0.74309	-12.123
-26.523	-4.8654	0.37423
-25.158	-20.335	9.9977
-7.5323	-19.234	-4.2857
-39.848	13.299	12.44
-39.555	-8.7937	4.7929
-39.592	14.485	3.451
-38.916	-0.56868	6.0974
-11.78	-31.134	-10.496
-39.786	11.33	26.667
-39.602	6.3717	6.0528
-6.6588	-8.7437	17.749
-42.69	7.1296	-26.912
-39.876	-6.3353	13.764
-39.292	-8.3911	4.8539
-38.942	7.0594	-12.208
-38.534	3.3669	5.8024
-20.324	-13.113	22.18
-11.403	-31.458	-10.333
-39.35	10.404	13.911
-39.829	-9.8171	4.5891
-42.687	7.1319	-26.917
-7.1764	-1.6699	-17.402
-39.952	-1.7335	6.254
-37.857	-5.9399	13.465
-40.709	-3.3501	27.685
-39.854	13.44	12.328
-15.374	-14.912	17.945
-11.376	-21.807	-7.24
-25.904	-7.2233	-3.455
-22.07	-9.6752	-17.401
-39.83	14.03	3.7597
-29.073	-17.262	11.481
-39.832	13.412	12.428
-22.322	-9.5441	-16.97
-40.734	-3.2758	27.79
-41.274	-0.72061	-11.945
-38.992	7.0733	-12.206
-42.689	7.1239	-26.918
-39.178	6.4605	6.0081
-7.8202	-19.417	-3.5094
-15.52	0.14818	-4.1141
-17.416	-14.437	-26.248
-42.696	7.1334	-26.919
-12.193	-31.056	-9.2758
-42.711	-0.56453	-27.063
-22.416	-19.534	2.1329
-40.259	13.405	12.596
-22.082	-9.6615	-17.42
-5.7484	-1.4645	-18.154
-39.014	7.0567	-12.196
-39.462	13.216	12.534
-9.7731	-22.489	-10.242
-42.752	-0.58636	-27.04
-20.117	-7.0602	-23.261
-20.008	-20.493	1.0261
-39.687	-6.8909	13.549
-39.598	13.26	12.464
-38.705	-0.60081	6.0626
-39.569	6.3368	6.049
-34.415	-9.1155	26.57
-38.989	7.0733	-12.207
-22.828	-16.199	-15.243
-39.816	13.364	12.568
-26.689	-13.266	-0.67807
-35.939	-6.2412	5.1803
-38.98	6.372	5.9973
-23.727	-8.9862	-11.9
-25.108	-8.2739	-6.3017
-14.527	-29.504	-3.93
-4.6385	-21.702	-17.997
-39.689	4.1795	34.64
-20.931	-2.3	-25.315
-39.898	11.515	26.807
-42.755	-0.57978	-27.065
-40.042	14.419	3.6943
-27.248	-12.185	0.80003
-42.705	7.2708	-26.912
-42.726	-0.56808	-27.042
-39.555	6.3906	6.0455
-39.313	-7.7449	13.393
-39.002	7.0358	-12.203
-20.438	-7.2611	-23.549
-28.014	-2.3671	-26.084
-40.309	14.763	3.7253
-40.035	13.318	12.592
-21.511	-7.3038	-24.774
-40.089	-1.3843	6.3014
-38.005	-8.0776	4.7825
-40.687	-3.3701	27.752
-39.858	11.505	26.805
-37.464	1.987	5.4938
-13.972	-2.0722	-11.608
-23.006	-16.098	-14.214
-16.158	5.4486	-8.6317
-42.719	-0.61826	-27.109
-39.718	4.0345	34.558
-38.653	6.2427	5.9919
-39.559	4.3198	34.645
-40.35	14.975	3.7711
-6.0665	-21.837	-16.686
-7.6635	-4.6889	-5.6643
-31.242	-16.122	3.0915
-42.685	7.1293	-26.915
-24.059	-15.864	-10.398
-6.991	-18.885	-4.6041
-40.766	-0.69869	-12.123
-42.842	-0.64326	-27.05
-13.532	-2.1877	-12.654
-38.822	4.2241	34.664
-20.391	-6.1641	-23.365
-40.08	-1.0065	6.3232
-39.876	-6.6613	13.564
-39.838	-0.71115	6.2759
-40.348	14.966	3.7656
-17.168	-14.919	-25.544
-24.723	-8.304	-7.291
-39.351	-8.2166	5.0233
-30.449	-16.655	11.53
-10.611	-22.097	-8.6765
-23.17	-9.1372	-14.519
-8.7285	-1.6231	-15.717
-33.29	-0.1085	4.7271
-39.281	11.514	5.0081
-39.309	-8.3	4.8892
-41.294	-0.67593	-11.943
-7.8495	-21.308	-15.415
-16.892	-15.524	-24.828
-40.034	13.427	12.532
-7.1583	-18.927	-4.419
-16.791	-15.602	-24.723
-41.26	-0.65294	-11.976
-41.277	-0.70418	-11.944
-25.727	2.7801	24.574
-20.305	-15.784	-26.949
-42.697	7.3974	-26.84
-39.274	6.5026	6.0123
-39.551	6.1367	6.0394
-42.714	-0.57051	-27.147
-39.649	4.2368	34.628
-20.199	-7.1991	-23.345
-40.826	-0.66691	-12.046
-8.9053	-7.8703	21.326
-39.765	13.343	12.549
-40.124	11.432	26.864
-27.171	-3.6582	2.1446
-39.85	14.168	3.7085
-38.988	7.0335	-12.203
-17.341	5.7802	-8.3137
-11.795	-31.116	-10.519
-39.741	-3.5679	27.554
-36.596	7.9837	14.668
-19.773	-15.429	-26.666
-38.766	7.1096	-12.243
-39.435	6.447	6.0223
-39.016	10.293	5.3923
-41.236	-0.65892	-11.986
-37.462	-5.8656	13.433
-39.025	-7.8166	4.8793
-40.432	-3.4075	27.704
-32.512	-0.54746	4.5182
-13.933	-2.0596	-11.855
-38.985	7.0734	-12.207
-14.244	-4.2775	-13.152
-21.499	-12.735	23.083
-11.729	-31.277	-10.645
-42.697	7.1348	-26.919
-22.405	-7.2127	-25.819
-42.72	-0.56802	-27.069
-22.152	-5.3539	30.181
-40.349	14.975	3.7711
-42.722	-0.56621	-27.086
-39.583	6.3364	6.0479
-42.714	-0.56343	-27.114
-40.263	13.592	12.647
-39.324	-8.2486	4.998
-41.275	-0.65321	-11.947
-12.307	-19.469	-13.269
-9.6067	-22.654	-11.547
-9.6737	-22.556	-10.455
-38.714	7.0423	-12.275
-39.454	4.3517	34.702
-11.667	-31.341	-10.797
-19.589	1.9184	21.777
-39.998	11.328	26.867
-26.281	-5.9156	-1.0411
-34.025	0.29853	4.9692
-40.126	13.496	12.637
-42.714	-0.56187	-27.053
-22.602	-16.424	-16.448
-35.918	1.0974	5.4225
-41.282	-0.66402	-11.941
-26.038	-2.6144	-26.015
-17.046	6.396	-4.6278
-39.176	4.244	34.692
-9.4601	-18.261	6.8822
-40.717	-3.3617	27.614
-39.09	4.2828	34.684
-40.78	-3.2487	27.805
-39.24	6.4672	6.0144
-39.81	-0.55603	6.2629
-39.638	-6.141	13.661
-6.9515	-18.977	-4.551
-15.336	-28.959	-1.926
-39.65	-6.1411	13.678
-27.937	-11.186	2.0301
-11.878	-31.2	-10.303
-40.668	-2.4007	-12.146
-39.679	-3.939	27.591
-38.924	-4.3242	5.9566
-23.474	-14.574	-26.307
-39.526	-8.7942	4.8254
-42.712	-0.57404	-27.138
-17.391	-14.645	-26.015
-38.242	-8.185	4.7936
-14.785	-0.54932	-6.6405
-22.11	-16.605	-17.18
-41.283	-0.73644	-11.946
-38.587	-0.62547	6.0506
-39.063	6.6849	-12.14
-17.786	6.9317	1.3026
-42.691	7.1418	-26.914
-25.514	-14.689	-3.3899
-39.796	13.86	3.8236
-7.9249	-19.29	-0.90737
-42.965	7.6714	-26.599
-39.289	6.5006	6.0142
-38.578	4.1741	34.637
-13.77	-2.0777	-12.324
-39.306	-8.4125	4.9152
-37.817	8.3179	14.453
-38.319	2.98	5.7302
-39.824	-0.56286	6.2717
-7.8672	-4.6046	-4.0376
-21.723	-3.162	-11.262
-39.921	-0.81246	6.2959
-37.297	8.0939	14.584
-40.08	14.767	3.7586
-42.712	-0.55785	-27.054
-41.379	-0.8203	-11.905
-42.7	7.1373	-26.923
-6.6562	-1.5923	-17.803
-40.737	-3.3671	27.771
-40.113	11.524	26.851
-23.296	-9.1132	-13.929
-39.607	6.3779	6.0523
-39.5	6.3846	6.0296
-16.979	1.3145	20.235
-33.856	-9.5132	26.365
-16.948	-15.583	-24.878
-20.298	-25.278	5.1037
-39.838	-6.4166	13.634
-39.604	6.392	6.0574
-36.847	9.5288	26.571
-42.727	-0.62501	-27.161
-17.703	-5.2817	-11.234
-35.37	0.89466	5.3211
-24.493	-8.5092	-8.2686
-7.1976	-5.1421	-4.7816
-35.982	8.6813	5.7937
-23.596	-9.0203	-12.694
-38.952	7.0002	-12.211
-36.016	2.499	-24.329
-19.189	-20.605	0.67203
-39.34	-8.2042	5.0161
-39.483	-7.289	13.514
-39.677	4.1395	34.615
-42.718	-0.61816	-27.091
-39.144	6.4518	6.0052
-39.518	4.3366	34.686
-38.857	-4.5646	27.524
-5.7495	-1.4998	-18.176
-40.785	-3.3275	27.789
-40.066	14.429	3.6937
-39.876	-0.62847	6.2746
-6.8922	-21.496	-16.028
-12.571	-30.815	-8.7557
-36.53	1.3655	5.4613
-1.5951	-11.674	-4.6811
-1.7939	-11.622	-0.59827
-35.288	3.129	33.513
-38.727	7.0947	-12.272
-1.7757	-11.695	-3.2343
-42.731	-0.63119	-27.15
-33.252	-14.698	12.067
-39.874	-0.61722	6.2795
-29.142	-2.3773	3.7477
-39.849	-6.3671	13.744
-38.858	-8.2782	4.8205
-10.995	-21.878	-7.7563
-39.712	3.9876	34.543
-23.87	-12.187	24.107
-39.571	14.571	3.6414
-39.335	-8.2469	5.0152
-40.046	11.49	26.879
-8.0223	-4.1731	1.3468
-8.8954	-2.992	6.7165
-39.098	-8.0557	4.8567
-38.75	7.122	-12.246
-34.402	-6.4131	-13.514
-8.7395	-18.711	4.794
-40.104	11.364	26.896
-41.017	-0.61009	-12.057
-42.472	-1.6216	-25.44
-40.296	14.579	3.6947
-28.313	3.0537	25.37
-40.021	14.417	3.6943
-21.277	-15.496	-11.916
-39.724	13.689	3.8363
-39.653	13.291	12.518
-1.9567	-11.387	3.3715
-39.063	-3.7714	27.45
-24.226	-15.754	-9.4828
-9.62	-1.7068	-15.209
-33.715	5.6728	26.292
-33.629	-15.33	3.3792
-9.1666	-1.6301	-15.489
-42.694	7.1439	-26.916
-10.525	-20.111	-13.974
-26.101	-14.129	-2.5375
-39.114	-3.5089	-12.498
-24.117	-8.8184	-10.175
-15.317	-0.012445	-4.6766
-41.257	-1.5482	-12.027
-11.902	-31.125	-10.34
-37.424	3.767	34.358
-40.278	13.625	12.637
-39.793	-10.64	4.5749
-37.576	3.8209	34.427
-13.632	-2.1353	-12.589
-17.95	2.0823	0.73833
-39.077	6.8433	-12.196
-35.785	-7.6001	4.6635
-38.964	7.0661	-12.207
-42.716	-0.61469	-27.088
-42.716	-0.56878	-27.058
-40.154	14.616	3.6397
-7.4111	-19.149	-4.4483
-5.8649	-9.1385	16.446
-39.303	6.5102	6.0107
-9.6791	-22.533	-11.482
-22.092	5.8092	3.2594
-16.858	-15.561	-24.782
-17.04	6.4558	-3.633
-39.797	11.4	26.72
-38.997	-7.827	4.9014
-42.735	-0.56977	-27.023
-27.057	-17.319	2.936
-36.38	9.1337	26.441
-39.64	-6.2133	13.719
-5.8854	-21.935	-16.91
