level_0	level_1	frames = 140 markers = 13 Hz = 30
-33.19336813186824	-9.6776	29.815
-32.078368131868245	-2.9046	22.276
-32.222368131868244	-16.07	22.089
-30.661368131868244	0.48912	9.3247
-32.01636813186825	-19.545	8.9728
-31.173368131868244	2.6093	-0.4615
-30.920368131868244	-22.065	-0.6623
-31.633368131868245	-5.5424	0.5036
-30.87936813186824	-14.056	0.5083
-30.794368131868247	-5.5268	-15.937
-29.82736813186824	-13.219	-15.9
-30.011368131868245	-5.518	-30.954
-28.88236813186824	-12.429	-30.895
-33.225368131868244	-9.6737	29.818
-32.11136813186825	-2.9005	22.287
-32.21436813186824	-16.069	22.094
-30.953368131868245	0.44512	9.2709
-32.01536813186824	-19.57	8.9833
-31.035368131868246	2.5933	-0.5222
-30.925368131868247	-22.109	-0.6477
-31.637368131868243	-5.5416	0.5124
-30.874368131868245	-14.055	0.5156
-30.950368131868245	-5.5498	-15.935
-29.97336813186824	-13.255	-15.903
-30.014368131868245	-5.5196	-30.944
-28.88236813186824	-12.433	-30.886
-33.25936813186824	-9.6698	29.822
-32.14536813186824	-2.8961	22.297
-32.206368131868246	-16.069	22.098
-30.999368131868245	0.41492	9.2705
-32.01436813186824	-19.596	8.9941
-30.929368131868245	2.5585	-0.5236
-30.930368131868242	-22.154	-0.6325
-31.642368131868245	-5.5409	0.5214
-30.868368131868245	-14.053	0.5231
-30.954368131868243	-5.5505	-15.926
-29.972368131868244	-13.257	-15.896
-30.01636813186824	-5.5211	-30.935
-28.88236813186824	-12.437	-30.879
-33.28736813186825	-9.6665	29.825
-32.17536813186824	-2.8924	22.306
-32.19936813186824	-16.068	22.102
-31.09836813186824	0.38162	9.2571
-32.01436813186824	-19.618	9.0032
-30.832368131868243	2.5322	-0.5321
-30.93436813186824	-22.193	-0.6194
-31.646368131868243	-5.5403	0.529
-30.864368131868247	-14.052	0.5294
-30.956368131868246	-5.5508	-15.918
-29.969368131868244	-13.257	-15.89
-30.018368131868243	-5.5224	-30.927
-28.881368131868243	-12.44	-30.873
-33.322368131868245	-9.6625	29.828
-32.209368131868246	-2.888	22.317
-32.19036813186824	-16.067	22.107
-31.222368131868244	0.33902	9.2402
-32.01336813186825	-19.644	9.0142
-30.715368131868246	2.4997	-0.5372
-30.94036813186824	-22.239	-0.6039
-31.65036813186824	-5.5395	0.5381
-30.859368131868244	-14.05	0.537
-30.959368131868246	-5.5513	-15.909
-29.96736813186824	-13.259	-15.883
-30.020368131868246	-5.5239	-30.918
-28.881368131868243	-12.443	-30.866
-33.34536813186824	-9.6598	29.83
-32.234368131868244	-2.885	22.324
-32.18436813186824	-16.066	22.11
-31.352368131868246	0.30172	9.2196
-32.01336813186825	-19.662	9.0218
-30.62936813186824	2.4783	-0.5405
-30.944368131868245	-22.271	-0.593
-31.654368131868246	-5.539	0.5445
-30.855368131868246	-14.049	0.5423
-30.962368131868246	-5.5517	-15.903
-29.96736813186824	-13.26	-15.878
-30.021368131868243	-5.5249	-30.911
-28.881368131868243	-12.446	-30.861
-33.36436813186825	-9.6577	29.832
-32.25336813186824	-2.8827	22.33
-32.18036813186824	-16.066	22.112
-31.441368131868245	0.27342	9.2064
-32.01236813186824	-19.676	9.0277
-30.564368131868243	2.4606	-0.5384
-30.94636813186824	-22.296	-0.5845
-31.65636813186824	-5.5386	0.5494
-30.852368131868246	-14.048	0.5464
-30.96436813186824	-5.552	-15.898
-29.96436813186824	-13.26	-15.874
-30.02236813186824	-5.5257	-30.906
-28.881368131868243	-12.448	-30.858
-33.37636813186825	-9.6563	29.833
-32.26536813186824	-2.8811	22.334
-32.176368131868244	-16.065	22.114
-31.447368131868245	0.26202	9.2081
-32.01236813186824	-19.685	9.0317
-30.527368131868243	2.4466	-0.5334
-30.947368131868245	-22.313	-0.5786
-31.658368131868244	-5.5384	0.5527
-30.850368131868244	-14.048	0.5492
-30.96436813186824	-5.5521	-15.894
-29.962368131868246	-13.26	-15.871
-30.023368131868246	-5.5263	-30.903
-28.881368131868243	-12.449	-30.855
-33.37536813186824	-9.6565	29.833
-32.26436813186824	-2.8811	22.333
-32.17736813186824	-16.065	22.113
-31.347368131868244	0.27702	9.2277
-32.01236813186824	-19.685	9.0314
-30.54336813186824	2.4442	-0.5279
-30.947368131868245	-22.311	-0.5791
-31.658368131868244	-5.5384	0.5524
-30.850368131868244	-14.048	0.549
-30.965368131868246	-5.5524	-15.895
-29.96436813186824	-13.261	-15.871
-30.023368131868246	-5.5262	-30.903
-28.881368131868243	-12.449	-30.855
-33.35736813186824	-9.6585	29.831
-32.246368131868245	-2.8833	22.328
-32.18136813186824	-16.066	22.111
-31.133368131868245	0.31822	9.2671
-32.01236813186824	-19.671	9.0256
-30.624368131868245	2.4558	-0.515
-30.945368131868243	-22.287	-0.5876
-31.655368131868244	-5.5388	0.5476
-30.853368131868244	-14.049	0.5449
-30.96136813186824	-5.552	-15.9
