level_0	level_1	frames = 94 markers = 13 Hz = 30
-21.502468085106365	-2.5919	17.2
-21.462468085106366	4.2448	10.137
-21.570468085106363	-9.7746	10.372
-24.639468085106365	8.1925	-2.6912
-25.41046808510636	-13.212	-2.4101
-31.26146808510636	5.999	-8.2158
-31.695468085106363	-11.595	-8.4853
-18.97046808510636	-0.11845	-9.729
-18.816468085106365	-6.9736	-9.7332
-35.590468085106366	6.2534	-13.154
-35.74846808510637	-11.851	-13.966
-32.566468085106365	3.7092	-28.261
-31.571468085106364	-8.483	-28.637
-21.463468085106364	-2.5869	17.196
-21.457468085106363	4.239	10.14
-21.554468085106365	-9.7805	10.371
-24.64746808510636	8.1921	-2.6837
-25.402468085106364	-13.211	-2.4111
-31.26346808510636	5.9977	-8.215
-31.68846808510636	-11.607	-8.4891
-18.966468085106364	-0.11397	-9.729
-18.81246808510636	-6.9691	-9.7332
-35.58646808510636	6.257	-13.151
-35.73846808510636	-11.863	-13.97
-32.57146808510636	3.7082	-28.26
-31.567468085106363	-8.4821	-28.64
-21.43146808510636	-2.5707	17.189
-21.447468085106365	4.2446	10.142
-21.53846808510636	-9.7763	10.37
-24.648468085106366	8.1967	-2.6789
-25.395468085106366	-13.208	-2.4088
-31.260468085106364	6.0017	-8.2158
-31.681468085106363	-11.621	-8.4912
-18.966468085106364	-0.11371	-9.7328
-18.80646808510636	-6.9687	-9.7384
-35.58546808510636	6.2633	-13.151
-35.73346808510637	-11.866	-13.969
-32.569468085106365	3.7101	-28.259
-31.57446808510636	-8.4798	-28.641
-21.41946808510636	-2.5672	17.192
-21.436468085106362	4.2436	10.149
-21.524468085106363	-9.7778	10.366
-24.655468085106364	8.1919	-2.6687
-25.384468085106363	-13.213	-2.4104
-31.259468085106363	6.0081	-8.2187
-31.672468085106363	-11.634	-8.493
-18.960468085106363	-0.11281	-9.7328
-18.801468085106364	-6.9678	-9.7384
-35.57946808510636	6.262	-13.155
-35.725468085106364	-11.876	-13.967
-32.57046808510636	3.7074	-28.264
-31.575468085106362	-8.4828	-28.64
-21.41946808510636	-2.5654	17.195
-21.41946808510636	4.2402	10.166
-21.49546808510636	-9.7857	10.385
-24.667468085106364	8.1791	-2.6473
-25.396468085106363	-13.193	-2.3863
-31.25846808510636	6.0088	-8.2182
-31.66546808510636	-11.651	-8.4967
-18.957468085106363	-0.11271	-9.7343
-18.793468085106362	-6.9677	-9.7369
-35.57446808510636	6.2676	-13.152
-35.71746808510636	-11.88	-13.962
-32.566468085106365	3.707	-28.26
-31.579468085106363	-8.4788	-28.637
-21.561468085106362	-2.3504	17.151
-21.37646808510636	4.4205	10.136
-21.191468085106365	-9.5885	10.447
-24.651468085106366	8.2731	-2.6961
-25.491468085106362	-12.904	-2.2208
-31.256468085106363	6.0004	-8.2092
-31.655468085106364	-11.679	-8.5088
-18.957468085106363	-0.11579	-9.7377
-18.79046808510636	-6.9708	-9.7388
-35.569468085106365	6.2668	-13.175
-35.712468085106366	-11.89	-13.962
-32.66846808510636	3.5076	-28.267
-31.58346808510636	-8.479	-28.636
-21.582468085106363	-2.3641	17.161
-21.353468085106364	4.4154	10.134
-21.16346808510636	-9.5921	10.45
-24.64446808510636	8.2734	-2.6923
-25.488468085106362	-12.898	-2.2121
-31.24946808510636	5.9946	-8.2037
-31.649468085106363	-11.69	-8.5055
-18.951468085106363	-0.11269	-9.736
-18.78546808510636	-6.9677	-9.7386
-35.56546808510636	6.2663	-13.17
-35.70546808510636	-11.894	-13.962
-32.664468085106364	3.5109	-28.264
-31.585468085106363	-8.4662	-28.636
-21.58946808510636	-2.3557	17.194
-21.293468085106362	4.4284	10.154
-21.106468085106364	-9.5783	10.475
-24.62046808510636	8.2139	-2.6849
-25.536468085106364	-12.871	-2.1537
-31.239468085106363	6.001	-8.2062
-31.642468085106362	-11.699	-8.5078
-18.95846808510636	-0.1295	-9.7353
-18.886468085106365	-6.986	-9.7141
-35.56546808510636	6.2678	-13.176
-35.789468085106364	-11.923	-13.993
-32.66646808510636	3.5096	-28.269
-31.584468085106362	-8.4734	-28.637
-21.642468085106366	-2.3739	17.18
-21.28746808510636	4.434	10.13
-21.103468085106364	-9.5723	10.451
-24.63246808510636	8.284	-2.6845
-25.487468085106364	-12.859	-2.1948
-31.225468085106364	5.9938	-8.2062
-31.64146808510636	-11.7	-8.5048
-18.948468085106363	-0.11896	-9.7366
-18.77846808510636	-6.9739	-9.7435
-35.56146808510636	6.2601	-13.177
-35.700468085106365	-11.901	-13.96
-32.667468085106364	3.5045	-28.272
-31.588468085106364	-8.4722	-28.636
-21.65346808510636	-2.3857	17.204
-21.235468085106362	4.4302	10.146
-21.054468085106365	-9.5748	10.471
-24.60546808510636	8.2186	-2.6807
-25.52946808510636	-12.848	-2.1467
-31.21746808510636	5.9967	-8.2064
-31.634468085106363	-11.701	-8.5064
-18.94646808510636	-0.13345	-9.7395
-18.87646808510636	-6.99	-9.7243
-35.55546808510636	6.2572	-13.181
-35.783468085106364	-11.921	-13.991
-32.670468085106364	3.4988	-28.277
-31.584468085106362	-8.4671	-28.635
-21.69046808510636	-2.4234	17.211
-21.20546808510636	4.4354	10.141
-21.02246808510636	-9.5671	10.467
-24.59546808510636	8.223	-2.6805
-25.51346808510636	-12.837	-2.1464
-31.204468085106363	5.9925	-8.2065
-31.622468085106362	-11.702	-8.5045
-18.941468085106365	-0.1358	-9.7396
-18.866468085106362	-6.9923	-9.726
-35.55246808510636	6.2521	-13.175
-35.77646808510636	-11.92	-13.988
-32.664468085106364	3.5064	-28.272
-31.585468085106363	-8.4696	-28.636
-21.682468085106365	-2.4049	17.215
-21.188468085106365	4.4356	10.146
-21.003468085106363	-9.5676	10.47
-24.59546808510636	8.2225	-2.6722
-25.509468085106363	-12.827	-2.1406
-31.200468085106362	5.9925	-8.2032
-31.61846808510636	-11.697	-8.4991
-18.938468085106365	-0.13724	-9.738
-18.862468085106364	-6.9937	-9.7258
-35.548468085106364	6.2518	-13.175
-35.77246808510636	-11.919	-13.987
-32.664468085106364	3.5008	-28.272
-31.593468085106363	-8.4657	-28.638
-21.676468085106364	-2.4127	17.217
-21.168468085106362	4.4319	10.134
-20.97946808510636	-9.5686	10.459
-24.58946808510636	8.2227	-2.6791
-25.49546808510636	-12.828	-2.1481
-31.201468085106363	5.9886	-8.2008
-31.61246808510636	-11.695	-8.4986
-18.93446808510636	-0.13625	-9.7432
-18.85846808510636	-6.9927	-9.7278
-35.548468085106364	6.2466	-13.174
-35.77046808510636	-11.914	-13.986
-32.66346808510636	3.5049	-28.273
-31.58946808510636	-8.4701	-28.638
-21.671468085106362	-2.4033	17.22
-21.15346808510636	4.4432	10.138
-20.95546808510636	-9.5575	10.46
-24.58946808510636	8.2245	-2.6736
-25.48946808510636	-12.811	-2.1425
-31.19746808510636	5.9885	-8.1992
-31.602468085106363	-11.694	-8.499
-18.93146808510636	-0.137	-9.7401
-18.85446808510636	-6.9935	-9.729
-35.542468085106364	6.2518	-13.175
-35.76846808510636	-11.912	-13.985
-32.66946808510636	3.5019	-28.275
