level_0	level_1	frames = 178 markers = 13 Hz = 30
33.47	0.70029	-30.923548861192735
34.136	-6.3869	-23.228548861192735
34.211	7.6557	-23.14954886119274
32.234	-8.5775	-9.46644886119274
33.075	9.8023	-9.30694886119274
31.015	-9.9415	-0.65576886119274
32.36	11.141	-0.44716886119274
34.735	-3.6373	-2.83284886119274
34.324	4.7183	-2.83764886119274
34.823	-3.3971	14.93945113880726
34.767	5.1547	14.92745113880726
34.913	-3.1735	30.521451138807265
35.142	5.5104	30.509451138807265
33.493	0.70899	-30.919548861192737
34.128	-6.373	-23.228548861192735
34.227	7.666	-23.126548861192738
32.203	-8.5314	-9.46434886119274
33.061	9.8143	-9.28694886119274
30.97	-9.874	-0.65226886119274
32.327	11.154	-0.42886886119274004
34.712	-3.648	-2.82564886119274
34.306	4.7079	-2.83224886119274
34.658	-3.4573	14.94745113880726
34.538	5.1282	14.937451138807258
34.912	-3.1747	30.52645113880726
35.036	5.4128	30.51745113880726
33.507	0.71799	-30.91554886119274
34.124	-6.3627	-23.231548861192735
34.242	7.6745	-23.109548861192735
32.251	-8.4928	-9.45544886119274
33.04	9.8203	-9.27174886119274
31.052	-9.8186	-0.63616886119274
32.282	11.158	-0.41546886119274007
34.684	-3.6567	-2.81854886119274
34.288	4.6997	-2.82844886119274
34.645	-3.4643	14.954451138807261
34.531	5.127	14.940451138807259
34.913	-3.1809	30.53345113880726
35.037	5.418	30.52045113880726
33.494	0.73699	-30.920548861192735
34.127	-6.3418	-23.224548861192737
34.237	7.6902	-23.108548861192737
32.219	-8.4463	-9.44994886119274
33.011	9.8217	-9.27084886119274
30.997	-9.7558	-0.63136886119274
32.238	11.15	-0.41446886119274007
34.667	-3.6735	-2.82754886119274
34.273	4.683	-2.83034886119274
34.635	-3.4697	14.945451138807261
34.523	5.1138	14.93845113880726
34.913	-3.1755	30.524451138807265
35.034	5.408	30.518451138807265
33.483	0.76479	-30.919548861192737
34.125	-6.3158	-23.230548861192737
34.235	7.7167	-23.102548861192737
32.192	-8.392	-9.45494886119274
32.981	9.8343	-9.26534886119274
30.953	-9.6832	-0.63596886119274
32.191	11.154	-0.40916886119274
34.656	-3.6871	-2.82924886119274
34.264	4.6695	-2.8268488611927403
34.628	-3.478	14.943451138807259
34.524	5.1169	14.94145113880726
34.908	-3.1795	30.522451138807263
35.038	5.427	30.52045113880726
33.465	0.79999	-30.922548861192737
34.128	-6.2871	-23.239548861192738
34.223	7.7427	-23.093548861192737
32.169	-8.3486	-9.46484886119274
32.953	9.8373	-9.25434886119274
30.915	-9.6295	-0.64676886119274
32.153	11.143	-0.39696886119274
34.645	-3.7013	-2.83984886119274
34.258	4.6554	-2.82354886119274
34.497	-3.4298	14.931451138807262
34.517	5.1107	14.94445113880726
34.675	-3.0765	30.509451138807265
35.037	5.4268	30.52345113880726
33.432	0.83599	-30.920548861192735
34.123	-6.2601	-23.251548861192738
34.206	7.7709	-23.08554886119274
32.146	-8.3114	-9.478248861192741
32.923	9.8401	-9.24384886119274
30.878	-9.5835	-0.66076886119274
32.114	11.129	-0.38486886119274
34.642	-3.7097	-2.83984886119274
34.252	4.6469	-2.82184886119274
34.496	-3.4341	14.931451138807262
34.517	5.1022	14.946451138807259
34.674	-3.0771	30.509451138807265
35.038	5.4198	30.525451138807263
33.409	0.94749	-30.919548861192737
34.126	-6.2237	-23.261548861192736
34.192	7.8044	-23.069548861192736
32.134	-8.2903	-9.49304886119274
32.904	9.8235	-9.22104886119274
30.852	-9.5639	-0.67786886119274
32.091	11.08	-0.35776886119274
34.634	-3.7125	-2.83984886119274
34.247	4.6442	-2.8217488611927397
34.497	-3.4361	14.931451138807262
34.512	5.1025	14.946451138807259
34.676	-3.0806	30.509451138807265
35.034	5.4234	30.525451138807263
33.303	0.98159	-30.895548861192736
34.077	-6.1718	-23.27854886119274
34.153	7.8577	-23.020548861192736
32.111	-8.2869	-9.51384886119274
32.876	9.8558	-9.16754886119274
30.832	-9.5597	-0.69816886119274
32.07	11.098	-0.30156886119274007
34.641	-3.7527	-2.83704886119274
34.406	4.6096	-2.79934886119274
34.498	-3.4584	14.934451138807258
34.586	5.088	14.969451138807258
34.681	-3.0893	30.512451138807265
35.032	5.422	30.55045113880726
33.215	1.0595	-30.889548861192736
34.08	-6.1069	-23.29054886119274
34.143	7.9132	-22.986548861192738
32.132	-8.323	-9.53874886119274
32.857	9.894	-9.132148861192741
30.822	-9.5791	-0.72526886119274
32.046	11.126	-0.26524886119273994
34.638	-3.7473	-2.83514886119274
34.403	4.615	-2.79754886119274
34.499	-3.455	14.93645113880726
34.587	5.0894	14.97045113880726
34.683	-3.0878	30.513451138807262
35.037	5.4207	30.55145113880726
33.092	1.1425	-30.88454886119274
