level_0	level_1	frames = 115 markers = 13 Hz = 30
-19.504	-7.2966	29.782
-18.856	-14.584	21.745
-20.977	-0.063125	21.889
-17.028	-15.867	7.966
-20.721	2.3584	8.1557
-15.854	-16.656	-0.90512
-20.007	3.3816	-0.73122
-20.523	-11.448	1.6519
-21.343	-3.2641	1.6566
-20.878	-10.744	-16.1
-21.403	-3.6063	-16.111
-21.214	-10.098	-32.099
-21.439	-3.94	-32.131
-19.572	-7.3116	29.779
-18.855	-14.582	21.719
-21.165	-0.10486	21.923
-17.07	-15.809	7.9301
-20.809	2.2952	8.1879
-15.922	-16.562	-0.94762
-20.144	3.4031	-0.69282
-20.47	-11.449	1.64
-21.305	-3.2665	1.6578
-20.694	-10.774	-16.116
-21.226	-3.5523	-16.111
-21.216	-10.096	-32.108
-21.438	-3.9334	-32.128
-19.66	-7.3237	29.789
-18.856	-14.581	21.708
-21.197	-0.11539	21.924
-17.145	-15.756	7.9051
-20.992	2.423	8.2108
-16.045	-16.475	-0.98142
-20.169	3.405	-0.67152
-20.358	-11.454	1.6472
-21.268	-3.2796	1.6596
-20.665	-10.796	-16.108
-21.215	-3.5476	-16.109
-21.265	-10.135	-32.098
-21.456	-3.9167	-32.127
-19.721	-7.344	29.791
-18.84	-14.579	21.687
-21.021	-0.093035	21.861
-17.16	-15.74	7.8787
-21.077	2.6345	8.1828
-16.08	-16.45	-1.011
-20.002	3.3865	-0.69442
-20.304	-11.448	1.6491
-21.246	-3.2772	1.6631
-20.644	-10.801	-16.106
-21.213	-3.5398	-16.106
-21.274	-10.15	-32.095
-21.462	-3.9016	-32.123
-19.787	-7.3579	29.791
-18.852	-14.592	21.709
-20.995	-0.096485	21.855
-17.163	-15.763	7.9031
-21.225	2.8663	8.2269
-16.076	-16.48	-0.98532
-19.695	3.3107	-0.60402
-20.258	-11.451	1.6458
-21.243	-3.2851	1.6719
-20.617	-10.8	-16.108
-21.208	-3.5419	-16.097
-21.268	-10.146	-32.097
-21.462	-3.9016	-32.114
-19.822	-7.3863	29.783
-18.821	-14.604	21.698
-20.969	-0.10868	21.849
-17.123	-15.818	7.8965
-21.332	3.1961	8.3029
-16.028	-16.563	-0.98872
-19.251	3.3314	-0.42482
-20.293	-11.456	1.6421
-21.241	-3.2857	1.6738
-20.627	-10.802	-16.112
-21.22	-3.5123	-16.096
-21.256	-10.144	-32.102
-21.487	-3.8436	-32.113
-19.868	-7.4577	29.755
-18.81	-14.66	21.697
-20.924	-0.15061	21.83
-16.835	-15.967	7.9407
-21.365	3.4674	8.367
-15.561	-16.772	-0.91582
-18.638	3.288	-0.18012
-20.266	-11.408	1.6482
-21.259	-3.2435	1.6407
-20.603	-10.77	-16.107
-21.231	-3.4931	-16.129
-21.237	-10.128	-32.097
-21.487	-3.8458	-32.146
-19.938	-7.4748	29.785
-18.831	-14.661	21.739
-20.901	-0.14278	21.862
-16.656	-16.047	8.0211
-21.188	3.8387	8.4979
