level_0	level_1	frames = 115 markers = 13 Hz = 30
-38.062	-0.17959	-31.269716468896313
-38.57	7.037	-23.479716468896314
-38.61	-7.8897	-24.27471646889631
-39.345	9.3002	-9.533316468896317
-36.528	-9.5828	-10.392216468896317
-39.833	10.764	-0.32471646889631645
-35.162	-10.661	-1.2288964688963164
-38.882	2.3464	-2.9784964688963163
-38.975	-4.8447	-2.9827964688963164
-38.582	1.265	15.180283531103685
-38.824	-5.0654	15.207283531103686
-40.633	0.19678	29.98228353110369
-42.27	-4.1564	29.766283531103685
-38.123	-0.12504	-31.27471646889631
-38.572	7.0883	-23.488716468896314
-38.685	-7.8394	-24.277716468896312
-39.235	9.4345	-9.550316468896316
-36.667	-9.6139	-10.396716468896317
-39.648	10.952	-0.34681646889631645
-35.343	-10.746	-1.2336964688963166
-38.81	2.4002	-2.9818964688963163
-38.916	-4.7906	-2.9864964688963163
-38.844	1.2691	15.176283531103683
-39.525	-4.7945	15.197283531103684
-40.656	0.19217	30.009283531103684
-42.223	-4.1098	29.925283531103688
-38.187	-0.052405	-31.268716468896315
-38.587	7.1542	-23.511716468896314
-38.754	-7.7806	-24.287716468896313
-39.153	9.5415	-9.576016468896317
-36.816	-9.665	-10.409216468896316
-39.503	11.087	-0.3746164688963165
-35.545	-10.869	-1.2480964688963163
-38.738	2.4139	-2.9778964688963168
-38.87	-4.7766	-2.9653964688963166
-38.878	1.2683	15.178283531103686
-39.703	-4.9699	15.208283531103683
-40.662	0.19271	30.015283531103684
-42.193	-4.5445	29.98228353110369
-38.252	-0.082345	-31.280716468896312
-38.654	7.1208	-23.518716468896315
-38.815	-7.8109	-24.276716468896314
-39.091	9.5783	-9.590316468896317
-36.989	-9.7643	-10.392716468896317
-39.356	11.17	-0.3939164688963164
-35.794	-11.014	-1.2274964688963164
-38.668	2.4975	-2.985796468896316
-38.839	-4.692	-2.966396468896316
-38.949	1.2933	15.165283531103684
-39.751	-4.7508	15.205283531103683
-40.657	0.18724	30.008283531103686
-41.786	-4.3636	30.051283531103685
-38.372	-0.052555	-31.221716468896314
-38.774	7.14	-23.442716468896315
-38.905	-7.7862	-24.185716468896313
-39.064	9.6215	-9.515216468896316
-37.155	-9.8459	-10.306916468896317
-39.231	11.228	-0.3192164688963164
-36.01	-11.166	-1.1452164688963165
-38.531	2.5057	-2.9860964688963163
-38.574	-4.685	-2.888996468896316
-39.03	1.3065	15.161283531103686
-39.598	-4.4393	15.275283531103684
-40.658	0.19605	30.01328353110369
-41.221	-3.9779	30.17128353110369
-38.466	-0.11741	-31.238716468896314
-38.822	7.0957	-23.420716468896313
-39.087	-7.8028	-24.141716468896313
-38.995	9.6025	-9.496216468896316
-37.366	-9.9634	-10.274916468896317
-39.088	11.226	-0.3020164688963165
-36.24	-11.35	-1.1207164688963165
-38.409	2.4622	-2.9966964688963165
-38.657	-4.7242	-2.8949964688963163
-39.115	1.2582	15.143283531103686
-39.843	-4.3182	15.257283531103687
-40.647	0.19042	30.008283531103686
-41.204	-3.832	30.179283531103685
-38.575	-0.21915	-31.260716468896312
-38.913	6.9951	-23.400716468896313
-39.174	-7.892	-24.139716468896314
-38.886	9.5528	-9.484116468896316
-37.544	-10.109	-10.270516468896316
-38.847	11.21	-0.29531646889631635
-36.479	-11.533	-1.1149164688963165
-38.278	2.4288	-3.0141964688963165
-38.629	-4.7536	-2.9298964688963167
-39.166	1.2335	15.118283531103684
-39.892	-4.3271	15.216283531103686
-40.632	0.19349	29.992283531103688
-41.194	-3.8616	30.14428353110369
-38.66	-0.35083	-31.293716468896314
-38.958	6.8957	-23.434716468896312
-39.276	-7.9888	-24.161716468896312
-38.802	9.4307	-9.514316468896316
-37.71	-10.256	-10.293716468896317
-38.678	11.071	-0.3231164688963164
-36.688	-11.713	-1.1386164688963165
-38.208	2.4261	-3.0255964688963166
-38.674	-4.7503	-2.9810964688963164
-39.186	1.2315	15.102283531103685
-39.957	-4.4172	15.165283531103684
-40.63	0.20323	29.97928353110369
-41.278	-4.0242	30.093283531103687
-38.74	-0.43529	-31.289716468896312
-38.986	6.8574	-23.438716468896313
