		frames = 114 markers = 13 Hz = 30
-28.22	12.733	22.16
-36.184	0.25352	29.452
-25.846	1.8984	0.37339
-26.261	-0.69586	22.336
-20.743	-4.8794	8.141
-37.062	-4.3769	0.11209
-34.337	1.107	-0.0034113
-39.656	-4.4845	-30.166
-45.93	3.7298	2.5959
-39.501	-4.4129	-29.917
-31.252	11.267	11.233
-29.296	10.861	22.337
-41.633	-13.839	0.18769
-16.749	-4.8089	7.8237
-26.221	9.4397	-15.823
-34.283	-6.4392	22.033
-30.075	0.35909	28.745
-25.362	8.3041	-30.388
-24.802	1.3656	-15.706
-29.439	10.405	22.441
-35.265	-6.1986	21.87
-24.006	0.9634	-30.094
-26.46	-1.567	28.489
-35.01	-6.0462	21.768
-36.839	11.235	-1.4076
-37.031	10.286	9.1537
-28.413	12.711	22.097
-38.81	-5.1969	-15.608
-25.75	3.653	7.3822
-36.5	-2.186	-15.185
-30.172	17.411	1.7078
-38.019	-4.0081	-15.677
-17.43	-4.9381	7.8818
-29.983	-0.23328	0.14599
-35.246	-6.1741	21.775
-28.884	11.394	22.319
-38.089	-3.4332	-15.961
-35.988	7.4538	22.195
-31.471	7.7868	8.1258
-24.226	-3.1057	28.371
-29.758	4.491	21.242
-38.478	-4.8957	-15.653
-39.15	-3.0143	-30.508
-26.319	2.9753	29.393
-36.088	0.28418	29.479
-33.096	-2.4696	22.106
-37.28	4.3371	0.11449
-37.161	4.8366	0.093589
-22.468	-4.7272	8.432
-38.082	-3.4643	-15.963
-25.794	6.4111	29.493
-24.094	-2.8068	28.661
-38.025	-3.6726	-15.942
-26.872	6.1915	29.641
-37.145	-4.2237	0.10359
-34.707	11.106	-1.2826
-18.794	-9.3405	-0.97291
-37.23	4.4511	0.090289
-36.231	13.556	2.7208
-27.388	16.064	8.9526
-27.727	-0.69968	28.578
-28.406	12.424	22.096
-36.522	9.61	8.9606
-37.191	-3.9296	0.10099
-26.31	5.2939	29.43
-35.26	-6.191	21.845
-24.682	1.3959	-15.61
-25.334	18.519	-1.0622
-26.249	9.3776	-15.781
-25.586	6.3431	29.478
-25.446	2.1435	0.46509
-25.642	6.4504	29.465
-37.905	4.9395	-16.001
-36.263	0.30507	29.4
-35.934	-7.1233	22.318
-37.891	5.0854	-15.925
-37.201	4.9172	0.17099
-37.028	3.7547	0.23709
-28.35	12.765	22.121
-38.173	-4.4855	-15.634
-24.208	1.0326	-30.228
-39.387	-4.0255	-30.074
-38.774	-10.448	9.5111
-37.916	5.141	-15.826
-33.758	-0.40288	-14.773
-35.261	-6.1929	21.852
-25.575	18.617	-1.0711
-25.4	8.2127	-30.339
-26.707	10.876	0.20749
-32.431	9.8189	-2.1558
-27.169	-1.3347	22.056
-39.15	-3.0182	-30.507
-25.029	0.97279	-15.706
-37.219	4.5792	0.075689
-19.596	-5.3269	20.168
-36.252	-8.9237	8.6543
-28.392	12.71	21.982
-39.391	-3.8709	-30.217
-26.16	9.5626	-15.825
-22.231	-6.1724	20.863
-24.919	-0.43286	29.031
-36.554	-8.7773	8.6486
-26.891	10.595	0.27839
-37.92	5.1543	-15.803
-27.243	-1.8224	21.923
-24.241	0.96228	-30.526
-35.131	-6.0306	21.744
-35.253	-6.1821	21.812
-25.435	8.1929	-30.286
-46.957	1.8072	2.5009
-31.383	2.5113	22.623
-37.547	-10.776	-1.7126
-38.049	-3.6016	-15.955
-25.357	8.3129	-30.387
-26.128	-3.5812	21.621
-24.023	0.96301	-30.207
-31.65	10.759	11.381
-25.351	8.3211	-30.339
-36.562	9.5282	9.0327
-36.167	7.304	22.4
-41.712	-9.6722	10.15
-24.742	1.3703	-15.582
-35.73	7.3591	22.141
-23.886	1.8479	-2.9681
-22.693	-5.855	20.974
-27.493	-0.54578	-15.752
-36.09	11.667	-1.385
-26.628	8.6647	-15.527
-26.681	16.022	9.1099
-37.239	4.9937	0.24419
-39.15	-3.0148	-30.508
-39.151	-3.0138	-30.51
-27.365	4.5886	7.3298
-36.531	-8.8392	8.5089
-26.999	-2.5009	21.65
-27.102	-2.2311	21.75
-37.175	4.8652	0.12109
-28.116	5.189	7.4151
-39.388	-3.8858	-30.219
-24.767	1.3772	-15.625
-28.968	7.5387	-15.594
-37.545	-10.784	-1.7193
-39.15	-3.0103	-30.505
-24.477	-1.9085	28.847
-37.151	-11.418	-1.38
-24.202	1.0408	-30.245
-25.374	8.2857	-30.382
-37.467	-10.95	-1.7422
-25.359	-4.2522	21.419
-31.122	5.4028	21.477
-37.231	12.858	2.8559
-32.377	8.3972	8.3302
-24.649	0.56846	-15.694
-24.728	1.3909	-15.472
-24.649	-4.4112	9.0072
-25.353	2.1855	0.46599
-38.073	-3.5034	-15.966
-36.624	3.6642	-15.847
-26.196	-0.63169	22.336
-33.255	9.0451	8.5336
-37.886	5.0672	-15.957
-37.278	4.2749	0.12229
-24.683	1.3976	-15.565
-23.975	0.96545	-30.097
-37.401	-5.2119	0.44039
-24.016	0.96571	-30.106
-23.972	0.96361	-30.126
-37.628	-5.8763	0.38059
-36.163	7.3116	22.371
-37.358	10.309	9.032
-27.374	8.169	-15.593
-25.956	0.4735	-15.959
-31.577	1.8645	22.609
-25.308	8.3959	-30.343
-25.43	6.4855	29.512
-26.039	6.3055	29.57
-25.201	-3.5019	9.127
-36.17	0.24536	29.522
-36.891	9.8717	8.9257
-26.157	9.5101	-15.826
-24.358	0.37471	-15.731
-26.886	10.866	0.15199
-21.082	-6.5442	20.535
-38.066	-10.405	9.3367
-39.077	-3.2113	-30.183
-37.252	5.0224	0.27159
-25.439	6.5323	29.475
-37.428	-11.041	-1.7231
-36.015	0.34691	29.441
-30.452	4.9413	21.326
-26.681	8.4375	-29.676
-26.581	18.691	-1.3039
-25.978	8.5737	-30.03
-36.777	11.367	-1.4721
-38.664	-4.9102	-15.619
-39.14	-2.9776	-30.473
-24.867	1.3372	-15.723
-25.36	8.3222	-30.383
-26.427	18.673	-1.1344
-36.542	9.5694	8.9969
-36.199	0.34052	29.407
-39.105	-3.0842	-30.262
-37.544	-10.798	-1.7318
-36.171	0.24622	29.516
-37.253	5.0239	0.27299
-24.842	1.3627	-15.713
-27.142	16.117	9.115
-24.787	1.368	-15.672
-28.36	12.77	22.062
-37.202	4.9197	0.17339
-38.829	5.2562	-30.543
-37.543	-10.815	-1.7465
-25.305	8.4	-30.341
-30.033	-4.4752	-0.19281
-38.088	-3.4499	-15.962
-35.265	-6.2	21.875
-37.914	5.1443	-15.82
-25.445	8.1704	-30.373
-36.086	-5.0431	22.678
-25.611	-4.2365	-1.5056
-36.066	7.4695	22.228
-36.809	-7.02	22.441
-25.535	2.106	0.35589
-26.698	10.889	0.20849
-27.065	2.0861	20.635
-29.674	13.069	10.619
-25.855	-4.1162	-1.6335
-25.954	1.5204	0.32909
-36.166	0.24238	29.54
-34.856	-6.8637	22.194
-38.824	5.2698	-30.422
-26.116	-6.1216	-1.5035
-28.352	12.601	22.12
-36.124	3.4854	-15.821
-36.179	0.25094	29.48
-24.681	1.3944	-15.536
-35.848	-1.4302	-15.089
-36.185	0.29197	29.419
-26.429	18.703	-1.2588
-18.848	-5.7396	-0.71371
-38.007	-3.9248	-15.737
-29.33	6.1523	0.56469
-39.105	-13.201	-0.55691
-38.09	-3.4298	-15.96
-25.492	8.194	-30.12
-24.31	0.27899	20.836
-35.17	2.0198	0.048789
-37.999	-3.7292	-15.93
-37.239	4.9938	0.24429
-36.553	-8.7752	8.6519
-36.176	0.24973	29.49
-26.114	9.5648	-15.823
-25.475	-4.2943	-1.4644
-39.15	-3.0165	-30.508
-36.162	0.23877	29.559
-18.872	-9.1096	-1.2534
-23.131	-6.0266	-2.0032
-36.541	-8.8092	8.574
-36.856	3.854	-15.852
-26.125	9.5772	-15.822
-30.678	6.9433	22.644
-27.887	14.774	9.7279
-25.427	6.5146	29.496
-25.369	8.2892	-30.393
-24.269	0.97791	-30.486
-25.903	4.4943	-3.3054
-37.545	-10.806	-1.7384
-27.27	16.102	9.0906
-26.325	9.174	-15.825
-36.808	11.3	-1.4397
-26.707	10.89	0.20939
-26.612	18.679	-1.2665
-33.012	6.4255	21.868
-26.855	10.678	0.25169
-29.864	-4.1271	-0.39911
-23.86	-6.133	-1.9072
-24.487	0.90393	-15.852
-26.683	18.152	-0.22251
-24.686	-3.0517	9.0023
-26.875	-0.96051	22.153
-25.461	-4.2978	-1.4838
-32.265	5.0168	-15.236
-37.541	-10.834	-1.764
-36.164	0.24075	29.549
-39.137	-2.9682	-30.482
-24.698	1.3932	-15.596
-25.306	8.3965	-30.344
-39.15	-3.0192	-30.507
-36.851	11.21	-1.3957
-36.552	-8.7787	8.6435
-36.548	-8.7891	8.6194
-38.153	-6.8482	0.39609
-31.18	0.94691	-16.082
-24.031	0.96984	-30.27
-37.252	4.466	0.071589
-38.091	-3.426	-15.96
-38.616	-6.3439	0.51359
-43.104	-8.326	10.762
-37.212	-3.8239	0.10699
-37.888	5.0751	-15.943
-25.609	2.1053	0.34659
-24.554	-2.7485	28.278
-26.463	8.9131	-15.685
-26.954	16.06	9.1132
-20.802	1.5511	7.5563
-26.771	10.891	0.20629
-23.108	-5.4663	21.088
-37.377	10.158	8.9985
-25.317	2.1761	0.49489
-37.082	10.066	8.9696
-37.499	-10.918	-1.7572
-38.561	-6.9854	0.44179
-25.303	18.488	-1.0591
-24.977	-2.9393	8.9396
