level_0	level_1	frames = 134 markers = 13 Hz = 30
-22.10506188289324	3.9688	34.539
-22.344061882893243	11.141	26.786
-22.67206188289324	-3.7714	27.45
-22.273061882893238	13.216	12.534
-24.61406188289324	-6.213	13.4
-22.252061882893244	14.481	3.6512
-25.810061882893244	-7.6953	4.6431
-23.11406188289324	6.207	5.9928
-23.35806188289324	-0.75165	5.9981
-22.98806188289324	7.0042	-12.264
-20.969061882893243	-0.69869	-12.123
-19.030061882893243	7.2708	-26.912
-19.006061882893242	-0.63377	-27.175
-22.076061882893242	3.9869	34.537
-22.23606188289324	11.148	26.772
-22.58006188289324	-3.759	27.442
-22.204061882893242	13.258	12.525
-24.633061882893244	-6.1803	13.405
-22.20806188289324	14.545	3.6451
-25.898061882893238	-7.6505	4.6553
-23.082061882893242	6.2427	5.9919
-23.326061882893242	-0.71596	6.0045
-23.033061882893243	7.0297	-12.266
-21.09906188289324	-0.75478	-12.137
-19.03506188289324	7.2695	-26.903
-19.006061882893242	-0.62569	-27.171
-22.051061882893244	3.9804	34.541
-22.149061882893243	11.134	26.763
-22.91806188289324	-3.765	27.5
-22.14406188289324	13.268	12.519
-24.79606188289324	-6.1515	13.432
-22.164061882893243	14.571	3.6414
-25.950061882893245	-7.6001	4.6635
-23.039061882893243	6.2683	5.9834
-23.27206188289324	-0.6907	6.022
-23.021061882893243	7.0423	-12.275
-21.075061882893245	-0.74309	-12.123
-19.026061882893238	7.2745	-26.913
-19.008061882893244	-0.62501	-27.161
-22.023061882893238	3.9876	34.543
-22.05906188289324	11.148	26.76
-22.853061882893243	-3.7483	27.489
-22.082061882893242	13.291	12.518
-24.79106188289324	-6.128	13.428
-22.121061882893244	14.599	3.6412
-25.98206188289324	-7.5726	4.6641
-22.999061882893244	6.2871	5.986
-23.262061882893242	-0.67073	6.0321
-23.01606188289324	7.0723	-12.272
-21.070061882893242	-0.73754	-12.113
-19.01906188289324	7.2891	-26.91
-19.00706188289324	-0.63249	-27.152
-22.012061882893242	4.0111	34.545
-21.98506188289324	11.179	26.769
-22.798061882893244	-3.7204	27.505
-22.02206188289324	13.324	12.527
-24.743061882893244	-6.0665	13.439
-22.07106188289324	14.632	3.6501
-25.938061882893244	-7.4903	4.6724
-22.93406188289324	6.3135	5.9866
-23.203061882893245	-0.64407	6.037
-23.008061882893244	7.0947	-12.272
-21.04106188289324	-0.72653	-12.112
-19.01906188289324	7.2954	-26.912
-19.00406188289324	-0.63616	-27.154
-22.017061882893238	4.0345	34.558
-21.935061882893244	11.206	26.792
-22.12906188289324	-3.6895	27.454
-21.97006188289324	13.343	12.549
-24.429061882893244	-5.9965	13.436
-22.017061882893238	14.646	3.6717
-25.84606188289324	-7.3955	4.6987
-22.87206188289324	6.3318	5.9894
-23.148061882893238	-0.62547	6.0506
-23.015061882893242	7.0246	-12.272
-21.017061882893238	-0.7173	-12.102
-19.045061882893243	7.1372	-26.917
-19.00406188289324	-0.6336	-27.148
-22.02806188289324	4.0563	34.573
-21.89406188289324	11.235	26.812
-22.11706188289324	-3.6601	27.481
-21.91906188289324	13.364	12.568
-24.34206188289324	-5.9194	13.443
-21.96106188289324	14.662	3.6897
-25.713061882893243	-7.2886	4.6934
-22.807061882893244	6.3582	5.9938
-23.030061882893243	-0.60081	6.0626
-23.00706188289324	7.0238	-12.268
-20.963061882893243	-0.70572	-12.097
-19.048061882893244	7.1319	-26.917
-19.00406188289324	-0.63119	-27.15
-22.039061882893243	4.1043	34.577
-21.843061882893238	11.285	26.833
-22.128061882893242	-3.6111	27.485
-21.86306188289324	13.386	12.584
-24.273061882893238	-5.8656	13.433
-21.899061882893243	14.667	3.7038
-25.593061882893238	-7.2319	4.6759
-22.755061882893244	6.372	5.9973
-22.959061882893238	-0.58758	6.0663
-22.999061882893244	7.0363	-12.264
-20.935061882893244	-0.69564	-12.098
-19.04906188289324	7.1433	-26.915
-19.011061882893245	-0.62325	-27.156
-22.05906188289324	4.132	34.589
-21.783061882893243	11.316	26.855
-22.121061882893244	-3.5803	27.505
-21.80506188289324	13.417	12.607
-24.17206188289324	-5.8555	13.443
-21.843061882893238	14.698	3.7262
-25.435061882893244	-7.2337	4.679
-22.712061882893238	6.3826	6.003
-22.89106188289324	-0.57767	6.0769
-22.99206188289324	7.0329	-12.258
-20.90306188289324	-0.69079	-12.092
-19.048061882893244	7.1359	-26.911
-19.01006188289324	-0.62182	-27.153
-22.079061882893242	4.1451	34.606
-21.737061882893244	11.328	26.867
-22.10106188289324	-3.564	27.527
-21.749061882893244	13.433	12.619
-24.04706188289324	-5.8741	13.455
-21.780061882893243	14.717	3.7392
-25.24506188289324	-7.2741	4.6855
