level_0	level_1	frames = 151 markers = 13 Hz = 30
34.70247427407032	-0.16101	27.659
32.54247427407032	-6.5274	20.699
34.39847427407032	6.6967	20.369
33.82347427407032	-7.9615	7.6129
35.67847427407032	8.6472	7.3597
34.67547427407032	-8.8644	-0.92911
36.50447427407032	9.8862	-1.1326
32.87147427407032	-2.5564	-0.35461
33.41747427407032	5.177	-0.35001
32.47447427407032	-2.2151	-17.152
32.27847427407032	4.9563	-17.118
31.16847427407032	-1.7871	-29.851
31.417474274070322	4.7661	-29.867
34.66947427407032	-0.11374	27.651
32.56347427407032	-6.437	20.798
34.51747427407032	6.8033	20.424
33.82547427407032	-7.9251	7.7154
35.13047427407032	9.3055	7.4601
34.66447427407032	-8.8633	-0.82391
36.59647427407032	9.8392	-1.0195
32.87447427407032	-2.5586	-0.35231
33.43047427407032	5.1742	-0.35151
32.62647427407032	-2.239	-17.153
32.40647427407032	5.0466	-17.127
31.176474274070323	-1.7818	-29.835
31.38447427407032	4.9236	-29.865
34.56047427407032	-0.051827	27.628
32.50747427407032	-6.4703	20.768
34.52647427407032	6.7614	20.387
33.80847427407032	-7.9383	7.6875
35.25347427407032	9.4951	7.4761
34.67247427407032	-8.8636	-0.85081
37.17747427407032	9.7781	-0.92301
32.86347427407032	-2.6096	-0.34891
33.50247427407032	5.1162	-0.42761
32.63447427407032	-2.2562	-17.149
32.45347427407032	4.9259	-17.201
31.181474274070318	-1.7541	-29.829
31.413474274070317	4.7592	-29.938
34.59547427407032	-0.067757	27.65
32.60647427407032	-6.4762	20.793
34.66547427407032	6.7527	20.416
33.85447427407032	-7.943	7.7072
35.17147427407032	9.8114	7.5675
34.68447427407032	-8.8672	-0.83461
37.60147427407032	9.7783	-0.70351
32.87247427407032	-2.6166	-0.34601
33.33747427407032	5.122	-0.38691
32.65147427407032	-2.2423	-17.146
32.37947427407032	4.9331	-17.166
31.181474274070318	-1.7477	-29.824
31.408474274070322	4.7628	-29.908
34.41347427407032	-0.27683	27.636
32.65147427407032	-6.552	20.793
34.73947427407032	6.6763	20.459
33.88047427407032	-7.9794	7.701
35.04147427407032	10.196	7.7232
34.69847427407032	-8.8779	-0.84471
38.10947427407032	9.7834	-0.32241
32.87547427407032	-2.6129	-0.34951
33.33347427407032	5.1261	-0.39571
32.65947427407032	-2.2619	-17.15
32.37147427407032	4.9387	-17.175
31.18047427407032	-1.782	-29.828
31.39947427407032	4.7702	-29.917
34.45947427407032	-0.17834	27.639
32.61747427407032	-6.561	20.754
34.73247427407032	6.6728	20.476
33.87347427407032	-7.9968	7.6648
34.93147427407032	10.651	7.8743
34.70847427407032	-8.9007	-0.87871
38.71447427407032	9.8512	0.16959
32.87347427407032	-2.6127	-0.35341
33.31247427407032	5.1274	-0.40481
32.65947427407032	-2.2617	-17.154
32.36347427407032	4.9399	-17.184
31.17747427407032	-1.7819	-29.831
31.401474274070317	4.7714	-29.927
34.34947427407032	-0.18675	27.628
32.60747427407032	-6.5761	20.744
34.67647427407032	6.6819	20.543
33.87347427407032	-8.0171	7.6564
34.86947427407032	11.114	8.0942
34.71647427407032	-8.9236	-0.88611
39.48147427407032	9.7344	0.94259
32.87747427407032	-2.6101	-0.35871
33.37347427407032	5.1265	-0.41811
32.66547427407032	-2.267	-17.159
32.39247427407032	4.9337	-17.196
31.176474274070323	-1.7808	-29.836
31.405474274070322	4.7636	-29.937
34.29347427407032	-0.216	27.637
32.59247427407032	-6.5873	20.735
34.64747427407032	6.6812	20.609
33.87247427407032	-8.026	7.6485
35.447474274070316	11.47	8.3177
34.72547427407032	-8.9311	-0.89321
40.914474274070315	9.6666	1.9019
32.88847427407032	-2.6332	-0.35871
33.37947427407032	5.1038	-0.40741
32.68247427407032	-2.2764	-17.159
32.39747427407032	4.9169	-17.185
31.18347427407032	-1.777	-29.834
31.407474274070317	4.7514	-29.926
34.24647427407032	-0.23419	27.658
32.53847427407032	-6.631	20.726
34.58547427407032	6.6514	20.726
33.87547427407032	-8.0392	7.6426
36.25447427407032	11.455	8.5282
34.76347427407032	-8.9255	-0.89741
42.26247427407032	9.2805	2.7418
32.90747427407032	-2.6308	-0.35481
33.43747427407032	5.1037	-0.37901
32.69447427407032	-2.2781	-17.155
32.42447427407032	4.9144	-17.155
31.18647427407032	-1.7723	-29.829
31.411474274070322	4.7486	-29.894
34.21847427407032	-0.39755	27.597
32.45847427407032	-6.7528	20.625
34.572474274070316	6.5249	20.745
33.85647427407032	-8.0942	7.5407
36.95647427407032	11.589	8.7741
34.78447427407032	-8.9367	-0.99951
43.58847427407032	8.9682	3.9318
32.89947427407032	-2.5685	-0.36191
33.29247427407032	5.1739	-0.42941
32.68447427407032	-2.2363	-17.163
32.35947427407032	4.9527	-17.209
31.18047427407032	-1.7687	-29.838
31.40647427407032	4.7586	-29.953
34.14847427407032	-0.40776	27.642
32.35647427407032	-6.728	20.643
34.52847427407032	6.5426	20.84
33.79747427407032	-8.0995	7.5661
37.88547427407032	11.723	9.1555
34.75347427407032	-8.9617	-0.96901
44.86847427407032	8.6492	5.1436
32.93147427407032	-2.6048	-0.35791
33.37647427407032	5.1352	-0.38131
32.68047427407032	-2.2565	-17.158
32.39947427407032	4.932	-17.159
31.181474274070318	-1.7705	-29.833
31.413474274070317	4.7538	-29.9
34.08847427407032	-0.43441	27.664
32.23747427407032	-6.7131	20.628
34.49847427407032	6.5416	20.905
33.76547427407032	-8.0754	7.5606
38.902474274070315	11.751	9.5875
34.77947427407032	-8.9317	-0.96841
