level_0	level_1	frames = 151 markers = 13 Hz = 30
-33.213	-0.16101	27.659
-35.373	-6.5274	20.699
-33.517	6.6967	20.369
-34.092	-7.9615	7.6129
-32.237	8.6472	7.3597
-33.24	-8.8644	-0.92911
-31.411	9.8862	-1.1326
-35.044	-2.5564	-0.35461
-34.498	5.177	-0.35001
-35.441	-2.2151	-17.152
-35.637	4.9563	-17.118
-36.747	-1.7871	-29.851
-36.498	4.7661	-29.867
-33.246	-0.11374	27.651
-35.352	-6.437	20.798
-33.398	6.8033	20.424
-34.09	-7.9251	7.7154
-32.785	9.3055	7.4601
-33.251	-8.8633	-0.82391
-31.319	9.8392	-1.0195
-35.041	-2.5586	-0.35231
-34.485	5.1742	-0.35151
-35.289	-2.239	-17.153
-35.509	5.0466	-17.127
-36.739	-1.7818	-29.835
-36.531	4.9236	-29.865
-33.355	-0.051827	27.628
-35.408	-6.4703	20.768
-33.389	6.7614	20.387
-34.107	-7.9383	7.6875
-32.662	9.4951	7.4761
-33.243	-8.8636	-0.85081
-30.738	9.7781	-0.92301
-35.052	-2.6096	-0.34891
-34.413	5.1162	-0.42761
-35.281	-2.2562	-17.149
-35.462	4.9259	-17.201
-36.734	-1.7541	-29.829
-36.502	4.7592	-29.938
-33.32	-0.067757	27.65
-35.309	-6.4762	20.793
-33.25	6.7527	20.416
-34.061	-7.943	7.7072
-32.744	9.8114	7.5675
-33.231	-8.8672	-0.83461
-30.314	9.7783	-0.70351
-35.043	-2.6166	-0.34601
-34.578	5.122	-0.38691
-35.264	-2.2423	-17.146
-35.536	4.9331	-17.166
-36.734	-1.7477	-29.824
-36.507	4.7628	-29.908
-33.502	-0.27683	27.636
-35.264	-6.552	20.793
-33.176	6.6763	20.459
-34.035	-7.9794	7.701
-32.874	10.196	7.7232
-33.217	-8.8779	-0.84471
-29.806	9.7834	-0.32241
-35.04	-2.6129	-0.34951
-34.582	5.1261	-0.39571
-35.256	-2.2619	-17.15
-35.544	4.9387	-17.175
-36.735	-1.782	-29.828
-36.516	4.7702	-29.917
-33.456	-0.17834	27.639
-35.298	-6.561	20.754
-33.183	6.6728	20.476
-34.042	-7.9968	7.6648
-32.984	10.651	7.8743
-33.207	-8.9007	-0.87871
-29.201	9.8512	0.16959
-35.042	-2.6127	-0.35341
-34.603	5.1274	-0.40481
-35.256	-2.2617	-17.154
-35.552	4.9399	-17.184
-36.738	-1.7819	-29.831
-36.514	4.7714	-29.927
-33.566	-0.18675	27.628
-35.308	-6.5761	20.744
-33.239	6.6819	20.543
-34.042	-8.0171	7.6564
-33.046	11.114	8.0942
-33.199	-8.9236	-0.88611
-28.434	9.7344	0.94259
-35.038	-2.6101	-0.35871
-34.542	5.1265	-0.41811
-35.25	-2.267	-17.159
-35.523	4.9337	-17.196
-36.739	-1.7808	-29.836
-36.51	4.7636	-29.937
-33.622	-0.216	27.637
-35.323	-6.5873	20.735
-33.268	6.6812	20.609
-34.043	-8.026	7.6485
-32.468	11.47	8.3177
-33.19	-8.9311	-0.89321
-27.001	9.6666	1.9019
-35.027	-2.6332	-0.35871
-34.536	5.1038	-0.40741
-35.233	-2.2764	-17.159
-35.518	4.9169	-17.185
-36.732	-1.777	-29.834
-36.508	4.7514	-29.926
-33.669	-0.23419	27.658
-35.377	-6.631	20.726
-33.33	6.6514	20.726
-34.04	-8.0392	7.6426
-31.661	11.455	8.5282
-33.152	-8.9255	-0.89741
-25.653	9.2805	2.7418
-35.008	-2.6308	-0.35481
-34.478	5.1037	-0.37901
-35.221	-2.2781	-17.155
-35.491	4.9144	-17.155
-36.729	-1.7723	-29.829
-36.504	4.7486	-29.894
-33.697	-0.39755	27.597
-35.457	-6.7528	20.625
-33.343	6.5249	20.745
-34.059	-8.0942	7.5407
-30.959	11.589	8.7741
-33.131	-8.9367	-0.99951
-24.327	8.9682	3.9318
-35.016	-2.5685	-0.36191
-34.623	5.1739	-0.42941
-35.231	-2.2363	-17.163
