level_0	level_1	frames = 151 markers = 13 Hz = 30
33.213	-0.16101	-28.474388116148752
35.373	-6.5274	-21.514388116148755
33.517	6.6967	-21.184388116148753
34.092	-7.9615	-8.428288116148753
32.237	8.6472	-8.175088116148752
33.24	-8.8644	0.11372188385124787
31.411	9.8862	0.31721188385124804
35.044	-2.5564	-0.4607781161487521
34.498	5.177	-0.4653781161487521
35.441	-2.2151	16.336611883851248
35.637	4.9563	16.302611883851245
36.747	-1.7871	29.035611883851246
36.498	4.7661	29.051611883851248
33.246	-0.11374	-28.466388116148753
35.352	-6.437	-21.61338811614875
33.398	6.8033	-21.239388116148753
34.09	-7.9251	-8.530788116148752
32.785	9.3055	-8.275488116148752
33.251	-8.8633	0.008521883851247969
31.319	9.8392	0.20411188385124807
35.041	-2.5586	-0.46307811614875205
34.485	5.1742	-0.4638781161487521
35.289	-2.239	16.337611883851245
35.509	5.0466	16.311611883851246
36.739	-1.7818	29.019611883851248
36.531	4.9236	29.049611883851245
33.355	-0.051827	-28.443388116148753
35.408	-6.4703	-21.583388116148754
33.389	6.7614	-21.202388116148754
34.107	-7.9383	-8.502888116148753
32.662	9.4951	-8.291488116148752
33.243	-8.8636	0.03542188385124789
30.738	9.7781	0.10762188385124788
35.052	-2.6096	-0.46647811614875206
34.413	5.1162	-0.3877781161487521
35.281	-2.2562	16.333611883851248
35.462	4.9259	16.385611883851247
36.734	-1.7541	29.013611883851247
36.502	4.7592	29.122611883851246
33.32	-0.067757	-28.465388116148752
35.309	-6.4762	-21.608388116148753
33.25	6.7527	-21.231388116148754
34.061	-7.943	-8.522588116148754
32.744	9.8114	-8.382888116148752
33.231	-8.8672	0.0192218838512479
30.314	9.7783	-0.1118781161487521
35.043	-2.6166	-0.4693781161487521
34.578	5.122	-0.4284781161487521
35.264	-2.2423	16.330611883851248
35.536	4.9331	16.350611883851247
36.734	-1.7477	29.00861188385125
36.507	4.7628	29.092611883851248
33.502	-0.27683	-28.451388116148753
35.264	-6.552	-21.608388116148753
33.176	6.6763	-21.274388116148753
34.035	-7.9794	-8.516388116148752
32.874	10.196	-8.538588116148754
33.217	-8.8779	0.0293218838512479
29.806	9.7834	-0.4929781161487521
35.04	-2.6129	-0.4658781161487521
34.582	5.1261	-0.41967811614875206
35.256	-2.2619	16.334611883851245
35.544	4.9387	16.359611883851247
36.735	-1.782	29.012611883851246
36.516	4.7702	29.10161188385125
33.456	-0.17834	-28.454388116148753
35.298	-6.561	-21.569388116148755
33.183	6.6728	-21.291388116148752
34.042	-7.9968	-8.480188116148753
32.984	10.651	-8.689688116148753
33.207	-8.9007	0.06332188385124793
29.201	9.8512	-0.9849781161487521
35.042	-2.6127	-0.46197811614875206
34.603	5.1274	-0.41057811614875206
35.256	-2.2617	16.338611883851247
35.552	4.9399	16.368611883851248
36.738	-1.7819	29.015611883851246
36.514	4.7714	29.111611883851246
33.566	-0.18675	-28.443388116148753
35.308	-6.5761	-21.559388116148753
33.239	6.6819	-21.358388116148753
34.042	-8.0171	-8.471788116148753
33.046	11.114	-8.909588116148754
33.199	-8.9236	0.07072188385124789
28.434	9.7344	-1.757978116148752
35.038	-2.6101	-0.4566781161487521
34.542	5.1265	-0.3972781161487521
35.25	-2.267	16.343611883851246
35.523	4.9337	16.380611883851248
36.739	-1.7808	29.020611883851245
36.51	4.7636	29.121611883851248
33.622	-0.216	-28.452388116148754
35.323	-6.5873	-21.550388116148753
33.268	6.6812	-21.424388116148755
34.043	-8.026	-8.463888116148754
32.468	11.47	-9.133088116148754
33.19	-8.9311	0.07782188385124789
27.001	9.6666	-2.7172881161487523
35.027	-2.6332	-0.4566781161487521
