level_0	level_1	frames = 114 markers = 13 Hz = 30
-32.026	-2.0153	30.666
-31.759	-9.0787	22.755
-33.008	5.1156	22.817
-29.746	-10.851	9.0819
-32.712	8.095	9.2199
-28.413	-11.987	0.028219
-31.08	8.7573	0.17902
-32.993	-6.1614	2.4435
-33.262	2.0587	2.4487
-33.296	-6.5402	-15.352
-33.777	3.0806	-15.319
-33.576	-6.8605	-30.961
-34.215	3.9496	-30.908
-32.114	-2.0536	30.638
-31.821	-9.1008	22.689
-33.046	5.0882	22.797
-29.749	-11.02	9.0451
-32.641	8.08	9.2052
-28.318	-12.082	-0.0025806
-31.044	8.7815	0.16132
-32.993	-6.2141	2.4413
-33.185	2.0079	2.3664
-33.136	-6.6039	-15.356
-33.58	3.0872	-15.4
-33.575	-6.8627	-30.962
-34.217	3.952	-30.983
-32.156	-2.0369	30.669
-31.81	-9.0966	22.714
-33.022	5.0967	22.844
-29.686	-11.043	9.0818
-32.593	8.0051	9.235
-28.235	-12.16	0.044019
-31.028	8.706	0.18512
-32.981	-6.1763	2.44
-33.234	2.0444	2.4451
-33.129	-6.5825	-15.357
-33.602	3.1028	-15.324
-33.574	-6.8577	-30.962
-34.216	3.9472	-30.908
-32.202	-2.0588	30.668
-31.836	-9.1125	22.693
-33.024	5.0782	22.847
-29.641	-11.056	9.0716
-32.533	7.9554	9.2334
-28.158	-12.216	0.044419
-30.998	8.6943	0.18122
-32.966	-6.1785	2.4382
-33.217	2.0422	2.4416
-33.125	-6.5874	-15.359
-33.595	3.1014	-15.327
-33.575	-6.8656	-30.964
-34.215	3.9474	-30.911
-32.263	-2.0683	30.665
-31.864	-9.1196	22.69
-33.044	5.0735	22.85
-29.597	-11.059	9.08
-32.483	7.915	9.2316
-28.081	-12.256	0.063219
-30.974	8.69	0.17812
-32.945	-6.181	2.4345
-33.192	2.0399	2.4345
-33.115	-6.5878	-15.363
-33.583	3.1015	-15.334
-33.575	-6.864	-30.967
-34.213	3.9502	-30.917
-32.318	-2.0928	30.661
-31.892	-9.1341	22.681
-33.064	5.0599	22.848
-29.571	-11.062	9.0783
-32.45	7.8718	9.2255
-28.028	-12.281	0.068719
-30.958	8.6721	0.17152
-32.927	-6.1793	2.4273
-33.171	2.0416	2.4272
-33.106	-6.5862	-15.37
-33.542	2.9576	-15.349
-33.577	-6.8614	-30.974
-34.159	3.6796	-30.941
-32.359	-2.0918	30.66
-31.916	-9.1461	22.679
-33.098	5.0458	22.843
-29.553	-11.062	9.0816
-32.44	7.847	9.2205
-27.987	-12.286	0.076819
-30.941	8.6618	0.16902
-32.909	-6.1742	2.4219
-33.15	2.0469	2.4253
-33.097	-6.5858	-15.375
-33.535	2.9605	-15.351
-33.576	-6.8648	-30.979
-34.157	3.6821	-30.943
-32.388	-2.113	30.656
-31.937	-9.1615	22.676
-33.123	5.0294	22.835
-29.546	-11.07	9.0824
-32.445	7.8461	9.2166
-27.963	-12.293	0.080619
-30.918	8.6646	0.17002
-32.892	-6.1741	2.4165
-33.131	2.0469	2.42
-33.089	-6.5852	-15.38
-33.523	2.9618	-15.356
-33.574	-6.8642	-30.984
-34.156	3.684	-30.948
-32.431	-2.1146	30.652
-31.957	-9.1698	22.677
-33.164	5.0195	22.827
-29.541	-11.054	9.0849
-32.465	7.8708	9.2172
-27.943	-12.263	0.083919
-30.88	8.6774	0.17962
-32.871	-6.1741	2.411
-33.107	2.0471	2.4145
-33.08	-6.5794	-15.386
-33.513	2.9627	-15.361
-33.574	-6.8533	-30.989
-34.154	3.6866	-30.952
-32.467	-2.1137	30.651
-31.979	-9.1761	22.673
-33.186	5.0088	22.804
-29.544	-11.034	9.0808
-32.495	7.8978	9.2011
-27.933	-12.226	0.079719
-30.844	8.6728	0.17262
-32.85	-6.171	2.4039
-33.087	2.0501	2.4144
-33.084	-6.6109	-15.392
-33.501	2.9617	-15.361
-33.601	-6.9149	-30.994
-34.152	3.6813	-30.952
-32.511	-2.1122	30.648
-31.986	-9.1785	22.676
