level_0	level_1	frames = 138 markers = 13 Hz = 30
-34.81	-3.3042	-32.59614355629878
-36.024	3.1961	-25.28714355629878
-36.035	-9.9101	-24.835143556298778
-34.202	5.8693	-12.110143556298777
-35.43	-12.871	-11.725143556298777
-33.686	7.8125	-2.4158435562987766
-35.837	-15.012	-2.0747435562987766
-35.646	0.1625	-3.1592435562987764
-35.977	-8.401	-3.1644435562987763
-36.595	0.86547	13.092856443701224
-36.512	-8.9932	13.111856443701225
-37.466	1.4899	27.82485644370122
-36.986	-9.5032	27.87285644370122
-34.801	-3.2988	-32.597143556298775
-36.014	3.2057	-25.29214355629878
-36.036	-9.9007	-24.83214355629878
-34.201	5.8788	-12.114143556298776
-35.439	-12.857	-11.722143556298777
-33.69	7.8214	-2.4191435562987764
-35.849	-14.994	-2.0708435562987764
-35.648	0.17349	-3.1617435562987763
-35.982	-8.3899	-3.1651435562987764
-36.45	0.9212	13.095856443701225
-36.368	-8.9979	13.114856443701223
-37.464	1.4898	27.821856443701222
-36.999	-9.5022	27.86985644370122
-34.79	-3.2919	-32.59914355629878
-36.002	3.2177	-25.29714355629878
-36.038	-9.8889	-24.82914355629878
-34.198	5.89	-12.118143556298776
-35.446	-12.838	-11.717143556298776
-33.693	7.832	-2.4232435562987766
-35.861	-14.971	-2.0657435562987767
-35.65	0.18715	-3.1647435562987765
-35.988	-8.3761	-3.166043556298776
-36.45	0.92764	13.093856443701224
-36.38	-8.9906	13.113856443701223
-37.461	1.4896	27.81985644370122
-37.015	-9.5011	27.86785644370122
-34.78	-3.2861	-32.600143556298775
-35.991	3.228	-25.30114355629878
-36.039	-9.8788	-24.82714355629878
-34.194	5.8996	-12.122143556298775
-35.452	-12.822	-11.713143556298776
-33.695	7.8411	-2.4268435562987767
-35.872	-14.952	-2.0612435562987765
-35.652	0.19895	-3.167343556298776
-35.994	-8.3642	-3.1668435562987765
-36.449	0.93355	13.090856443701224
-36.391	-8.9841	13.112856443701224
-37.459	1.4895	27.81785644370122
-37.029	-9.5001	27.86685644370122
-34.771	-3.2803	-32.60114355629878
-35.98	3.2382	-25.306143556298778
-36.041	-9.8687	-24.82414355629878
-34.191	5.909	-12.126143556298777
-35.459	-12.807	-11.710143556298776
-33.698	7.8502	-2.4303435562987765
-35.882	-14.932	-2.0568435562987766
-35.654	0.2106	-3.1699435562987763
-35.999	-8.3524	-3.1676435562987764
-36.45	0.93853	13.088856443701223
-36.401	-8.9777	13.111856443701225
-37.458	1.4891	27.81585644370122
-37.043	-9.4993	27.86485644370122
-34.762	-3.275	-32.60214355629878
-35.971	3.2476	-25.31014355629878
-36.042	-9.8595	-24.82214355629878
-34.188	5.9177	-12.130143556298776
-35.465	-12.792	-11.706143556298777
-33.7	7.8584	-2.4335435562987766
-35.892	-14.914	-2.0527435562987764
-35.656	0.22128	-3.172343556298776
-36.004	-8.3416	-3.168343556298776
-36.449	0.94407	13.086856443701224
-36.408	-8.9719	13.110856443701223
-37.456	1.4891	27.81385644370122
-37.055	-9.4985	27.86385644370122
-34.755	-3.2705	-32.60214355629878
-35.963	3.2553	-25.31314355629878
-36.043	-9.8518	-24.82014355629878
-34.186	5.9251	-12.133143556298776
-35.47	-12.78	-11.704143556298776
-33.701	7.8651	-2.4361435562987768
-35.9	-14.899	-2.0494435562987765
-35.657	0.23014	-3.1743435562987763
-36.008	-8.3326	-3.1689435562987764
-36.451	0.94728	13.084856443701224
-36.416	-8.9671	13.109856443701224
-37.455	1.4889	27.81285644370122
-37.066	-9.4979	27.86285644370122
-34.75	-3.2675	-32.603143556298775
-35.957	3.2608	-25.31514355629878
-36.044	-9.8465	-24.81814355629878
-34.184	5.93	-12.135143556298777
-35.474	-12.772	-11.702143556298775
-33.703	7.8701	-2.438043556298777
-35.905	-14.888	-2.0470435562987768
-35.658	0.23637	-3.175743556298776
-36.011	-8.3263	-3.1693435562987764
-36.451	0.95025	13.083856443701224
-36.421	-8.9638	13.108856443701224
-37.454	1.4888	27.81185644370122
-37.073	-9.4974	27.86185644370122
-34.748	-3.2661	-32.603143556298775
-35.955	3.2632	-25.31614355629878
-36.044	-9.8441	-24.81714355629878
-34.184	5.9324	-12.135143556298777
-35.475	-12.768	-11.701143556298776
-33.703	7.8721	-2.4388435562987767
-35.908	-14.884	-2.0460435562987764
-35.658	0.23911	-3.176343556298776
-36.012	-8.3235	-3.1695435562987764
-36.451	0.9514	13.083856443701224
-36.423	-8.9625	13.108856443701224
-37.454	1.4888	27.81085644370122
-37.077	-9.4973	27.86185644370122
-34.749	-3.2669	-32.603143556298775
-35.956	3.2618	-25.31614355629878
-36.044	-9.8454	-24.81814355629878
-34.184	5.9312	-12.135143556298777
-35.474	-12.77	-11.701143556298776
-33.703	7.8709	-2.4383435562987765
-35.906	-14.886	-2.0466435562987764
-35.658	0.23754	-3.175943556298776
-36.012	-8.3251	-3.169443556298776
-36.45	0.95112	13.083856443701224
-36.422	-8.9636	13.108856443701224
-37.454	1.4888	27.81085644370122
-37.075	-9.4974	27.86185644370122
-34.757	-3.2715	-32.60214355629878
-35.964	3.2537	-25.31214355629878
-36.043	-9.8535	-24.82014355629878
-34.187	5.9235	-12.132143556298777
-35.469	-12.783	-11.704143556298776
-33.701	7.8637	-2.4355435562987764
-35.898	-14.902	-2.0501435562987766
-35.657	0.22824	-3.1739435562987763
-36.007	-8.3345	-3.1688435562987762
-36.453	0.94562	13.085856443701223
-36.413	-8.9691	13.109856443701224
-37.455	1.4889	27.81285644370122
-37.064	-9.498	27.86285644370122
-34.772	-3.2809	-32.60114355629878
-35.981	3.2372	-25.30514355629878
-36.04	-9.8698	-24.82414355629878
-34.191	5.9078	-12.126143556298777
-35.458	-12.808	-11.710143556298776
-33.698	7.8492	-2.4299435562987766
-35.881	-14.934	-2.0573435562987767
-35.654	0.20926	-3.169643556298776
-35.998	-8.3537	-3.167543556298776
-36.451	0.93699	13.088856443701223
-36.401	-8.9794	13.111856443701225
-37.458	1.4892	27.81585644370122
-37.041	-9.4994	27.86485644370122
-34.816	-3.3081	-32.59614355629878
-36.031	3.1893	-25.28514355629878
-36.034	-9.9169	-24.83714355629878
-34.206	5.8632	-12.107143556298777
-35.428	-12.882	-11.727143556298776
-33.686	7.8071	-2.4135435562987766
-35.832	-15.026	-2.0779435562987767
-35.645	0.15471	-3.1575435562987764
-35.973	-8.4089	-3.163943556298776
-36.45	0.91168	13.099856443701224
