level_0	level_1	frames = 132 markers = 13 Hz = 30
-31.58603146853141	12.43	31.889
-29.758031468531406	19.444	24.459
-29.855031468531408	5.7266	24.235
-29.17403146853141	22.044	11.358
-30.015031468531404	2.4273	11.189
-32.82203146853141	23.034	2.098
-28.853031468531405	0.028945	1.5557
-30.084031468531407	15.554	2.4111
-29.44603146853141	7.0766	2.4159
-29.102031468531408	15.851	-13.649
-28.560031468531406	6.6083	-13.648
-28.198031468531404	16.114	-28.165
-27.770031468531407	6.2113	-28.174
-31.587031468531407	12.425	31.89
-29.758031468531406	19.44	24.458
-29.86003146853141	5.7224	24.237
-29.16803146853141	22.033	11.356
-30.024031468531405	2.4233	11.191
-32.804031468531406	23.036	2.093
-28.863031468531403	0.025465	1.5574
-30.084031468531407	15.55	2.4116
-29.444031468531406	7.0727	2.4168
-29.25403146853141	15.834	-13.658
-28.70803146853141	6.5945	-13.654
-28.20203146853141	16.122	-28.163
-27.771031468531405	6.2125	-28.171
-31.58903146853141	12.421	31.89
-29.758031468531406	19.436	24.457
-29.865031468531406	5.718	24.24
-29.163031468531408	22.029	11.356
-30.03103146853141	2.4193	11.193
-32.78503146853141	23.037	2.0877
-28.87303146853141	0.021915	1.5592
-30.084031468531407	15.546	2.4122
-29.44303146853141	7.0687	2.4178
-29.255031468531406	15.837	-13.657
-28.709031468531407	6.5931	-13.653
-28.204031468531404	16.131	-28.162
-27.771031468531405	6.2136	-28.17
-31.590031468531407	12.416	31.891
-29.758031468531406	19.432	24.455
-29.87003146853141	5.7131	24.243
-29.157031468531407	22.024	11.355
-30.04003146853141	2.4149	11.196
-32.76403146853141	23.038	2.0819
-28.883031468531406	0.017975	1.5612
-30.084031468531407	15.542	2.4127
-29.441031468531406	7.0643	2.4189
-29.256031468531404	15.84	-13.656
-28.70803146853141	6.5917	-13.652
-28.207031468531405	16.141	-28.162
-27.77203146853141	6.2149	-28.17
-31.59203146853141	12.413	31.892
-29.758031468531406	19.428	24.454
-29.874031468531406	5.7094	24.245
-29.15303146853141	22.019	11.355
-30.047031468531408	2.4115	11.198
-32.74803146853141	23.039	2.0775
