level_0	level_1	frames = 178 markers = 13 Hz = 30
-31.57539412273126	-1.6072	29.165
-30.443394122731263	5.9405	21.358
-30.20339412273126	-8.9112	22.404
-30.07339412273126	8.4244	7.3198
-31.110394122731257	-11.672	8.4533
-30.928394122731262	9.0018	-2.32
-31.71639412273126	-13.506	-1.0355
-30.85339412273126	1.0896	0.88312
-30.817394122731258	-5.8559	0.88802
-31.79839412273126	1.3083	-17.4
-30.431394122731263	-5.7207	-17.417
-27.90139412273126	1.2647	-32.144
-27.723394122731264	-4.4875	-32.38
-31.58139412273126	-1.6119	29.165
-30.45039412273126	5.9369	21.356
-30.20139412273126	-8.9132	22.405
-30.068394122731263	8.4143	7.3166
-31.104394122731257	-11.667	8.4524
-30.92639412273126	8.9912	-2.323
-31.70939412273126	-13.498	-1.0376
-30.852394122731262	1.0882	0.88312
-30.81639412273126	-5.8572	0.88632
-31.802394122731258	1.1956	-17.401
-30.42639412273126	-5.7184	-17.419
-27.918394122731257	1.0687	-32.147
-27.727394122731262	-4.4863	-32.383
-31.583394122731264	-1.6115	29.164
-30.45939412273126	5.9367	21.352
-30.19839412273126	-8.9129	22.401
-30.07339412273126	8.4049	7.3115
-31.10039412273126	-11.662	8.4476
-30.924394122731258	8.9819	-2.3287
-31.70339412273126	-13.488	-1.043
-30.854394122731257	1.0847	0.88302
-30.81639412273126	-5.8608	0.88632
-31.793394122731257	1.3022	-17.401
-30.42039412273126	-5.7087	-17.418
-27.90239412273126	1.2696	-32.146
-27.736394122731262	-4.4734	-32.386
-31.58739412273126	-1.6167	29.163
-30.470394122731264	5.9298	21.348
-30.196394122731263	-8.92	22.402
-30.08539412273126	8.3926	7.3063
-31.09639412273126	-11.66	8.4461
-30.92939412273126	8.9754	-2.3341
-31.70039412273126	-13.479	-1.046
-30.85939412273126	1.082	0.88282
-30.818394122731263	-5.8635	0.88292
-31.793394122731257	1.2977	-17.401
-30.391394122731263	-5.7058	-17.421
-27.90139412273126	1.2706	-32.146
-27.72139412273126	-4.4802	-32.391
-31.598394122731264	-1.6188	29.162
-30.470394122731264	5.9276	21.344
-30.19439412273126	-8.9198	22.402
-30.095394122731264	8.3767	7.2997
-31.092394122731264	-11.657	8.4457
-30.93839412273126	8.9612	-2.3407
-31.692394122731258	-13.475	-1.0468
-30.860394122731257	1.0801	0.88272
-30.81939412273126	-5.8653	0.88292
-31.79239412273126	1.2954	-17.401
-30.358394122731262	-5.6982	-17.42
-27.90439412273126	1.2752	-32.147
-27.717394122731264	-4.4878	-32.397
-31.58439412273126	-1.5083	29.183
-30.46639412273126	5.9274	21.356
-30.175394122731262	-8.9199	22.414
-30.098394122731264	8.3593	7.3082
-31.07939412273126	-11.653	8.4575
-30.94739412273126	8.9508	-2.3312
-31.684394122731263	-13.469	-1.0352
-30.87739412273126	1.0448	0.88692
-30.89339412273126	-5.9006	0.91502
-31.806394122731263	1.1874	-17.398
-30.36839412273126	-5.6899	-17.386
-27.922394122731262	1.0782	-32.144
-27.732394122731257	-4.4896	-32.365
-31.58439412273126	-1.5146	29.182
-30.46539412273126	5.9249	21.353
-30.163394122731262	-8.9216	22.414
-30.119394122731258	8.3472	7.3037
-31.06939412273126	-11.651	8.4566
-30.97839412273126	8.9373	-2.3349
-31.675394122731262	-13.465	-1.0364
-30.88039412273126	1.0403	0.88692
-30.89339412273126	-5.9051	0.91502
-31.806394122731263	1.1806	-17.398
-30.33239412273126	-5.6748	-17.385
-27.92339412273126	1.0798	-32.145
