		frames = 120 markers = 13 Hz = 30
-44.543	-5.6897	-0.081604
-28.182	-5.2453	23.689
-37.976	7.2791	-31.884
-38.983	1.6762	-31.87
-17.28	-16.946	6.318
-22.372	-9.3145	-17.457
-22.55	-0.3105	-30.911
-24.945	-2.5168	20.112
-37.956	7.3043	-31.868
-12.481	-9.4116	-2.6682
-37.397	7.5165	-17.192
-38.024	1.3598	-17.122
-21.594	-7.3228	-17.317
-37.506	5.0477	29.427
-37.421	7.5184	-17.184
-35.106	-5.8436	-1.2649
-20.094	-10.736	28.439
-26.901	-3.1889	-16.509
-22.29	-9.2369	-17.449
-22.353	-1.8926	-17.101
-28.755	3.5492	20.76
-38.211	14.285	7.5968
-37.973	7.2951	-31.857
-21.613	-9.6603	0.5337
-36.239	6.6921	29.127
-15.033	-16.496	-2.992
-37.529	4.8199	29.507
-23.365	-2.0874	0.8997
-23.328	-2.6391	-16.695
-22.723	1.3803	6.3748
-18.262	-15.442	20.497
-16.638	-16.546	6.3429
-25.538	-4.8629	0.121
-37.102	7.7666	0.8289
-32.45	12.869	6.3853
-37.96	7.2293	-31.915
-34.08	-3.366	-16.611
-37.406	7.511	-17.194
-37.138	-5.0178	8.7589
-37.098	14.716	7.2949
-18.714	-6.2675	28.439
-37.479	-5.0602	8.9443
-37.25	0.85622	0.8675
-39.933	1.0761	-31.661
-21.464	-2.206	-31.584
-18.88	-7.2225	28.363
-19.487	-12.461	21.299
-21.265	-8.6714	0.582
-37.511	11.846	21.886
-39.564	1.5788	-31.872
-35.383	-6.2723	-0.9216
-37.759	14.466	7.5357
-22.104	-8.9011	-17.406
-35.133	-5.8098	-1.2688
-38.855	1.8097	-31.853
-37.536	4.9636	29.438
-20.48	-5.4623	-30.939
-37.982	7.2856	-31.9
-36.694	7.1014	0.8616
-22.24	-8.8481	-17.432
-23.262	-1.3758	0.855
-37.554	11.844	21.893
-19.061	-5.8317	28.618
-44.54	-4.9903	8.5212
-25.267	4.2768	8.6398
-38.526	0.27209	1.053
-38.982	1.6815	-31.863
