		frames = 151 markers = 13 Hz = 30
-19.617	-1.9408	1.9302
-36.077	5.0505	1.4637
-25.777	12.869	16.543
-36.331	-11.977	11.593
-39.703	-1.8795	-14.087
-36.938	11.159	11.299
-38.124	-5.211	1.3161
-35.368	-8.5619	10.578
-38.642	5.827	1.7265
-18.184	-2.5962	-1.0758
-18.995	-7.9902	-1.3792
-34.134	-12.618	10.101
-36.023	12.42	11.3
-37.952	-3.6681	-14.566
-22.823	-1.5815	2.5045
-39.007	-3.9238	-28.948
-36.999	-3.3753	1.4784
-26.958	-13.73	1.8057
-38.108	2.6946	1.7414
-38.988	-4.0707	-28.901
-38.963	-4.068	-28.854
-35.603	-4.5955	23.669
-37.813	7.766	-14.437
-37.982	6.7	-29.261
-38.985	-3.9673	-28.824
-38.273	-3.8623	-14.629
-35.715	1.3154	31.08
-37.549	-3.6494	1.4312
-27.12	-3.9218	29.079
-38.178	-3.5644	-14.631
-21.262	-3.4123	23.897
-39.05	-4.0875	-28.884
-39.404	-2.5542	-14.1
-37.156	7.0521	24.297
-39.581	-2.4479	-14.224
-17.378	9.7531	-1.7981
-37.991	6.7302	-29.221
-35.869	-10.892	1.7315
-37.972	7.5368	-14.403
-26.93	-13.768	1.7888
-20.609	0.38935	1.8371
-24.442	3.2447	3.578
-30.093	-9.1526	20.7
-37.471	5.8989	-14.624
-32.582	10.317	3.5669
-36.97	5.0765	-14.288
-39.137	-3.9247	-28.672
-38.986	-4.0078	-28.82
-39.413	-2.4275	-14.095
-21.051	1.3127	24.461
-35.165	-7.7763	10.988
-35.714	-4.8674	23.593
-18.877	-10.449	-3.3009
-38.286	-4.5769	-14.555
-39.827	-4.9733	-14.551
-35.879	7.7306	24.665
-34.851	7.9107	23.494
-39.281	11.752	2.2519
-31.459	-2.8008	22.089
-37.663	-5.7234	1.368
-31.184	9.5304	11.601
-38.909	13.612	1.3425
-24.344	0.77298	16.951
-39.304	-3.9377	-28.729
-37.18	8.1828	24.762
-37.635	11.465	11.957
-24.291	3.1281	2.769
-37.288	5.8422	1.4243
-35.194	-7.6592	11.324
-38.061	4.6472	-14.065
-37.398	3.937	1.3893
-33.818	-10.723	10.964
-37.465	3.1286	1.714
-37.169	6.6544	-28.594
-27.673	-11.762	0.16249
-38.072	4.6245	-14.066
-37.194	7.273	24.294
-38.41	-4.4956	1.3205
-37.609	11.505	11.955
-39.985	-1.5619	1.934
-39.17	-3.8954	-29.237
-35.279	1.9365	31.082
-18.498	-2.484	-0.94261
-37.053	6.8172	-28.895
-35.703	-5.0049	23.54
-37.455	5.1742	-14.165
-41.053	-5.8319	1.4544
-37.555	11.56	11.943
-37.876	6.9625	-28.555
-26.435	-5.4369	17.003
-37.055	6.6994	-28.621
-39.135	-3.8778	-29.135
-35.108	-11.853	10.66
-38.832	6.6455	1.7578
-35.981	-10.504	1.2691
-31.841	-12.563	0.70429
-37.985	6.7134	-29.275
-34.622	11.821	1.3916
-39.171	-3.9236	-29.265
-37.117	6.9693	-28.851
-33.295	6.2923	24.58
-38.287	-4.4976	-14.588
-37.203	6.6499	-28.537
-38.193	-3.6033	-14.619
-35.108	-8.1358	10.726
-35.325	-8.4684	10.611
-35.992	-11.821	11.475
-22.518	-5.4772	3.0714
-40.244	-5.5859	1.8068
-27.288	-10.868	16.111
-37.989	6.6905	-29.202
-18.793	-10.646	-3.3793
-36.479	6.0375	-14.594
-18.341	-2.2997	-0.51491
-39.67	-1.8332	-14.087
-35.418	1.1984	31.005
-30.782	-2.2553	21.722
-35.224	-7.7017	11.089
-18.262	-0.9964	-0.45911
-16.645	2.7872	-1.9847
-27.17	-10.113	4.0376
-37.714	5.6583	-14.041
-36.932	6.7622	-28.901
-37.976	6.869	-28.94
-39.3	-3.93	-28.706
-24.612	6.3553	26.501
-36.006	-11.096	0.75409
-34.275	-6.078	23.365
-37.255	5.1211	1.4759
-37.57	6.1067	-14.012
-16.999	2.0625	-0.89181
-37.91	7.7124	-14.55
-38.533	-4.4638	-14.716
-23.337	-2.2896	5.7526
-35.406	-4.15	23.795
-37.588	11.522	11.949
-37.631	-5.077	1.4635
-39.171	-3.9313	-29.262
-34.677	13.398	2.4059
-41.048	-9.8555	2.0372
-37.205	4.8136	1.364
-35.786	-11.143	11.277
-16.768	2.494	-1.4549
-26.534	-11.573	14.853
-39.161	-3.87	-29.223
-37.881	7.7296	-14.549
-26.604	-8.341	16.411
-37.273	5.8578	1.4329
-37.109	7.9842	24.737
-37.037	6.7955	-28.864
-36.422	5.4567	-14.452
-39.038	-4.1047	-28.964
-37.576	11.536	11.947
-38.422	-4.8709	-14.711
-35.882	13.243	1.6015
