		frames = 180 markers = 13 Hz = 30
-31.143	1.6736	30.601
-36.932	-5.4563	-14.115
-19.662	6.7544	0.1797
-37.441	-8.225	-28.986
-18.642	13.13	-5.1284
-36.672	3.5825	-14.193
-37.478	3.2948	-14.07
-41.599	4.6949	1.9424
-44.159	10.753	8.934
-37.18	4.3996	-28.756
-37.17	-3.1922	1.6758
-19.943	4.7944	1.205
-23.722	5.5344	15.842
-27.376	8.1032	28.0
-39.926	3.6658	2.055
-34.194	13.962	19.457
-29.599	-11.032	1.2348
-37.13	-7.4098	-29.234
-43.198	9.5643	9.6237
-26.444	-8.3362	9.0443
-44.153	8.8791	-0.7707
-43.156	9.5918	9.349
-37.073	4.2307	-28.73
-35.163	-5.7398	1.4804
-37.231	4.1591	-28.535
-35.38	-0.33212	31.066
-40.319	7.7888	10.223
-37.159	4.2181	-28.54
-42.225	11.142	8.8659
-36.276	11.114	20.853
-36.936	-7.6801	-14.482
-36.853	1.5451	1.9995
-36.627	-5.6459	-14.383
-37.222	4.1656	-28.552
-29.246	-4.99	22.143
-37.122	-7.2073	-14.467
-37.088	-4.8711	1.6345
-36.128	-6.7632	-14.599
-34.753	17.275	13.345
-33.761	-12.665	11.999
-40.354	8.7584	10.034
-36.465	-5.6995	-14.03
-41.503	4.689	2.0345
-36.006	-5.8788	-14.467
-35.536	9.7694	-0.217
-33.712	-13.04	-0.4545
-37.1	-6.0578	-14.348
-19.044	7.8192	-2.6177
-37.126	-6.5107	-14.423
-36.506	-5.6872	-14.123
-39.241	4.3816	-13.99
-24.389	12.343	23.606
-35.836	1.2921	1.9017
-39.132	4.3427	-14.106
-36.192	-6.8821	-14.634
-36.828	-2.5026	1.8662
-34.214	9.1612	0.5692
-22.596	16.208	18.799
-35.373	-3.6456	1.8677
-37.337	4.1474	-28.602
-35.561	9.9044	-0.1335
-33.759	-7.0615	23.192
-37.248	-7.5782	-29.234
-43.454	10.007	-0.91
-42.555	9.6288	-0.808
-41.525	4.5088	1.8718
-33.208	-10.58	9.8886
-37.907	4.52	-14.149
-38.3	7.3864	22.742
-25.714	7.9186	26.423
-36.025	-3.039	1.5099
-36.638	-7.1499	1.7663
-23.111	-1.7998	4.601
-26.474	7.4642	16.999
-36.513	-5.6335	-14.119
-36.543	-3.4815	2.0027
-40.005	5.3532	2.0829
-35.04	9.1253	0.3816
-22.675	0.31683	7.2814
-27.247	-8.8439	0.7631
-37.142	-6.8043	-14.449
-35.503	9.798	-0.2229
-36.347	-5.6572	-14.08
