		frames = 82 markers = 13 Hz = 30
24.78	-6.7534	19.489
21.853	9.1545	-1.7887
23.246	-8.2646	6.5508
26.534	-2.5443	-31.003
26.81	-6.4457	19.406
26.554	-2.551	-31.004
23.193	-8.4019	6.5838
10.389	5.791	18.327
9.5248	4.1697	23.447
23.306	-8.3818	6.5858
13.404	11.096	17.365
24.84	4.2807	-0.49357
25.831	3.8092	-17.07
12.952	10.87	19.588
24.883	-6.7094	19.497
25.214	-3.0783	-0.51297
26.561	3.4092	-30.99
25.311	-2.9237	-17.155
21.862	9.1452	-1.8003
25.279	4.2057	-0.52007
24.844	4.3199	-0.49697
22.766	7.8728	6.3216
25.268	-2.9538	-17.141
25.322	-3.2265	-0.59707
24.891	4.3401	-0.49967
24.825	4.2688	-0.49007
25.028	4.2577	-0.49497
22.226	-9.3523	-1.4916
25.177	-3.211	-0.56477
26.539	3.3738	-30.947
25.209	4.1619	-0.59097
25.769	-2.8527	-17.063
25.2	-3.1614	-0.49437
24.879	-6.7119	19.493
23.259	-8.4139	6.5756
24.829	4.2664	-0.49527
25.799	3.7813	-17.143
23.176	-8.3921	6.5852
26.537	-2.5499	-30.949
25.622	3.862	-17.018
26.541	-2.5674	-30.962
25.795	3.7818	-17.063
25.214	6.4	20.626
22.266	-9.4166	-1.5994
23.289	-8.3944	6.5722
24.744	-6.7274	19.475
25.286	4.2096	-0.51687
21.802	9.1399	-1.8161
25.668	-0.40816	26.835
26.533	-2.5487	-30.961
25.621	3.832	-17.036
22.191	-9.4155	-1.5822
25.284	-3.1887	-0.53427
25.657	3.8235	-17.065
25.29	4.212	-0.51507
22.142	-9.3556	-1.5583
23.131	-9.3457	-1.5472
25.681	-0.35369	26.837
23.305	-8.386	6.583
25.286	4.2182	-0.51497
22.178	-9.3566	-1.5912
26.556	-2.5011	-31.029
25.278	4.2038	-0.51847
9.6132	4.729	23.291
24.271	-0.57972	26.772
25.222	-3.2352	-0.57887
26.535	3.365	-30.946
24.07	5.997	19.242
26.559	-2.5394	-31.014
24.755	-6.748	19.496
24.946	-8.4787	6.5271
24.775	-6.7563	19.489
25.379	-2.9233	-17.151
26.54	-2.549	-30.983
9.4652	4.5178	23.275
24.44	-0.49014	26.837
25.212	6.3415	20.675
25.332	-2.9494	-17.156
22.625	7.9419	6.3402
25.274	-2.976	-17.135
25.257	4.2251	-0.52327
25.288	6.3525	20.693
23.31	-8.3966	6.581
9.4163	4.381	22.568
25.827	3.8061	-17.071
25.32	6.3335	20.679
26.556	3.3544	-31.0
24.052	5.9881	19.347
22.713	7.945	6.356
23.482	-8.1937	6.6928
26.914	-6.4641	19.391
25.409	4.2371	-0.52187
24.485	-8.2318	6.5552
24.747	-6.746	19.498
24.218	-0.56515	26.764
26.587	3.4355	-31.063
23.244	-8.2621	6.5405
25.292	4.2145	-0.51537
21.822	9.1681	-1.8344
26.557	-2.5491	-31.015
23.845	10.223	7.0033
24.833	4.273	-0.49187
26.575	-2.518	-31.036
25.319	-3.2256	-0.60907
25.091	4.2251	-0.50017
13.05	11.073	19.57
25.381	-2.9403	-17.155
13.151	11.034	19.455
24.726	-0.44742	26.77
24.749	-6.7234	19.475
24.144	-0.61304	26.724
22.191	-9.4121	-1.5851
25.78	-0.39714	26.798
21.863	9.1443	-1.7936
25.239	-6.4895	19.537
23.964	5.9787	19.224
24.181	-0.5986	26.758
19.967	11.648	9.1391
13.111	11.083	19.491
26.538	3.3682	-30.943
26.559	3.4093	-30.992
26.575	-2.5133	-31.038
25.231	6.3711	20.677
22.282	-9.3986	-1.5778
26.576	-2.5115	-31.04
12.878	10.77	19.933
23.934	-8.0859	6.6237
25.281	4.2098	-0.51867
22.702	7.9611	6.3583
25.738	-0.42477	26.813
25.472	-2.9328	-17.121
23.955	-9.7807	-1.5707
24.143	-0.60791	26.725
24.221	-0.54586	26.766
25.846	3.7806	-17.114
25.826	-2.8802	-17.089
25.167	-3.0742	-0.54287
22.277	-9.4024	-1.568
25.764	-2.8611	-17.046
25.718	-0.34628	26.833
15.769	11.598	12.754
24.065	6.0145	19.247
26.789	-6.4677	19.365
24.675	-8.3403	6.5581
22.954	-9.28	-1.6311
24.7	6.2305	19.816
22.788	7.8826	6.3256
26.898	-6.4662	19.392
24.117	5.9772	19.395
24.876	-6.7038	19.495
12.276	6.4916	12.09
26.559	3.4058	-30.99
26.136	-6.3911	19.438
25.283	4.2245	-0.51557
26.547	3.3804	-30.977
26.865	-6.448	19.403
24.216	-0.57729	26.76
25.065	-0.3678	26.809
25.374	4.226	-0.51517
25.831	3.7995	-17.072
26.534	-2.5459	-30.982
24.109	-0.61281	26.756
15.656	7.7647	4.706
24.044	5.9818	19.243
25.759	-2.8282	-17.089
24.833	-6.7523	19.49
24.887	-8.4479	6.5435
25.829	3.7975	-17.074
22.027	-9.2341	-1.397
22.686	8.1198	6.3849
22.28	-9.4117	-1.5939
25.313	-3.2323	-0.59517
25.362	-2.9113	-17.15
25.196	-3.0651	-0.51607
25.281	4.2011	-0.52177
25.28	4.2079	-0.51857
24.76	-6.7473	19.492
25.305	-2.9625	-17.134
25.564	-2.9236	-17.12
25.832	3.7942	-17.073
21.804	9.1538	-1.8173
9.4742	4.5593	23.288
25.375	-2.9231	-17.148
25.254	-2.9346	-17.156
26.753	-6.4515	19.383
25.829	3.8019	-17.072
23.923	6.0046	19.227
26.544	-2.5435	-30.979
9.5176	4.2257	23.418
25.296	-3.2263	-0.58707
24.872	-6.7108	19.499
23.303	-8.383	6.5884
25.712	-0.40488	26.833
21.826	9.1734	-1.8342
25.34	-0.21315	26.828
24.599	-0.47735	26.814
25.073	-8.5094	6.5386
24.065	5.998	19.241
25.293	4.2145	-0.51687
23.307	-8.3897	6.5828
25.172	6.3903	20.753
25.228	-3.2882	-0.59197
25.833	3.8083	-17.069
26.572	-2.5065	-31.042
26.541	3.3753	-30.947
23.234	-8.2714	6.5661
24.244	-0.56424	26.766
23.251	10.546	7.2711
24.846	4.338	-0.49357
26.539	3.3657	-30.952
23.929	5.9974	19.231
26.564	-2.5115	-31.034
22.659	7.9753	6.3175
25.779	-0.38856	26.795
25.62	3.8193	-17.036
26.535	3.3645	-30.943
25.207	4.1601	-0.59087
25.613	3.8041	-17.033
26.558	-2.5007	-31.033
25.296	-2.9289	-17.158
22.214	-9.4231	-1.5847
25.614	3.8606	-17.037
25.801	3.8078	-17.079
25.404	-6.5145	19.537
23.271	-8.4048	6.5763
26.563	-2.502	-31.036
25.336	-2.9347	-17.164
26.537	3.3716	-31.038
26.801	-6.43	19.384
26.578	-2.5107	-31.035
26.56	3.3565	-31.001
21.81	9.1591	-1.812
24.827	4.2668	-0.49007
22.771	7.8748	6.3239
23.328	-8.208	6.7012
21.57	9.4376	-1.6449
26.573	-2.5124	-31.032
26.533	3.3605	-30.943
24.481	6.1795	19.699
23.254	-8.2656	6.5441
26.542	3.377	-30.951
24.057	5.99	19.228
25.176	-0.33659	26.818
26.541	3.3937	-30.998
25.316	-2.9268	-17.155
24.082	-0.60909	26.751
26.531	3.3657	-30.942
16.947	11.525	11.381
26.532	-2.5519	-30.96
25.3	-3.2381	-0.59707
23.48	-9.5629	-1.5374
25.266	6.3722	20.676
9.5429	4.4818	23.234
26.551	3.3585	-30.99
25.831	3.8061	-17.07
18.511	8.7338	0.72763
25.236	4.2352	-0.52807
25.193	-3.1744	-0.49427
24.048	6.0184	19.246
26.538	3.3732	-30.945
24.069	-0.60785	26.751
22.291	-9.3981	-1.5828
