		frames = 147 markers = 13 Hz = 30
-35.079	3.0467	0.57913
-36.781	-4.1917	-15.18
-33.123	4.9287	29.627
-35.811	3.9734	-15.568
-35.219	2.674	0.53653
-36.922	-6.1917	-30.235
-30.089	12.594	19.437
-28.349	11.341	-4.6008
-33.839	9.5075	8.5855
-34.776	8.4594	-1.1187
-36.921	-6.1994	-30.23
-34.718	3.1489	0.56733
-35.584	8.7081	-1.1236
-35.964	-3.5981	23.278
-35.954	1.2064	25.222
-35.967	5.7707	22.851
-31.109	13.719	6.1791
-36.627	4.9262	-30.027
-35.033	5.6662	-15.671
-28.301	11.403	-4.576
-32.554	10.472	-2.2595
-35.11	8.3446	-1.1859
-35.059	3.0112	0.60733
-35.721	4.053	-15.583
-35.981	-10.934	9.7187
-36.628	4.9358	-30.079
-35.572	3.9999	-15.593
-34.653	-6.0978	0.37323
-35.714	-6.2167	-15.805
-35.435	0.7616	24.797
-26.59	11.478	-2.9636
-31.744	13.636	6.8553
-35.764	-13.162	33.392
-35.724	5.6519	22.754
-34.242	-7.761	22.478
-35.212	2.5339	0.52093
-36.625	4.9229	-30.062
-42.241	-10.863	26.16
-36.933	-6.2584	-29.986
-36.63	4.9318	-30.079
-34.69	-5.8487	0.45913
-34.841	8.5278	-1.1028
-34.385	-7.0335	22.568
-35.632	-5.9618	-15.758
-31.856	8.1862	28.553
-34.748	-6.0435	0.41753
-39.153	-8.4379	0.68103
-36.872	-2.1242	0.87383
-34.986	5.3196	-15.832
-35.821	3.939	-15.589
-34.742	3.8485	0.56903
-30.03	12.402	19.685
-29.965	13.545	5.7269
-32.47	8.6109	21.746
-42.399	-10.014	23.929
-34.707	-5.9736	0.41443
-33.303	5.7685	0.25053
-32.933	10.727	7.7209
-31.498	9.1844	28.278
-36.602	4.9361	-29.954
-36.274	1.9257	25.501
-36.629	4.9391	-30.079
-29.642	13.922	5.2834
-35.937	-8.7314	9.1264
-32.846	8.2956	21.889
-33.39	5.7214	0.24273
-33.288	5.7518	0.24203
-36.877	-6.0389	-29.767
-29.913	12.518	19.288
-30.053	12.439	19.611
-34.918	8.3109	-1.2146
-36.926	-6.2022	-30.28
-36.943	-5.9735	-29.616
-42.725	-6.2655	15.452
-42.172	-5.2363	13.769
-35.197	2.5143	0.52543
-35.709	-5.886	-15.804
-33.082	13.41	8.5166
-35.832	5.8759	22.821
-35.744	-6.1477	-15.759
-35.24	2.8046	0.56643
-41.899	-9.6615	27.095
-36.63	-4.2768	-15.216
-36.65	-6.0238	-30.091
-34.452	-5.5751	0.39583
-35.19	2.9874	0.60953
-36.442	-5.3013	-15.328
-36.625	4.9336	-30.057
-30.181	10.751	20.589
-34.761	8.8809	-1.2711
-35.308	-5.271	0.69243
-35.205	8.8676	-1.0865
-35.334	5.7327	22.704
-35.672	-2.0352	0.80683
-29.51	13.488	5.1941
-35.745	5.6589	22.762
-30.167	12.652	19.321
-35.956	5.7526	22.837
-30.633	13.728	5.8803
-36.876	-6.0379	-29.786
-27.718	11.634	-4.1801
-36.0	5.7964	22.862
-34.878	8.5791	-1.1211
-35.951	5.7461	22.833
-34.448	-5.5822	0.40413
-35.996	1.4173	25.241
-33.332	10.355	7.8736
-30.242	12.442	19.827
-36.927	-6.2158	-30.242
-34.859	-5.2831	22.899
-28.037	11.539	-4.4188
-34.889	5.2896	-15.887
-36.546	4.9279	-30.286
-36.925	-6.2017	-30.24
-34.081	-1.1827	29.723
-36.773	-2.7471	0.85653
-35.029	-4.8976	22.872
-35.802	3.825	-15.622
-35.718	-6.206	-15.752
-36.403	-4.2238	-15.234
-35.196	2.5007	0.52203
-35.172	2.4654	0.51803
-34.86	5.2634	-15.918
-36.921	-6.1941	-30.23
-34.272	-7.7882	22.474
-34.168	-10.75	8.7836
-34.687	-14.511	31.92
-34.328	-7.8815	22.512
-34.044	-0.98073	29.718
-33.327	5.614	0.22033
-34.439	7.8249	8.6365
-27.982	11.75	-4.0935
-36.706	-4.2398	-15.201
-33.97	-10.498	8.7592
-36.893	-2.1454	0.88123
-36.024	-2.7889	23.547
-33.412	5.7515	0.25053
-34.334	-7.9126	22.516
-34.626	6.8229	22.566
-31.566	9.0802	28.318
-35.095	2.482	0.54923
-36.636	-4.2788	-15.214
-33.757	9.9339	8.011
-36.904	-2.3847	0.86783
-35.74	-6.1557	-15.758
-34.859	6.357	22.687
-36.796	-4.3094	-15.193
-34.52	-10.988	8.8079
-42.68	-8.9283	19.754
-30.085	12.551	19.475
-36.524	4.9246	-30.304
-35.557	8.7796	-1.0831
-33.836	-0.85814	29.711
-36.925	-6.1996	-30.233
-35.954	1.2439	25.226
-36.537	4.938	-30.309
-30.063	12.474	19.588
-36.565	-2.2025	0.84733
-35.871	5.8521	22.833
-35.579	5.554	22.733
-34.747	-6.1473	0.42573
-36.626	4.9407	-30.059
-36.273	0.047239	24.804
-35.683	3.8042	-15.596
-34.93	7.3853	8.696
-35.764	4.0092	-15.584
-35.1	3.0288	0.58273
-35.485	7.9576	8.8633
-41.862	-9.7183	27.063
-30.28	10.498	20.735
-36.834	-11.142	10.298
-36.594	-2.2858	0.86893
-32.889	-18.605	18.734
-36.237	-0.25012	24.708
-36.524	4.9159	-30.296
-27.664	11.138	-4.3039
-34.417	10.327	-1.3224
-35.749	4.0224	-15.582
-36.314	-0.87546	24.429
-33.989	6.8259	0.58933
-33.94	-0.65299	29.704
-36.781	-4.1893	-15.202
-34.125	-7.6366	22.495
-34.978	8.2691	-1.1923
-34.934	9.141	-1.1673
-36.604	4.9399	-30.138
-42.05	-9.4887	27.304
-33.922	-6.8057	22.342
-35.192	0.61668	24.543
-34.95	5.4194	-15.814
-33.987	-0.94236	29.706
-35.628	-9.0999	9.0143
-35.797	3.8041	-15.625
-35.204	2.5164	0.52363
-32.539	13.511	7.9908
-33.624	6.1355	0.33833
-33.279	5.7428	0.24083
-35.734	4.0107	-15.579
-30.185	11.98	-3.1341
-34.309	8.1433	8.6498
-36.801	-4.2517	-15.2
-34.073	-7.5478	22.484
-35.673	-5.8907	-15.792
-35.683	5.6508	22.748
-34.4	-10.539	8.8005
-41.491	-12.897	20.934
-29.641	13.526	5.6724
-36.869	-2.4794	0.84483
-34.467	-5.592	0.40563
-34.832	5.3064	-15.885
-36.952	-6.0126	-29.622
-36.793	-4.1893	-15.168
-34.013	4.6543	0.33213
-33.069	-11.934	-1.0712
-35.896	5.846	22.837
-33.956	-7.2486	22.43
-35.027	5.5608	-15.759
-35.542	4.2534	-15.597
-30.04	12.428	19.648
-33.693	5.6722	0.28593
-36.621	4.9221	-30.024
-34.814	8.5323	-1.2526
-35.231	4.7044	-15.812
-34.037	-7.5155	22.523
-29.567	13.876	5.4848
-36.558	4.9617	-30.297
-33.512	5.7598	0.27153
-36.618	4.9255	-30.055
-35.726	-6.1602	-15.747
-35.801	3.993	-15.559
-36.619	4.9333	-30.046
-34.924	5.3198	-15.875
-34.044	-0.95215	29.708
-35.617	-5.9573	-15.764
-34.324	-7.9112	22.506
-34.856	5.2695	-15.916
-34.842	8.343	-1.1831
-31.387	8.3758	28.656
-35.758	-6.1701	-15.758
-28.022	11.732	-4.0795
-36.097	-11.974	-0.74777
-35.566	5.9988	22.814
-34.779	8.3767	-1.1362
-36.629	4.9277	-30.051
-35.145	5.0011	-15.844
-35.726	-6.0507	-15.706
-36.544	4.9319	-30.305
-41.18	-13.061	18.422
-31.018	8.8495	28.352
-27.736	11.631	-4.2531
-33.877	-0.97399	29.706
-34.581	-11.055	8.8439
-36.548	4.9437	-30.307
-31.954	-15.686	6.2325
-34.839	5.2975	-15.897
-36.922	-6.1911	-30.225
-34.083	-1.1389	29.732
-35.049	6.4657	22.712
-35.54	5.5169	22.712
-36.932	-6.2307	-29.938
-32.644	11.781	22.135
-34.069	-0.97285	29.709
-35.799	4.0007	-15.555
-34.986	-13.756	33.061
-34.138	-7.438	22.523
-34.745	-14.102	32.744
-33.563	0.65642	29.725
-34.51	7.6849	8.6636
-36.948	-6.0122	-29.654
-34.902	5.3208	-15.882
-34.397	-1.7816	0.65983
-34.882	8.3322	-1.196
-35.452	5.5807	22.712
-35.679	-6.074	-15.789
-36.026	-5.837	-15.49
-35.148	5.8181	-15.564
-35.611	-5.9574	-15.761
-36.393	0.84887	25.15
-36.781	-2.1976	0.88653
-35.218	-12.84	33.783
-27.76	11.745	-4.1082
-35.592	7.7206	8.803
-35.555	4.032	-15.595
-31.02	9.1733	28.216
-33.282	5.7464	0.24203
-30.13	13.673	5.7651
-33.29	-12.543	-0.88267
-33.554	-18.079	24.739
-34.368	-1.5924	23.19
-41.752	-10.191	26.732
-35.726	5.9344	22.819
-34.382	-6.7362	22.568
-29.881	11.849	19.935
-35.404	-9.2634	8.978
-31.234	8.6753	28.526
-34.646	-5.0883	0.53963
-29.651	13.98	5.3771
-35.614	7.7382	8.8106
-37.874	-11.245	-0.41127
-34.886	-13.894	32.926
-34.91	5.32	-15.874
-35.292	7.5097	8.7895
-36.924	-5.9534	-29.65
-36.891	-2.1328	0.87983
-26.391	11.213	-3.3848
-34.78	-6.143	0.42933
-33.072	-11.942	-1.0641
-29.796	12.5	19.201
-36.522	4.9227	-30.285
-35.407	-5.1249	0.72533
-36.548	4.9638	-30.284
-36.91	-6.1981	-30.146
-26.502	11.152	-3.5446
-36.648	-6.0271	-30.118
-33.55	-12.4	-1.0179
-26.936	11.116	-3.913
-29.479	13.387	5.1066
-34.905	5.3653	-15.839
-29.835	11.961	19.798
-35.753	-5.3738	-15.595
-26.702	11.103	-3.7565
-27.23	11.54	-2.9189
-34.686	-5.7072	0.44563
-35.659	-6.0319	-15.788
-35.781	4.1005	-15.443
-36.727	-4.2329	-15.193
-33.975	-0.95005	29.708
-36.628	-2.3134	0.86873
-33.542	-12.357	-1.0145
-36.943	-5.971	-29.588
-36.618	-2.3063	0.87243
-29.179	13.845	6.2023
-32.078	-14.764	4.3779
-34.576	-13.261	27.435
-34.431	-10.914	8.8921
-36.37	2.0673	25.525
-34.508	-5.52	0.38013
-34.024	-0.96036	29.706
-33.512	-12.328	-1.0331
-29.131	13.979	5.6711
-34.957	5.3188	-15.86
-34.604	7.5387	8.687
-36.592	4.9234	-30.056
-34.852	-11.09	8.3376
-35.703	-5.9523	-15.668
-35.443	-12.794	33.805
-33.257	-12.437	-0.90407
-35.765	-6.2161	-15.755
-33.731	-12.733	-0.84767
-32.131	-17.28	10.269
-35.566	-4.08	-15.342
-30.973	9.0542	28.265
-36.568	4.9552	-30.273
-31.001	9.1257	28.231
-36.585	-4.2344	-15.227
-32.018	12.071	21.731
-29.863	11.836	-3.349
-35.415	7.8993	8.8594
-34.637	-5.4682	0.49753
-36.527	4.9191	-30.34
-33.064	-11.917	-1.0709
-35.535	8.7712	-1.1051
-36.485	4.8575	-30.12
-35.432	5.6358	22.704
-36.927	-6.1969	-30.28
-36.625	4.9182	-30.055
-36.924	-6.1841	-30.233
-35.172	4.9134	-15.838
-36.394	-2.2007	0.86813
-35.722	-6.0112	-15.726
-36.584	4.9151	-30.056
-36.947	-6.0153	-29.697
-36.542	4.9385	-30.245
-34.791	-14.017	32.831
-36.927	-6.2044	-30.285
-33.047	-11.873	-0.83227
-33.484	-12.453	-0.98597
-36.621	4.9228	-30.053
-36.933	-6.2076	-30.246
-34.255	-10.413	8.885
-28.147	11.512	-2.7397
-34.735	-6.0242	0.41793
-35.132	-13.458	33.306
-31.936	13.631	7.0616
-29.664	13.528	6.5651
-27.198	11.129	-4.0469
-35.199	2.4783	0.52893
-31.825	12.229	21.558
-35.554	4.4111	-15.608
-36.922	-6.1913	-30.233
-36.523	4.923	-30.298
-29.5	13.737	6.4401
-36.535	4.9256	-30.313
-33.291	5.7143	0.23073
-35.766	-6.2158	-15.748
-34.313	-7.9004	22.517
-34.03	-0.95675	29.698
-36.529	4.9159	-30.334
-41.793	-10.214	26.666
-35.617	-5.953	-15.757
-36.628	4.9248	-30.071
-34.86	5.2521	-15.917
-34.895	5.3137	-15.887
-32.804	6.1609	29.523
-38.387	-11.558	11.417
-29.266	13.785	5.3604
-36.656	-4.2897	-15.213
-36.514	4.9321	-30.051
-34.94	-13.837	32.985
-33.895	-0.58599	29.732
-36.521	4.9159	-30.256
-35.644	7.8229	8.8125
-33.453	5.757	0.25933
-29.482	13.427	5.1097
-33.331	5.6347	0.21273
-41.686	-10.269	26.212
-30.972	9.0969	28.242
-33.073	-11.705	-1.0253
-34.432	-10.064	8.8802
-35.205	7.5128	8.7882
-32.228	7.1474	29.222
-32.22	-13.915	2.881
-35.153	-13.172	33.555
-36.624	4.9295	-30.06
-32.132	8.8581	21.586
-36.525	4.9107	-30.237
-29.829	12.155	19.693
-32.533	-13.198	1.5276
-32.771	13.509	8.1623
-34.325	-7.69	22.5
-35.619	-5.9523	-15.758
-35.989	1.4515	25.232
-34.597	-1.7814	0.75473
-34.828	-9.709	8.8926
-35.789	3.7799	-15.624
-35.667	5.9542	22.818
-35.155	2.4612	0.52883
-33.996	-10.632	8.7748
-28.508	11.601	-3.9643
-35.795	4.0066	-15.554
-35.05	8.1341	-1.2229
-29.521	11.742	-3.4843
-34.146	-10.734	8.7849
-35.609	-5.9622	-15.761
-33.926	1.3517	29.34
-36.939	-5.9561	-29.61
-36.148	1.7664	25.371
-29.52	13.643	5.2671
-33.874	-10.513	8.7726
-35.053	9.0574	-1.0662
-35.47	0.91572	25.084
-36.536	4.936	-30.313
-36.533	-2.2085	0.85273
-29.438	13.487	5.1513
-34.424	-13.148	25.728
-30.97	9.4638	28.089
-30.113	12.61	19.395
-32.627	5.9566	28.956
-34.758	-14.066	32.789
-34.131	-7.4234	22.507
-35.111	3.0152	0.58103
-29.274	11.463	-2.6377
-34.819	-10.54	8.9016
-34.609	-10.549	8.8178
-35.911	5.8365	22.839
-34.606	-11.111	8.8426
-42.598	-9.4933	21.322
-36.924	-6.2014	-30.227
-34.018	-7.346	22.478
-36.17	-4.1567	0.83733
-32.755	11.466	22.27
-34.599	-0.89668	23.443
-35.783	4.019	-15.552
-30.985	8.9175	28.32
-36.584	4.9184	-30.101
-34.061	-7.5415	22.495
-36.529	4.9292	-30.304
-30.946	9.4564	28.078
-41.79	-9.8357	26.975
-42.1	-10.202	24.957
-33.968	-10.616	8.7899
-41.721	-10.036	26.887
-35.62	4.1816	-15.666
-36.63	4.9288	-30.076
-36.962	-6.2285	-29.816
-33.487	-12.288	-1.0404
-36.6	4.9263	-30.061
-34.036	-7.363	22.487
-36.311	-3.8816	0.82433
-35.388	-4.4555	23.025
-33.63	0.43078	29.708
-34.074	4.4285	0.35113
-36.63	4.9331	-30.077
-34.779	8.411	-1.1221
-34.107	7.8759	22.532
-35.729	-13.709	32.347
-34.692	-5.7875	0.46673
-35.761	3.7728	-15.599
-34.801	6.476	22.718
-35.076	3.1639	0.64563
