		frames = 150 markers = 13 Hz = 30
30.636	-1.3115	-15.745
31.974	-6.8212	22.145
33.023	-4.3889	-15.831
31.331	0.57277	23.155
31.048	6.1233	-31.341
23.293	-8.1407	-0.4164
33.561	-1.9373	-31.125
14.855	14.395	8.8354
22.156	-10.398	0.5394
28.341	7.2602	21.958
30.297	6.3505	-15.701
28.02	-8.4976	21.794
29.403	0.18447	30.026
29.384	7.5434	-15.903
33.911	-2.6239	-31.407
28.028	0.69687	29.717
31.387	0.66747	23.133
29.449	7.436	-15.824
33.848	-3.0564	-31.298
27.85	9.1948	1.8906
32.117	2.1241	2.3114
32.606	-0.29544	-15.301
32.415	4.7065	2.2082
33.557	-4.7539	2.2135
7.6396	6.0523	8.1492
9.0544	8.0104	9.9507
32.183	4.6	-15.533
27.735	0.67667	29.7
15.089	13.356	8.3501
32.383	4.3609	2.295
9.9896	3.3042	13.215
34.708	-4.9375	1.2317
23.283	5.0856	20.92
33.788	-3.1626	-15.38
8.4447	6.559	7.2599
27.094	2.7838	29.816
32.913	4.429	-15.629
35.148	-3.4417	10.417
32.303	3.8311	-15.536
27.826	9.0819	1.844
32.541	-0.28654	-15.409
32.73	10.729	8.6476
31.936	4.0578	2.2356
23.695	11.648	20.983
37.262	-11.279	1.3458
31.426	0.67977	23.2
30.971	6.0801	-31.305
33.987	-2.9892	-31.384
33.555	-2.0836	-30.917
33.413	2.5257	2.1495
31.366	-2.3096	-15.739
22.473	12.289	20.539
32.08	3.7785	-15.56
29.083	-10.073	-0.2425
23.514	5.216	20.998
35.248	-9.6598	9.9265
29.612	-0.4535	29.951
30.974	6.1049	-31.338
34.835	-3.4018	10.187
28.567	-8.6971	21.46
33.62	4.0386	-31.264
33.314	-2.1786	-31.045
31.394	-2.1076	30.083
15.746	15.359	8.9543
32.562	-0.3005	-15.395
23.981	5.1652	20.735
28.94	-9.7072	-0.5344
32.254	-3.271	-15.709
33.311	-2.176	-31.022
30.163	-2.512	22.697
32.082	-2.7057	-15.761
33.76	2.2833	2.1778
20.694	14.514	5.6126
31.667	11.165	8.6161
30.796	-1.1265	-15.699
31.322	-0.95883	-15.598
32.604	3.9453	-15.564
30.706	2.9747	2.201
41.364	6.0082	9.4778
16.173	9.343	9.9665
12.069	6.079	14.537
30.956	6.0573	-31.292
33.788	-5.709	0.9749
31.45	0.17077	2.2296
29.339	7.5754	22.096
33.271	-2.933	-30.854
28.904	-8.9025	9.0963
32.371	8.0288	22.269
31.904	2.0339	2.2212
15.389	11.619	1.891
33.492	-1.9933	-31.361
25.836	6.6692	29.677
23.691	5.2304	20.942
30.185	4.2387	2.1853
30.871	5.9817	-31.28
30.95	6.1169	-31.334
32.0	2.0976	2.2679
14.945	7.5256	10.158
35.069	1.5824	2.2781
30.945	6.1127	-31.328
39.436	10.276	0.3525
22.628	12.105	20.507
17.322	16.355	8.9957
16.748	11.369	14.838
29.343	7.5481	-15.82
29.943	-0.13705	30.155
31.24	-2.2118	-15.655
31.245	0.48177	23.105
34.634	-3.7989	2.3479
24.354	-11.233	8.8941
21.716	9.276	9.8941
25.238	-11.19	9.3803
31.049	6.1798	-31.36
34.611	-3.681	10.076
33.524	-3.791	2.2329
31.507	0.0033153	30.214
33.57	4.0028	-31.166
29.508	7.0912	2.0826
26.048	-9.6549	-1.4727
30.26	-2.1996	22.773
34.198	-3.7724	2.3695
25.571	-11.204	9.3308
33.053	-2.4998	-15.692
29.881	6.9043	-15.763
33.892	-6.6329	22.74
36.148	4.0051	22.182
33.616	4.0488	-31.299
33.598	-2.017	-31.074
30.936	-0.2779	22.983
31.823	0.34407	30.211
33.537	-1.833	-31.258
33.8	-3.0608	-31.285
22.477	-8.2328	-0.1186
32.886	-3.783	-15.834
31.078	6.1949	-31.339
31.171	6.5073	-31.244
29.978	6.9455	-15.784
29.749	11.581	8.7422
29.888	5.2583	2.1998
30.575	-2.3403	29.951
27.252	2.4446	29.847
33.618	4.0387	-31.233
33.884	-6.6822	22.66
30.654	5.8272	-15.68
34.376	4.8077	-30.872
22.98	10.865	20.711
21.369	-9.0199	0.3253
34.27	-11.234	9.9241
29.373	-10.176	-0.1542
31.454	0.21247	22.996
31.505	8.123	22.198
26.388	4.2977	29.854
33.551	4.0563	-31.172
29.054	-11.926	1.6681
28.515	1.127	29.667
33.505	-1.7997	-31.294
32.571	-5.8693	0.4513
30.83	-3.4774	2.0774
33.299	-2.3137	-30.811
19.161	14.031	6.1535
32.765	-9.9324	9.0577
24.349	-10.673	0.1874
30.009	15.578	1.7841
35.552	2.8347	-15.537
36.236	4.1436	22.43
31.679	-6.2246	0.3923
31.347	3.4458	2.2551
30.467	-2.2864	29.892
22.33	17.784	8.8929
17.398	12.976	1.4334
29.498	-0.17595	30.01
33.467	-1.9907	-31.328
31.9	11.632	-0.5203
31.897	-0.78515	2.0065
29.331	7.5413	-15.789
33.023	-4.4122	-15.828
32.059	11.05	8.6387
27.756	9.1546	1.8712
27.751	7.0111	21.875
23.386	5.1442	20.95
31.361	0.042745	23.016
33.552	-1.8488	-31.266
34.259	-9.8878	9.4838
33.825	-3.0343	-31.281
32.209	2.2466	2.366
7.0284	6.7614	9.4008
31.826	3.7252	2.2643
28.932	-9.3009	-0.8122
31.31	-5.4314	1.9915
31.921	-7.9081	9.6594
35.439	-3.3971	10.472
29.139	0.39767	29.959
31.515	-5.7704	1.9697
31.215	1.3097	1.9361
33.883	-3.0668	-31.241
32.98	-2.5953	-15.797
30.994	6.179	-31.319
33.798	-6.7182	22.564
23.808	5.8153	20.705
28.528	11.442	-0.2851
30.987	0.060145	23.041
27.76	9.171	1.8697
35.712	4.5235	21.907
33.479	-4.7744	2.1905
34.81	-3.8325	2.3479
32.118	-5.5086	1.9165
31.81	-0.66217	-15.574
31.448	0.56347	23.104
31.319	11.662	-0.5505
31.614	1.7826	2.157
27.947	8.9849	1.8976
34.902	-3.4794	10.354
25.423	6.2444	21.401
31.172	5.9638	-31.204
23.131	4.8999	21.113
33.444	-2.0502	-31.365
11.419	9.6877	4.3414
25.214	6.5618	29.616
32.923	4.476	-15.657
31.986	-6.0745	0.3988
31.324	-0.054115	22.955
32.197	3.7769	-15.554
33.859	-3.0856	-31.261
31.289	6.2751	-31.1
33.831	-5.5998	23.4
33.275	-11.633	10.057
30.895	11.644	-0.502
32.007	1.5596	2.3666
9.2783	7.7789	6.3595
32.677	-4.3741	-15.783
26.001	6.467	21.514
33.376	-2.8091	-15.615
31.159	-2.1519	-15.642
25.023	-10.79	8.3938
31.824	0.44247	30.215
33.225	-3.2368	-15.681
28.187	15.277	11.162
31.877	3.7774	2.2649
34.588	-9.7997	9.5958
34.006	-4.5185	2.3112
30.124	7.8694	22.189
32.228	-3.1171	-15.712
37.106	-11.472	1.2473
27.856	9.2059	1.918
32.165	-1.6617	-15.815
14.752	6.1705	11.223
32.936	4.5317	-15.69
34.377	-5.0819	1.4232
35.66	1.8185	2.3034
15.492	6.5761	11.022
34.927	-3.3585	10.208
34.269	-3.6802	10.114
32.902	-2.5772	-15.687
17.967	11.473	9.9154
39.853	8.9277	0.7044
35.657	3.4038	-31.083
27.636	-9.8089	-0.0165
15.07	9.5786	15.34
30.727	3.0042	2.2068
32.915	4.4054	-15.614
23.798	17.894	8.9291
23.076	9.2544	20.673
30.147	6.7182	-15.748
32.891	4.2991	-15.56
30.965	-4.4624	2.106
30.891	-0.4632	22.968
20.967	11.205	20.478
35.476	1.5446	2.4581
31.501	3.4957	2.2635
34.988	13.018	9.4497
32.501	15.667	9.554
32.635	-0.25406	-15.306
28.952	-9.6434	-0.6479
16.0	14.277	8.3591
38.965	9.3192	9.1826
35.551	1.5618	2.4301
29.375	-8.4572	9.1308
31.394	-2.1076	30.083
33.37	-2.5327	-30.811
29.313	7.5511	-15.835
28.03	-7.396	22.48
31.631	-5.8477	1.9501
24.745	5.7653	21.375
32.301	-2.1954	2.0826
28.537	8.5494	2.018
29.445	7.4799	-15.768
33.35	5.6488	-31.022
31.094	-5.48	22.874
29.723	-7.9509	0.6189
30.221	11.588	-0.4933
17.654	15.167	7.9616
14.236	11.028	2.5021
28.412	9.9378	21.548
32.379	4.4485	2.278
28.7	8.1558	2.0367
10.914	9.7414	9.6292
36.332	3.5375	-31.09
35.746	-9.0902	10.187
33.84	-11.176	0.6885
16.436	15.885	8.9677
17.352	7.5304	10.674
32.166	2.098	2.3766
34.237	-5.1199	1.4684
36.59	-11.363	1.2225
30.641	-2.4408	29.95
29.314	7.5315	-15.833
32.146	3.77	-15.543
25.667	-10.474	0.0955
23.096	4.8948	20.908
33.506	-1.7958	-31.303
30.687	-4.3744	22.787
32.276	7.1313	21.61
35.657	3.4038	-31.083
35.145	-3.3703	10.292
31.0	-1.5865	-15.877
40.97	6.9254	9.2787
34.62	13.646	9.5457
23.632	5.1615	20.938
31.32	-2.1412	30.052
29.101	0.62917	29.913
32.155	2.1951	2.3603
35.261	-3.3794	10.448
21.67	15.275	7.5851
31.539	-1.6747	-15.833
31.857	6.926	-31.1
7.5539	-1.2436	10.247
31.371	1.5149	2.01
35.877	-9.0822	10.232
32.495	3.3277	2.1818
30.785	-0.93758	22.971
32.109	1.9099	2.3873
35.659	1.9159	2.285
27.935	-8.0292	22.05
30.849	5.9937	-31.309
32.169	-5.9451	9.5018
24.577	5.7748	29.555
32.995	-4.5334	-15.793
32.369	-3.8869	-15.684
30.618	-1.4517	-15.802
21.068	11.238	20.507
31.729	0.33827	30.21
30.991	6.1316	-31.379
30.685	-1.5031	-15.839
32.145	-9.9061	8.8708
18.089	13.61	1.9366
32.616	-0.27739	-15.304
35.918	4.2969	21.956
31.289	0.72907	1.8552
25.537	11.022	9.3146
33.504	-2.0684	-30.991
32.556	-3.2873	2.1282
31.729	-6.9912	22.046
33.984	-3.0709	-15.314
35.682	2.3477	2.4049
31.744	-7.3276	22.909
32.162	-1.7738	2.0394
30.89	-1.0616	2.0553
25.548	14.966	10.935
27.985	9.1743	1.947
35.502	-9.2017	10.056
33.499	-3.8194	9.8383
31.086	-9.6105	8.771
13.467	12.842	8.889
23.773	6.1378	20.667
31.776	4.6706	-15.514
31.554	1.7593	2.1039
32.833	6.7896	21.679
33.47	14.999	9.6497
27.997	-9.7686	9.1536
33.74	-3.1845	-31.319
32.185	-9.5711	9.9587
30.385	3.661	2.1973
33.056	-3.6111	2.1777
29.537	7.3881	-15.763
8.0579	6.9759	9.8139
29.626	6.9059	2.1232
35.603	2.8309	-15.514
31.929	11.634	-0.524
29.328	7.5466	-15.825
27.701	0.79447	29.736
24.441	-11.129	8.6795
32.749	-3.139	2.0382
31.775	-5.9048	1.9238
24.473	5.5187	29.54
18.981	12.318	10.036
33.425	-1.9837	-31.435
33.265	-3.2927	-15.666
8.9011	7.1348	6.8231
33.603	4.0233	-31.185
22.792	11.622	20.872
32.366	4.3233	2.3331
24.571	-8.545	-0.9202
33.367	-2.6376	-30.79
31.359	-0.061455	30.226
30.577	-3.6505	22.724
31.62	3.5941	2.2729
33.972	-2.8887	-31.414
34.861	-9.7771	9.77
33.562	4.0116	-31.193
35.032	-9.829	9.8704
13.637	12.985	8.8258
33.5	4.2062	-31.137
20.908	11.154	20.537
32.888	4.5044	-15.644
23.903	5.1573	20.804
27.013	-10.095	0.0114
18.34	15.133	7.7837
31.975	-0.5948	-15.555
37.268	-11.407	1.3253
20.242	15.162	7.5931
23.037	15.364	7.7834
32.14	2.002	2.3859
33.106	-5.3921	9.6992
19.212	13.974	9.4288
27.758	9.1141	1.8724
31.934	2.0526	2.2355
14.114	12.621	8.5393
27.835	-6.9754	22.521
31.116	6.1372	-31.37
30.437	5.7579	-15.624
35.423	-3.3866	10.452
30.919	3.1307	2.2497
24.265	14.822	10.738
33.321	-2.2696	-30.907
32.886	-3.783	-15.834
19.51	8.5176	10.284
35.309	12.474	9.277
30.974	6.0916	-31.337
33.565	4.002	-31.195
32.138	-6.0831	1.9501
9.6682	8.4105	5.9087
18.745	15.231	7.7406
26.325	6.0919	29.679
32.901	-3.9057	-15.854
25.471	6.7006	29.654
29.21	-12.36	1.706
35.671	3.3829	-31.149
30.128	6.4423	-15.731
27.514	1.7946	29.872
27.531	15.488	10.534
31.06	6.1175	-31.299
30.017	6.5902	-15.688
28.483	8.4659	2.0024
34.536	-3.547	10.208
32.282	-5.9788	1.9326
28.088	9.1528	1.9594
32.628	-0.26872	-15.305
29.204	0.28997	29.954
31.849	-6.8904	0.4878
32.322	4.2778	2.3461
29.338	7.55	-15.786
36.299	4.2626	22.558
30.636	-9.1417	8.719
30.865	5.9917	-31.28
28.34	8.5853	1.9764
29.761	7.1188	-15.748
26.721	3.8631	29.734
31.564	-6.8194	22.871
23.46	15.472	7.9337
31.612	-9.8826	8.811
33.567	-3.208	-30.98
33.299	-2.3228	-30.824
28.129	8.7862	1.9581
22.699	12.037	20.623
30.875	6.0156	-31.293
34.46	-10.739	9.839
32.037	2.1024	2.28
33.34	-2.3941	-30.801
33.128	-3.046	-15.695
34.583	-4.8792	1.0131
23.845	5.1434	20.848
33.506	-5.9032	0.7903
31.298	0.52737	23.137
30.996	6.1265	-31.414
36.199	3.8754	22.301
32.043	6.5627	-30.869
31.819	1.0107	2.386
27.5	-10.216	9.1536
34.014	-3.1528	-31.382
28.91	-10.911	1.4171
39.52	8.6781	9.2496
28.925	-10.331	1.2473
34.03	5.2727	-30.891
30.45	5.2415	-15.578
33.325	-11.812	10.09
30.964	6.0744	-31.294
27.681	0.94887	29.786
23.997	5.3324	20.727
30.985	-2.3602	29.953
28.181	1.0124	29.714
38.133	10.115	9.1513
32.351	-6.8321	22.251
33.558	-3.261	-15.484
29.407	7.4847	-15.76
32.434	4.8015	2.1797
31.019	-10.658	0.1727
27.811	9.1673	1.883
29.517	7.3298	-15.77
30.55	-0.17198	30.204
32.501	3.9073	-15.549
10.804	9.4514	4.7688
32.154	2.0682	2.3843
30.956	-0.12776	22.993
34.021	-6.0507	23.157
33.627	-2.1149	-31.004
32.21	2.2488	2.3428
16.636	14.817	8.2105
31.462	0.53707	23.081
23.81	15.152	4.5057
19.026	14.162	7.1964
33.309	-3.3749	-15.599
32.169	2.2147	2.3604
31.081	6.2519	-31.294
33.425	-2.0033	-31.413
30.994	6.1735	-31.329
33.572	-2.1016	-30.917
23.086	8.4003	20.661
31.122	6.1214	-31.332
27.902	-7.187	22.455
31.153	-1.2518	22.797
40.255	8.411	0.5144
29.375	7.5208	-15.835
31.216	1.0231	1.8983
33.238	-4.0085	9.6567
32.505	7.9912	22.279
33.343	-2.2182	-31.065
29.976	-8.3925	0.1218
29.326	7.536	-15.832
29.438	-8.7295	-0.0139
32.85	4.2089	-15.492
30.992	6.1763	-31.325
31.14	8.1931	22.213
21.116	11.232	20.57
34.352	1.9172	2.2246
35.669	2.0395	2.3277
30.097	-8.5028	8.3393
13.075	7.2159	14.968
33.519	4.1403	-31.16
33.764	-4.6933	9.901
39.431	9.5702	0.8623
32.313	-3.5887	-15.694
31.767	0.31247	30.197
30.349	-8.8248	8.5797
31.395	0.67647	23.14
27.912	9.2208	1.9362
34.946	-3.9063	2.5005
31.024	0.20717	23.082
33.64	-4.7319	2.2327
14.204	13.516	8.6531
33.389	-6.8712	22.401
33.558	3.9899	-31.189
33.592	4.0229	-31.147
31.949	-6.8653	9.5263
13.586	12.767	8.8425
37.756	12.502	0.241
33.715	-3.7964	2.2589
32.962	-4.3137	-15.812
31.582	-7.0663	22.86
30.955	-1.0618	-15.664
30.718	2.996	2.1909
31.002	-4.7665	2.0865
33.079	-4.303	9.5486
31.249	-5.8478	22.855
33.875	-3.781	9.9414
24.918	6.1407	29.648
27.826	9.2061	1.9117
30.931	-3.7817	2.0619
31.323	-0.43849	22.85
32.271	-6.6687	0.5807
34.837	-3.7639	2.4286
15.127	12.123	7.7585
32.779	4.143	-15.527
33.043	-4.4653	-15.81
33.769	-5.6412	0.9953
33.77	-11.957	9.9566
32.984	-6.9396	22.349
40.132	8.2687	0.6481
32.675	10.674	8.6295
32.945	4.3661	-15.612
31.707	0.37397	30.208
31.003	0.13197	23.062
38.48	11.515	0.2279
33.16	-4.3656	2.1351
31.303	-0.14333	2.1686
27.886	9.1211	1.8105
32.954	-4.1934	-15.851
31.161	-1.4492	-15.276
33.598	4.0274	-31.338
32.414	-10.088	10.034
24.858	6.1108	29.614
30.484	-7.9983	0.1684
32.086	-5.0462	1.9481
28.114	-8.6439	21.703
32.467	-6.7485	22.311
26.602	11.109	9.0939
29.156	-4.6025	22.506
39.014	10.846	0.2892
32.608	-4.288	-15.778
26.337	5.9451	29.669
33.453	-5.8983	23.501
10.078	8.9409	5.4362
31.593	1.7698	2.1282
27.832	9.1869	1.8867
33.324	-2.1887	-31.05
34.208	5.8009	21.78
30.959	6.062	-31.297
33.846	-2.9382	-15.479
9.5431	8.5966	9.9486
33.925	-2.6969	-31.423
30.508	3.4259	2.1642
32.77	-4.4451	-15.803
31.416	6.8041	-31.284
33.5	4.3033	-31.145
33.462	-1.9695	-31.43
25.268	-10.73	8.2793
13.963	13.224	8.6679
