level_0	level_1	frames = 145 markers = 13 Hz = 30
21.774	-4.3542	-26.48474563607427
22.778	-10.622	-19.44974563607427
23.541	2.5797	-18.82274563607427
21.183	-11.706	-6.585445636074271
21.056	4.5945	-6.247245636074271
20.155	-12.367	1.6718543639257302
19.459	5.9468	1.8210543639257302
23.827	-6.9269	0.7595943639257302
24.753	0.30824	0.7546943639257302
24.268	-7.3977	17.27925436392573
25.518	0.543	17.269254363925732
24.659	-7.7928	31.35525436392573
26.15	0.72435	31.34725436392573
21.802	-4.3762	-26.48274563607427
22.794	-10.638	-19.45674563607427
23.504	2.5797	-18.83074563607427
21.212	-11.732	-6.590945636074271
21.474	4.8237	-6.22044563607427
20.191	-12.399	1.6668543639257303
19.513	5.9241	1.8059543639257303
23.845	-6.9129	0.7587943639257302
24.764	0.32314	0.7396943639257302
24.124	-7.3812	17.28225436392573
25.394	0.63035	17.25825436392573
24.654	-7.7974	31.35225436392573
26.154	0.73373	31.33125436392573
21.88	-4.2796	-26.47874563607427
22.817	-10.662	-19.463745636074268
23.448	2.5797	-18.852745636074268
21.249	-11.752	-6.596345636074271
21.809	4.8962	-6.193845636074271
20.238	-12.417	1.66265436392573
19.67	5.7746	1.8146543639257302
23.859	-6.9046	0.7538943639257302
24.762	0.33361	0.7448943639257302
24.133	-7.3764	17.27725436392573
25.391	0.63213	17.26425436392573
24.658	-7.7954	31.34825436392573
26.147	0.72924	31.336254363925732
22.003	-4.1941	-26.471745636074267
22.869	-10.652	-19.48274563607427
23.34	2.5797	-18.88874563607427
21.297	-11.756	-6.616645636074271
22.105	5.2082	-6.19834563607427
20.283	-12.43	1.6412543639257302
19.488	5.7908	1.69465436392573
23.869	-6.9059	0.7472943639257302
24.757	0.33403	0.7524943639257302
24.134	-7.3703	17.27125436392573
25.392	0.63347	17.27125436392573
24.654	-7.7841	31.342254363925733
26.154	0.72945	31.34325436392573
22.165	-4.2782	-26.46174563607427
22.963	-10.721	-19.500745636074267
23.336	2.5797	-18.936745636074267
21.36	-11.798	-6.63624563607427
22.393	5.4319	-6.256845636074271
20.326	-12.455	1.6206543639257303
19.225	5.6649	1.4514543639257302
23.887	-6.8628	0.7450943639257301
24.654	0.39094	0.7466943639257302
24.145	-7.3564	17.26825436392573
25.345	0.66058	17.26425436392573
24.658	-7.7914	31.33825436392573
26.158	0.73338	31.333254363925732
22.361	-4.3345	-26.44974563607427
23.001	-10.751	-19.50774563607427
23.37	2.5797	-18.99574563607427
21.319	-11.967	-6.665745636074271
22.832	6.1501	-6.48454563607427
20.234	-12.713	1.5769543639257302
18.474	5.8957	0.6195943639257302
23.903	-6.8684	0.7434943639257302
24.646	0.38792	0.7484943639257302
24.152	-7.3589	17.26725436392573
25.197	0.63188	17.27125436392573
24.655	-7.7917	31.33725436392573
25.886	0.68577	31.34825436392573
22.583	-4.3514	-26.43574563607427
23.052	-10.754	-19.49874563607427
23.46	2.5797	-19.064745636074267
21.363	-11.987	-6.6590456360742705
23.726	7.198	-6.9105456360742705
20.272	-12.741	1.58185436392573
17.431	5.8198	-1.6194456360742697
23.916	-6.882	0.7490943639257301
24.62	0.37812	0.7565943639257302
24.157	-7.365	17.272254363925732
25.187	0.6365	17.27925436392573
24.655	-7.7912	31.34425436392573
25.894	0.69984	31.35425436392573
22.826	-4.3577	-26.419745636074268
23.151	-10.73	-19.48474563607427
23.575	2.5797	-19.14174563607427
21.42	-11.984	-6.65334563607427
23.44	7.6761	-7.1544456360742705
20.302	-12.754	1.5826543639257302
16.073	5.6176	-3.8371456360742697
23.921	-6.9205	0.7490943639257301
24.56	0.34553	0.7907943639257302
24.163	-7.3855	17.27325436392573
25.159	0.61992	17.31125436392573
24.659	-7.7944	31.345254363925733
25.894	0.69811	31.385254363925732
23.085	-4.4785	-26.40174563607427
23.198	-10.843	-19.46174563607427
23.605	2.5797	-19.22574563607427
21.444	-12.045	-6.62824563607427
22.83	8.1344	-7.466545636074271
20.311	-12.782	1.6087543639257302
14.93	5.6719	-6.43614563607427
23.998	-6.8308	0.6867943639257302
24.671	0.43113	0.8076943639257301
24.195	-7.3425	17.21025436392573
25.213	0.65873	17.33125436392573
24.654	-7.7931	31.28225436392573
25.894	0.69684	31.40825436392573
23.352	-4.4764	-26.38274563607427
23.393	-10.832	-19.47874563607427
23.772	2.5797	-19.31574563607427
21.549	-12.044	-6.658845636074271
21.774	8.4437	-7.866245636074271
20.358	-12.788	1.5694543639257301
14.056	5.538	-9.10434563607427
23.93	-6.9065	0.6840943639257302
24.675	0.34839	0.8047943639257302
