		frames = 115 markers = 13 Hz = 30
43.976	39.202	-31.648
1.9914	14.01	-32.849
1.446	22.249	-17.448
-30.0	2.6029	-16.999
-40.658	0.19605	-32.173
45.06	39.672	-32.004
-38.975	-4.8447	0.82308
-27.456	9.2371	19.685
-38.979	-0.9002	29.069
0.77493	26.579	-1.3998
-37.578	6.9418	6.9594
7.1082	17.059	28.597
-38.913	6.9951	21.241
-3.9012	26.948	-0.92692
-39.658	-5.0205	-17.395
-41.304	-4.0401	-32.283
-32.516	9.667	6.0338
22.965	44.193	-1.6168
34.775	28.977	-16.551
-39.941	-4.4572	-17.333
-38.591	-1.4336	29.013
-30.355	-11.272	7.3908
-38.783	6.7282	21.236
-31.058	-4.5865	-17.524
-38.106	10.511	-1.9273
-29.3	4.1293	-0.63472
27.494	34.363	-17.319
-19.527	21.589	8.616
-38.657	-4.7242	0.73528
-38.61	-7.8897	22.115
-40.662	0.19271	-32.175
-35.162	-10.661	-0.93082
-38.629	1.045	-17.365
3.1914	13.259	-30.618
-16.119	10.578	-18.127
-13.058	4.9698	0.33818
6.8268	26.72	20.257
-23.653	12.016	20.135
-19.832	8.7426	-17.391
13.697	17.191	-17.421
33.339	27.363	-16.533
-37.475	7.9245	-2.2995
-38.106	1.5408	0.79158
21.051	30.191	-31.38
7.1111	24.705	-16.44
23.409	20.755	-18.088
-38.94	-0.82967	29.09
-39.723	-8.625	21.845
-38.685	-7.8394	22.118
-38.171	2.0408	0.82388
25.343	31.509	-31.87
-22.017	7.4979	-30.215
-34.921	9.4242	-3.2753
-38.666	0.9444	-17.375
29.048	18.662	8.7113
-39.947	-4.499	-17.35
-38.06	9.1259	-2.1229
12.574	31.744	19.323
14.215	18.165	-0.37502
38.279	55.446	4.1614
-41.316	-4.1285	-32.197
-40.652	0.21854	-32.208
-38.417	0.84558	-17.406
4.5826	12.942	-28.532
-37.807	8.5885	-2.2223
-35.004	4.4814	20.748
-36.818	-11.703	-1.2508
-38.04	7.6725	7.1656
-19.488	8.8964	-17.515
-37.162	0.53598	0.75168
-38.351	-1.5474	29.003
-38.882	2.3464	0.81878
-38.574	-4.685	0.72928
10.675	32.669	6.212
-37.023	6.2883	6.9455
-24.639	-6.377	20.046
44.95	39.114	-17.751
-32.876	-10.239	21.445
8.4884	31.054	6.4841
21.009	19.567	20.679
-35.078	-12.581	-1.229
-38.435	-1.4998	29.003
-36.737	6.3799	6.7908
-39.487	-8.0635	21.926
-36.603	8.0475	-3.072
-37.959	1.3985	0.77348
-11.429	5.681	0.069876
-34.569	7.4657	6.0221
-38.87	-4.7766	0.80568
20.81	28.591	27.094
-19.806	-2.9208	20.759
0.67533	11.425	-32.222
25.108	31.966	27.748
-40.234	0.37908	-30.937
4.2298	23.735	-16.825
-37.544	-10.109	8.1108
6.3394	5.3038	-2.2351
-15.469	0.27026	-17.354
-35.118	-11.883	7.776
41.525	28.615	6.8886
-12.452	-3.1236	-1.5578
-38.409	2.4622	0.83698
1.1349	19.156	-29.008
-40.575	0.26188	-32.096
9.8513	24.392	-31.003
-38.774	7.14	21.283
-34.253	-12.127	7.6963
25.881	33.144	-17.325
-40.654	0.23842	-32.211
-37.752	-12.338	-1.1411
-12.456	9.404	28.416
35.362	45.477	20.722
29.785	29.147	0.94088
-16.292	20.94	1.822
-38.842	-0.64984	29.092
-36.938	6.2601	6.9059
14.262	26.841	-31.492
-23.033	5.7334	-31.873
2.544	13.788	-31.542
-37.759	7.1772	7.0422
21.462	38.046	20.76
-39.833	10.764	-1.835
-33.362	-13.181	-1.5275
-38.205	-10.419	7.9407
-30.621	-4.6646	-0.86032
-41.306	-4.0223	-32.259
-37.735	7.6417	-2.2054
-28.847	-8.7552	20.914
-38.223	1.7934	0.80098
40.626	31.57	20.423
-3.4856	17.148	-27.852
-38.783	-0.53491	29.102
-28.042	4.9914	-0.47062
-39.115	1.2582	-17.303
-41.468	-4.3705	-32.289
-38.518	6.1476	21.231
-31.016	-12.672	-1.6884
-34.465	-12.869	-1.4192
-38.949	1.2933	-17.325
-40.455	0.24099	-31.842
24.519	14.361	7.8503
-38.24	-5.8584	0.72578
-38.74	-0.43529	29.13
-29.445	-10.934	7.3357
-38.43	0.86703	-17.405
29.278	17.955	0.67928
-38.754	-7.7806	22.128
