		frames = 230 markers = 13 Hz = 30
39.007	-1.8119	-29.751
37.521	-3.0361	0.53922
37.423	2.2667	-29.768
37.472	-2.4495	-16.007
37.417	2.2655	-29.759
35.173	-8.3099	7.8618
36.684	-10.658	7.7654
36.951	3.3333	-15.824
37.15	-6.9443	20.936
37.33	-2.6586	-16.0
37.253	-2.6696	-16.005
34.034	-9.1819	-0.62608
34.57	-9.3559	-0.70238
37.374	2.2604	-29.652
37.485	-3.6362	0.56232
34.22	9.2293	-1.0733
37.153	3.2849	-15.915
36.255	6.206	20.381
36.745	-2.6294	-16.033
35.68	-8.5369	7.9265
37.788	-2.6854	-15.971
37.84	-2.6684	-15.966
37.707	-2.4541	-16.003
39.31	-7.3333	20.176
37.34	3.1779	-15.911
36.603	-0.5739	27.866
35.707	-8.4686	7.92
34.138	-9.2756	-0.62088
37.478	4.2675	0.58712
35.803	-8.6376	7.9922
35.663	-8.3579	7.8707
36.908	-6.9479	20.856
39.031	-1.8394	-29.752
34.793	8.8555	7.4816
36.73	-2.7631	-16.09
37.408	2.2996	-29.715
37.683	-2.6447	-15.983
37.392	2.2824	-29.658
35.599	-9.5472	-0.92228
37.629	-2.6589	-15.979
37.184	-6.9226	20.946
36.517	4.8253	0.61992
37.152	-7.1087	20.986
37.367	2.2667	-29.652
37.412	2.2725	-29.767
39.006	-1.8204	-29.752
35.109	-9.6698	-0.74968
35.153	8.7659	7.3414
37.677	-3.561	0.58662
37.656	-3.5356	0.58302
37.24	-2.6533	-16.011
36.692	4.557	0.65262
38.139	-2.6368	-15.934
39.019	-1.8264	-29.757
36.544	-0.75099	27.783
37.359	2.2753	-29.699
35.184	-9.5392	-0.53718
37.666	-3.5115	0.58502
37.403	2.2952	-29.719
35.005	8.0693	7.4114
37.343	3.2427	-15.917
36.758	-3.4588	0.41832
37.404	2.3073	-29.71
36.214	6.2307	20.388
37.626	-3.5316	0.55662
28.879	-12.327	10.776
37.014	3.29	-15.886
37.235	-0.67145	27.887
36.295	-2.6578	-16.124
35.884	6.3091	20.348
37.613	4.2067	0.60842
37.518	-7.1306	21.0
38.904	-1.8211	-29.686
24.638	6.9616	13.028
36.201	4.5682	0.59962
35.972	-8.5035	7.9553
36.4	6.1183	20.4
37.391	-3.533	0.51642
29.503	11.408	10.749
37.363	2.2672	-29.685
37.433	2.2722	-29.762
39.029	-1.831	-29.751
34.426	8.3704	7.4474
37.028	-3.4215	0.53552
37.242	4.7019	0.61192
20.886	3.9472	9.0758
35.181	5.2929	20.984
34.111	9.1028	-1.1189
37.536	-2.6788	-15.998
36.863	-3.2321	0.52732
36.843	3.4906	-15.878
37.258	4.3866	0.58732
33.789	10.551	-0.97588
34.735	8.2285	7.322
37.183	3.2224	-15.929
33.848	9.415	-1.1326
18.278	1.4104	10.679
37.658	-3.5082	0.58482
36.872	4.4554	0.61362
35.123	8.0132	7.4239
37.366	-0.6376	27.882
35.016	8.0766	7.4057
37.45	-2.7013	-16.004
37.406	2.3074	-29.692
29.017	10.958	10.959
36.818	-8.8015	7.6441
36.676	-2.7641	-16.12
38.981	-1.8304	-29.743
36.485	-0.93032	27.826
36.957	4.5959	0.68162
28.765	10.872	11.168
37.481	-7.1934	20.997
38.004	-9.5657	7.0049
35.719	-0.20414	27.776
37.56	4.2752	0.60172
37.004	-0.65214	27.878
37.335	-7.0437	20.968
36.749	-0.58724	27.857
37.671	-3.5056	0.57782
38.921	-1.806	-29.742
36.923	-3.378	0.51802
36.287	6.0627	20.386
34.712	7.9739	7.3636
35.427	-8.4445	7.8187
36.563	-2.6305	-16.057
36.292	4.5189	0.60692
34.193	8.9584	-1.1615
26.38	8.0611	11.577
37.413	-2.706	-16.007
36.005	6.3713	20.317
36.433	-2.6355	-16.119
38.222	-2.642	-15.921
35.778	-8.5951	7.9785
34.062	9.404	-1.1463
37.598	-3.6218	0.54132
37.418	-3.4983	0.53052
36.291	-8.7116	7.8174
37.692	-3.5623	0.58872
36.306	-0.31513	27.891
37.7	-2.783	-15.959
36.614	-0.7093	27.718
36.686	-0.5836	27.858
40.271	-7.2281	19.925
31.52	10.719	-0.058177
37.373	-2.7249	-16.016
34.674	-9.3428	-0.62438
35.773	6.4331	20.275
37.233	-6.8827	20.886
37.425	-3.4684	0.53552
37.343	2.263	-29.689
30.248	-12.726	11.124
36.139	6.1189	20.349
36.488	-7.6553	20.634
35.689	-8.5108	7.9388
19.293	2.7907	10.669
37.081	-6.9041	20.812
20.976	-10.725	7.8208
37.304	-7.0303	20.983
36.721	4.4149	0.59882
29.0	11.059	11.011
35.39	-8.4327	7.8517
37.823	-2.5799	-15.971
37.367	3.1805	-15.926
37.433	2.2834	-29.756
34.877	8.1914	7.3425
36.315	-7.7623	20.423
36.465	4.6154	0.60852
37.047	3.3588	-15.827
35.763	-9.9126	-0.79818
36.462	-3.3165	0.49792
37.646	-2.7189	-15.982
33.354	9.9749	-0.88638
35.921	-8.4722	7.9373
37.694	-2.727	-15.991
28.872	10.881	11.059
37.396	-2.7287	-16.013
39.026	-1.8299	-29.757
35.994	-8.5372	7.9603
37.426	2.2634	-29.762
36.105	4.4941	0.61892
34.19	9.2226	-1.0634
38.909	-1.8118	-29.711
27.853	8.6831	10.749
34.85	8.9242	7.5061
36.769	-1.1404	27.854
34.999	8.0528	7.4059
37.627	-3.5288	0.55832
36.393	-2.6986	-16.092
36.383	6.1085	20.394
36.382	-3.2456	0.48792
37.677	-2.7486	-15.986
29.407	11.432	10.835
36.333	6.2043	20.415
37.24	3.1702	-15.926
28.339	7.7718	1.9103
39.005	-1.8074	-29.794
36.58	-0.56829	27.735
34.72	-9.5195	-0.57058
36.294	-9.1656	7.5759
37.256	3.1819	-15.922
37.228	3.1761	-15.925
37.398	-3.5246	0.51812
37.543	4.3005	0.59642
38.994	-1.8154	-29.759
35.077	-9.5588	-0.53518
37.367	2.2544	-29.644
35.692	-8.5886	7.9292
37.916	-2.7049	-15.943
36.265	6.2228	20.397
32.868	9.076	-0.90658
36.375	6.1793	20.401
37.002	-0.62498	27.864
35.819	6.4226	20.293
37.32	-7.0342	20.979
35.007	8.0585	7.4045
37.222	4.2844	0.59332
38.997	-1.8164	-29.766
36.186	-3.2065	0.46522
36.065	-8.6511	7.966
36.901	-8.7862	7.66
