		frames = 245 markers = 13 Hz = 30
-29.686	11.495	-30.012
-28.868	-5.9457	11.586
-36.225	0.6509	22.99
-28.757	13.665	22.712
-35.805	16.41	21.971
-35.987	2.8656	-30.69
-28.938	15.329	9.7853
-35.562	12.333	-16.5
-29.495	11.278	-16.513
-36.53	17.988	1.0075
-35.836	-2.3971	8.7542
-31.158	2.7752	-30.678
-34.372	-2.0783	9.651
-27.955	21.919	8.022
-36.928	0.2546	22.862
-33.776	1.8006	-16.651
-17.349	-5.9309	20.275
-35.342	11.055	1.1983
-35.505	4.2404	23.297
-28.779	-10.591	8.0807
-29.413	11.858	-16.545
-35.461	17.495	8.2156
-36.6	0.033499	22.776
-28.406	10.387	29.193
-31.25	3.035	-30.712
-34.464	2.8804	-30.551
-36.743	3.8152	1.1151
-29.62	11.834	-30.661
-31.524	3.0927	0.95348
-21.711	-4.2095	25.894
-36.378	17.387	1.0482
-35.803	2.9192	-30.848
-33.93	7.5509	29.388
-20.583	-5.9203	7.9316
-23.139	-2.4982	27.293
-31.401	2.27	0.97528
-34.177	7.1535	1.7302
-32.144	1.8114	-16.769
-35.816	3.0416	-30.788
-35.719	2.9521	-16.681
-34.948	12.7	-30.525
-23.744	2.9683	21.438
-34.865	3.2922	-16.294
-29.24	12.035	1.2527
-28.878	11.539	29.036
-29.215	13.125	1.1728
-31.461	-7.5871	9.6213
-29.091	9.0046	29.343
-28.706	19.396	21.487
-31.578	4.5798	-16.52
-28.348	11.358	28.824
-36.299	12.049	-16.136
-38.707	4.3956	0.86148
-32.083	3.0539	1.1012
-36.994	0.334	22.887
-32.038	10.383	-14.918
-34.759	2.5084	-16.594
-30.995	2.7223	-30.848
-23.47	6.3662	19.048
-26.439	23.647	-2.8227
-30.376	13.574	21.691
-23.367	-7.0499	7.1236
-33.186	9.2596	-15.947
-35.207	3.6901	23.409
-36.081	14.867	22.373
-29.281	11.957	-16.513
-29.728	11.26	-30.45
-20.188	-1.6895	25.093
-33.247	13.316	12.152
-26.63	23.177	-2.5822
-32.1	4.9708	1.1575
-32.452	2.5558	-17.032
-35.146	13.178	-30.458
-35.388	3.8721	23.447
-35.419	12.97	-29.603
-35.314	10.933	1.2172
-27.961	17.545	21.666
-35.957	14.888	22.345
-36.874	0.2063	22.861
-35.215	18.724	7.9891
-35.356	10.036	1.2618
-35.239	10.09	1.2615
-33.628	-6.207	-2.6049
-28.837	19.848	-1.9741
-29.987	10.937	-30.591
-32.653	18.77	10.676
-29.176	15.152	10.052
-36.604	12.361	-14.737
-29.578	10.289	29.291
-32.925	13.352	11.793
-28.984	18.812	21.54
-35.864	15.314	22.252
-36.926	11.539	1.2588
-30.753	10.089	-15.53
-35.721	-4.2781	-2.6166
-27.784	11.239	20.853
-34.621	13.061	-16.326
-31.268	2.8534	-30.607
-28.861	22.635	7.6113
-27.289	-4.7502	15.217
-31.181	17.816	22.229
-34.131	16.176	21.793
-35.1	3.4229	22.441
-28.938	-7.4205	11.037
-33.631	13.649	12.294
-31.453	2.7184	-16.711
-29.583	-2.5408	18.345
-35.816	17.001	8.4229
-24.452	-9.2954	14.452
-32.897	13.546	11.548
-36.085	9.0756	-15.798
-33.977	7.4143	29.371
-29.504	11.179	-16.506
-36.522	-3.835	-2.3267
-29.578	10.093	-16.419
-31.076	2.9715	-30.636
-16.252	-2.7862	18.26
-34.531	2.4653	22.285
-28.37	11.332	28.959
-33.527	-3.3242	8.1877
-35.102	13.259	-30.374
-31.66	9.3041	-16.115
-35.487	18.191	8.1543
-34.148	5.7228	23.378
-27.125	7.724	22.349
-36.175	-2.4107	8.9779
-33.919	7.0579	29.35
-33.257	13.595	1.1271
-34.97	12.781	-29.965
-35.214	10.288	1.2641
-20.81	-9.5109	0.99818
-16.665	-2.4711	17.368
-30.873	16.656	9.6027
-36.52	0.0075994	22.756
-38.086	10.49	1.5033
-35.889	-4.3316	-2.2707
-32.759	7.8585	29.164
-36.283	9.0849	-15.789
-32.931	1.6387	-16.692
-27.027	-11.158	6.5182
-24.249	-7.0652	13.731
-32.589	3.7674	-16.679
-34.201	20.397	8.2175
-29.492	11.068	1.3289
-35.797	3.0215	-30.815
-31.027	2.7676	-30.891
-34.803	12.519	-30.684
-31.755	-8.7616	8.5752
-28.557	10.778	29.179
-35.612	-4.4476	-2.4898
-23.771	7.2035	18.173
-34.723	6.1899	23.316
-16.356	-2.7354	17.636
-29.136	12.363	21.329
-35.1	12.827	-30.435
-31.347	3.4399	-16.607
-32.081	5.7242	1.1186
-35.039	12.778	-30.463
-33.724	11.238	29.509
-34.347	1.4164	0.80208
-21.857	-8.9268	-4.2142
-33.802	17.442	12.236
-30.777	7.5798	28.157
-27.161	11.106	23.087
-23.685	-10.796	0.074878
-28.856	22.675	7.6444
-21.914	-8.8236	-10.92
-26.198	-8.3902	0.72548
-31.234	2.9692	-30.519
-21.005	0.6482	21.476
-31.251	2.9498	-30.509
-35.168	3.4541	-16.339
-25.539	-9.4021	-1.0634
-35.081	11.95	-16.422
-36.684	-3.6939	-2.2864
-32.761	22.152	-3.1277
-28.803	22.117	-2.8359
-27.97	21.533	-2.7955
-36.221	12.125	-16.229
-33.16	-0.2001	20.992
-35.818	2.9263	-30.855
-34.809	6.8013	1.1725
-28.262	-5.7225	13.594
-32.09	0.9374	0.95398
-33.681	7.7525	29.347
-29.973	10.901	-30.585
-31.93	1.034	0.96318
-29.115	19.359	21.437
-21.356	-8.8338	-11.59
-31.169	2.9939	-30.547
-35.034	11.847	-16.434
-35.183	13.161	-30.479
-28.617	11.322	29.104
-27.074	-7.7093	2.4572
-33.997	7.2318	29.382
-27.885	24.304	-3.6914
-35.825	3.0577	-30.749
-35.665	12.387	-16.464
-34.372	0.3628	0.94868
-35.789	2.9165	-30.875
-23.315	-9.0827	4.7052
-29.986	10.948	-30.534
-32.028	22.333	-1.764
-28.129	24.25	-3.6948
-29.955	10.927	-30.454
-31.484	-9.6365	7.9388
-34.666	12.514	-30.55
-27.926	14.924	22.236
-23.591	-10.791	-8.4169
-31.493	19.612	9.4537
-36.367	1.9609	23.205
-33.395	14.394	-28.278
-21.423	-1.9132	24.541
-36.157	0.2768	22.849
-31.016	16.286	9.7654
-31.505	2.8458	-30.49
-35.08	11.894	-16.389
-38.122	9.2026	1.6553
-31.132	2.2287	-16.735
-25.62	-9.4752	-0.91112
-23.826	-9.321	13.505
-29.809	12.941	21.498
-31.059	2.8963	-30.849
-35.255	13.203	-29.684
-35.404	19.824	9.3316
-29.359	9.4314	1.2852
-29.072	19.107	21.484
-31.003	2.7142	-30.848
-31.836	10.179	-15.028
-27.066	5.4512	28.397
-29.377	8.4338	28.993
-26.912	8.6722	22.768
-29.92	10.41	-16.366
-36.476	3.5783	1.0722
-26.766	-2.7906	15.58
-23.353	-4.608	9.1639
-33.459	15.909	21.825
-31.043	2.6974	-30.916
-31.01	3.0583	-30.936
-26.977	19.686	-3.021
-17.146	-6.3268	20.434
-35.74	20.835	-1.0316
-23.376	-7.5842	6.6223
-36.493	11.474	1.2172
-35.089	20.816	-2.7091
-23.732	-8.159	13.313
-32.459	2.134	-16.836
-32.565	3.1512	-16.773
-30.72	-4.1972	21.949
-32.372	7.3566	1.0282
-25.43	1.1548	28.819
-35.803	19.008	-3.0391
-36.374	11.231	-15.857
-35.681	3.937	1.0547
-35.842	3.0734	-30.723
-35.18	10.116	2.4051
-26.908	23.527	-3.5581
-34.099	8.7993	29.35
-36.447	10.424	-29.879
