		frames = 220 markers = 13 Hz = 30
18.802	-13.373	15.0
35.041	-3.3829	-29.143
32.186	-8.8157	8.3673
15.332	-13.977	-6.3622
30.198	-1.3824	28.055
30.858	9.6448	-0.12973
30.208	9.3175	-0.15743
9.8695	3.0971	3.1433
34.687	3.8879	-29.548
33.617	4.7764	-28.207
23.985	7.4172	9.7134
35.198	-3.2242	-29.511
31.559	5.5741	20.617
34.137	-3.3209	-15.55
31.614	-0.63928	28.223
33.224	3.8172	-15.43
33.649	-3.8269	-27.555
17.435	11.358	15.636
35.07	10.228	9.5981
32.078	-8.6011	8.2842
30.247	10.37	9.192
25.206	-2.4675	21.293
31.785	0.092816	28.165
33.937	4.0942	-15.505
34.588	3.9355	-29.278
14.74	4.0968	21.661
32.65	-9.0471	8.3372
24.763	-7.5864	11.02
24.409	-1.4165	3.19
31.842	5.4947	20.679
34.646	3.9288	-29.508
30.245	9.2354	-0.17513
33.989	9.7216	9.351
33.289	3.8569	-15.512
34.621	3.9472	-29.435
33.829	4.1819	1.0776
33.176	-3.1777	0.96307
31.676	5.5844	20.646
34.662	3.8932	-29.621
31.785	5.5876	20.678
33.398	-3.4211	1.0229
34.103	-3.3951	-15.578
14.921	-14.22	-0.10313
34.177	-3.3528	-15.554
34.265	-7.3191	20.803
32.655	-1.6625	28.088
32.581	-8.8	8.3101
33.383	3.9403	-15.499
32.51	-9.0178	8.3951
33.246	-6.9892	21.15
32.697	6.2624	-26.967
33.355	3.9377	-15.503
36.375	-3.7005	-15.286
33.304	3.8039	-15.406
32.29	-8.5679	8.4951
29.071	8.9475	6.6619
35.272	-3.4389	-29.573
32.256	5.906	20.709
34.523	-10.687	-0.083928
13.474	10.602	5.6028
35.208	-3.2717	-29.524
33.367	-3.332	0.94597
33.625	-6.9603	21.039
30.778	4.7307	20.655
32.378	-9.9807	0.066772
14.874	-13.965	18.183
33.373	3.9749	-15.497
24.213	4.5105	-0.024028
33.702	3.9573	-15.496
34.807	-8.692	7.9414
33.229	4.0785	1.0474
34.106	-3.3387	-15.559
32.181	-8.8337	8.3765
35.465	3.787	-18.791
33.856	-3.4703	-15.502
33.293	4.2309	1.0563
15.337	5.6335	18.464
35.478	-8.6461	8.0112
32.66	6.2825	-26.94
21.736	8.0403	-19.38
33.23	3.825	-15.507
32.649	-1.6457	28.094
14.319	10.756	9.2583
34.685	3.874	-29.551
33.572	-3.3094	1.0303
33.808	-3.4484	-15.514
34.597	3.9145	-29.224
33.476	-3.3213	1.0183
13.365	11.236	6.7694
31.417	-11.601	9.3872
33.293	-3.5737	1.0428
35.225	-3.2418	-29.534
31.093	-7.6178	21.141
32.599	5.6046	21.025
21.548	-10.944	-20.606
10.698	3.4555	10.92
35.142	3.9049	-2.6885
36.019	-3.838	-19.369
32.723	6.2307	-26.961
32.024	-10.282	0.13007
30.95	-0.76584	28.193
20.028	10.928	18.735
15.085	-14.113	-3.4786
34.197	-3.3503	-15.538
35.053	-7.3497	20.69
21.929	11.865	14.97
35.296	-9.5734	-0.27843
35.58	-9.3834	-0.37223
35.27	-3.4329	-29.58
31.111	7.8378	7.9721
33.842	-3.4419	-15.518
32.112	-8.5863	8.2449
33.576	-3.7208	-15.157
33.374	-3.3527	0.94967
33.796	3.9495	-15.503
30.981	-1.7486	28.05
34.217	-3.5377	-15.534
30.456	10.711	0.046772
25.409	-2.466	26.916
32.385	-8.7199	8.324
33.442	3.9309	-15.505
10.441	-6.7785	18.588
33.424	-4.5296	-27.218
35.711	-10.397	-0.44593
33.205	-3.6572	0.99907
35.555	-7.2309	20.777
33.808	-7.1165	21.196
35.511	3.795	-17.882
24.187	-8.7299	-17.806
35.275	-3.4346	-29.574
33.667	-7.0621	21.068
34.057	4.0938	-15.549
33.3	-3.4645	0.98817
33.481	4.3316	1.0273
36.401	-3.7966	-19.432
25.783	-7.2822	-4.1422
32.884	4.0029	1.0301
33.164	-3.1715	0.96497
30.649	8.0183	8.0474
35.266	-3.4308	-29.513
34.619	3.9299	-29.488
31.673	-0.039594	28.159
31.506	-4.1595	-15.2
29.578	11.443	9.8159
29.993	-8.1219	22.344
35.514	3.877	-4.9186
34.766	4.1488	-29.565
30.885	-0.83814	28.205
20.517	10.904	17.515
33.464	3.8569	-14.638
30.182	9.3038	-0.17363
33.304	-3.2704	1.0053
33.704	4.2072	1.0674
33.364	4.2243	1.0381
30.571	-7.976	21.751
32.015	-10.3	0.17937
34.228	-3.5248	-15.442
15.573	11.144	18.985
34.792	3.9917	-29.563
34.75	-2.9956	-29.162
19.114	-10.353	12.243
31.602	-3.9846	1.0223
33.023	-5.0118	-26.818
30.032	-1.5736	28.181
34.641	3.9328	-29.532
35.666	-7.3477	20.549
34.472	4.3156	-29.215
33.213	3.8286	-15.503
32.18	5.899	20.68
33.384	11.448	9.7822
33.553	-4.3828	-27.356
30.898	10.262	-0.030528
