level_0	level_1	frames = 220 markers = 13 Hz = 30
-31.131	1.4875	-30.843604379020984
-32.358	7.9276	-23.423604379020983
-31.763	-4.9631	-23.36160437902098
-32.817	10.48	-10.354604379020984
-31.885	-8.01	-10.356604379020983
-33.235	11.412	0.027725620979018983
-33.333	-10.328	-0.2942743790209811
-31.475	5.0686	-1.644804379020981
-32.082	-3.4956	-1.6495043790209811
-32.425	4.8031	14.762395620979017
-33.171	-3.5445	14.753395620979017
-33.295	4.5541	29.533395620979018
-34.136	-3.5637	29.526395620979017
-31.208	1.4876	-30.845604379020983
-32.382	7.9032	-23.437604379020982
-31.891	-4.9846	-23.342604379020983
-32.962	10.668	-10.43360437902098
-31.799	-8.1042	-10.325604379020984
-33.143	11.568	-0.041574379020981045
-33.079	-10.479	-0.253574379020981
-31.508	5.0462	-1.6468043790209812
-32.091	-3.5198	-1.650704379020981
-32.288	4.8148	14.770395620979016
-33.027	-3.5893	14.76139562097902
-33.291	4.5503	29.532395620979017
-34.139	-3.5705	29.524395620979018
-31.315	1.4309	-30.853604379020982
-32.409	7.8831	-23.456604379020984
-32.038	-5.0129	-23.341604379020982
-33.033	10.762	-10.484604379020983
-31.704	-8.2531	-10.324604379020982
-33.2	11.743	-0.09967437902098109
-32.795	-10.721	-0.2529743790209811
-31.535	5.0107	-1.6409043790209812
-32.118	-3.5552	-1.6657043790209811
-32.302	4.8022	14.777395620979018
-33.039	-3.6062	14.746395620979019
-33.297	4.5571	29.540395620979016
-34.139	-3.5718	29.511395620979016
-31.311	1.2693	-30.854604379020984
-32.383	7.7887	-23.459604379020984
-32.147	-5.1145	-23.338604379020982
-33.19	10.92	-10.58160437902098
-31.666	-8.4019	-10.318604379020982
-33.443	12.059	-0.21487437902098105
-32.644	-10.907	-0.24437437902098103
-31.544	5.0284	-1.618904379020981
-32.29	-3.5247	-1.6841043790209809
-32.312	4.811	14.799395620979016
-33.124	-3.5899	14.733395620979017
-33.301	4.5631	29.562395620979018
-34.141	-3.5651	29.503395620979017
-31.344	1.243	-30.845604379020983
-32.412	7.7584	-23.435604379020983
-32.278	-5.136	-23.29760437902098
-33.356	10.97	-10.604604379020984
-31.601	-8.5618	-10.29660437902098
-33.619	12.161	-0.2447743790209811
-32.424	-11.175	-0.23507437902098105
-31.528	5.0081	-1.6009043790209811
-32.323	-3.5405	-1.678704379020981
-32.301	4.7932	14.81639562097902
-33.138	-3.598	14.739395620979018
-33.3	4.5467	29.579395620979017
-34.139	-3.5668	29.51039562097902
-31.379	1.2183	-30.84960437902098
-32.435	7.7436	-23.417604379020982
-32.374	-5.1474	-23.286604379020982
-33.47	11.09	-10.641604379020983
-31.566	-8.6308	-10.289604379020982
-33.718	12.393	-0.29357437902098105
-32.279	-11.286	-0.231374379020981
-31.518	4.9764	-1.5974043790209809
-32.372	-3.5663	-1.6876043790209811
-32.283	4.7042	14.81939562097902
-33.037	-3.5228	14.737395620979019
-33.273	4.4075	29.581395620979016
