		frames = 110 markers = 13 Hz = 30
-42.173	-2.3296	0.91163
-6.182	-23.947	-31.165
-42.099	4.9535	0.91963
-41.07	10.877	7.9031
-17.867	-10.001	-32.541
-43.747	4.8065	-31.401
-26.589	-7.0098	0.045928
-41.88	2.1981	29.51
-42.277	-2.2771	0.92143
-41.056	10.942	7.9924
-42.135	9.1643	21.636
-41.626	4.8106	0.87013
-5.7439	-21.029	28.742
-41.515	12.357	-1.867
-1.8023	-24.546	0.40103
2.1672	-10.088	-0.48157
-40.887	-7.2178	8.2643
-44.586	-1.4934	-32.061
-27.806	-4.5146	-16.806
-2.3921	-24.047	0.30873
-5.1508	-26.403	20.858
-41.374	12.303	-1.8497
-40.601	-7.3681	8.1025
-3.5383	-23.421	-0.014772
-7.2996	-20.923	-16.627
0.020312	-13.177	8.6829
-43.835	4.1176	-32.065
-1.0309	-14.819	-2.0016
-43.483	4.7198	-31.028
-17.322	-22.139	21.056
-13.154	-29.303	7.0972
-41.81	2.0555	29.511
-7.2656	-31.51	-2.3781
-5.674	-18.618	6.1036
-41.742	2.027	29.511
-41.197	10.928	7.7597
-29.019	2.8506	3.4287
-42.336	-5.5181	22.164
2.4474	-21.304	-17.343
-41.621	11.051	7.5654
-29.007	-1.0593	-16.947
-31.282	1.393	-17.347
-32.758	-4.2612	10.58
-42.25	-2.249	0.91583
-42.816	-5.1924	22.25
-5.3616	-17.245	0.75423
-24.115	-8.2273	21.901
-42.068	1.902	29.541
-42.035	4.8484	0.92873
-25.231	-15.721	-29.56
-28.731	-10.102	6.7023
4.5804	-24.208	-32.353
-41.838	11.007	7.6061
7.1481	-18.309	21.76
-41.429	12.31	-1.8563
-42.863	-5.1058	22.274
-7.3355	-20.547	-16.818
-41.105	-7.0638	8.3334
-39.999	-8.4283	-1.0426
-33.953	-7.9539	7.1127
-44.584	-1.487	-32.056
-37.115	-2.0723	-0.19467
-12.075	-29.64	6.972
-5.9028	-17.122	0.77073
-8.8741	-22.584	-32.04
-27.36	-6.2288	-0.053372
-41.823	11.154	7.5302
-43.403	-1.9268	-17.209
-5.4573	-17.458	21.241
-12.112	-19.613	-17.573
-20.819	-14.368	6.1523
-43.811	4.6697	-31.526
-40.722	-7.3201	8.1707
-4.4105	-26.783	20.992
-41.903	-2.3957	0.95403
-41.341	-6.2478	21.804
-41.332	4.8952	0.93343
-38.905	5.1301	-17.718
-19.522	-13.934	-0.54387
-41.821	11.177	7.5374
-7.1442	-21.534	-16.699
3.3658	-19.759	0.40073
-20.329	-4.6007	27.282
-27.504	-10.976	6.5335
-5.0533	-17.573	21.528
-30.299	-4.4316	-0.78537
-0.040988	-13.785	-1.2549
-24.903	-12.199	1.024
-23.86	-12.241	-2.8654
7.6155	-14.595	8.0266
-42.235	-2.233	0.92443
-28.456	0.80999	3.7993
0.93441	-10.717	-0.30187
0.84051	-11.939	-0.48307
-4.1997	-27.08	21.091
-42.075	-2.3616	0.90793
5.9921	-13.463	8.0889
-43.386	-1.941	-17.216
-38.711	5.1489	0.29763
-41.904	4.8079	0.92183
-25.765	-7.0251	-31.158
-12.032	-25.236	20.741
4.6919	-24.027	-32.377
-12.323	-18.399	28.788
