		frames = 132 markers = 13 Hz = 30
16.785	-4.3181	18.461
19.034	-24.234	9.0514
33.812	7.7616	8.3261
35.556	-19.103	6.4864
35.815	3.6086	-15.533
35.396	4.1654	1.0869
33.369	7.8226	8.4392
33.142	5.6284	1.0103
33.372	-1.2249	28.651
35.014	-7.0401	0.68512
36.311	3.237	-28.994
36.165	4.2391	8.4584
34.093	-21.623	7.8535
28.031	-24.597	11.238
26.305	-19.755	14.431
35.214	-3.6312	-15.48
33.429	-5.6237	-15.806
36.343	3.2963	-29.002
34.522	-3.4331	1.1104
33.566	-4.2024	-15.516
35.612	3.1742	-15.285
34.169	0.8399	1.1409
35.01	5.9925	21.215
34.157	1.2515	1.2564
33.594	7.7617	8.4213
35.93	-15.08	-2.5498
19.047	-24.287	9.0496
33.209	5.5951	0.84252
35.176	-7.8733	0.59072
30.188	-13.148	19.298
34.188	-6.8674	0.78932
35.796	3.597	-15.526
36.216	-3.8388	-28.976
34.532	4.2998	21.707
33.613	-5.7855	-15.794
36.109	-3.7995	-28.915
26.664	-20.276	14.198
29.209	-9.9003	27.514
35.921	-3.9221	-28.69
19.029	-24.068	9.2445
32.991	-5.4008	-15.692
33.319	-5.8461	-15.859
35.479	-3.5836	-15.526
32.893	-6.8507	0.84382
34.897	-12.892	20.093
36.419	4.6557	8.3176
35.003	-12.736	20.19
36.175	3.0494	-28.828
35.139	1.9968	-15.31
29.384	-8.9542	27.476
36.048	0.13164	0.26022
16.238	-14.383	18.733
34.078	-6.0477	27.326
32.36	2.2751	-16.014
36.061	-3.726	-28.967
36.18	0.31736	0.37672
32.312	8.9215	-0.23198
33.391	-4.2583	-15.536
35.39	4.1626	1.0682
35.29	2.5594	-15.328
32.545	4.1784	10.103
33.21	5.4421	0.28582
29.769	-7.7794	27.714
32.287	-5.0863	-15.654
36.173	2.9694	-28.823
36.221	-3.8528	-29.001
35.268	0.93261	20.201
32.392	2.2803	-16.009
32.317	8.9159	-0.23558
35.13	3.3862	1.2477
30.633	6.4989	1.5673
35.216	-1.2049	20.89
34.55	-5.3037	27.579
33.215	5.5829	0.80612
35.42	3.7988	1.1611
22.293	-10.803	16.128
32.428	9.0837	-0.21718
32.761	2.2806	-15.922
33.437	-7.1349	21.74
33.899	-3.7375	1.1361
36.443	3.0855	-29.083
35.259	-3.6166	-15.485
36.442	3.0833	-29.102
28.671	-24.368	10.891
34.961	-6.9774	0.69452
32.699	-14.348	18.948
35.324	0.44491	20.29
32.49	2.2974	-15.998
29.067	-9.7467	27.516
32.102	4.5964	10.045
36.446	3.0844	-29.1
33.93	-7.4506	21.776
32.497	5.564	1.44
33.124	-5.3917	-15.707
30.414	-24.323	10.844
27.535	-24.391	11.397
32.135	-5.3426	-15.696
30.646	6.7602	1.4885
31.745	8.1766	1.0865
32.741	5.609	1.2328
32.095	-1.3142	21.951
34.048	-14.271	18.59
31.619	5.6122	1.6295
34.111	3.4727	9.7789
34.136	7.9773	8.3714
33.595	-7.1665	21.747
35.44	2.8864	-15.312
30.659	6.2193	1.5968
33.386	-6.917	0.87802
32.674	-1.4415	22.05
36.335	6.0334	21.016
36.027	0.091715	0.24982
35.901	-3.9174	-28.664
35.368	2.0889	-15.259
35.373	2.1057	-15.258
37.004	-14.14	-2.452
35.821	3.6354	-15.534
35.305	5.2962	21.352
33.059	-5.4075	-15.698
32.818	-8.0265	27.17
36.415	-4.0466	-28.932
33.37	-5.4738	-15.747
31.448	5.6507	1.6248
35.792	3.5944	-15.527
35.448	0.62388	0.87322
29.152	-9.4148	27.439
36.185	2.9588	-28.92
35.49	-3.6072	-15.535
29.219	-24.378	10.909
32.985	3.5736	10.05
27.53	-24.34	11.395
36.106	-0.15557	0.025919
33.691	-6.9112	0.84122
32.87	-5.7245	0.92832
35.329	2.6759	-15.329
35.114	-7.8918	0.63942
33.754	-6.4928	27.271
33.126	2.5733	-15.763
33.115	-7.2624	21.759
36.379	3.3768	-28.914
30.922	-11.679	19.815
32.304	8.9382	-0.24028
32.323	-2.1553	28.622
36.192	-3.7987	-28.959
32.335	2.2336	-16.014
36.386	3.1695	-28.861
31.644	-0.57283	22.01
34.155	0.79629	1.2339
33.192	-1.0165	28.721
36.174	0.2607	0.36742
30.543	-9.8664	27.435
35.989	0.54776	0.56742
32.485	2.2037	-16.005
36.428	3.1506	-28.854
34.408	-7.4594	21.463
32.44	6.0292	9.468
34.539	-20.972	7.4152
34.207	0.71069	1.2338
33.506	-5.4916	-15.797
29.316	-9.9024	27.502
32.432	2.2114	-16.015
32.119	-5.3713	-15.698
33.103	9.2711	-0.089681
35.909	-3.8887	-28.695
33.147	5.4581	0.17642
29.147	-9.7834	27.468
35.903	-15.086	-2.1821
15.642	-10.215	20.367
29.174	-9.53	27.415
36.233	-3.8771	-29.008
32.285	0.79001	22.044
32.819	2.4794	-15.847
32.952	-15.84	-0.82458
32.358	-9.4674	27.138
33.099	2.5322	-15.78
31.627	-10.059	20.532
19.024	-24.099	9.1344
35.333	-1.1296	21.072
34.33	-7.4745	21.77
36.364	3.1662	-28.841
36.342	3.2955	-29.002
31.087	-24.054	10.646
30.481	-9.0989	0.11522
35.152	-0.80146	20.541
35.234	2.4225	-15.285
32.523	-18.54	-1.8979
35.384	-1.0843	21.323
