level_0	level_1	frames = 132 markers = 13 Hz = 30
-34.245	12.43	-33.42694506083916
-36.073	19.444	-25.996945060839163
-35.976	5.7266	-25.772945060839163
-36.657	22.044	-12.895945060839164
-35.816	2.4273	-12.726945060839164
-33.009	23.034	-3.6359450608391617
-36.978	0.028945	-3.0936450608391626
-35.747	15.554	-3.949045060839162
-36.385	7.0766	-3.9538450608391624
-36.729	15.851	12.111054939160836
-37.271	6.6083	12.110054939160836
-37.633	16.114	26.627054939160836
-38.061	6.2113	26.636054939160836
-34.244	12.425	-33.427945060839164
-36.073	19.44	-25.995945060839162
-35.971	5.7224	-25.774945060839162
-36.663	22.033	-12.893945060839163
-35.807	2.4233	-12.728945060839164
-33.027	23.036	-3.630945060839162
-36.968	0.025465	-3.095345060839162
-35.747	15.55	-3.949545060839162
-36.387	7.0727	-3.954745060839162
-36.577	15.834	12.120054939160836
-37.123	6.5945	12.116054939160836
-37.629	16.122	26.625054939160837
-38.06	6.2125	26.633054939160836
-34.242	12.421	-33.427945060839164
-36.073	19.436	-25.994945060839164
-35.966	5.718	-25.777945060839162
-36.668	22.029	-12.893945060839163
-35.8	2.4193	-12.730945060839163
-33.046	23.037	-3.6256450608391617
-36.958	0.021915	-3.0971450608391624
-35.747	15.546	-3.950145060839162
-36.388	7.0687	-3.9557450608391624
-36.576	15.837	12.119054939160836
-37.122	6.5931	12.115054939160837
-37.627	16.131	26.624054939160835
-38.06	6.2136	26.632054939160838
-34.241	12.416	-33.42894506083916
-36.073	19.432	-25.992945060839162
-35.961	5.7131	-25.780945060839162
-36.674	22.024	-12.892945060839164
-35.791	2.4149	-12.733945060839163
-33.067	23.038	-3.619845060839162
-36.948	0.017975	-3.099145060839162
-35.747	15.542	-3.950645060839162
-36.39	7.0643	-3.9568450608391617
-36.575	15.84	12.118054939160837
-37.123	6.5917	12.114054939160836
-37.624	16.141	26.624054939160835
-38.059	6.2149	26.632054939160838
-34.239	12.413	-33.42994506083916
-36.073	19.428	-25.991945060839164
-35.957	5.7094	-25.782945060839165
-36.678	22.019	-12.892945060839164
-35.784	2.4115	-12.735945060839164
-33.083	23.039	-3.6154450608391624
-36.939	0.014925	-3.1006450608391622
-35.747	15.538	-3.9511450608391616
-36.392	7.0609	-3.9576450608391625
-36.575	15.842	12.118054939160837
-37.123	6.5906	12.113054939160836
-37.622	16.148	26.623054939160838
-38.059	6.2159	26.631054939160837
-34.238	12.408	-33.430945060839164
-36.074	19.423	-25.990945060839163
-35.952	5.7046	-25.785945060839165
-36.683	22.014	-12.891945060839163
-35.776	2.4071	-12.737945060839163
-33.104	23.041	-3.6096450608391617
-36.929	0.010995	-3.1025450608391623
-35.748	15.534	-3.9516450608391622
-36.394	7.0565	-3.9587450608391617
-36.572	15.845	12.117054939160836
-37.123	6.589	12.112054939160837
-37.618	16.158	26.623054939160838
-38.059	6.2172	26.630054939160836
-34.236	12.405	-33.43194506083916
-36.074	19.42	-25.989945060839165
-35.948	5.7013	-25.787945060839164
-36.687	22.009	-12.891945060839163
-35.77	2.404	-12.738945060839164
-33.118	23.042	-3.605745060839162
-36.921	0.008295	-3.1039450608391626
-35.748	15.531	-3.952045060839162
-36.395	7.0535	-3.959445060839162
-36.571	15.847	12.117054939160836
-37.126	6.5883	12.112054939160837
-37.616	16.165	26.622054939160837
-38.058	6.2181	26.630054939160836
-34.235	12.401	-33.43294506083916
-36.074	19.417	-25.988945060839164
-35.944	5.6975	-25.789945060839162
-36.691	22.005	-12.890945060839163
-35.763	2.4006	-12.740945060839163
-33.134	23.043	-3.6013450608391624
-36.913	0.005255	-3.1054450608391617
-35.748	15.527	-3.952445060839162
-36.396	7.0502	-3.9603450608391624
-36.572	15.849	12.116054939160836
-37.128	6.5873	12.111054939160836
-37.614	16.172	26.622054939160837
-38.058	6.2191	26.629054939160838
-34.234	12.399	-33.43294506083916
-36.074	19.415	-25.987945060839163
-35.942	5.6955	-25.790945060839164
-36.694	22.002	-12.890945060839163
-35.76	2.3987	-12.741945060839164
-33.143	23.043	-3.598845060839162
-36.908	0.003555	-3.1062450608391625
-35.748	15.525	-3.9527450608391623
-36.397	7.0483	-3.9607450608391623
-36.569	15.85	12.116054939160836
-37.124	6.5863	12.111054939160836
-37.613	16.176	26.622054939160837
-38.058	6.2197	26.629054939160838
-34.234	12.397	-33.43294506083916
-36.074	19.413	-25.987945060839163
-35.94	5.6939	-25.791945060839165
-36.695	22.001	-12.890945060839163
-35.757	2.3973	-12.742945060839164
-33.15	23.044	-3.596945060839162
-36.905	0.002305	-3.1069450608391618
-35.748	15.524	-3.952945060839162
-36.398	7.0469	-3.9611450608391623
-36.57	15.851	12.116054939160836
-37.127	6.5861	12.110054939160836
-37.612	16.18	26.621054939160835
-38.058	6.2201	26.629054939160838
-34.234	12.397	-33.43294506083916
-36.074	19.413	-25.987945060839163
-35.94	5.6939	-25.791945060839165
-36.695	22.002	-12.890945060839163
-35.757	2.3973	-12.742945060839164
-33.15	23.043	-3.5968450608391622
-36.905	0.002275	-3.1069450608391618
-35.748	15.524	-3.952945060839162
-36.398	7.0468	-3.9611450608391623
-36.569	15.851	12.116054939160836
-37.127	6.5861	12.110054939160836
-37.612	16.18	26.621054939160835
-38.058	6.2201	26.629054939160838
-34.234	12.399	-33.43294506083916
-36.074	19.415	-25.987945060839163
-35.942	5.6955	-25.790945060839164
-36.693	22.008	-12.891945060839163
-35.76	2.3989	-12.741945060839164
-33.143	23.043	-3.598845060839162
-36.908	0.003695	-3.1062450608391625
-35.748	15.525	-3.9527450608391623
-36.397	7.0484	-3.9607450608391623
-36.569	15.85	12.116054939160836
-37.125	6.5865	12.111054939160836
-37.613	16.176	26.622054939160837
-38.058	6.2196	26.629054939160838
-34.236	12.403	-33.43194506083916
-36.074	19.419	-25.989945060839165
-35.946	5.6995	-25.788945060839165
-36.688	22.018	-12.892945060839164
-35.767	2.4027	-12.739945060839164
-33.126	23.041	-3.6035450608391617
-36.917	0.007045	-3.104545060839162
-35.748	15.529	-3.9522450608391617
-36.396	7.052	-3.9598450608391618
-36.573	15.848	12.117054939160836
-37.126	6.5878	12.111054939160836
-37.615	16.168	26.622054939160837
-38.058	6.2186	26.629054939160838
-34.239	12.412	-33.42994506083916
-36.074	19.427	-25.991945060839164
-35.956	5.7084	-25.782945060839165
-36.676	22.035	-12.894945060839163
-35.783	2.4108	-12.735945060839164
-33.088	23.038	-3.6139450608391623
-36.936	0.014695	-3.100745060839162
-35.747	15.537	-3.9512450608391623
-36.392	7.06	-3.957845060839162
-36.574	15.843	12.118054939160837
-37.125	6.5905	12.113054939160836
-37.621	16.15	26.623054939160838
-38.059	6.2162	26.631054939160837
-34.246	12.432	-33.42594506083916
-36.073	19.447	-25.997945060839164
-35.979	5.7291	-25.770945060839164
-36.651	22.064	-12.898945060839164
-35.82	2.4297	-12.725945060839164
-32.999	23.031	-3.6386450608391616
-36.983	0.031155	-3.092445060839162
-35.746	15.557	-3.948745060839162
-36.384	7.0789	-3.953245060839162
-36.58	15.831	12.120054939160836
-37.122	6.5968	12.117054939160836
-37.634	16.108	26.626054939160838
-38.061	6.2106	26.634054939160837
-34.258	12.463	-33.418945060839164
-36.073	19.477	-26.006945060839165
-36.014	5.7611	-25.751945060839162
-36.612	22.104	-12.902945060839164
-35.876	2.4587	-12.709945060839164
-32.862	23.022	-3.676645060839162
-37.054	0.056965	-3.079345060839162
-35.745	15.587	-3.9450450608391616
-36.371	7.1078	-3.9461450608391617
-36.59	15.812	12.124054939160837
-37.114	6.6062	12.123054939160836
-37.652	16.044	26.630054939160836
-38.063	6.2021	26.639054939160836
-34.291	12.485	-33.42594506083916
-36.077	19.514	-26.024945060839162
-36.051	5.7984	-25.746945060839163
-36.569	22.126	-12.909945060839163
-35.898	2.4672	-12.709945060839164
-32.81	22.985	-3.6817450608391624
-37.064	0.044055	-3.0833450608391626
-35.739	15.615	-3.9522450608391617
-36.36	7.136	-3.949845060839162
-36.586	15.827	12.117054939160836
-37.104	6.6587	12.120054939160836
-37.651	16.047	26.623054939160838
-38.054	6.2753	26.637054939160837
-34.346	12.506	-33.445945060839165
-36.101	19.543	-26.048945060839163
-36.111	5.8342	-25.747945060839164
-36.382	22.179	-12.903945060839163
-35.974	2.5044	-12.712945060839164
-32.772	23.007	-3.6135450608391624
-37.15	0.081885	-3.0876450608391623
-35.616	15.684	-3.9778450608391624
-36.319	7.2114	-3.9423450608391617
-36.527	15.855	12.089054939160837
-37.089	6.652	12.124054939160837
-37.65	16.039	26.590054939160837
-38.063	6.1969	26.637054939160837
-34.387	12.52	-33.442945060839165
-36.086	19.579	-26.039945060839162
-36.136	5.8752	-25.733945060839165
-36.355	22.196	-12.889945060839164
