level_0	level_1	frames = 100 markers = 13 Hz = 30
-20.71402153846148	-2.0729	17.589
-19.64702153846148	4.6685	10.56
-20.28502153846148	-8.1387	11.328
-20.74402153846148	7.3305	-2.0082
-21.256021538461482	-13.156	-0.47704
-30.291021538461482	4.4597	-5.9893
-30.59802153846148	-11.883	-5.5953
-21.091021538461483	-0.048192	-10.522
-21.20502153846148	-7.4979	-10.525
-37.13402153846148	4.2152	-13.685
-37.20202153846148	-11.662	-14.021
-32.31702153846148	2.8814	-28.233
-31.39502153846148	-8.9321	-28.007
-20.569021538461485	-2.0765	17.569
-19.588021538461483	4.63	10.55
-20.189021538461482	-8.1753	11.306
-20.673021538461484	7.2989	-2.0158
-21.289021538461483	-13.175	-0.51704
-30.013021538461484	4.4126	-6.4504
-30.343021538461482	-11.88	-6.1233
-21.093021538461485	-0.045592	-10.521
-21.210021538461483	-7.4952	-10.53
-37.15902153846148	4.1253	-13.694
-37.20802153846148	-11.654	-14.027
-32.30902153846148	2.8954	-28.24
-31.39502153846148	-8.9335	-28.012
-20.453021538461485	-2.0831	17.557
-19.50402153846148	4.5999	10.543
-20.11102153846148	-8.2035	11.285
-20.718021538461485	7.1685	-2.0522
-21.259021538461482	-13.11	-0.58074
-29.92702153846148	4.311	-6.7699
-30.154021538461482	-11.847	-6.4428
-21.091021538461483	-0.052602	-10.52
-21.197021538461485	-7.5023	-10.518
-37.15602153846148	4.1192	-13.695
-37.19802153846148	-11.642	-14.023
-32.30902153846148	2.8931	-28.243
-31.39502153846148	-8.9272	-28.014
-20.30802153846148	-2.1046	17.563
-19.401021538461485	4.5492	10.552
-20.027021538461483	-8.2495	11.29
-20.771021538461483	7.0669	-2.061
-21.258021538461485	-13.054	-0.62224
-29.82502153846148	4.2517	-7.0928
-30.044021538461482	-11.738	-6.6349
-21.07702153846148	-0.084532	-10.52
-21.13802153846148	-7.5346	-10.463
-37.13902153846148	4.1039	-13.689
-37.14802153846148	-11.614	-13.999
-32.30802153846148	2.8918	-28.244
-31.393021538461483	-8.928	-28.016
-20.22302153846148	-2.1386	17.55
-19.335021538461483	4.5083	10.553
-19.97902153846148	-8.2929	11.275
-20.782021538461485	7.052	-2.0584
-21.313021538461484	-13.003	-0.68134
-29.67402153846148	4.3315	-7.4201
-29.974021538461482	-11.637	-6.8626
-21.075021538461485	-0.090982	-10.527
-21.12902153846148	-7.5411	-10.472
-37.13902153846148	4.084	-13.703
-37.14502153846148	-11.61	-13.993
-32.33002153846148	2.7264	-28.251
-31.391021538461484	-8.9319	-28.011
-20.122021538461482	-2.1943	17.529
-19.265021538461482	4.4707	10.55
-19.920021538461484	-8.331	11.258
-20.823021538461482	7.0226	-2.0637
-21.43002153846148	-12.944	-0.74324
-29.564021538461482	4.3766	-7.7033
-29.977021538461482	-11.521	-7.0695
-21.075021538461485	-0.098062	-10.533
-21.12302153846148	-7.5482	-10.479
-37.14402153846148	4.0674	-13.692
-37.14402153846148	-11.598	-13.997
-32.30502153846148	2.899	-28.247
-31.39202153846148	-8.9245	-28.017
-19.97902153846148	-2.323	17.515
-19.23302153846148	4.3288	10.588
-19.79602153846148	-8.4511	11.249
-20.820021538461482	6.87	-2.0292
-21.551021538461484	-13.016	-0.77774
-29.48502153846148	4.4021	-7.8635
-29.995021538461483	-11.386	-7.1922
-21.069021538461485	-0.026682	-10.535
-21.23802153846148	-7.4748	-10.476
-37.15902153846148	4.0559	-13.699
-37.22902153846148	-11.614	-14.028
-32.30302153846148	2.896	-28.249
-31.39702153846148	-8.9231	-28.012
-20.05202153846148	-2.3105	17.553
-19.273021538461485	4.3438	10.627
-19.831021538461485	-8.4386	11.289
-20.902021538461483	6.7708	-2.0139
-21.62302153846148	-12.898	-0.77714
-29.39502153846148	4.0856	-8.0043
-30.036021538461483	-11.308	-7.2414
-21.063021538461484	-0.081122	-10.544
-21.09202153846148	-7.5312	-10.475
-37.14802153846148	4.0357	-13.69
-37.117021538461486	-11.58	-13.976
-32.301021538461484	2.9049	-28.246
-31.38902153846148	-8.9334	-28.011
-20.006021538461482	-2.3418	17.542
-19.22102153846148	4.317	10.618
-19.79702153846148	-8.4686	11.278
-20.87902153846148	6.7449	-2.0228
-21.67202153846148	-12.914	-0.79454
-29.33702153846148	4.082	-8.0707
-30.062021538461483	-11.229	-7.2656
-21.05502153846148	-0.083812	-10.546
-21.09602153846148	-7.5339	-10.483
-37.14002153846148	4.0338	-13.692
-37.12502153846148	-11.573	-13.978
-32.328021538461485	2.7438	-28.245
-31.393021538461483	-8.9308	-28.012
-19.97402153846148	-2.3864	17.544
-19.176021538461484	4.2909	10.62
-19.77802153846148	-8.4937	11.284
-20.856021538461484	6.7316	-2.0195
-21.697021538461485	-12.957	-0.78164
-29.29302153846148	4.1071	-8.1131
-30.047021538461482	-11.243	-7.2956
-21.048021538461484	-0.083822	-10.548
-21.094021538461483	-7.5339	-10.485
-37.13102153846148	4.0403	-13.695
-37.12602153846149	-11.563	-13.979
-32.331021538461485	2.7378	-28.251
-31.39202153846148	-8.9228	-28.012
-19.935021538461484	-2.4199	17.54
-19.039021538461483	4.2887	10.579
-19.77502153846148	-8.5134	11.289
-20.847021538461483	6.7446	-2.0592
-21.722021538461483	-12.99	-0.77264
-29.265021538461482	4.21	-8.217
-30.02502153846148	-11.272	-7.3464
