level_0	level_1	frames = 240 markers = 13 Hz = 30
-24.047873435897465	-1.0661	29.733
-22.514873435897464	5.5415	22.676
-23.467873435897467	-7.5973	22.221
-22.102873435897465	8.1105	9.2724
-23.66787343589747	-10.549	8.8512
-22.787873435897467	9.3854	-0.20041
-23.044873435897465	-12.574	-0.48891
-22.583873435897466	2.4545	0.41589
-22.459873435897464	-6.0959	0.42059
-21.970873435897467	2.5875	-15.703
-21.63787343589747	-6.39	-15.688
-21.406873435897467	2.6977	-30.155
-20.910873435897464	-6.6274	-30.138
-24.053873435897465	-1.0609	29.733
-22.522873435897466	5.5474	22.678
-23.46987343589747	-7.5923	22.219
-22.046873435897467	8.1273	9.2842
-23.66787343589747	-10.546	8.8497
-22.839873435897466	9.3803	-0.18311
-23.04287343589747	-12.572	-0.49011
-22.587873435897464	2.4528	0.41779
-22.46387343589747	-6.0976	0.42029
-22.124873435897463	2.6003	-15.706
-21.78987343589747	-6.3996	-15.695
-21.40887343589747	2.6967	-30.151
-20.910873435897464	-6.6297	-30.137
-24.058873435897468	-1.0557	29.732
-22.531873435897467	5.5534	22.681
-23.47287343589747	-7.5871	22.216
-22.059873435897465	8.1323	9.2858
-23.666873435897465	-10.542	8.8481
-22.885873435897466	9.3792	-0.17961
-23.03987343589747	-12.569	-0.49131
-22.59187343589747	2.451	0.41959
-22.468873435897464	-6.0995	0.41989
-22.125873435897468	2.5987	-15.704
-21.79287343589747	-6.4017	-15.695
-21.409873435897467	2.6956	-30.149
-20.910873435897464	-6.6321	-30.137
-24.065873435897466	-1.0499	29.732
-22.540873435897467	5.56	22.683
-23.47587343589747	-7.5814	22.214
-22.068873435897466	8.1386	9.2883
-23.666873435897465	-10.538	8.8463
-22.935873435897463	9.3776	-0.17441
-23.03687343589747	-12.566	-0.49271
-22.595873435897467	2.449	0.42169
-22.473873435897467	-6.1015	0.41949
-22.128873435897468	2.5972	-15.702
-21.791873435897465	-6.4039	-15.695
-21.410873435897464	2.6944	-30.147
-20.910873435897464	-6.6347	-30.137
-24.070873435897468	-1.0454	29.732
-22.547873435897465	5.565	22.685
-23.477873435897465	-7.5771	22.212
-22.065873435897466	8.1448	9.2917
-23.665873435897467	-10.535	8.8449
-22.976873435897467	9.3758	-0.16801
-23.035873435897464	-12.564	-0.49391
-22.598873435897467	2.4474	0.42319
-22.476873435897467	-6.103	0.41919
-22.128873435897468	2.5958	-15.7
-21.79287343589747	-6.4056	-15.695
-21.410873435897464	2.6934	-30.146
-20.910873435897464	-6.6367	-30.137
-24.07687343589747	-1.0396	29.731
-22.555873435897468	5.5716	22.688
-23.480873435897465	-7.5714	22.21
-22.068873435897466	8.1515	9.295
-23.665873435897467	-10.531	8.8431
-23.02787343589747	9.3739	-0.16111
-23.03087343589747	-12.562	-0.49511
-22.602873435897465	2.4455	0.42529
-22.48187343589747	-6.105	0.41879
-22.132873435897466	2.5944	-15.698
-21.79887343589747	-6.4081	-15.696
-21.412873435897467	2.6922	-30.143
-20.910873435897464	-6.6393	-30.137
-24.080873435897466	-1.0357	29.731
-22.562873435897465	5.5761	22.69
-23.482873435897467	-7.5675	22.208
-22.064873435897468	8.1568	9.2981
-23.66487343589747	-10.529	8.8418
-23.063873435897463	9.3722	-0.15481
-23.028873435897466	-12.56	-0.49611
-22.605873435897465	2.4441	0.42669
-22.485873435897467	-6.1064	0.41849
-22.135873435897466	2.5935	-15.696
-21.797873435897465	-6.4096	-15.696
-21.413873435897465	2.6913	-30.142
-20.910873435897464	-6.641	-30.137
-24.08587343589747	-1.0312	29.73
-22.569873435897463	5.5812	22.692
-23.48487343589747	-7.5632	22.206
-22.068873435897466	8.1615	9.3004
-23.66487343589747	-10.525	8.8404
-23.102873435897465	9.3708	-0.14951
-23.026873435897464	-12.558	-0.49721
-22.60987343589747	2.4426	0.42819
-22.489873435897465	-6.1079	0.41819
-22.133873435897463	2.5919	-15.695
-21.797873435897465	-6.4113	-15.696
-21.413873435897465	2.6904	-30.14
-20.909873435897467	-6.643	-30.137
-24.08887343589747	-1.0287	29.73
-22.572873435897463	5.584	22.693
-23.485873435897467	-7.5607	22.205
-22.068873435897466	8.1643	9.3018
-23.663873435897465	-10.524	8.8396
-23.124873435897463	9.3699	-0.14611
-23.026873435897464	-12.556	-0.49801
-22.610873435897467	2.4417	0.42909
-22.491873435897467	-6.1088	0.41799
-22.138873435897466	2.5916	-15.694
-21.801873435897463	-6.4124	-15.696
-21.41487343589747	2.6899	-30.139
-20.909873435897467	-6.6441	-30.137
-24.090873435897464	-1.0269	29.73
-22.575873435897464	5.5861	22.693
-23.486873435897465	-7.5589	22.204
-22.07687343589747	8.1653	9.3018
-23.663873435897465	-10.523	8.8389
-23.14087343589747	9.3698	-0.14551
-23.02487343589747	-12.556	-0.49831
-22.61287343589747	2.4411	0.42979
-22.492873435897465	-6.1094	0.41789
-22.138873435897466	2.591	-15.693
-21.802873435897467	-6.4131	-15.696
-21.41487343589747	2.6895	-30.139
-20.910873435897464	-6.645	-30.137
-24.090873435897464	-1.0268	29.73
-22.575873435897464	5.5861	22.693
-23.486873435897465	-7.5588	22.204
-22.09187343589747	8.1633	9.2997
-23.663873435897465	-10.522	8.8389
-23.138873435897466	9.3706	-0.14901
-23.02487343589747	-12.556	-0.49831
