		frames = 100 markers = 13 Hz = 30
47.606	-2.7578	-31.608
45.145	11.863	7.8068
21.129	4.3114	19.691
18.989	-2.793	24.225
23.251	7.4991	6.5694
17.177	-20.961	18.314
12.585	12.153	18.179
44.821	-5.5303	17.482
15.553	-8.6981	15.019
41.75	5.3506	-19.474
25.354	1.3245	-33.026
25.204	1.6118	-33.059
25.055	-4.8734	-32.899
21.372	-8.6673	17.476
25.355	1.388	-32.961
19.297	-5.4371	-19.976
25.234	1.4901	-33.189
16.939	-1.9207	21.001
24.078	2.3153	-19.387
35.228	14.426	10.924
23.296	7.5358	6.4379
48.114	-2.2413	-32.429
24.332	-5.9949	14.757
14.591	-12.455	24.566
17.812	-2.4219	23.775
25.444	-5.7373	-3.9264
23.728	2.0937	-19.26
25.701	-4.581	-2.4268
21.224	8.028	24.528
20.706	1.686	-19.801
24.111	8.0344	19.22
33.376	-2.9235	-4.4306
22.642	-7.5241	19.177
26.072	1.7158	-3.9564
43.318	9.2555	5.7102
16.656	3.4924	15.181
31.304	4.879	-4.3052
19.974	-5.6881	-19.725
23.955	-5.0283	-19.229
14.324	-12.213	30.192
25.107	1.6978	-32.9
22.12	-7.3973	19.879
32.662	-6.8921	17.003
42.539	-3.6868	-20.302
20.743	1.6796	-19.781
21.619	4.3769	17.27
19.048	4.0912	16.382
19.483	-7.1735	19.393
23.25	16.447	24.203
25.583	-4.1346	-2.738
25.133	1.7973	-32.858
24.369	11.114	9.0977
39.404	-1.9371	22.374
24.978	-5.1049	-32.626
25.04	-5.1298	-32.635
24.161	15.871	24.863
39.693	-3.4863	-20.995
26.365	-11.988	-2.8861
19.396	-19.003	10.886
15.593	-8.735	14.632
47.44	-2.1136	-2.8823
33.665	4.4931	-4.1964
35.156	-11.68	4.1613
25.148	-17.599	19.901
19.563	-2.7266	24.231
11.424	-17.215	22.941
25.277	-4.2509	-2.7768
48.83	-2.2836	-33.05
14.569	-2.6979	20.428
44.012	-3.1456	-29.556
26.823	3.208	-2.9865
46.328	5.0023	-19.481
24.336	2.8197	-2.4272
24.44	-10.134	6.7007
25.046	-15.869	23.931
16.753	-2.0405	20.78
19.239	9.2225	28.22
24.807	2.058	-19.094
20.193	4.846	17.296
25.278	-4.7174	-33.22
41.057	10.441	-3.109
24.71	-4.6251	-19.355
19.576	15.285	18.043
47.928	-2.4731	-32.118
31.94	5.4437	17.071
28.219	15.78	23.204
21.786	1.7806	-19.53
19.636	-5.6171	-19.841
23.356	-4.7142	-19.142
22.63	4.9731	17.244
45.854	3.7607	-3.1753
23.355	-4.817	-19.163
46.665	-3.5676	-3.0173
19.448	15.189	18.575
24.723	2.8612	-2.4927
43.34	6.7059	17.029
21.166	1.7495	-19.66
27.981	14.074	21.086
20.976	4.3429	17.383
25.851	1.7019	-3.9209
19.871	-5.6815	-19.78
45.768	3.611	-3.4104
20.345	1.7392	-19.871
42.874	1.1637	24.181
25.404	1.56	-33.458
24.226	-4.7727	-19.413
25.818	2.0923	-4.3939
23.349	7.5747	6.3299
16.868	3.4105	15.811
22.417	-17.144	23.592
21.409	14.544	19.19
23.23	-10.389	6.4276
14.436	12.132	30.454
24.67	3.1587	-19.48
20.32	4.8372	17.745
17.931	3.897	16.454
42.18	0.28313	24.176
42.332	-8.8147	-3.4829
17.159	-7.0443	16.788
25.119	-5.0699	-32.8
30.744	-17.684	24.729
27.552	12.986	20.09
40.483	-1.346	23.015
24.339	14.329	21.218
14.866	13.086	27.968
25.328	-0.39597	21.083
14.332	-2.7873	20.23
25.536	1.9496	-3.3081
20.079	-17.984	22.336
44.873	-13.076	6.6891
20.119	-5.9499	18.992
24.214	2.148	-19.167
46.891	5.444	-2.8483
21.212	5.0432	17.561
32.766	17.069	22.144
45.351	10.85	7.3797
43.994	7.3747	16.993
22.774	-10.954	6.4307
24.451	9.6937	-3.5681
28.001	2.9485	-19.78
48.829	-2.2047	-33.153
19.823	-19.503	20.132
41.522	-3.4623	-20.733
18.213	-20.117	17.189
47.194	5.3256	-19.468
33.484	4.9977	17.269
43.634	-7.3865	6.1461
31.803	2.7724	-19.745
27.583	-6.0584	16.502
24.728	2.0718	-19.062
25.433	-5.7589	-4.1265
23.821	-11.296	27.681
36.034	-1.8833	22.339
24.481	2.2879	-2.4497
26.661	8.8182	20.986
44.556	5.0782	-19.51
16.577	3.2387	15.594
45.715	-4.2164	-3.6966
25.226	1.5111	-33.163
43.628	-7.546	6.1618
27.642	-0.63204	21.621
25.23	1.5881	-33.128
24.286	2.797	-2.4285
22.056	14.603	21.802
47.757	5.2611	-33.331
13.25	-14.093	25.954
42.679	-8.2561	-3.6023
19.806	-5.6801	-19.799
22.515	-0.27798	20.469
20.89	4.9526	17.635
21.933	-0.98628	24.173
18.567	3.417	16.977
46.727	-2.3153	-19.518
41.612	-9.1702	-3.0626
43.568	6.9386	17.051
40.115	-1.4919	22.773
46.438	-2.6371	-19.418
16.309	-7.7396	15.678
14.465	11.809	31.516
25.158	1.7482	-32.927
18.634	4.1448	16.549
25.29	-4.7894	-33.282
31.429	-6.7245	16.755
20.621	1.6897	-19.826
41.702	4.98	16.335
24.655	-4.7709	-19.333
24.948	-5.028	-32.654
23.047	15.893	25.245
45.458	-2.9745	-19.469
20.243	1.7753	-19.89
48.701	-2.3508	-32.749
25.357	1.4437	-32.919
13.387	-13.343	28.939
18.477	-10.176	20.089
25.225	1.6032	-33.008
27.028	9.1822	23.33
17.386	-10.382	20.916
29.084	11.812	19.285
24.868	-4.4719	-2.7029
25.126	1.7483	-32.912
19.338	-12.969	-2.0744
48.672	-2.4117	-32.684
18.032	-10.685	26.831
23.593	-5.1044	-19.19
25.945	-18.198	21.173
25.267	-4.7792	-33.202
47.346	5.4211	-32.919
17.363	3.7212	16.093
47.498	5.398	-33.075
25.167	-5.038	-32.904
23.201	-4.4637	-18.74
35.514	-3.031	-28.735
25.227	1.5321	-33.151
43.255	10.434	-3.923
25.148	2.2327	-19.166
43.586	9.2232	6.1134
18.012	-1.5958	23.012
25.422	2.3332	-19.248
21.617	14.622	19.079
25.057	-4.9079	-32.891
18.921	3.7933	16.653
24.811	-5.1848	-4.1437
43.506	3.1197	-4.0657
20.874	1.6883	-19.681
43.435	9.4115	5.7064
21.326	14.464	21.549
17.73	-1.5088	22.441
25.106	-4.8497	-32.981
28.655	-13.532	25.025
26.063	1.8549	-4.2354
25.27	-4.7406	-33.243
17.69	-20.485	13.936
36.145	2.5638	-31.993
20.048	-5.6623	-19.705
35.388	4.0848	-4.2041
20.149	-5.7332	-19.629
25.555	2.356	-4.1968
45.304	-4.3334	-3.8931
25.999	1.82	-3.915
23.896	1.8703	-19.144
27.124	-4.2325	-2.9532
24.478	2.1865	-19.154
14.979	13.316	28.627
42.552	-8.589	-3.5878
21.886	4.3852	17.297
24.347	2.272	-19.287
25.319	1.6457	-33.297
20.832	16.328	24.287
25.036	-5.1422	-32.625
25.353	1.3043	-33.02
24.516	9.6907	-3.4593
46.716	-3.1963	-2.8658
17.001	-1.5134	21.532
29.424	-9.0134	27.463
22.425	-9.193	22.991
25.267	-4.8089	-33.227
24.751	2.0704	-19.06
33.454	-4.8888	-20.719
38.997	-17.264	8.7348
30.884	-3.6606	-30.54
43.207	9.1098	5.7862
20.214	-8.7256	17.405
19.931	1.9335	-20.0
44.154	3.1199	-4.1076
16.126	-2.0608	21.917
26.022	1.7764	-4.0236
36.988	-1.9783	22.261
20.898	-5.6718	17.841
30.839	4.8522	-4.1997
45.213	-11.889	6.5652
46.401	4.6652	-2.8341
24.92	2.0569	-19.127
37.999	15.4	25.079
25.12	1.7389	-32.908
42.773	3.1583	-4.0461
20.101	-0.89856	21.582
18.096	-19.93	19.842
22.694	-11.411	6.5357
17.479	-7.4374	16.337
42.671	-8.3154	-3.6459
17.619	-7.4128	16.507
17.217	-2.2668	23.384
23.754	-5.0646	-2.6918
23.674	6.028	15.899
40.821	-4.3422	-4.0501
10.801	-17.439	10.439
26.591	15.092	22.656
35.339	4.3763	-18.176
42.687	5.404	16.978
21.042	-5.4523	-19.491
24.404	3.1404	-19.461
29.009	9.8119	29.991
25.238	-5.8402	-3.8494
45.85	4.436	-31.846
16.477	3.1998	15.501
18.002	-10.127	19.988
19.743	8.5874	27.025
22.164	16.483	23.906
44.715	3.812	-31.234
24.279	-10.361	6.5155
20.833	4.5492	18.844
42.018	10.133	-3.547
24.246	-5.3474	-2.558
12.923	12.367	15.894
42.743	5.7629	16.954
41.696	-8.0574	16.331
22.84	-11.517	-3.2984
42.35	0.54004	24.191
9.1272	-16.749	21.869
9.6122	-17.567	15.872
20.701	1.6706	-19.754
25.226	-5.8283	-3.9716
23.145	7.664	6.5595
20.536	-8.7399	17.354
20.21	-6.8754	19.77
19.351	-2.7662	24.249
43.078	8.8427	5.7953
15.619	-8.7347	14.941
15.653	-8.747	14.871
20.655	1.7203	-19.75
25.271	-4.7625	-33.251
25.323	1.4901	-33.028
36.555	15.392	25.314
24.252	-4.8088	-19.403
25.379	-5.6188	-4.2099
45.982	-3.4936	-30.074
46.201	-3.954	-3.3306
13.246	12.657	13.127
24.795	16.345	23.733
24.974	-5.1045	-32.622
19.89	-5.703	-19.746
42.903	-8.0061	17.0
27.06	2.7392	-32.235
24.965	-4.7606	-2.4067
22.87	-14.177	7.8237
25.085	-12.21	-3.1651
21.257	14.536	21.161
19.051	-1.3375	22.528
25.153	1.7901	-32.895
19.278	-5.5261	-19.974
44.317	-6.134	17.444
17.208	-1.9047	21.257
47.15	5.2557	-19.461
43.258	8.9268	5.9109
22.314	-8.0864	17.589
22.274	-18.956	23.614
30.195	5.8362	17.016
25.291	-4.7005	-33.281
21.293	-5.6167	17.722
34.497	-18.085	10.866
17.676	-7.4224	16.481
30.558	2.8961	-19.93
36.79	-10.944	1.5035
47.775	5.3316	-33.332
25.137	1.7985	-32.866
16.329	-11.138	22.569
25.029	-5.127	-32.601
34.805	3.9059	-18.239
39.515	-1.5261	22.522
43.672	-6.9708	17.341
24.959	-5.0192	-32.668
24.808	9.5137	8.0026
