		frames = 111 markers = 13 Hz = 30
-15.165	-2.8012	22.063
-27.945	-12.388	-1.2988
-39.671	-9.0626	-16.947
-6.7046	2.8591	-32.012
-8.2726	14.599	21.405
-7.6789	8.319	29.173
-38.361	-0.57213	28.509
-35.133	-6.3635	-31.408
-6.24	10.261	-17.14
-44.03	5.7472	7.3014
-42.484	-12.973	8.3706
-15.309	9.1606	-31.041
-4.2806	-5.0811	-0.43646
-29.615	11.033	-0.90746
-9.9921	10.008	1.0639
-2.5981	18.433	-0.96006
-5.9903	2.7217	-16.964
-23.291	-3.5586	-32.114
-46.606	0.3256	-31.893
-45.378	-8.8512	-17.097
-44.298	-11.225	22.37
-31.349	0.85334	27.862
-13.503	8.5364	0.44504
-26.784	9.5989	7.7969
-44.606	5.0396	7.4425
-24.275	-7.316	21.89
-8.0003	14.41	21.466
-4.8565	16.447	7.82
-20.535	-6.2473	22.452
-37.518	-10.15	8.2493
-31.644	6.4124	20.389
-35.753	-9.9676	7.9576
-6.8936	-4.0752	0.41464
-46.57	0.13819	-31.669
-46.399	0.3468	-31.306
-6.7124	-4.7062	0.09894
-26.27	-12.35	-1.1632
-45.877	-9.3332	-30.667
-22.059	7.6753	21.086
-42.557	-12.969	8.4286
-38.49	6.5194	20.98
-42.411	-12.928	8.4745
-44.522	-1.1825	1.0782
-6.1362	-0.70846	22.341
-43.057	0.069093	-17.085
-36.59	-6.4583	21.871
-25.505	10.115	7.4528
-17.997	-5.0469	22.505
-44.813	6.1479	-1.628
-33.419	6.9222	20.394
-19.35	-2.9699	1.0317
-38.389	-12.869	-0.53446
-44.5	-4.4805	29.176
-44.426	-4.5335	29.194
-44.278	-4.225	29.182
-9.3998	19.688	7.7904
-42.885	0.14115	-17.119
-40.403	-5.011	0.86404
-38.636	-10.526	8.2416
-44.462	-4.5098	29.19
-44.369	-4.5623	29.195
-42.545	-12.977	8.4361
-44.425	-4.3531	29.194
-4.6835	-3.2894	8.5393
-15.186	7.424	0.17754
-6.4926	15.463	7.4482
-12.081	9.2039	0.77374
-9.6704	9.8964	-31.876
-46.801	-9.1934	-32.028
-44.699	4.9264	7.4801
-27.783	-10.469	7.6843
-19.96	-2.8303	-17.33
-21.036	-3.1477	-17.199
-42.489	-12.966	8.3622
-46.524	0.32245	-31.542
-44.494	-4.4787	29.175
-44.134	-8.4289	1.1637
-25.04	-4.8015	-31.802
-27.888	11.043	0.89094
-45.511	2.1701	21.571
-46.875	-9.2864	-32.021
-37.615	-12.493	-0.63396
-39.178	-13.177	-0.46966
-1.6302	19.114	-0.54336
-7.5558	3.197	1.3637
-36.264	-12.28	-0.91936
-9.6646	9.8489	-31.913
-12.557	14.224	20.899
-45.188	4.5905	7.5409
-23.29	-3.5929	-32.25
-8.6739	16.975	-1.5273
-45.47	-8.9368	-17.03
-8.8651	17.031	-1.5005
-6.9065	-4.2878	0.27534
-32.219	11.673	7.176
-42.969	0.26555	0.98464
-37.381	-6.4649	21.987
-36.886	2.3973	-26.676
-45.097	4.6179	7.5763
-6.432	12.664	21.396
-35.849	0.64332	28.479
