		frames = 253 markers = 13 Hz = 30
29.896	-3.7452	24.821
33.528	-7.3748	-29.955
28.715	-17.224	0.078963
33.461	-7.3748	-29.972
19.473	15.326	11.839
33.742	2.7426	-29.75
34.568	2.3306	23.623
29.622	-9.5433	24.012
28.369	-15.87	0.50266
30.168	-18.467	8.666
33.764	-0.52243	3.6652
33.372	-4.7763	-13.156
32.667	-5.8585	3.6599
32.773	-6.8612	-14.217
37.3	4.56	9.7417
38.207	8.0651	9.7865
33.562	-4.7066	-12.935
32.683	-7.0115	-14.388
29.908	-12.081	9.1297
33.377	-7.0536	-29.856
30.286	-15.154	22.981
17.862	15.848	12.085
29.747	-16.984	8.5232
33.423	-7.1805	-29.804
33.244	-9.2907	-14.368
27.357	12.386	9.9912
33.952	3.8207	23.323
28.611	-16.897	0.50386
32.878	-8.8733	-14.411
34.63	0.76702	23.406
33.046	-6.3581	-14.204
32.325	-6.301	31.227
21.567	11.413	16.102
34.526	5.1581	1.6543
34.704	-0.42672	23.339
33.952	4.238	-14.377
31.669	-8.0657	30.95
28.485	-16.678	0.21336
34.25	-0.50597	-14.15
33.398	-4.7291	-13.159
33.8	2.5234	-29.6
31.268	-11.711	2.0423
33.066	-0.24219	23.038
32.936	-9.0073	-14.422
32.84	-8.5686	-14.377
33.775	-12.048	3.4392
30.188	-15.295	22.937
28.027	-17.883	0.19286
33.342	-8.9683	4.4156
18.674	13.965	2.4484
34.8	-0.1821	23.47
29.805	-17.036	8.5108
34.959	6.1935	1.8418
30.107	9.0723	1.0952
34.524	-5.335	-12.635
31.54	-15.212	23.007
27.654	-18.149	0.20896
35.95	7.3476	1.5012
32.04	-7.5435	3.5971
31.143	-8.0545	30.837
33.669	2.8718	-30.054
33.41	-7.0866	-29.844
31.314	-14.939	23.014
32.7	-11.032	3.3733
28.695	-17.811	0.21656
33.169	-0.1811	23.017
33.756	2.521	-29.667
33.928	-2.3361	3.396
33.368	-6.8649	-30.066
33.519	3.0011	-29.93
29.229	-18.318	0.15976
36.257	-1.999	5.0472
33.512	3.0097	-29.975
34.148	-0.50708	-14.167
32.944	-9.0155	-14.426
34.134	-2.0293	4.5379
33.474	4.4163	-14.246
33.557	-3.9813	4.0536
34.293	-9.2285	4.4534
33.777	2.6238	-29.695
33.029	-7.4836	-27.996
30.666	-2.9266	31.374
28.272	-14.303	9.1889
33.562	1.257	-14.074
32.881	-7.7934	-14.401
32.094	5.7424	3.6006
31.286	-4.0358	31.387
33.698	2.6265	-29.855
27.141	-2.0572	23.779
33.171	-0.13898	23.036
34.237	-9.0894	4.5364
33.64	-0.42171	3.7668
31.344	-14.985	23.002
33.666	0.28927	-14.306
35.906	6.758	1.4221
37.565	3.886	9.6148
29.731	-16.932	8.5146
33.682	-0.3293	-14.229
28.487	-16.675	0.47906
29.438	-15.862	8.4817
34.563	-3.5465	3.4022
33.794	2.5674	-29.673
32.859	-8.5999	-14.379
34.155	-3.8942	3.3785
29.891	-12.214	9.1274
33.736	2.7639	-29.84
30.482	10.981	9.4355
35.323	5.6489	1.7752
34.576	5.3805	3.5505
33.511	-7.3665	-30.028
35.204	5.1077	1.5588
32.773	-8.253	-14.386
32.755	2.6158	3.8085
30.379	-15.145	23.004
29.711	-14.023	8.8578
35.438	5.5688	1.7392
21.058	6.2827	26.866
30.107	-18.308	8.6364
28.721	-14.732	8.9477
33.785	2.6307	-29.715
32.743	-6.914	-14.366
34.261	-0.33329	23.34
33.115	-9.0026	4.3254
33.783	-0.40047	-14.195
25.057	10.648	20.135
33.159	-0.18716	23.016
33.398	1.8269	-14.05
37.802	8.9966	9.9782
32.636	-8.5328	3.4971
34.518	13.932	1.0203
32.833	-8.5769	-14.377
36.036	4.0314	9.5366
37.562	4.2265	9.7241
19.047	12.478	0.70546
35.515	-1.9521	4.9718
