level_0	level_1	frames = 75 markers = 13 Hz = 30
46.023	0.49642	29.397
45.942	7.4878	21.512
46.415	-6.8393	22.182
45.757	9.9977	7.507
45.299	-9.0378	8.1789
45.615	11.623	-1.7407
44.57	-10.449	-1.0656
46.151	3.5626	0.65338
46.331	-3.4589	0.65858
47.902	2.9155	-17.337
48.061	-2.0608	-17.293
49.332	2.3835	-31.878
49.442	-0.91021	-31.81
45.972	0.45558	29.428
45.92	7.464	21.512
46.39	-6.8588	22.218
45.681	9.9748	7.5084
45.313	-9.0563	8.2119
45.502	11.601	-1.7385
44.61	-10.467	-1.0347
46.211	3.5253	0.70578
46.324	-3.4974	0.66238
47.775	2.9227	-17.303
47.918	-2.1496	-17.305
49.34	2.3923	-31.83
49.444	-0.91462	-31.8
45.964	0.33742	29.432
45.918	7.4298	21.515
46.352	-6.8989	22.241
45.643	9.9345	7.5101
45.333	-9.0897	8.2292
45.441	11.557	-1.737
44.67	-10.496	-1.0209
46.197	3.4729	0.70418
46.293	-3.55	0.66398
47.773	2.8972	-17.305
47.907	-2.1806	-17.3
49.348	2.3888	-31.831
49.452	-0.92736	-31.792
45.912	0.25381	29.436
45.94	7.3836	21.505
46.295	-6.9463	22.252
45.627	9.8928	7.5018
45.344	-9.137	8.2353
45.399	11.518	-1.7442
44.726	-10.543	-1.0179
46.19	3.3986	0.70108
46.248	-3.6248	0.67058
47.778	2.8728	-17.308
47.886	-2.2016	-17.287
49.363	2.4044	-31.835
49.446	-0.90735	-31.774
45.819	0.010903	29.436
45.946	7.2345	21.511
46.196	-7.0915	22.246
45.632	9.7962	7.518
45.341	-9.237	8.2159
45.401	11.455	-1.7219
44.787	-10.613	-1.0459
46.308	3.3009	0.68978
46.232	-3.7224	0.66758
47.846	2.8416	-17.326
47.877	-2.2451	-17.285
49.386	2.4234	-31.859
49.45	-0.90848	-31.766
45.942	-0.15141	29.443
45.979	7.0731	21.539
46.087	-7.2626	22.263
45.675	9.6734	7.5525
45.329	-9.3545	8.219
45.453	11.359	-1.6829
44.839	-10.695	-1.0515
46.177	3.2498	0.69838
46.166	-3.7737	0.65698
47.787	2.8205	-17.312
47.852	-2.2704	-17.29
49.39	2.4303	-31.839
49.453	-0.91155	-31.766
45.806	-0.23553	29.448
45.968	6.9768	21.518
45.977	-7.3542	22.255
45.73	9.5907	7.5325
45.316	-9.4639	8.2088
45.551	11.285	-1.7021
44.891	-10.815	-1.0633
46.174	3.1726	0.70118
46.119	-3.8506	0.64708
47.796	2.7957	-17.309
47.835	-2.3153	-17.294
49.407	2.4473	-31.837
49.461	-0.93106	-31.765
45.795	-0.31786	29.414
45.97	6.8817	21.477
45.901	-7.4493	22.222
45.819	9.4912	7.49
45.348	-9.5644	8.1722
45.698	11.183	-1.7462
44.995	-10.921	-1.1023
46.075	3.0489	0.65828
45.981	-3.9741	0.63738
47.763	2.7484	-17.347
47.77	-2.3738	-17.291
49.424	2.4616	-31.87
49.459	-0.93674	-31.749
45.694	-0.39109	29.399
45.914	6.7998	21.478
45.8	-7.5382	22.225
45.948	9.4181	7.4916
45.316	-9.671	8.1755
45.949	11.116	-1.7442
45.009	-11.039	-1.0989
46.064	2.9323	0.64878
45.944	-4.0903	0.61978
47.764	2.7093	-17.357
47.758	-2.4222	-17.3
49.434	2.484	-31.88
49.462	-0.93484	-31.752
45.601	-0.51575	29.41
45.819	6.7036	21.532
45.665	-7.6445	22.243
46.171	9.2769	7.5417
45.261	-9.8017	8.1948
46.381	10.945	-1.697
45.008	-11.186	-1.0787
46.079	2.823	0.67998
45.921	-4.1986	0.60868
47.588	2.7029	-17.343
47.756	-2.4819	-17.305
49.445	2.5111	-31.845
49.48	-0.9566	-31.75
45.531	-0.63785	29.425
45.709	6.5997	21.56
45.499	-7.7525	22.27
46.386	9.0761	7.5644
45.173	-9.9428	8.2251
46.811	10.681	-1.6782
44.973	-11.35	-1.0464
46.091	2.7021	0.72498
45.91	-4.3182	0.59698
47.2	2.7404	-17.328
47.786	-2.584	-17.31
49.43	2.5637	-31.777
49.544	-1.0462	-31.75
45.443	-0.79831	29.442
45.553	6.4429	21.595
45.239	-7.9129	22.31
46.675	8.7319	7.5962
44.968	-10.082	8.26
47.393	10.214	-1.6487
44.804	-11.474	-1.0141
46.098	2.6357	0.77218
46.002	-4.3853	0.59258
46.53	2.8341	-17.308
47.845	-2.6325	-17.316
49.32	2.6138	-31.659
49.577	-1.079	-31.757
45.319	-0.96059	29.446
45.427	6.2724	21.615
44.989	-8.0851	22.313
47.072	8.5035	7.6584
44.764	-10.205	8.2548
48.134	9.9465	-1.5597
44.63	-11.566	-1.0246
46.094	2.5329	0.78708
46.022	-4.4887	0.60868
45.66	2.9666	-17.289
47.862	-2.701	-17.297
49.209	2.653	-31.47
49.595	-1.1209	-31.735
45.136	-1.0489	29.424
45.365	6.168	21.632
44.669	-8.1899	22.286
47.442	8.1549	7.6956
44.476	-10.281	8.2229
48.791	9.4378	-1.5087
44.364	-11.623	-1.0594
46.055	2.4564	0.79238
46.164	-4.5643	0.58838
44.607	3.2086	-17.22
47.921	-2.6954	-17.317
49.092	2.8887	-31.134
49.582	-1.0484	-31.757
44.818	-1.1302	29.412
45.243	6.0527	21.604
44.43	-8.2871	22.248
47.74	7.8591	7.7123
44.153	-10.339	8.1806
49.366	9.0231	-1.4632
43.986	-11.655	-1.1046
45.971	2.4176	0.82778
46.144	-4.6013	0.59048
43.551	3.4718	-17.064
47.912	-2.7051	-17.311
